c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_AgMNN	BE_AgMNN	CPS_AgMNN
289.11	1197.5	4397.14
289.21	1197.4	4429.54
289.31	1197.3	4403.36
289.41	1197.2	4415.46
289.51	1197.1	4414.61
289.61	1197	4401.14
289.71	1196.9	4416.07
289.81	1196.8	4394.93
289.91	1196.7	4405.75
290.01	1196.6	4459.71
290.11	1196.5	4456.68
290.21	1196.4	4419.71
290.31	1196.3	4443.93
290.41	1196.2	4513.25
290.51	1196.1	4512.64
290.61	1196	4378.25
290.71	1195.9	4411.93
290.81	1195.8	4422.57
290.91	1195.7	4432.82
291.01	1195.6	4481
291.11	1195.5	4498.11
291.21	1195.4	4429.68
291.31	1195.3	4450.54
291.41	1195.2	4481.39
291.51	1195.1	4391.71
291.61	1195	4446.29
291.71	1194.9	4399.54
291.81	1194.8	4469.43
291.91	1194.7	4442
292.01	1194.6	4402.46
292.11	1194.5	4425.46
292.21	1194.4	4461.11
292.31	1194.3	4449.11
292.41	1194.2	4395.96
292.51	1194.1	4449.89
292.61	1194	4398.25
292.71	1193.9	4470
292.81	1193.8	4431.29
292.91	1193.7	4453.71
293.01	1193.6	4484.25
293.11	1193.5	4488.75
293.21	1193.4	4533.89
293.31	1193.3	4475.93
293.41	1193.2	4432.29
293.51	1193.1	4505.71
293.61	1193	4417.43
293.71	1192.9	4435.57
293.81	1192.8	4447.21
293.91	1192.7	4489.43
294.01	1192.6	4424.57
294.11	1192.5	4449.32
294.21	1192.4	4434.46
294.31	1192.3	4460.96
294.41	1192.2	4434.75
294.51	1192.1	4412.93
294.61	1192	4462.46
294.71	1191.9	4463.71
294.81	1191.8	4477.43
294.91	1191.7	4471.11
295.01	1191.6	4447.64
295.11	1191.5	4500.61
295.21	1191.4	4482
295.31	1191.3	4464.68
295.41	1191.2	4436.46
295.51	1191.1	4463.71
295.61	1191	4451.93
295.71	1190.9	4456.64
295.81	1190.8	4409.04
295.91	1190.7	4463.96
296.01	1190.6	4424.71
296.11	1190.5	4481.36
296.21	1190.4	4482.54
296.31	1190.3	4478.18
296.41	1190.2	4445.57
296.51	1190.1	4413.25
296.61	1190	4454.25
296.71	1189.9	4470.11
296.81	1189.8	4448.46
296.91	1189.7	4462.39
297.01	1189.6	4367.18
297.11	1189.5	4409.89
297.21	1189.4	4386.61
297.31	1189.3	4447.18
297.41	1189.2	4414.61
297.51	1189.1	4416.96
297.61	1189	4447.93
297.71	1188.9	4397.82
297.81	1188.8	4427.64
297.91	1188.7	4374.18
298.01	1188.6	4428.04
298.11	1188.5	4439.25
298.21	1188.4	4475.04
298.31	1188.3	4426.21
298.41	1188.2	4393.64
298.51	1188.1	4381.36
298.61	1188	4402.86
298.71	1187.9	4420.07
298.81	1187.8	4428.61
298.91	1187.7	4408.82
299.01	1187.6	4449.36
299.11	1187.5	4443.96
299.21	1187.4	4467.86
299.31	1187.3	4425.36
299.41	1187.2	4447.39
299.51	1187.1	4432.36
299.61	1187	4422.36
299.71	1186.9	4401.43
299.81	1186.8	4428.68
299.91	1186.7	4421.68
300.01	1186.6	4409.89
300.11	1186.5	4408.68
300.21	1186.4	4412.82
300.31	1186.3	4409.71
300.41	1186.2	4394.25
300.51	1186.1	4395.79
300.61	1186	4368.39
300.71	1185.9	4445.5
300.81	1185.8	4425.5
300.91	1185.7	4342.68
301.01	1185.6	4403.04
