c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
710.61	776	2771.24
710.71	775.9	2773.65
710.81	775.8	2823.66
710.91	775.7	2763.75
711.01	775.6	2787.01
711.11	775.5	2813.78
711.21	775.4	2910.68
711.31	775.3	2863.75
711.41	775.2	2860.84
711.51	775.1	2908.26
711.61	775	2866.34
711.71	774.9	2946.71
711.81	774.8	2819.92
711.91	774.7	2774.36
712.01	774.6	2926.08
712.11	774.5	2868.5
712.21	774.4	2944.14
712.31	774.3	2781.31
712.41	774.2	2822.63
712.51	774.1	2715.06
712.61	774	2897.24
712.71	773.9	2922.39
712.81	773.8	2940.8
712.91	773.7	2974.8
713.01	773.6	2771.28
713.11	773.5	2821.54
713.21	773.4	2927.64
713.31	773.3	2921.89
713.41	773.2	2876.88
713.51	773.1	2882.82
713.61	773	2843.85
713.71	772.9	2922.73
713.81	772.8	2900.24
713.91	772.7	2960.14
714.01	772.6	2937.73
714.11	772.5	2839.57
714.21	772.4	2750.85
714.31	772.3	2846.07
714.41	772.2	2856.37
714.51	772.1	2852.69
714.61	772	2848.21
714.71	771.9	2913.66
714.81	771.8	2951.94
714.91	771.7	2904.47
715.01	771.6	2899.89
715.11	771.5	3055.3
715.21	771.4	2995.83
715.31	771.3	2909.97
715.41	771.2	2825.72
715.51	771.1	2902.21
715.61	771	2881.39
715.71	770.9	2913.19
715.81	770.8	2863.17
715.91	770.7	3044.51
716.01	770.6	2882.54
716.11	770.5	2893.09
716.21	770.4	2847.92
716.31	770.3	2934.05
716.41	770.2	3045.26
716.51	770.1	2910.49
716.61	770	2843.94
716.71	769.9	2863.38
716.81	769.8	2836.34
716.91	769.7	2870.07
717.01	769.6	2919.86
717.11	769.5	2821.86
717.21	769.4	2897.13
717.31	769.3	2972.09
717.41	769.2	2956.44
717.51	769.1	2847.61
717.61	769	2796.92
717.71	768.9	2750.24
717.81	768.8	2877.11
717.91	768.7	2996.78
718.01	768.6	3015.12
718.11	768.5	2937.57
718.21	768.4	2879.92
718.31	768.3	2893.24
718.41	768.2	2838.01
718.51	768.1	2847.47
718.61	768	2990.53
718.71	767.9	3068.75
718.81	767.8	2979.9
718.91	767.7	2831.87
719.01	767.6	2875.84
719.11	767.5	2896.14
719.21	767.4	2731.28
719.31	767.3	2786.41
719.41	767.2	2875.51
719.51	767.1	2902.15
719.61	767	2989.72
719.71	766.9	3057.59
719.81	766.8	3052
719.91	766.7	2981.51
720.01	766.6	2860.6
720.11	766.5	3005.08
720.21	766.4	2979.06
720.31	766.3	2901.03
720.41	766.2	2971.05
720.51	766.1	2894.13
720.61	766	2913.41
720.71	765.9	3015.79
720.81	765.8	2984.31
720.91	765.7	2937.82
721.01	765.6	2978.78
721.11	765.5	3028.78
721.21	765.4	2959.26
721.31	765.3	2958.92
721.41	765.2	2940.83
721.51	765.1	2901.25
721.61	765	2925.89
721.71	764.9	2880.35
721.81	764.8	3039.79
721.91	764.7	2892.62
722.01	764.6	2895.18
722.11	764.5	2918.89
722.21	764.4	2897.47
722.31	764.3	2907.82
722.41	764.2	2980.17
722.51	764.1	2950.79
722.61	764	2852.44
722.71	763.9	2967.88
722.81	763.8	3022.73
722.91	763.7	2957.95
723.01	763.6	3091.57
723.11	763.5	3012.52
723.21	763.4	2910.17
723.31	763.3	2996.3
723.41	763.2	3028.49
723.51	763.1	2941.01
723.61	763	2877.4
723.71	762.9	2941.33
723.81	762.8	3005.74
723.91	762.7	3084.44
724.01	762.6	3085.31
724.11	762.5	3006.54
724.21	762.4	3053.59
724.31	762.3	3056.4
724.41	762.2	3069.64
724.51	762.1	2889.97
724.61	762	3051.89
724.71	761.9	3041.96
724.81	761.8	2978.49
724.91	761.7	2935.54
725.01	761.6	2942.15
725.11	761.5	3016.82
725.21	761.4	2907.75
725.31	761.3	2938.87
725.41	761.2	3059.25
725.51	761.1	3039.21
725.61	761	3047.14
725.71	760.9	2977.2
725.81	760.8	2865.78
725.91	760.7	2972.25
726.01	760.6	3108.76
726.11	760.5	3151.25
726.21	760.4	3064.97
726.31	760.3	3030.36
726.41	760.2	3000.13
726.51	760.1	2972.45
726.61	760	3050.45
726.71	759.9	3073.23
726.81	759.8	3055.65
726.91	759.7	3048.4
727.01	759.6	2988.46
727.11	759.5	2984.68
727.21	759.4	2888.64
727.31	759.3	2956.1
727.41	759.2	2957.62
727.51	759.1	2998.8
727.61	759	3013.44
727.71	758.9	3048.27
727.81	758.8	3029.58
727.91	758.7	3001.86
728.01	758.6	3041.69
728.11	758.5	2924.28
