c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_AgMNN	BE_AgMNN	CPS_AgMNN
289.01	1197.6	9370.47
289.11	1197.5	9344.71
289.21	1197.4	9346.72
289.31	1197.3	9449.98
289.41	1197.2	9546.37
289.51	1197.1	9570.38
289.61	1197	9483.97
289.71	1196.9	9406.44
289.81	1196.8	9429.91
289.91	1196.7	9382.19
290.01	1196.6	9505.21
290.11	1196.5	9565.7
290.21	1196.4	9498.71
290.31	1196.3	9386.47
290.41	1196.2	9305.34
290.51	1196.1	9425.42
290.61	1196	9538.3
290.71	1195.9	9632.86
290.81	1195.8	9385.88
290.91	1195.7	9370.69
291.01	1195.6	9558.35
291.11	1195.5	9436.39
291.21	1195.4	9545.42
291.31	1195.3	9522.92
291.41	1195.2	9542.68
291.51	1195.1	9502.7
291.61	1195	9528.42
291.71	1194.9	9647.88
291.81	1194.8	9499.91
291.91	1194.7	9524.74
292.01	1194.6	9477.58
292.11	1194.5	9405.34
292.21	1194.4	9422.05
292.31	1194.3	9506.98
292.41	1194.2	9499.12
292.51	1194.1	9504.66
292.61	1194	9529.97
292.71	1193.9	9626.14
292.81	1193.8	9508.19
292.91	1193.7	9544.41
293.01	1193.6	9513.99
293.11	1193.5	9481.62
293.21	1193.4	9460.59
293.31	1193.3	9562.4
293.41	1193.2	9654.87
293.51	1193.1	9597.42
293.61	1193	9569.36
293.71	1192.9	9490.48
293.81	1192.8	9524.16
293.91	1192.7	9526.38
294.01	1192.6	9500.36
294.11	1192.5	9643.39
294.21	1192.4	9767.83
294.31	1192.3	9720.96
294.41	1192.2	9769.75
294.51	1192.1	9595.89
294.61	1192	9528.04
294.71	1191.9	9532.34
294.81	1191.8	9482.91
294.91	1191.7	9662.75
295.01	1191.6	9652.97
295.11	1191.5	9558.65
295.21	1191.4	9485.3
295.31	1191.3	9640.37
295.41	1191.2	9634.96
295.51	1191.1	9672.69
295.61	1191	9516.81
295.71	1190.9	9561.82
