c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_AgMNN	BE_AgMNN	CPS_AgMNN
341.61	1145	6906.42
341.71	1144.9	6951.88
341.81	1144.8	7078.03
341.91	1144.7	7064.7
342.01	1144.6	7096.98
342.11	1144.5	7193.31
342.21	1144.4	7220.59
342.31	1144.3	7140.47
342.41	1144.2	7305.76
342.51	1144.1	7135.66
342.61	1144	7313.08
342.71	1143.9	7293.85
342.81	1143.8	7255.83
342.91	1143.7	7320.77
343.01	1143.6	7319.36
343.11	1143.5	7337
343.21	1143.4	7366.04
343.31	1143.3	7327.35
343.41	1143.2	7370.27
343.51	1143.1	7287.76
343.61	1143	7363.38
343.71	1142.9	7397.06
343.81	1142.8	7390.53
343.91	1142.7	7473.29
344.01	1142.6	7488.68
344.11	1142.5	7444.89
344.21	1142.4	7499.89
344.31	1142.3	7662.6
344.41	1142.2	7675.02
344.51	1142.1	7822.23
344.61	1142	7747.78
344.71	1141.9	7701.77
344.81	1141.8	7676.68
344.91	1141.7	7768.26
345.01	1141.6	7553.04
345.11	1141.5	7531.98
345.21	1141.4	7633.65
345.31	1141.3	7863.58
345.41	1141.2	7980.74
345.51	1141.1	7800.05
345.61	1141	7724.2
345.71	1140.9	7838.18
345.81	1140.8	7866.37
345.91	1140.7	7896.5
346.01	1140.6	7999.13
346.11	1140.5	8034.48
346.21	1140.4	7950.06
346.31	1140.3	8007.88
346.41	1140.2	8126.85
346.51	1140.1	8120.82
346.61	1140	8172.12
346.71	1139.9	8269.96
346.81	1139.8	8327.81
346.91	1139.7	8295.71
347.01	1139.6	8349.19
347.11	1139.5	8291.62
347.21	1139.4	8358.25
347.31	1139.3	8436.6
347.41	1139.2	8489.95
347.51	1139.1	8563.93
347.61	1139	8524.89
347.71	1138.9	8784.31
347.81	1138.8	8761.05
347.91	1138.7	8840.05
348.01	1138.6	8902.24
348.11	1138.5	9041.61
348.21	1138.4	9180.03
348.31	1138.3	9405.48
348.41	1138.2	9436.03
348.51	1138.1	9639.42
348.61	1138	9575.46
348.71	1137.9	9660.59
348.81	1137.8	9631.09
348.91	1137.7	9689.37
349.01	1137.6	9642.05
349.11	1137.5	9679.93
349.21	1137.4	9551.78
349.31	1137.3	9681.94
349.41	1137.2	9607.4
349.51	1137.1	9688.86
349.61	1137	9661.25
349.71	1136.9	9732.96
349.81	1136.8	9749.94
349.91	1136.7	9795.89
350.01	1136.6	9657.82
350.11	1136.5	9756.45
350.21	1136.4	9878.57
350.31	1136.3	10010.5
350.41	1136.2	10092.7
350.51	1136.1	10265.1
350.61	1136	10408.9
350.71	1135.9	10588
350.81	1135.8	10752.9
350.91	1135.7	11097.4
351.01	1135.6	11601.8
351.11	1135.5	12167.9
351.21	1135.4	12742.3
351.31	1135.3	13363.9
351.41	1135.2	14191.2
351.51	1135.1	14945.3
351.61	1135	15517.1
351.71	1134.9	15807.4
351.81	1134.8	16112.7
351.91	1134.7	16156
352.01	1134.6	15708.5
352.11	1134.5	15362.2
352.21	1134.4	15081.4
352.31	1134.3	14695.2
352.41	1134.2	14531.5
352.51	1134.1	14378.2
352.61	1134	14331.2
352.71	1133.9	14291.7
352.81	1133.8	13982.9
352.91	1133.7	13649.3
353.01	1133.6	13552.5
353.11	1133.5	13616.9
353.21	1133.4	13465.2
353.31	1133.3	13378.7
353.41	1133.2	13321.8
353.51	1133.1	13357
353.61	1133	13166.4
353.71	1132.9	12873.8
353.81	1132.8	12561.2
353.91	1132.7	12080.4
354.01	1132.6	11906.5
354.11	1132.5	11630
354.21	1132.4	11338.2
354.31	1132.3	11189.1
354.41	1132.2	10919.5
354.51	1132.1	10811.4
354.61	1132	10813.7
354.71	1131.9	10643.8
354.81	1131.8	10385.2
354.91	1131.7	10206.2
355.01	1131.6	10153.2
355.11	1131.5	9907.13
355.21	1131.4	9714.56
355.31	1131.3	9766.62
355.41	1131.2	9547.82
355.51	1131.1	9302.53
355.61	1131	9232.72
355.71	1130.9	9303.05
355.81	1130.8	9199
355.91	1130.7	9196.77
356.01	1130.6	9221.63
356.11	1130.5	9129.09
356.21	1130.4	9158.65
356.31	1130.3	8961.97
356.41	1130.2	8986.05
356.51	1130.1	9206.64
356.61	1130	9196.92
356.71	1129.9	9165.97
356.81	1129.8	9432.26
356.91	1129.7	9506.52
357.01	1129.6	9722
357.11	1129.5	10120.3
357.21	1129.4	10548.6
357.31	1129.3	11331.6
357.41	1129.2	11882.3
357.51	1129.1	12387.4
357.61	1129	12932.8
357.71	1128.9	13347.1
357.81	1128.8	13579.6
357.91	1128.7	13633.8
358.01	1128.6	13482.9
358.11	1128.5	12971.1
358.21	1128.4	12112.8
358.31	1128.3	11559.3
358.41	1128.2	11069.2
358.51	1128.1	10535.2
358.61	1128	10024.2
358.71	1127.9	9600.02
358.81	1127.8	9415.93
358.91	1127.7	9244.75
359.01	1127.6	8948.08
359.11	1127.5	8917.8
359.21	1127.4	8657.04
359.31	1127.3	8502.25
359.41	1127.2	8176.61
359.51	1127.1	7751.34
359.61	1127	7545.75
359.71	1126.9	7368.78
359.81	1126.8	7074.89
359.91	1126.7	6804.7
360.01	1126.6	6551.63
360.11	1126.5	6368.03
360.21	1126.4	6127.21
360.31	1126.3	6148.1
360.41	1126.2	6171.58
360.51	1126.1	6084.14
360.61	1126	5970.53
360.71	1125.9	5859.23
360.81	1125.8	5855.8
360.91	1125.7	5973.38
361.01	1125.6	5798.92
361.11	1125.5	5719.51
361.21	1125.4	5756.91
361.31	1125.3	5707.85
361.41	1125.2	5733.23
361.51	1125.1	5614.9
361.61	1125	5691.69
361.71	1124.9	5632.39
361.81	1124.8	5571.36
361.91	1124.7	5685.34
362.01	1124.6	5543.74
362.11	1124.5	5628.96
362.21	1124.4	5585.16
362.31	1124.3	5494.26
362.41	1124.2	5464.75
362.51	1124.1	5417.86
362.61	1124	5408.65
362.71	1123.9	5487.36
362.81	1123.8	5329.06
362.91	1123.7	5417.31
363.01	1123.6	5354.45
363.11	1123.5	5463.9
363.21	1123.4	5318.32
363.31	1123.3	5259.26
363.41	1123.2	5253.29
363.51	1123.1	5209.58
363.61	1123	5149.06
363.71	1122.9	5127.03
363.81	1122.8	5154.99
363.91	1122.7	5163.87
364.01	1122.6	5035.67
364.11	1122.5	5017.11
364.21	1122.4	4996.22
