c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.7
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
710.81	775.8	2353.34
710.91	775.7	2397.35
711.01	775.6	2324.03
711.11	775.5	2333.19
711.21	775.4	2324.98
711.31	775.3	2341.69
711.41	775.2	2368.78
711.51	775.1	2435.98
711.61	775	2424.77
711.71	774.9	2368.19
711.81	774.8	2367.46
711.91	774.7	2392.95
712.01	774.6	2400.78
712.11	774.5	2382.94
712.21	774.4	2308.87
712.31	774.3	2355.74
712.41	774.2	2392.42
712.51	774.1	2352.61
712.61	774	2334.51
712.71	773.9	2334.01
712.81	773.8	2348.39
712.91	773.7	2403.81
713.01	773.6	2366.48
713.11	773.5	2315.24
713.21	773.4	2333.77
713.31	773.3	2387.48
713.41	773.2	2441.64
713.51	773.1	2454.39
713.61	773	2381.44
713.71	772.9	2397.53
713.81	772.8	2350.54
713.91	772.7	2326.47
714.01	772.6	2382.45
714.11	772.5	2384.75
714.21	772.4	2412.84
714.31	772.3	2314.52
714.41	772.2	2424.27
714.51	772.1	2430.06
714.61	772	2358.73
714.71	771.9	2365.86
714.81	771.8	2418.94
714.91	771.7	2403.58
715.01	771.6	2396.22
715.11	771.5	2377.16
715.21	771.4	2443.09
715.31	771.3	2472.29
715.41	771.2	2473.22
715.51	771.1	2392.2
715.61	771	2376.43
715.71	770.9	2385.25
715.81	770.8	2358.89
715.91	770.7	2338.65
716.01	770.6	2377.8
716.11	770.5	2437.22
716.21	770.4	2406.86
716.31	770.3	2353.24
716.41	770.2	2404.81
716.51	770.1	2504.85
716.61	770	2402.01
716.71	769.9	2409.32
716.81	769.8	2403.47
716.91	769.7	2455.48
717.01	769.6	2455.31
717.11	769.5	2427.76
717.21	769.4	2468.14
717.31	769.3	2453.74
717.41	769.2	2435.75
717.51	769.1	2406.98
717.61	769	2372.44
717.71	768.9	2426.48
717.81	768.8	2431.64
717.91	768.7	2456.17
718.01	768.6	2397.77
718.11	768.5	2427.08
718.21	768.4	2369.49
718.31	768.3	2415.02
718.41	768.2	2441.69
718.51	768.1	2447.04
718.61	768	2399.12
718.71	767.9	2456.39
718.81	767.8	2433.54
718.91	767.7	2453.85
719.01	767.6	2449.93
719.11	767.5	2442.61
719.21	767.4	2428.98
719.31	767.3	2415.85
719.41	767.2	2468.15
719.51	767.1	2436.97
719.61	767	2509.76
719.71	766.9	2476.47
719.81	766.8	2454.15
719.91	766.7	2343.38
720.01	766.6	2396.98
720.11	766.5	2529.24
720.21	766.4	2476.1
720.31	766.3	2494.15
720.41	766.2	2432.49
720.51	766.1	2512.64
720.61	766	2410.32
720.71	765.9	2410.21
720.81	765.8	2436.37
720.91	765.7	2492.64
721.01	765.6	2475.72
721.11	765.5	2476.69
721.21	765.4	2489.07
721.31	765.3	2441.93
721.41	765.2	2478.49
721.51	765.1	2429.31
721.61	765	2468.76
721.71	764.9	2509.66
721.81	764.8	2481.55
721.91	764.7	2536.75
722.01	764.6	2535.09
722.11	764.5	2425.57
722.21	764.4	2476.1
722.31	764.3	2470.66
722.41	764.2	2433.7
722.51	764.1	2456.6
722.61	764	2510.68
722.71	763.9	2502.83
722.81	763.8	2432.66
722.91	763.7	2491.59
723.01	763.6	2433.22
723.11	763.5	2465.71
723.21	763.4	2444.64
723.31	763.3	2476.76
723.41	763.2	2428.58
723.51	763.1	2474.7
723.61	763	2501.59
723.71	762.9	2484.15
723.81	762.8	2446.35
723.91	762.7	2554.72
724.01	762.6	2448.17
724.11	762.5	2461.1
724.21	762.4	2469.7
724.31	762.3	2459.23
724.41	762.2	2438.93
724.51	762.1	2513.09
724.61	762	2517.76
724.71	761.9	2534.69
724.81	761.8	2510.36
724.91	761.7	2513.63
725.01	761.6	2542.63
725.11	761.5	2514.93
725.21	761.4	2496.2
725.31	761.3	2458.61
725.41	761.2	2485.5
725.51	761.1	2522.77
725.61	761	2539.03
725.71	760.9	2514.78
725.81	760.8	2481.78
725.91	760.7	2560.93
726.01	760.6	2523.57
726.11	760.5	2447.39
726.21	760.4	2543.61
726.31	760.3	2476.43
726.41	760.2	2517.14
726.51	760.1	2524.44
726.61	760	2549.07
726.71	759.9	2575.74
726.81	759.8	2548.9
726.91	759.7	2459.23
727.01	759.6	2437.13
727.11	759.5	2483.65
727.21	759.4	2541.13
727.31	759.3	2512.77
727.41	759.2	2505.29
727.51	759.1	2524.62
727.61	759	2415.96
727.71	758.9	2477.52
727.81	758.8	2542.49
727.91	758.7	2524.97
728.01	758.6	2507.79
728.11	758.5	2504.01
728.21	758.4	2559.28
728.31	758.3	2515.28
728.41	758.2	2506.24
728.51	758.1	2526.43
728.61	758	2555.95
728.71	757.9	2583.96
728.81	757.8	2519.92
728.91	757.7	2545.81
729.01	757.6	2531.93
729.11	757.5	2543
729.21	757.4	2565.67
729.31	757.3	2507.67
729.41	757.2	2519.05
729.51	757.1	2500.79
729.61	757	2614.27
729.71	756.9	2556.98
729.81	756.8	2554.87
729.91	756.7	2506.72
730.01	756.6	2487.72
730.11	756.5	2458.98
730.21	756.4	2576.36
730.31	756.3	2495.76
730.41	756.2	2487.54
730.51	756.1	2547.14
730.61	756	2600.06
730.71	755.9	2598.25
730.81	755.8	2561.18
730.91	755.7	2532.99
731.01	755.6	2656.37
731.11	755.5	2614.26
731.21	755.4	2534.18
731.31	755.3	2478.74
731.41	755.2	2589.29
731.51	755.1	2602.11
731.61	755	2573.81
731.71	754.9	2558.33
731.81	754.8	2602.26
731.91	754.7	2531
732.01	754.6	2576.56
732.11	754.5	2613.93
732.21	754.4	2601.07
732.31	754.3	2684.41
732.41	754.2	2602.93
732.51	754.1	2566.78
732.61	754	2639.22
732.71	753.9	2623.67
732.81	753.8	2623.78
732.91	753.7	2587.04
733.01	753.6	2620.7
733.11	753.5	2577.48
733.21	753.4	2586.66
733.31	753.3	2614.33
733.41	753.2	2642.18
733.51	753.1	2571.85
733.61	753	2589.73
733.71	752.9	2596.66
733.81	752.8	2594.21
733.91	752.7	2633.62
734.01	752.6	2657.88
734.11	752.5	2641.65
734.21	752.4	2582.32
734.31	752.3	2633.46
734.41	752.2	2565.28
734.51	752.1	2600.57
734.61	752	2611.2
734.71	751.9	2602.83
734.81	751.8	2595.05
734.91	751.7	2654.49
735.01	751.6	2597.49
735.11	751.5	2567.86
735.21	751.4	2602.85
735.31	751.3	2563.7
735.41	751.2	2559.59
735.51	751.1	2619.03
735.61	751	2634.7
735.71	750.9	2550.47
735.81	750.8	2628.65
735.91	750.7	2680.24
736.01	750.6	2658.46
736.11	750.5	2606.98
736.21	750.4	2599.98
736.31	750.3	2640.49
736.41	750.2	2628.41
736.51	750.1	2602.82
736.61	750	2653.41
736.71	749.9	2653.33
736.81	749.8	2615.81
736.91	749.7	2626.32
737.01	749.6	2604.24
737.11	749.5	2646.87
737.21	749.4	2627.35
737.31	749.3	2656.64
737.41	749.2	2613.04
737.51	749.1	2665
737.61	749	2627.4
737.71	748.9	2612.51
737.81	748.8	2601.69
737.91	748.7	2641.06
738.01	748.6	2626.31
738.11	748.5	2620.38
738.21	748.4	2591.6
738.31	748.3	2673.15
738.41	748.2	2723.07
738.51	748.1	2693.14
738.61	748	2669.32
738.71	747.9	2625.17
738.81	747.8	2648.2
738.91	747.7	2643.9
739.01	747.6	2649.45
739.11	747.5	2697.81
739.21	747.4	2694.92
739.31	747.3	2695.84
739.41	747.2	2668.28
739.51	747.1	2766.46
739.61	747	2646.3
739.71	746.9	2628.63
739.81	746.8	2648.4
739.91	746.7	2619.25
740.01	746.6	2614.65
740.11	746.5	2625.09
740.21	746.4	2620.52
740.31	746.3	2617.67
740.41	746.2	2632.84
740.51	746.1	2644.5
740.61	746	2657.76
740.71	745.9	2676.05
740.81	745.8	2662.08
740.91	745.7	2682.85
741.01	745.6	2701.39
741.11	745.5	2698.87
741.21	745.4	2709.75
741.31	745.3	2674.41
741.41	745.2	2673.36
741.51	745.1	2680.8
741.61	745	2744.46
741.71	744.9	2675.08
741.81	744.8	2641.82
741.91	744.7	2648.36
742.01	744.6	2639.28
742.11	744.5	2674.09
742.21	744.4	2750.93
742.31	744.3	2680.59
742.41	744.2	2746.1
742.51	744.1	2697.68
742.61	744	2626.9
742.71	743.9	2685.85
742.81	743.8	2716.88
742.91	743.7	2699.94
743.01	743.6	2668.6
743.11	743.5	2732.37
743.21	743.4	2752.62
743.31	743.3	2695.2
743.41	743.2	2646.9
743.51	743.1	2745.48
743.61	743	2754.55
743.71	742.9	2678.83
743.81	742.8	2707.05
743.91	742.7	2684.44
744.01	742.6	2719.58
744.11	742.5	2723.72
744.21	742.4	2665.19
744.31	742.3	2650.22
744.41	742.2	2722.35
744.51	742.1	2759.01
744.61	742	2706.74
744.71	741.9	2702.66
744.81	741.8	2730.98
744.91	741.7	2731.93
745.01	741.6	2720.14
745.11	741.5	2664.87
745.21	741.4	2718.12
745.31	741.3	2727
745.41	741.2	2713.43
745.51	741.1	2790.57
745.61	741	2709.45
745.71	740.9	2782.4
745.81	740.8	2783.64
745.91	740.7	2817.52
746.01	740.6	2794.25
746.11	740.5	2730.46
746.21	740.4	2646.19
746.31	740.3	2681.21
746.41	740.2	2671.46
746.51	740.1	2661.75
746.61	740	2672.84
746.71	739.9	2682.02
746.81	739.8	2702.74
746.91	739.7	2730.21
747.01	739.6	2755.57
747.11	739.5	2760.19
747.21	739.4	2728.62
747.31	739.3	2767.49
747.41	739.2	2743.96
747.51	739.1	2696.88
747.61	739	2773.53
747.71	738.9	2681.7
747.81	738.8	2764.61
747.91	738.7	2712.67
748.01	738.6	2668.03
748.11	738.5	2726.5
748.21	738.4	2780.08
748.31	738.3	2690.77
748.41	738.2	2704.23
748.51	738.1	2753.85
748.61	738	2688.35
748.71	737.9	2762.97
748.81	737.8	2733.25
748.91	737.7	2701.57
749.01	737.6	2722
749.11	737.5	2786.17
749.21	737.4	2753.78
749.31	737.3	2739.06
749.41	737.2	2724.05
749.51	737.1	2642.7
749.61	737	2668.05
749.71	736.9	2696.45
749.81	736.8	2679.65
749.91	736.7	2699.6
