EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey
660.11	826.5	10550.3
660.61	826	10517.6
661.11	825.5	10675.8
661.61	825	10757.8
662.11	824.5	10859.7
662.61	824	10854.8
663.11	823.5	10529.8
663.61	823	10735.2
664.11	822.5	10875.8
664.61	822	11064.9
665.11	821.5	10624.7
665.61	821	10808.8
666.11	820.5	10979.2
666.61	820	10967.8
667.11	819.5	10809
667.61	819	10793.4
668.11	818.5	10801
668.61	818	10988.9
669.11	817.5	10774.1
669.61	817	11036.5
670.11	816.5	10885.9
670.61	816	11321.1
671.11	815.5	11305.3
671.61	815	11215.9
672.11	814.5	11041.8
672.61	814	11006.5
673.11	813.5	11065.9
673.61	813	10739.2
674.11	812.5	10874.9
674.61	812	11059.3
675.11	811.5	11020.3
675.61	811	11128.1
676.11	810.5	11414
676.61	810	11628.2
677.11	809.5	11707.7
677.61	809	11730.3
678.11	808.5	11549.1
678.61	808	11406.9
679.11	807.5	11425.6
679.61	807	11496.9
680.11	806.5	11356.1
680.61	806	11384.2
681.11	805.5	11495.4
681.61	805	11749.6
682.11	804.5	11103.6
682.61	804	11325.3
683.11	803.5	11599.2
683.61	803	11699.3
684.11	802.5	11651.5
684.61	802	11701.5
685.11	801.5	11719.7
685.61	801	11769.3
686.11	800.5	11781.2
686.61	800	11849.2
687.11	799.5	11697.8
687.61	799	11849.6
688.11	798.5	12106.1
688.61	798	12293.2
689.11	797.5	12161.2
689.61	797	11699.1
690.11	796.5	11986.2
690.61	796	11905.5
691.11	795.5	12051.9
691.61	795	11966.3
692.11	794.5	12022.2
692.61	794	12124.8
693.11	793.5	12243.8
693.61	793	12213.3
694.11	792.5	12124.2
694.61	792	12362.2
695.11	791.5	12164.1
695.61	791	11993
696.11	790.5	12127.5
696.61	790	12331.4
697.11	789.5	12510.9
697.61	789	12433.5
698.11	788.5	12465.8
698.61	788	12962.4
699.11	787.5	12566.9
699.61	787	12443.8
700.11	786.5	12763.5
700.61	786	12459.8
701.11	785.5	13001
701.61	785	12673
702.11	784.5	12637.2
702.61	784	12361.8
703.11	783.5	12559.7
703.61	783	12617.7
704.11	782.5	12697.9
704.61	782	12646.4
705.11	781.5	12728.4
705.61	781	12518.8
706.11	780.5	12923.8
706.61	780	12896.4
707.11	779.5	12980.5
707.61	779	13089.9
708.11	778.5	13101.6
708.61	778	13035.5
709.11	777.5	13252.8
709.61	777	13176.8
710.11	776.5	13298.5
710.61	776	13520.9
711.11	775.5	13204.3
711.61	775	13209.1
712.11	774.5	13522
712.61	774	13457.5
713.11	773.5	13420.2
713.61	773	13333.9
714.11	772.5	13256
714.61	772	13041.5
715.11	771.5	13277.3
715.61	771	13506.3
716.11	770.5	13200.1
716.61	770	12979.7
717.11	769.5	13298.8
717.61	769	13562.9
718.11	768.5	13462.6
718.61	768	13523.6
719.11	767.5	13694.8
719.61	767	13745.9
720.11	766.5	13996.5
720.61	766	14166
