EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey
662.11	824.5	12834.4
662.61	824	12893.3
663.11	823.5	13106.7
663.61	823	13346.4
664.11	822.5	12948.5
664.61	822	12904.5
665.11	821.5	13139.2
665.61	821	12923.1
666.11	820.5	13144.8
666.61	820	13315.7
667.11	819.5	13218.4
667.61	819	13097.9
668.11	818.5	13187.6
668.61	818	12701.8
669.11	817.5	12915.6
669.61	817	13437.3
670.11	816.5	13000.4
670.61	816	13357.9
671.11	815.5	13442.9
671.61	815	13440.4
672.11	814.5	13300.5
672.61	814	13371.9
673.11	813.5	13391
673.61	813	13481
674.11	812.5	13169.8
674.61	812	13266.4
675.11	811.5	13359.7
675.61	811	13704.7
676.11	810.5	13394.6
676.61	810	13175.6
677.11	809.5	13619.5
677.61	809	13525.1
678.11	808.5	13724.3
678.61	808	13373.6
679.11	807.5	13410.3
679.61	807	13619.3
680.11	806.5	13655.5
680.61	806	13538.6
681.11	805.5	13415.3
681.61	805	13519.2
682.11	804.5	13755.7
682.61	804	13552.9
683.11	803.5	13741.4
683.61	803	13835
684.11	802.5	13763.3
684.61	802	13448.5
685.11	801.5	13832.7
685.61	801	13751
686.11	800.5	13882.4
686.61	800	14125.3
687.11	799.5	14081.8
687.61	799	14213.4
688.11	798.5	13863.1
688.61	798	14086
689.11	797.5	14171.7
689.61	797	14251.2
690.11	796.5	14252.5
690.61	796	14457.6
691.11	795.5	14504
691.61	795	14227.8
692.11	794.5	14306.6
692.61	794	14500.5
693.11	793.5	14685.5
693.61	793	14648.2
694.11	792.5	14525.1
694.61	792	14390.4
695.11	791.5	14680.5
695.61	791	14240.9
696.11	790.5	14279.9
696.61	790	14421.6
697.11	789.5	14614.4
697.61	789	14797.5
698.11	788.5	14730.9
698.61	788	14574.2
699.11	787.5	14747.5
699.61	787	14948.7
700.11	786.5	14997.4
700.61	786	14715.6
701.11	785.5	15051.8
701.61	785	14853.2
702.11	784.5	14648.7
702.61	784	14728.6
703.11	783.5	14715
703.61	783	14812.3
704.11	782.5	15088.6
704.61	782	15327.6
705.11	781.5	15143.8
705.61	781	14983.9
706.11	780.5	15051.5
706.61	780	15105.4
707.11	779.5	14995.7
707.61	779	15348.4
708.11	778.5	15041
708.61	778	15209.2
709.11	777.5	15371.3
709.61	777	15665.5
710.11	776.5	15699
710.61	776	15424.1
711.11	775.5	15742.8
711.61	775	15776
712.11	774.5	15784.7
712.61	774	15884.7
713.11	773.5	16059.5
713.61	773	16392.9
714.11	772.5	16074.4
714.61	772	16111.6
715.11	771.5	16334.9
715.61	771	16169
716.11	770.5	16635.5
716.61	770	16714.7
717.11	769.5	16943.1
717.61	769	17204.8
718.11	768.5	17566.1
718.61	768	17935.5
719.11	767.5	18173.9
719.61	767	18193.6
720.11	766.5	18964.4
720.61	766	19565.8
721.11	765.5	19996.3
721.61	765	20588.8
722.11	764.5	21194.7
722.61	764	21681.5
723.11	763.5	22379.5
723.61	763	22626.5
724.11	762.5	23427.6
724.61	762	23567.4
725.11	761.5	23328.3
725.61	761	23654.7
726.11	760.5	22677.9
726.61	760	22127.4
727.11	759.5	21472.4
727.61	759	20419.7
728.11	758.5	19538.5
728.61	758	19015.9
729.11	757.5	18097.2
729.61	757	17548
730.11	756.5	16935.6
730.61	756	16514.8
731.11	755.5	15853.1
731.61	755	15273
732.11	754.5	14999.5
732.61	754	14932.3
733.11	753.5	14567.7
733.61	753	14631.5
734.11	752.5	14110.5
734.61	752	14010.7
735.11	751.5	13809.7
735.61	751	13896.5
736.11	750.5	13363.4
736.61	750	13753.9
737.11	749.5	13564.3
737.61	749	12945.7
738.11	748.5	12838.4
738.61	748	13062.9
739.11	747.5	13157.2
739.61	747	12984.5
740.11	746.5	12838.8
740.61	746	12597.8
741.11	745.5	12563.4
741.61	745	12792.2
742.11	744.5	13084.4
742.61	744	12679.3
743.11	743.5	12639
743.61	743	12389.1
744.11	742.5	12214.7
744.61	742	12423.7
745.11	741.5	12450.2
745.61	741	12562.7
746.11	740.5	12374.1
746.61	740	12415.8
747.11	739.5	12605.2
747.61	739	12363
748.11	738.5	12362
748.61	738	12468
749.11	737.5	12360
749.61	737	12127.9
750.11	736.5	12380.7
750.61	736	12742.5
751.11	735.5	12623.4
751.61	735	12142.8
752.11	734.5	12482
752.61	734	12565.6
753.11	733.5	12437.8
753.61	733	12976.7
754.11	732.5	12738.9
754.61	732	12684.5
755.11	731.5	12242.1
755.61	731	12315.8
756.11	730.5	12176
756.61	730	12693
757.11	729.5	12612.9
757.61	729	12500.3
758.11	728.5	12489.8
758.61	728	12530.3
759.11	727.5	12498.9
759.61	727	12604.4
760.11	726.5	12774.2
760.61	726	12732
761.11	725.5	12562.7
761.61	725	12417.6
762.11	724.5	13089.1
762.61	724	12860.2
763.11	723.5	13166.5
763.61	723	12452.9
764.11	722.5	12716.1
764.61	722	12789.2
765.11	721.5	12973.3
765.61	721	13016.2
766.11	720.5	12877.7
766.61	720	12835.9
767.11	719.5	13067.8
767.61	719	13094.6
768.11	718.5	12902.4
768.61	718	12656.1
769.11	717.5	12734.2
769.61	717	12861
770.11	716.5	12973.7
770.61	716	13248.4
771.11	715.5	12911.7
771.61	715	13159.2
772.11	714.5	13352.7
772.61	714	13473.4
773.11	713.5	13149.7
773.61	713	12937.8
774.11	712.5	13045.2
774.61	712	13454.2
775.11	711.5	13530
775.61	711	13263.4
776.11	710.5	13345.8
776.61	710	13351.1
777.11	709.5	13362.8
777.61	709	13235.3
778.11	708.5	13820.8
778.61	708	13308.9
779.11	707.5	12992.9
779.61	707	13544.1
780.11	706.5	13718.7
780.61	706	13787.8
781.11	705.5	13446.8
781.61	705	13606
782.11	704.5	13305.6
782.61	704	13669.6
783.11	703.5	13948.9
783.61	703	13628
784.11	702.5	13584.7
784.61	702	13665.6
785.11	701.5	13963.2
785.61	701	13794.5
786.11	700.5	13969.3
786.61	700	13430.5
787.11	699.5	13927.6
787.61	699	13883
788.11	698.5	13710.2
788.61	698	14175.5
789.11	697.5	14027.1
789.61	697	14326.9
790.11	696.5	14308.1
790.61	696	13946.9
791.11	695.5	13901.9
791.61	695	14026.3
792.11	694.5	13582.9
792.61	694	14435.2
793.11	693.5	14354.8
793.61	693	14385.6
794.11	692.5	14319
794.61	692	14156.1
795.11	691.5	14431.8
795.61	691	14373.9
796.11	690.5	14358.7
796.61	690	15095.1
797.11	689.5	14637.7
797.61	689	14491
798.11	688.5	14718.4
798.61	688	14567
799.11	687.5	14639.7
799.61	687	15026.9
800.11	686.5	14806
800.61	686	14696.2
801.11	685.5	14691.3
801.61	685	15207.1
802.11	684.5	14746.6
802.61	684	14947.8
803.11	683.5	14926.3
803.61	683	14794.8
804.11	682.5	15129.9
804.61	682	15300
805.11	681.5	14841.6
805.61	681	14976.3
806.11	680.5	15082.4
806.61	680	15197.6
807.11	679.5	15117.3
807.61	679	15197.8
808.11	678.5	14927.6
808.61	678	15156.9
809.11	677.5	15631.1
809.61	677	15228.3
810.11	676.5	15370.2
810.61	676	15587.8
811.11	675.5	15782.8
811.61	675	15949.6
812.11	674.5	15362
812.61	674	15801.5
813.11	673.5	15766.3
813.61	673	15687.5
814.11	672.5	15955.3
814.61	672	16034.4
815.11	671.5	16126.8
815.61	671	16037.3
816.11	670.5	16211.5
816.61	670	16107.3
817.11	669.5	16042.8
817.61	669	15990.3
818.11	668.5	16086.7
818.61	668	15888.6
819.11	667.5	15641.1
819.61	667	16136.7
820.11	666.5	15895.5
820.61	666	16130.1
821.11	665.5	16389.4
821.61	665	16491.5
822.11	664.5	16107.5
822.61	664	16166.5
823.11	663.5	16584.3
823.61	663	15765.8
824.11	662.5	16022
824.61	662	16345.3
825.11	661.5	16803.8
825.61	661	16428
826.11	660.5	16752
826.61	660	16575.3
827.11	659.5	16792.9
827.61	659	16646.3
828.11	658.5	16704.9
828.61	658	17295.6
829.11	657.5	17086.4
829.61	657	17031.6
830.11	656.5	17088.7
830.61	656	17349.1
831.11	655.5	17517.2
831.61	655	17342.3
832.11	654.5	17492.2
832.61	654	17964.4
833.11	653.5	17997.1
833.61	653	17931
834.11	652.5	18085
834.61	652	18478.8
835.11	651.5	18314
835.61	651	18598.4
836.11	650.5	18684.2
836.61	650	19389.6
837.11	649.5	19699.5
837.61	649	20344.4
838.11	648.5	20598.8
838.61	648	21177.4
839.11	647.5	21786.8
839.61	647	22484
840.11	646.5	23415.6
840.61	646	24377
841.11	645.5	25407.5
841.61	645	26207.7
842.11	644.5	27518.7
842.61	644	28835.3
843.11	643.5	29121.5
843.61	643	29932.2
844.11	642.5	30360.9
844.61	642	29874.6
845.11	641.5	28856.2
845.61	641	27847.2
846.11	640.5	27006
846.61	640	25851.9
847.11	639.5	24074.6
847.61	639	22769.7
848.11	638.5	21295.8
848.61	638	20204.9
849.11	637.5	19543.4
849.61	637	19021.4
850.11	636.5	18260
850.61	636	17557.2
851.11	635.5	16239.7
851.61	635	16440.5
852.11	634.5	16130.2
852.61	634	15964.5
853.11	633.5	15329.7
853.61	633	14819.5
854.11	632.5	14552.5
854.61	632	14122.1
855.11	631.5	14080.5
855.61	631	14105.2
856.11	630.5	13948.5
856.61	630	13662.5
857.11	629.5	13737.3
857.61	629	14035.1
858.11	628.5	13395.5
858.61	628	13610.8
859.11	627.5	13607.4
859.61	627	13201
860.11	626.5	13565.5
860.61	626	13432.4
861.11	625.5	13410
861.61	625	13573.7
862.11	624.5	13541.9
862.61	624	13206.9
863.11	623.5	13150.9
863.61	623	13229.6
864.11	622.5	13156
864.61	622	13462.9
865.11	621.5	13267.5
865.61	621	13196.6
866.11	620.5	13449.3
866.61	620	13726.7
867.11	619.5	13276.9
867.61	619	13519.5
868.11	618.5	13551.4
868.61	618	13310.9
869.11	617.5	13521
869.61	617	13208.8
870.11	616.5	13482
870.61	616	13201
871.11	615.5	13256.5
871.61	615	13365
872.11	614.5	13337.4
872.61	614	13687.4
873.11	613.5	13495.2
873.61	613	13899.7
874.11	612.5	14292.3
874.61	612	14036.9
875.11	611.5	13378.7
875.61	611	13539.4
876.11	610.5	13629.2
876.61	610	13533.3
877.11	609.5	13862.2
877.61	609	13861.6
878.11	608.5	13540.6
878.61	608	13708.3
879.11	607.5	13472.5
879.61	607	13708
880.11	606.5	13878.5
880.61	606	14042.5
881.11	605.5	14277.3
881.61	605	14121.3
882.11	604.5	13790.5
882.61	604	14230.9
883.11	603.5	14281.5
883.61	603	13848.6
884.11	602.5	14028.8
884.61	602	14095.2
885.11	601.5	14397.2
885.61	601	14002.3
