c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.7
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
710.71	775.9	3931.11
710.81	775.8	3865.44
710.91	775.7	3762.99
711.01	775.6	3719.23
711.11	775.5	3739.84
711.21	775.4	3887.97
711.31	775.3	3798.18
711.41	775.2	3882.54
711.51	775.1	3973.04
711.61	775	3925.23
711.71	774.9	3735.34
711.81	774.8	3857.82
711.91	774.7	3806.49
712.01	774.6	3808
712.11	774.5	3914.26
712.21	774.4	3861.75
712.31	774.3	3986.95
712.41	774.2	3845.92
712.51	774.1	3983.17
712.61	774	3890.48
712.71	773.9	3757.21
712.81	773.8	3902.75
712.91	773.7	3919.3
713.01	773.6	3922.87
713.11	773.5	4086.26
713.21	773.4	3896.53
713.31	773.3	3882.53
713.41	773.2	3960.16
713.51	773.1	3761.7
713.61	773	3884.1
713.71	772.9	4123.42
713.81	772.8	4048.05
713.91	772.7	3797.62
714.01	772.6	3768.42
714.11	772.5	3957.6
714.21	772.4	3972.18
714.31	772.3	3862.7
714.41	772.2	3963
714.51	772.1	3889.46
714.61	772	3958.52
714.71	771.9	4118.33
714.81	771.8	3947.82
714.91	771.7	3903.89
715.01	771.6	3869.82
715.11	771.5	3862.97
715.21	771.4	3965.79
715.31	771.3	4054.73
715.41	771.2	4109.03
715.51	771.1	3948.94
715.61	771	3900.83
715.71	770.9	4024.34
715.81	770.8	3952.37
715.91	770.7	3883.9
716.01	770.6	3860.98
716.11	770.5	3992.8
716.21	770.4	4027.94
716.31	770.3	4003.22
716.41	770.2	3795.37
716.51	770.1	3986.08
716.61	770	4005.66
716.71	769.9	4011.02
716.81	769.8	4095.62
716.91	769.7	4068.72
717.01	769.6	4041.25
717.11	769.5	3780.84
717.21	769.4	3962.47
717.31	769.3	4073.77
717.41	769.2	4020.34
717.51	769.1	4171.97
717.61	769	4080.67
717.71	768.9	4103.08
717.81	768.8	3978.09
717.91	768.7	3921.27
718.01	768.6	4029.64
718.11	768.5	3916.49
718.21	768.4	3897.04
718.31	768.3	3930.58
718.41	768.2	4050.79
718.51	768.1	3835.36
718.61	768	3952.53
718.71	767.9	4020.14
718.81	767.8	3860.46
718.91	767.7	3995.01
719.01	767.6	3981.08
719.11	767.5	4028.51
719.21	767.4	3956.25
719.31	767.3	3787.6
719.41	767.2	4020.16
719.51	767.1	3898.57
719.61	767	4051.62
719.71	766.9	3937.86
719.81	766.8	3800.66
719.91	766.7	3927.86
720.01	766.6	4032.24
720.11	766.5	3962.94
720.21	766.4	3998.66
720.31	766.3	3962.36
720.41	766.2	4074.5
720.51	766.1	4066.98
720.61	766	3991.48
720.71	765.9	3799.8
720.81	765.8	4072.63
720.91	765.7	4086.77
721.01	765.6	4220.38
721.11	765.5	4070.49
721.21	765.4	3924.59
721.31	765.3	3842.21
721.41	765.2	3981.15
