c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
680.71	805.9	3221.82
680.81	805.8	3232.97
680.91	805.7	3161.01
681.01	805.6	3026.86
681.11	805.5	3036.51
681.21	805.4	3026.1
681.31	805.3	3016.2
681.41	805.2	3121.35
681.51	805.1	3070.04
681.61	805	3115.44
681.71	804.9	3143.09
681.81	804.8	3136.33
681.91	804.7	3116.98
682.01	804.6	3047.62
682.11	804.5	3128.27
682.21	804.4	3266.92
682.31	804.3	3162.76
682.41	804.2	3050.11
682.51	804.1	3108.1
682.61	804	3182.45
682.71	803.9	3262.19
682.81	803.8	3257.34
682.91	803.7	3157.93
683.01	803.6	3209.68
683.11	803.5	3129.02
683.21	803.4	3203.17
683.31	803.3	3167.76
683.41	803.2	3132.86
683.51	803.1	3196.3
683.61	803	3254.1
683.71	802.9	3225.89
683.81	802.8	3169.03
683.91	802.7	3122.13
684.01	802.6	3081.37
684.11	802.5	3152.51
684.21	802.4	3036.56
684.31	802.3	3203.15
684.41	802.2	3151.45
684.51	802.1	3073.54
684.61	802	3104.03
684.71	801.9	3160.48
684.81	801.8	3192.72
684.91	801.7	3066.46
685.01	801.6	3164.2
685.11	801.5	3156.1
685.21	801.4	3238.54
685.31	801.3	3269.98
685.41	801.2	3092.87
685.51	801.1	3044.72
685.61	801	3162.76
685.71	800.9	3244.3
685.81	800.8	3187.49
685.91	800.7	3107.63
686.01	800.6	3139.38
686.11	800.5	3171.47
686.21	800.4	3262.51
686.31	800.3	3226.1
686.41	800.2	3280.54
686.51	800.1	3202.58
686.61	800	3167.12
686.71	799.9	3301.61
686.81	799.8	3198.9
686.91	799.7	3142.84
687.01	799.6	3199.19
687.11	799.5	3221.98
687.21	799.4	3232.67
687.31	799.3	3184.81
687.41	799.2	3114.1
687.51	799.1	3161.44
687.61	799	3213.38
687.71	798.9	3253.62
687.81	798.8	3222.3
687.91	798.7	3189.39
688.01	798.6	3169.13
688.11	798.5	3271.42
688.21	798.4	3220.66
688.31	798.3	3226.15
688.41	798.2	3312.84
