c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Au4f	BE_Au4f	CPS_Au4f
1334.11	152.5	9535.21
1334.21	152.4	9633.17
1334.31	152.3	9508.48
1334.41	152.2	9525.41
1334.51	152.1	9623.45
1334.61	152	9660.52
1334.71	151.9	9654.17
1334.81	151.8	9650.55
1334.91	151.7	9614.97
1335.01	151.6	9625.97
1335.11	151.5	9699.07
1335.21	151.4	9696.72
1335.31	151.3	9569.24
1335.41	151.2	9582.14
1335.51	151.1	9607.62
1335.61	151	9712.14
1335.71	150.9	9625.93
1335.81	150.8	9708.28
1335.91	150.7	9621.17
1336.01	150.6	9694.59
1336.11	150.5	9688.62
1336.21	150.4	9704.93
1336.31	150.3	9661.66
1336.41	150.2	9708.86
1336.51	150.1	9713.07
1336.61	150	9756.34
1336.71	149.9	9719.66
1336.81	149.8	9694.59
1336.91	149.7	9669.66
1337.01	149.6	9808.07
1337.11	149.5	9687.07
1337.21	149.4	9717.03
1337.31	149.3	9764
1337.41	149.2	9801.28
1337.51	149.1	9686.07
1337.61	149	9779.24
1337.71	148.9	9731.45
1337.81	148.8	9727.41
1337.91	148.7	9729.41
1338.01	148.6	9720.76
1338.11	148.5	9700.38
1338.21	148.4	9735.34
1338.31	148.3	9828.79
1338.41	148.2	9734.72
1338.51	148.1	9760.86
1338.61	148	9776.9
1338.71	147.9	9787.07
1338.81	147.8	9788.66
1338.91	147.7	9715.79
1339.01	147.6	9777.48
1339.11	147.5	9819.28
1339.21	147.4	9734.41
1339.31	147.3	9781.45
1339.41	147.2	9794.62
1339.51	147.1	9828.21
1339.61	147	9848.21
1339.71	146.9	9751.31
1339.81	146.8	9823.21
1339.91	146.7	9754.93
1340.01	146.6	9724.45
1340.11	146.5	9732.45
1340.21	146.4	9794.45
1340.31	146.3	9788.41
1340.41	146.2	9796.69
1340.51	146.1	9847.28
1340.61	146	9908
1340.71	145.9	9798.41
1340.81	145.8	9833.28
1340.91	145.7	9844.76
1341.01	145.6	9835.07
1341.11	145.5	9877.45
1341.21	145.4	9906.62
1341.31	145.3	9903.34
1341.41	145.2	9799.48
1341.51	145.1	9854.76
1341.61	145	9873.76
1341.71	144.9	9864.03
1341.81	144.8	9899.28
1341.91	144.7	9817.62
1342.01	144.6	9873.69
1342.11	144.5	9913.66
1342.21	144.4	9931.52
1342.31	144.3	9946.76
1342.41	144.2	9938.72
1342.51	144.1	9934.55
1342.61	144	9936.17
1342.71	143.9	9912.34
