c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
710.61	776	2990.28
710.71	775.9	2989.94
710.81	775.8	3058.15
710.91	775.7	2999.57
711.01	775.6	3005.72
711.11	775.5	3082.06
711.21	775.4	3143.48
711.31	775.3	3098.52
711.41	775.2	3111.11
711.51	775.1	3044.87
711.61	775	3012.98
711.71	774.9	3082.98
711.81	774.8	3073.33
711.91	774.7	3100.78
712.01	774.6	3082.96
712.11	774.5	3011.21
712.21	774.4	3022
712.31	774.3	3036.31
712.41	774.2	3039.11
712.51	774.1	3039.39
712.61	774	2994.39
712.71	773.9	3081.46
712.81	773.8	3098.85
712.91	773.7	3076.23
713.01	773.6	3018.61
713.11	773.5	3020.51
713.21	773.4	3041.23
713.31	773.3	3007.89
713.41	773.2	3034.86
713.51	773.1	3009.07
713.61	773	3042.93
713.71	772.9	3027.72
713.81	772.8	3067.83
713.91	772.7	3075.11
714.01	772.6	3081.21
714.11	772.5	3094.63
714.21	772.4	3133.63
714.31	772.3	3033.77
714.41	772.2	3036.52
714.51	772.1	3133.49
714.61	772	3118.97
714.71	771.9	3020.56
714.81	771.8	3049.28
714.91	771.7	3049.53
715.01	771.6	2995.91
715.11	771.5	3040.9
715.21	771.4	3075.77
715.31	771.3	3081.35
715.41	771.2	3053.39
715.51	771.1	3057.28
715.61	771	3068.28
715.71	770.9	3163
715.81	770.8	3119.35
715.91	770.7	3099.17
716.01	770.6	3049.31
716.11	770.5	3099.52
716.21	770.4	3152.93
716.31	770.3	3088.79
716.41	770.2	3061.79
716.51	770.1	3115.34
716.61	770	3122.58
716.71	769.9	3066.33
716.81	769.8	3069.12
716.91	769.7	3104.95
717.01	769.6	3091.91
717.11	769.5	3036.87
717.21	769.4	2994.15
717.31	769.3	3041.04
717.41	769.2	3097.42
717.51	769.1	3124
717.61	769	3125.51
717.71	768.9	3054.82
717.81	768.8	3060.68
717.91	768.7	3057.23
718.01	768.6	3195.22
718.11	768.5	3096.7
718.21	768.4	3081.21
718.31	768.3	3184.28
718.41	768.2	3088.52
718.51	768.1	3120.27
718.61	768	3162.71
718.71	767.9	3082.5
718.81	767.8	3169.19
718.91	767.7	3155.46
719.01	767.6	3156.18
719.11	767.5	3065.38
719.21	767.4	3155.47
719.31	767.3	3142.74
719.41	767.2	3141.5
719.51	767.1	3188.39
719.61	767	3104.8
719.71	766.9	3113.89
719.81	766.8	3144.44
719.91	766.7	3172.67
720.01	766.6	3104.15
720.11	766.5	3148.76
720.21	766.4	3142.45
720.31	766.3	3103.44
720.41	766.2	3092.26
720.51	766.1	3193.25
720.61	766	3159.62
720.71	765.9	3120.03
720.81	765.8	3127.71
720.91	765.7	3205.36
721.01	765.6	3161.9
721.11	765.5	3115.03
721.21	765.4	3180.99
721.31	765.3	3155.67
721.41	765.2	3140.18
721.51	765.1	3063.69
721.61	765	3157.02
721.71	764.9	3200.12
721.81	764.8	3139.35
721.91	764.7	3171.34
722.01	764.6	3146.22
722.11	764.5	3091.18
722.21	764.4	3105.03
722.31	764.3	3191.47
722.41	764.2	3215.49
722.51	764.1	3111.35
722.61	764	3128.23
722.71	763.9	3232.53
722.81	763.8	3207.8
722.91	763.7	3192.34
723.01	763.6	3127.36
723.11	763.5	3168.59
723.21	763.4	3202.72
723.31	763.3	3187.36
723.41	763.2	3185.93
723.51	763.1	3114.92
723.61	763	3159.29
723.71	762.9	3141.17
723.81	762.8	3128.47
723.91	762.7	3235.8
724.01	762.6	3168
724.11	762.5	3188.09
724.21	762.4	3177.28
724.31	762.3	3139.86
724.41	762.2	3133.57
724.51	762.1	3181.62
724.61	762	3152.47
724.71	761.9	3117.52
724.81	761.8	3136.03
724.91	761.7	3156.36
725.01	761.6	3281.27
725.11	761.5	3150.67
725.21	761.4	3141.11
725.31	761.3	3136.78
725.41	761.2	3155.25
725.51	761.1	3166.96
725.61	761	3168.22
725.71	760.9	3158.38
725.81	760.8	3164.5
725.91	760.7	3171.34
726.01	760.6	3145.6
726.11	760.5	3214
726.21	760.4	3205.4
726.31	760.3	3183.66
726.41	760.2	3175.78
726.51	760.1	3188.31
726.61	760	3155.81
726.71	759.9	3070.69
726.81	759.8	3166.12
726.91	759.7	3201.18
727.01	759.6	3153.88
727.11	759.5	3222.73
727.21	759.4	3180.33
727.31	759.3	3163.17
