c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
680.71	805.9	2787.79
680.81	805.8	2705.94
680.91	805.7	2758.96
681.01	805.6	2675.48
681.11	805.5	2765.9
681.21	805.4	2744.29
681.31	805.3	2777.01
681.41	805.2	2751.03
681.51	805.1	2826.01
681.61	805	2781.6
681.71	804.9	2811.28
681.81	804.8	2669.7
681.91	804.7	2743.42
682.01	804.6	2854.71
682.11	804.5	2765.86
682.21	804.4	2734.38
682.31	804.3	2731.06
682.41	804.2	2825.25
682.51	804.1	2849.33
682.61	804	2705.85
682.71	803.9	2689.2
682.81	803.8	2733.72
682.91	803.7	2705.1
683.01	803.6	2644.19
683.11	803.5	2649.11
683.21	803.4	2782.89
683.31	803.3	2795.74
683.41	803.2	2735.13
683.51	803.1	2852.04
683.61	803	2865.33
683.71	802.9	2772.88
683.81	802.8	2700.76
683.91	802.7	2719.68
684.01	802.6	2715.86
684.11	802.5	2706.65
684.21	802.4	2733.43
684.31	802.3	2763.85
684.41	802.2	2772.2
684.51	802.1	2795.31
684.61	802	2767.53
684.71	801.9	2850.44
684.81	801.8	2709.69
684.91	801.7	2725.08
685.01	801.6	2731.63
685.11	801.5	2727.57
685.21	801.4	2766.16
685.31	801.3	2784.31
685.41	801.2	2703.46
685.51	801.1	2759.54
685.61	801	2742.19
685.71	800.9	2779.03
685.81	800.8	2818.78
685.91	800.7	2848.33
686.01	800.6	2781.21
686.11	800.5	2791.43
686.21	800.4	2734.84
686.31	800.3	2781.99
686.41	800.2	2761.71
686.51	800.1	2791.75
686.61	800	2775.9
686.71	799.9	2875.75
686.81	799.8	2726.53
686.91	799.7	2743.64
687.01	799.6	2750.52
687.11	799.5	2789.17
687.21	799.4	2810.35
687.31	799.3	2791.07
687.41	799.2	2801.91
687.51	799.1	2767.26
687.61	799	2755.21
687.71	798.9	2845.69
687.81	798.8	2835.27
687.91	798.7	2768.54
688.01	798.6	2729.06
688.11	798.5	2821.84
688.21	798.4	2777.48
688.31	798.3	2873.03
688.41	798.2	2880.51
688.51	798.1	2761.45
688.61	798	2816.47
688.71	797.9	2840.54
688.81	797.8	2831.86
688.91	797.7	2733.57
689.01	797.6	2812.58
689.11	797.5	2895.06
689.21	797.4	2889.64
689.31	797.3	2848.35
689.41	797.2	2793.69
689.51	797.1	2759
689.61	797	2791.92
689.71	796.9	2921.03
689.81	796.8	2826.47
689.91	796.7	2799.68
690.01	796.6	2806.09
690.11	796.5	2796.3
690.21	796.4	2783.05
690.31	796.3	2721.09
690.41	796.2	2752.93
690.51	796.1	2863.48
690.61	796	2869.25
690.71	795.9	2826.5
690.81	795.8	2791.17
690.91	795.7	2814.05
691.01	795.6	2820.43
691.11	795.5	2799.77
691.21	795.4	2771.05
691.31	795.3	2799.99
691.41	795.2	2920.4
691.51	795.1	2871.54
691.61	795	2710.75
691.71	794.9	2766.49
691.81	794.8	2763.8
691.91	794.7	2906.14
692.01	794.6	2805.55
692.11	794.5	2841.02
692.21	794.4	2754.47
692.31	794.3	2778.94
692.41	794.2	2859.31
692.51	794.1	2866.06
692.61	794	2732.26
692.71	793.9	2814.84
692.81	793.8	2780.34
692.91	793.7	2774.72
693.01	793.6	2778.66
693.11	793.5	2879.63
693.21	793.4	2866.91
693.31	793.3	2829.95
693.41	793.2	2832.29
693.51	793.1	2861.33
693.61	793	2851.27
693.71	792.9	2919.97
693.81	792.8	2885.35
693.91	792.7	2803.82
694.01	792.6	2806.16
694.11	792.5	2814.2
694.21	792.4	2925.84
694.31	792.3	2914.17
694.41	792.2	2818.18
694.51	792.1	2958.35
694.61	792	2946.56
694.71	791.9	2865.13
694.81	791.8	2812.97
694.91	791.7	2940
695.01	791.6	2882.78
695.11	791.5	2845.55
695.21	791.4	2860.08
695.31	791.3	2904.56
695.41	791.2	2896.66
695.51	791.1	2903.2
695.61	791	2937.2
695.71	790.9	2843.54
695.81	790.8	2841.71
695.91	790.7	2919.74
696.01	790.6	2862.21
696.11	790.5	2836.38
696.21	790.4	2858.49
696.31	790.3	2809.26
696.41	790.2	2855.53
696.51	790.1	2919.23
696.61	790	2873
696.71	789.9	2882.73
696.81	789.8	2905.04
696.91	789.7	2887.24
697.01	789.6	2868.97
697.11	789.5	2837.31
697.21	789.4	2816.78
697.31	789.3	2823.24
697.41	789.2	2901.68
697.51	789.1	2892.18
697.61	789	2941.85
697.71	788.9	2935.75
697.81	788.8	2892.72
697.91	788.7	2928.02
698.01	788.6	2897.62
698.11	788.5	2941.98
698.21	788.4	2844.85
698.31	788.3	2921.19
698.41	788.2	2829.35
698.51	788.1	2859.79
698.61	788	2896.22
698.71	787.9	2879.15
698.81	787.8	2931.85
698.91	787.7	2922.78
699.01	787.6	2905.98
699.11	787.5	2875.35
699.21	787.4	2850.18
699.31	787.3	2831.65
699.41	787.2	2888.51
699.51	787.1	2939.84
699.61	787	2843.81
699.71	786.9	2880.74
699.81	786.8	2953.8
699.91	786.7	2932.67
700.01	786.6	2928.97
700.11	786.5	2919.86
700.21	786.4	2884.29
700.31	786.3	2913.72
700.41	786.2	2901.19
700.51	786.1	2893.35
700.61	786	2832.75
700.71	785.9	2896.21
700.81	785.8	2930.64
700.91	785.7	2852.74
701.01	785.6	2941.53
701.11	785.5	2925.73
701.21	785.4	2912.59
701.31	785.3	2994.39
701.41	785.2	2925.55
701.51	785.1	2846.11
701.61	785	2869.01
701.71	784.9	2915.34
701.81	784.8	2928.1
701.91	784.7	2906.33
702.01	784.6	2879.72
702.11	784.5	2928.48
702.21	784.4	2862.58
702.31	784.3	2866.07
702.41	784.2	2938
702.51	784.1	2865.22
702.61	784	2905.98
702.71	783.9	2887.61
702.81	783.8	2970.07
702.91	783.7	3032.26
703.01	783.6	2967.69
703.11	783.5	2939.65
703.21	783.4	2941.44
703.31	783.3	2952.6
703.41	783.2	2911.49
703.51	783.1	3048.49
703.61	783	2993.45
703.71	782.9	2922.54
703.81	782.8	2934.1
703.91	782.7	2967.19
704.01	782.6	2863.08
704.11	782.5	2858.64
704.21	782.4	2828.16
704.31	782.3	2873.65
704.41	782.2	2922.31
704.51	782.1	2932.17
704.61	782	2902.53
704.71	781.9	2832.52
704.81	781.8	2864.07
704.91	781.7	2787.5
705.01	781.6	2854.55
705.11	781.5	2915.51
705.21	781.4	2897.9
705.31	781.3	2891.65
705.41	781.2	2933.21
705.51	781.1	2899.1
705.61	781	2824.12
705.71	780.9	2896.41
705.81	780.8	2849.36
705.91	780.7	2854.82
706.01	780.6	2842.51
706.11	780.5	2812.8
706.21	780.4	2807.12
706.31	780.3	2851.31
706.41	780.2	2871.29
706.51	780.1	2910.08
706.61	780	2859.2
706.71	779.9	2818.05
706.81	779.8	2906.17
706.91	779.7	2938.66
707.01	779.6	2953.35
707.11	779.5	2881.87
707.21	779.4	2925.99
707.31	779.3	2917.24
707.41	779.2	2895.26
707.51	779.1	2945.71
707.61	779	2859.7
707.71	778.9	2817.25
707.81	778.8	2772.2
707.91	778.7	2765.55
708.01	778.6	2769.3
708.11	778.5	2826.02
708.21	778.4	2807.51
708.31	778.3	2874.92
708.41	778.2	2880.41
708.51	778.1	2821.32
708.61	778	2830.77
708.71	777.9	2875.76
708.81	777.8	2880.47
708.91	777.7	2792.86
709.01	777.6	2735.74
709.11	777.5	2842.16
709.21	777.4	2870.41
709.31	777.3	2848.86
709.41	777.2	2872.2
709.51	777.1	2774.19
709.61	777	2835.13
709.71	776.9	2754.02
709.81	776.8	2789.83
709.91	776.7	2869.31
710.01	776.6	2844.19
710.11	776.5	2896.38
710.21	776.4	2862.22
710.31	776.3	2790.24
710.41	776.2	2821.22
710.51	776.1	2899.83
710.61	776	2865.81
710.71	775.9	2959.09
710.81	775.8	2953.24
710.91	775.7	2877.72
711.01	775.6	2869.83
711.11	775.5	2876.88
711.21	775.4	2906.85
711.31	775.3	2877.53
711.41	775.2	2906.05
711.51	775.1	2849.52
711.61	775	2859.07
711.71	774.9	2813.71
711.81	774.8	2809.52
711.91	774.7	2870
712.01	774.6	2863.85
712.11	774.5	2952.66
712.21	774.4	3036.77
712.31	774.3	2896.38
712.41	774.2	2900.35
712.51	774.1	2885.3
712.61	774	2911.51
712.71	773.9	2868.15
712.81	773.8	2889.59
712.91	773.7	2840.9
713.01	773.6	2861.98
713.11	773.5	2868.05
713.21	773.4	2892.53
713.31	773.3	2920.87
713.41	773.2	2840.18
713.51	773.1	2940.42
713.61	773	2939.43
713.71	772.9	2861.87
713.81	772.8	2918.78
713.91	772.7	2862.45
714.01	772.6	2846.79
714.11	772.5	2854.16
714.21	772.4	2922.9
714.31	772.3	2944.08
714.41	772.2	2966.38
714.51	772.1	2846.19
714.61	772	2821.03
714.71	771.9	2921.47
714.81	771.8	2974.34
714.91	771.7	3045.24
715.01	771.6	2906.88
715.11	771.5	2957.52
715.21	771.4	3011.26
715.31	771.3	2957.4
715.41	771.2	2933.77
715.51	771.1	2980.74
715.61	771	2825.11
715.71	770.9	2889.98
715.81	770.8	2995.08
715.91	770.7	2985.18
716.01	770.6	2931.92
716.11	770.5	2899.62
716.21	770.4	2954.23
716.31	770.3	2936.86
716.41	770.2	2958.5
716.51	770.1	2960.73
716.61	770	3012.3
716.71	769.9	3034.67
716.81	769.8	3061
716.91	769.7	3016.81
717.01	769.6	2920.77
717.11	769.5	2958.81
717.21	769.4	3012.34
717.31	769.3	3023.14
717.41	769.2	3029.14
717.51	769.1	3050.68
717.61	769	3087.81
717.71	768.9	3027.84
717.81	768.8	3013.04
717.91	768.7	2958.07
718.01	768.6	3106.77
718.11	768.5	3028.24
718.21	768.4	3078.27
718.31	768.3	3052.53
718.41	768.2	3062.73
718.51	768.1	3040.66
718.61	768	3014.83
718.71	767.9	3140.23
718.81	767.8	3075.39
718.91	767.7	3125.39
719.01	767.6	3109.02
719.11	767.5	3113.88
719.21	767.4	3163.48
719.31	767.3	3197.87
719.41	767.2	3126.24
719.51	767.1	3106.76
719.61	767	3205.43
719.71	766.9	3150.46
719.81	766.8	3197.05
719.91	766.7	3234.78
720.01	766.6	3206.11
720.11	766.5	3211
720.21	766.4	3216.36
720.31	766.3	3281.82
720.41	766.2	3254.72
720.51	766.1	3239.71
720.61	766	3311.1
720.71	765.9	3276.73
720.81	765.8	3400.59
720.91	765.7	3319.35
721.01	765.6	3348.04
721.11	765.5	3397.6
721.21	765.4	3317.03
721.31	765.3	3326.62
721.41	765.2	3308.24
721.51	765.1	3401.77
721.61	765	3479.23
721.71	764.9	3553.88
721.81	764.8	3371.24
721.91	764.7	3415.06
722.01	764.6	3409.92
722.11	764.5	3522.74
722.21	764.4	3487.87
722.31	764.3	3462.36
722.41	764.2	3560.08
722.51	764.1	3552
722.61	764	3435.89
722.71	763.9	3459.98
722.81	763.8	3612.07
722.91	763.7	3646.56
723.01	763.6	3608.78
723.11	763.5	3625.67
723.21	763.4	3661.82
723.31	763.3	3634.94
723.41	763.2	3688.36
723.51	763.1	3755.58
723.61	763	3674.57
723.71	762.9	3666.89
723.81	762.8	3671.61
723.91	762.7	3692.73
724.01	762.6	3770.88
724.11	762.5	3742.13
724.21	762.4	3769.38
724.31	762.3	3803.8
724.41	762.2	3636.95
724.51	762.1	3660.81
724.61	762	3664.76
724.71	761.9	3604.61
