c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
AgMNN (2)
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_AgMNN (2)	BE_AgMNN (2)	CPS_AgMNN (2)
364.31	1122.3	4571.71
364.41	1122.2	4472.14
364.51	1122.1	4527.75
364.61	1122	4522.54
364.71	1121.9	4477.43
364.81	1121.8	4501.64
364.91	1121.7	4473.79
365.01	1121.6	4401.68
365.11	1121.5	4398.89
365.21	1121.4	4503.11
365.31	1121.3	4466
365.41	1121.2	4399.5
365.51	1121.1	4471.11
365.61	1121	4440.43
365.71	1120.9	4386.04
365.81	1120.8	4361.75
365.91	1120.7	4349.46
366.01	1120.6	4421.21
366.11	1120.5	4404.96
366.21	1120.4	4425.18
366.31	1120.3	4385.04
366.41	1120.2	4369.32
366.51	1120.1	4297.14
366.61	1120	4317.07
366.71	1119.9	4261.32
366.81	1119.8	4335.25
366.91	1119.7	4345.04
367.01	1119.6	4393.04
367.11	1119.5	4329.07
367.21	1119.4	4326.14
367.31	1119.3	4391.32
367.41	1119.2	4421.54
367.51	1119.1	4361.04
367.61	1119	4362.29
367.71	1118.9	4272.5
367.81	1118.8	4307
367.91	1118.7	4336.61
368.01	1118.6	4355.14
368.11	1118.5	4344.43
368.21	1118.4	4299.39
368.31	1118.3	4308.25
368.41	1118.2	4292.39
368.51	1118.1	4344.89
368.61	1118	4343.64
368.71	1117.9	4294.75
368.81	1117.8	4270.75
368.91	1117.7	4298.29
369.01	1117.6	4359.29
369.11	1117.5	4353.93
369.21	1117.4	4287.04
369.31	1117.3	4302.71
369.41	1117.2	4284.57
369.51	1117.1	4297.46
369.61	1117	4258.54
369.71	1116.9	4270.25
369.81	1116.8	4195.5
369.91	1116.7	4240.96
370.01	1116.6	4247.64
370.11	1116.5	4297.29
370.21	1116.4	4289.89
370.31	1116.3	4261.32
370.41	1116.2	4232.75
370.51	1116.1	4269.43
370.61	1116	4272.61
370.71	1115.9	4253.43
370.81	1115.8	4241.21
370.91	1115.7	4232.25
371.01	1115.6	4271.46
371.11	1115.5	4264.07
371.21	1115.4	4264.18
371.31	1115.3	4279.71
371.41	1115.2	4237.79
371.51	1115.1	4256.18
371.61	1115	4233.04
371.71	1114.9	4260.5
371.81	1114.8	4300.64
371.91	1114.7	4263.96
372.01	1114.6	4285.21
372.11	1114.5	4246.93
372.21	1114.4	4231.43
372.31	1114.3	4269.57
372.41	1114.2	4266.07
372.51	1114.1	4297.29
372.61	1114	4261.71
372.71	1113.9	4248.71
372.81	1113.8	4204.11
372.91	1113.7	4204.04
373.01	1113.6	4227.18
373.11	1113.5	4224.61
373.21	1113.4	4250.21
373.31	1113.3	4222.64
373.41	1113.2	4252.25
373.51	1113.1	4238.14
373.61	1113	4203.04
373.71	1112.9	4282.75
373.81	1112.8	4275.64
373.91	1112.7	4227.46
374.01	1112.6	4248.57
374.11	1112.5	4198.89
374.21	1112.4	4242.71
374.31	1112.3	4218.18
374.41	1112.2	4269.25
374.51	1112.1	4293.54
374.61	1112	4247.29
374.71	1111.9	4268.43
374.81	1111.8	4256.57
374.91	1111.7	4233.93
375.01	1111.6	4198.29
375.11	1111.5	4262.04
375.21	1111.4	4234.71
375.31	1111.3	4242.71
375.41	1111.2	4209.36
375.51	1111.1	4255.07
375.61	1111	4225.07
375.71	1110.9	4236.18
375.81	1110.8	4255.79
375.91	1110.7	4239.61
376.01	1110.6	4236.54
376.11	1110.5	4256.11
376.21	1110.4	4230.79
376.31	1110.3	4193.18
376.41	1110.2	4237.61
376.51	1110.1	4250.79
376.61	1110	4271.75
376.71	1109.9	4228.96
376.81	1109.8	4252.5
376.91	1109.7	4259.18
377.01	1109.6	4230.61
377.11	1109.5	4303.64
377.21	1109.4	4244
377.31	1109.3	4295.96
377.41	1109.2	4234.25
377.51	1109.1	4271.21
377.61	1109	4271.68
377.71	1108.9	4235.25
377.81	1108.8	4244.93
377.91	1108.7	4273.64
378.01	1108.6	4249.11
378.11	1108.5	4228
378.21	1108.4	4258.32
378.31	1108.3	4246.11
378.41	1108.2	4296.89
378.51	1108.1	4319.36
378.61	1108	4262.96
378.71	1107.9	4264.32
378.81	1107.8	4227.07
378.91	1107.7	4307.43
379.01	1107.6	4227.61
379.11	1107.5	4254.29
379.21	1107.4	4239.46
379.31	1107.3	4235
379.41	1107.2	4206.89
379.51	1107.1	4247.79
379.61	1107	4254.18
379.71	1106.9	4265
379.81	1106.8	4281.86
379.91	1106.7	4285.14
380.01	1106.6	4216.86
380.11	1106.5	4223.96
380.21	1106.4	4268.64
380.31	1106.3	4262.5
380.41	1106.2	4210.46
380.51	1106.1	4284.75
380.61	1106	4342.5
380.71	1105.9	4316.32
380.81	1105.8	4269.75
380.91	1105.7	4272.75
381.01	1105.6	4322.57
381.11	1105.5	4250.46
381.21	1105.4	4306.57
381.31	1105.3	4338
381.41	1105.2	4359.68
381.51	1105.1	4280.75
381.61	1105	4307.46
381.71	1104.9	4319.07
381.81	1104.8	4289.39
381.91	1104.7	4289.25
382.01	1104.6	4272.68
382.11	1104.5	4288.54
382.21	1104.4	4331.68
382.31	1104.3	4326.54
382.41	1104.2	4265.46
382.51	1104.1	4245.29
382.61	1104	4249.14
382.71	1103.9	4278.14
382.81	1103.8	4297.04
382.91	1103.7	4283.21
383.01	1103.6	4363.11
383.11	1103.5	4310.89
383.21	1103.4	4270.5
383.31	1103.3	4254.14
383.41	1103.2	4299.89
383.51	1103.1	4333.29
383.61	1103	4325
383.71	1102.9	4331.54
383.81	1102.8	4259.21
383.91	1102.7	4272.54
384.01	1102.6	4311.32
384.11	1102.5	4362.61
384.21	1102.4	4296.93
384.31	1102.3	4330.43
384.41	1102.2	4306.14
384.51	1102.1	4299.29
384.61	1102	4301.54
384.71	1101.9	4356.18
384.81	1101.8	4300.04
384.91	1101.7	4310.96
385.01	1101.6	4316.18
385.11	1101.5	4258.86
385.21	1101.4	4263.61
385.31	1101.3	4328.14
385.41	1101.2	4269.39
385.51	1101.1	4309.46
385.61	1101	4313.07
385.71	1100.9	4331.64
385.81	1100.8	4315.61
385.91	1100.7	4311.29
386.01	1100.6	4329
386.11	1100.5	4382.36
386.21	1100.4	4317.68
386.31	1100.3	4337.75
386.41	1100.2	4314.36
386.51	1100.1	4350.86
386.61	1100	4321.11
