c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
AgMNN (2)
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_AgMNN (2)	BE_AgMNN (2)	CPS_AgMNN (2)
289.01	1197.6	6649.07
289.11	1197.5	6655.21
289.21	1197.4	6621.79
289.31	1197.3	6658.79
289.41	1197.2	6689.14
289.51	1197.1	6572.79
289.61	1197	6619.11
289.71	1196.9	6616.75
289.81	1196.8	6704.79
289.91	1196.7	6684.75
290.01	1196.6	6668.07
290.11	1196.5	6683.04
290.21	1196.4	6725.46
290.31	1196.3	6643.57
290.41	1196.2	6604.07
290.51	1196.1	6642.32
290.61	1196	6659.18
290.71	1195.9	6758.64
290.81	1195.8	6645.71
290.91	1195.7	6705.21
291.01	1195.6	6678.5
291.11	1195.5	6682.36
291.21	1195.4	6723.75
291.31	1195.3	6692.61
291.41	1195.2	6721.25
291.51	1195.1	6720.11
291.61	1195	6652.5
291.71	1194.9	6708.54
291.81	1194.8	6745.39
291.91	1194.7	6677.39
292.01	1194.6	6742.71
292.11	1194.5	6744.54
292.21	1194.4	6728.46
292.31	1194.3	6684.5
292.41	1194.2	6740.86
292.51	1194.1	6787.82
292.61	1194	6788.57
292.71	1193.9	6716.89
292.81	1193.8	6720.36
292.91	1193.7	6723.07
293.01	1193.6	6760.36
293.11	1193.5	6781.21
293.21	1193.4	6758.54
293.31	1193.3	6724.79
293.41	1193.2	6743.75
293.51	1193.1	6721.96
293.61	1193	6779.79
293.71	1192.9	6755.54
293.81	1192.8	6791.68
293.91	1192.7	6767.68
294.01	1192.6	6764.86
294.11	1192.5	6827.46
294.21	1192.4	6809.39
294.31	1192.3	6829.61
294.41	1192.2	6769.93
294.51	1192.1	6787.25
294.61	1192	6785.96
294.71	1191.9	6759.04
294.81	1191.8	6767.64
294.91	1191.7	6731.89
295.01	1191.6	6760.64
295.11	1191.5	6803.11
295.21	1191.4	6772.04
295.31	1191.3	6744.14
295.41	1191.2	6774.11
295.51	1191.1	6794
295.61	1191	6827.75
295.71	1190.9	6677.14
295.81	1190.8	6770.79
295.91	1190.7	6761.32
296.01	1190.6	6684.11
296.11	1190.5	6764.46
296.21	1190.4	6767.93
296.31	1190.3	6765.86
296.41	1190.2	6745.46
296.51	1190.1	6842.96
296.61	1190	6812.79
296.71	1189.9	6735
296.81	1189.8	6793.82
296.91	1189.7	6748.57
297.01	1189.6	6724.93
297.11	1189.5	6730.46
297.21	1189.4	6755.61
297.31	1189.3	6773.21
297.41	1189.2	6780.82
297.51	1189.1	6711.61
297.61	1189	6745.14
297.71	1188.9	6670.21
297.81	1188.8	6704.89
297.91	1188.7	6761.43
298.01	1188.6	6762.89
298.11	1188.5	6724.68
298.21	1188.4	6762.46
298.31	1188.3	6769.79
298.41	1188.2	6818.04
298.51	1188.1	6793.89
298.61	1188	6778.18
298.71	1187.9	6712.79
298.81	1187.8	6750.86
298.91	1187.7	6679.18
299.01	1187.6	6689.04
299.11	1187.5	6741.46
299.21	1187.4	6715.61
299.31	1187.3	6767.54
299.41	1187.2	6701.54
299.51	1187.1	6725.54
299.61	1187	6731.68
299.71	1186.9	6730.61
299.81	1186.8	6756
299.91	1186.7	6780.07
300.01	1186.6	6678.86
300.11	1186.5	6722.11
300.21	1186.4	6741.75
300.31	1186.3	6715.46
300.41	1186.2	6681.29
300.51	1186.1	6696.46
300.61	1186	6715.96
300.71	1185.9	6694.93
300.81	1185.8	6679.07
300.91	1185.7	6652.21
301.01	1185.6	6786.25
301.11	1185.5	6697.43
301.21	1185.4	6699.68
301.31	1185.3	6696.25
301.41	1185.2	6672.29
301.51	1185.1	6652.61
301.61	1185	6744.71
301.71	1184.9	6607.86
301.81	1184.8	6662.36
301.91	1184.7	6608.61
302.01	1184.6	6553.75
302.11	1184.5	6582.64
302.21	1184.4	6619.93
302.31	1184.3	6584.43
302.41	1184.2	6534.89
302.51	1184.1	6565.07
302.61	1184	6583.61
302.71	1183.9	6602.89
302.81	1183.8	6592.07
302.91	1183.7	6475.29
303.01	1183.6	6451.36
303.11	1183.5	6501.54
303.21	1183.4	6480.64
303.31	1183.3	6476
303.41	1183.2	6494.46
303.51	1183.1	6500.29
303.61	1183	6487.68
303.71	1182.9	6496.32
303.81	1182.8	6444.61
303.91	1182.7	6381.61
304.01	1182.6	6500.71
304.11	1182.5	6429.07
304.21	1182.4	6420.04
304.31	1182.3	6404.79
304.41	1182.2	6434.89
304.51	1182.1	6402.43
304.61	1182	6396.5
304.71	1181.9	6351.11
304.81	1181.8	6379.04
304.91	1181.7	6358
305.01	1181.6	6296.75
305.11	1181.5	6283.71
305.21	1181.4	6300.61
305.31	1181.3	6298.29
305.41	1181.2	6300.96
305.51	1181.1	6301.43
305.61	1181	6207.29
305.71	1180.9	6307.43
305.81	1180.8	6257.36
305.91	1180.7	6314.82
306.01	1180.6	6292.75
306.11	1180.5	6241.43
306.21	1180.4	6225.82
306.31	1180.3	6110.39
306.41	1180.2	6190.54
306.51	1180.1	6203.29
306.61	1180	6163.5
306.71	1179.9	6202.96
306.81	1179.8	6184.75
306.91	1179.7	6153.43
307.01	1179.6	6125.32
307.11	1179.5	6154.29
307.21	1179.4	6163.25
307.31	1179.3	6103.86
307.41	1179.2	6067.71
307.51	1179.1	6153.32
307.61	1179	6078.32
307.71	1178.9	6031.61
307.81	1178.8	6033.14
307.91	1178.7	6028.96
308.01	1178.6	5993.18
308.11	1178.5	5990.18
308.21	1178.4	5980.32
308.31	1178.3	6035.64
308.41	1178.2	6096.39
308.51	1178.1	5952.39
308.61	1178	5905.54
308.71	1177.9	5966.54
308.81	1177.8	6023.61
308.91	1177.7	6015.11
309.01	1177.6	6033.96
309.11	1177.5	5953.57
309.21	1177.4	5878
309.31	1177.3	5919.64
309.41	1177.2	6004.29
309.51	1177.1	5914.75
309.61	1177	5954.21
309.71	1176.9	5927.25
309.81	1176.8	5897.32
309.91	1176.7	5868.93
310.01	1176.6	5900.04
310.11	1176.5	5885.86
310.21	1176.4	5912.43
310.31	1176.3	5893.11
310.41	1176.2	5881.46
310.51	1176.1	5838.86
310.61	1176	5873.25
310.71	1175.9	5869.82
310.81	1175.8	5844.89
310.91	1175.7	5902.5
311.01	1175.6	5906.32
311.11	1175.5	5820.82
311.21	1175.4	5783.82
311.31	1175.3	5780.32
311.41	1175.2	5856.54
311.51	1175.1	5831.68
311.61	1175	5790.61
311.71	1174.9	5852.89
311.81	1174.8	5856.57
311.91	1174.7	5867.54
312.01	1174.6	5865.68
312.11	1174.5	5801.57
312.21	1174.4	5750.5
312.31	1174.3	5773.61
312.41	1174.2	5759.07
312.51	1174.1	5763.04
312.61	1174	5827.36
312.71	1173.9	5753.25
312.81	1173.8	5788.5
312.91	1173.7	5776.5
313.01	1173.6	5747.25
313.11	1173.5	5839.39
313.21	1173.4	5813.43
313.31	1173.3	5793.36
313.41	1173.2	5700.25
313.51	1173.1	5725.43
313.61	1173	5746.29
313.71	1172.9	5779.54
313.81	1172.8	5741.68
313.91	1172.7	5711.64
314.01	1172.6	5688.93
314.11	1172.5	5717.86
314.21	1172.4	5713.75
314.31	1172.3	5729.61
314.41	1172.2	5777.96
314.51	1172.1	5737.11
314.61	1172	5702.96
314.71	1171.9	5743.32
314.81	1171.8	5755.04
314.91	1171.7	5792.39
315.01	1171.6	5719.82
315.11	1171.5	5818.89
315.21	1171.4	5748.75
315.31	1171.3	5791.71
315.41	1171.2	5814.25
315.51	1171.1	5742.79
315.61	1171	5755.04
315.71	1170.9	5773.93
315.81	1170.8	5797.39
315.91	1170.7	5764.11
316.01	1170.6	5761.11
316.11	1170.5	5777.32
316.21	1170.4	5800.29
316.31	1170.3	5762.25
316.41	1170.2	5775.71
316.51	1170.1	5755.18
316.61	1170	5750.25
316.71	1169.9	5815.64
316.81	1169.8	5783.93
316.91	1169.7	5800.46
317.01	1169.6	5826.71
317.11	1169.5	5798.46
317.21	1169.4	5702.46
317.31	1169.3	5767.96
317.41	1169.2	5767.21
317.51	1169.1	5707.36
317.61	1169	5782.29
317.71	1168.9	5760.43
317.81	1168.8	5682.89
317.91	1168.7	5743.14
318.01	1168.6	5739.43
318.11	1168.5	5822.57
318.21	1168.4	5788.18
318.31	1168.3	5813.96
318.41	1168.2	5789.68
318.51	1168.1	5765.25
318.61	1168	5759.25
318.71	1167.9	5791.82
318.81	1167.8	5811.25
318.91	1167.7	5717.54
319.01	1167.6	5656.5
319.11	1167.5	5782.43
319.21	1167.4	5743.96
319.31	1167.3	5795.36
319.41	1167.2	5791.25
319.51	1167.1	5766.46
319.61	1167	5836.71
319.71	1166.9	5836.29
319.81	1166.8	5854.96
319.91	1166.7	5766.36
320.01	1166.6	5855
320.11	1166.5	5825.54
320.21	1166.4	5832.71
320.31	1166.3	5850.5
320.41	1166.2	5878.18
320.51	1166.1	5805.25
320.61	1166	5840.04
320.71	1165.9	5776.75
320.81	1165.8	5742.57
320.91	1165.7	5808.36
321.01	1165.6	5824.61
321.11	1165.5	5812.18
321.21	1165.4	5883.5
321.31	1165.3	5911.29
321.41	1165.2	5830.32
321.51	1165.1	5869.18
321.61	1165	5853.25
321.71	1164.9	5807.32
321.81	1164.8	5837
321.91	1164.7	5871.96
322.01	1164.6	5884.5
