c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4d	BE_Au4d	CPS_Au4d
1039.31	447.3	13318.4
1039.41	447.2	13348
1039.51	447.1	13333.2
1039.61	447	13282.7
1039.71	446.9	13264.9
1039.81	446.8	13400.6
1039.91	446.7	13296.5
1040.01	446.6	13277.3
1040.11	446.5	13343.6
1040.21	446.4	13366
1040.31	446.3	13427.7
1040.41	446.2	13386.6
1040.51	446.1	13383.8
1040.61	446	13416
1040.71	445.9	13396.1
1040.81	445.8	13399.4
1040.91	445.7	13398.4
1041.01	445.6	13311.5
1041.11	445.5	13387.2
1041.21	445.4	13369.5
1041.31	445.3	13368.3
1041.41	445.2	13409.3
1041.51	445.1	13433.1
1041.61	445	13410.2
1041.71	444.9	13278.2
1041.81	444.8	13421.3
1041.91	444.7	13376.5
1042.01	444.6	13392.4
1042.11	444.5	13452.3
1042.21	444.4	13463.6
1042.31	444.3	13445.9
1042.41	444.2	13455.5
1042.51	444.1	13390.3
1042.61	444	13434.9
1042.71	443.9	13424.5
1042.81	443.8	13473.1
1042.91	443.7	13393.5
1043.01	443.6	13482.4
1043.11	443.5	13398.3
1043.21	443.4	13528.3
1043.31	443.3	13509.5
1043.41	443.2	13407.6
1043.51	443.1	13324.4
1043.61	443	13469.2
1043.71	442.9	13524.4
1043.81	442.8	13392
1043.91	442.7	13383.1
1044.01	442.6	13456.6
1044.11	442.5	13469.7
1044.21	442.4	13471.2
1044.31	442.3	13449.5
1044.41	442.2	13488.8
1044.51	442.1	13409.7
1044.61	442	13486
1044.71	441.9	13600.4
1044.81	441.8	13581.3
1044.91	441.7	13432.2
1045.01	441.6	13530.3
1045.11	441.5	13480.5
1045.21	441.4	13460.3
1045.31	441.3	13475.2
1045.41	441.2	13456.5
1045.51	441.1	13405.1
1045.61	441	13472.7
1045.71	440.9	13567.6
1045.81	440.8	13457.6
1045.91	440.7	13462.9
1046.01	440.6	13593.3
1046.11	440.5	13635.3
1046.21	440.4	13502.7
1046.31	440.3	13612.4
1046.41	440.2	13568.3
1046.51	440.1	13592.7
1046.61	440	13612.7
1046.71	439.9	13446.1
1046.81	439.8	13472.1
1046.91	439.7	13583
1047.01	439.6	13588.3
1047.11	439.5	13624.1
1047.21	439.4	13663.7
1047.31	439.3	13577.6
1047.41	439.2	13478.9
1047.51	439.1	13580.5
1047.61	439	13539.6
1047.71	438.9	13664.1
1047.81	438.8	13660.1
1047.91	438.7	13556.4
