RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 900 
Total cross section: 1.768587E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,6.730711E-1
1,6.686101E-1
2,6.554813E-1
3,6.344163E-1
4,6.065381E-1
5,5.732357E-1
6,5.360242E-1
7,4.964107E-1
8,4.557853E-1
9,4.153456E-1
10,3.760562E-1
11,3.386398E-1
12,3.035913E-1
13,2.712062E-1
14,2.416169E-1
15,2.148299E-1
16,1.907600E-1
17,1.692604E-1
18,1.501466E-1
19,1.332152E-1
20,1.182574E-1
21,1.050682E-1
22,9.345288E-2
23,8.323055E-2
24,7.423596E-2
25,6.632015E-2
26,5.935011E-2
27,5.320797E-2
28,4.778987E-2
29,4.300472E-2
30,3.877286E-2
31,3.502481E-2
32,3.170008E-2
33,2.874605E-2
34,2.611695E-2
35,2.377302E-2
36,2.167968E-2
37,1.980683E-2
38,1.812830E-2
39,1.662127E-2
40,1.526585E-2
41,1.404468E-2
42,1.294256E-2
43,1.194621E-2
44,1.104396E-2
45,1.022558E-2
46,9.482084E-3
47,8.805547E-3
48,8.188985E-3
49,7.626225E-3
50,7.111807E-3
51,6.640893E-3
52,6.209192E-3
53,5.812882E-3
54,5.448575E-3
55,5.113238E-3
56,4.804167E-3
57,4.518944E-3
58,4.255402E-3
59,4.011600E-3
60,3.785793E-3
61,3.576413E-3
62,3.382047E-3
63,3.201420E-3
64,3.033381E-3
65,2.876889E-3
66,2.731002E-3
67,2.594867E-3
68,2.467708E-3
69,2.348821E-3
70,2.237565E-3
71,2.133354E-3
72,2.035657E-3
73,1.943988E-3
74,1.857902E-3
75,1.776993E-3
76,1.700889E-3
77,1.629247E-3
78,1.561754E-3
79,1.498123E-3
80,1.438088E-3
81,1.381405E-3
82,1.327851E-3
83,1.277218E-3
84,1.229315E-3
85,1.183964E-3
86,1.141003E-3
87,1.100280E-3
88,1.061656E-3
89,1.025000E-3
90,9.901922E-4
91,9.571206E-4
92,9.256810E-4
93,8.957768E-4
94,8.673184E-4
95,8.402219E-4
96,8.144093E-4
97,7.898076E-4
98,7.663489E-4
99,7.439696E-4
100,7.226105E-4
101,7.022162E-4
102,6.827350E-4
103,6.641181E-4
104,6.463200E-4
105,6.292979E-4
106,6.130117E-4
107,5.974241E-4
108,5.824997E-4
109,5.682056E-4
110,5.545104E-4
111,5.413848E-4
112,5.288011E-4
113,5.167334E-4
114,5.051572E-4
115,4.940497E-4
116,4.833890E-4
117,4.731546E-4
118,4.633271E-4
119,4.538881E-4
120,4.448204E-4
121,4.361077E-4
122,4.277347E-4
123,4.196868E-4
124,4.119502E-4
125,4.045116E-4
126,3.973587E-4
127,3.904798E-4
128,3.838639E-4
129,3.775005E-4
130,3.713796E-4
131,3.654917E-4
132,3.598278E-4
133,3.543793E-4
134,3.491382E-4
135,3.440970E-4
136,3.392484E-4
137,3.345853E-4
138,3.301013E-4
139,3.257900E-4
140,3.216455E-4
141,3.176623E-4
142,3.138351E-4
143,3.101587E-4
144,3.066284E-4
145,3.032396E-4
146,2.999877E-4
147,2.968688E-4
148,2.938789E-4
149,2.910144E-4
150,2.882718E-4
151,2.856476E-4
152,2.831387E-4
153,2.807420E-4
154,2.784547E-4
155,2.762740E-4
156,2.741977E-4
157,2.722231E-4
158,2.703481E-4
159,2.685703E-4
160,2.668878E-4
161,2.652986E-4
162,2.638012E-4
163,2.623937E-4
164,2.610748E-4
165,2.598428E-4
166,2.586963E-4
167,2.576341E-4
168,2.566550E-4
169,2.557581E-4
170,2.549425E-4
171,2.542072E-4
172,2.535514E-4
173,2.529743E-4
174,2.524752E-4
175,2.520538E-4
176,2.517097E-4
177,2.514426E-4
178,2.512521E-4
179,2.511381E-4
180,2.511001E-4
