RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 2000 
Total cross section: 7.768476E-2 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,6.503180E-1
1,6.408207E-1
2,6.135027E-1
3,5.715828E-1
4,5.195427E-1
5,4.621728E-1
6,4.037665E-1
7,3.476313E-1
8,2.959525E-1
9,2.498966E-1
10,2.098403E-1
11,1.756249E-1
12,1.467769E-1
13,1.226738E-1
14,1.026546E-1
15,8.608545E-2
16,7.239345E-2
17,6.108022E-2
18,5.172295E-2
19,4.396898E-2
20,3.752748E-2
21,3.216030E-2
22,2.767345E-2
23,2.390925E-2
24,2.073969E-2
25,1.806080E-2
26,1.578801E-2
27,1.385245E-2
28,1.219788E-2
29,1.077831E-2
30,9.555936E-3
31,8.499629E-3
32,7.583677E-3
33,6.786769E-3
34,6.091181E-3
35,5.482114E-3
36,4.947173E-3
37,4.475947E-3
38,4.059665E-3
39,3.690907E-3
40,3.363376E-3
41,3.071709E-3
42,2.811333E-3
43,2.578336E-3
44,2.369354E-3
45,2.181492E-3
46,2.012246E-3
47,1.859453E-3
48,1.721236E-3
49,1.595959E-3
50,1.482196E-3
51,1.378697E-3
52,1.284370E-3
53,1.198256E-3
54,1.119509E-3
55,1.047381E-3
56,9.812129E-4
57,9.204210E-4
58,8.644871E-4
59,8.129494E-4
60,7.653961E-4
61,7.214601E-4
62,6.808142E-4
63,6.431650E-4
64,6.082481E-4
65,5.758262E-4
66,5.456860E-4
67,5.176362E-4
68,4.915032E-4
69,4.671296E-4
70,4.443731E-4
71,4.231050E-4
72,4.032090E-4
73,3.845788E-4
74,3.671171E-4
75,3.507356E-4
76,3.353542E-4
77,3.208997E-4
78,3.073047E-4
79,2.945074E-4
80,2.824512E-4
81,2.710846E-4
82,2.603604E-4
83,2.502345E-4
84,2.406665E-4
85,2.316193E-4
86,2.230588E-4
87,2.149537E-4
88,2.072745E-4
89,1.999941E-4
90,1.930875E-4
91,1.865317E-4
92,1.803054E-4
93,1.743885E-4
94,1.687622E-4
95,1.634095E-4
96,1.583145E-4
97,1.534624E-4
98,1.488390E-4
99,1.444314E-4
100,1.402276E-4
101,1.362164E-4
102,1.323872E-4
103,1.287301E-4
104,1.252358E-4
105,1.218957E-4
106,1.187020E-4
107,1.156469E-4
108,1.127232E-4
109,1.099241E-4
110,1.072437E-4
111,1.046761E-4
112,1.022156E-4
113,9.985690E-5
114,9.759514E-5
115,9.542586E-5
116,9.334475E-5
117,9.134758E-5
118,8.943037E-5
119,8.758959E-5
120,8.582191E-5
121,8.412408E-5
122,8.249289E-5
123,8.092539E-5
124,7.941893E-5
125,7.797104E-5
126,7.657921E-5
127,7.524100E-5
128,7.395417E-5
129,7.271677E-5
130,7.152690E-5
131,7.038263E-5
132,6.928205E-5
133,6.822350E-5
134,6.720552E-5
135,6.622663E-5
136,6.528531E-5
137,6.438010E-5
138,6.350974E-5
139,6.267313E-5
140,6.186914E-5
141,6.109653E-5
142,6.035418E-5
143,5.964116E-5
144,5.895665E-5
145,5.829973E-5
146,5.766943E-5
147,5.706488E-5
148,5.648541E-5
149,5.593039E-5
150,5.539910E-5
151,5.489073E-5
152,5.440466E-5
153,5.394040E-5
154,5.349749E-5
155,5.307532E-5
156,5.267326E-5
157,5.229086E-5
158,5.192780E-5
159,5.158372E-5
160,5.125813E-5
161,5.095052E-5
162,5.066061E-5
163,5.038821E-5
164,5.013304E-5
165,4.989469E-5
166,4.967277E-5
167,4.946715E-5
168,4.927775E-5
169,4.910435E-5
170,4.894660E-5
171,4.880423E-5
172,4.867723E-5
173,4.856564E-5
174,4.846929E-5
175,4.838782E-5
176,4.832109E-5
177,4.826925E-5
178,4.823251E-5
179,4.821074E-5
180,4.820356E-5
