RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 400 
Total cross section: 4.187736E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,7.270956E-1
1,7.249280E-1
2,7.184814E-1
3,7.079209E-1
4,6.935120E-1
5,6.756057E-1
6,6.546211E-1
7,6.310247E-1
8,6.053093E-1
9,5.779744E-1
10,5.495072E-1
11,5.203681E-1
12,4.909784E-1
13,4.617126E-1
14,4.328933E-1
15,4.047900E-1
16,3.776191E-1
17,3.515478E-1
18,3.266974E-1
19,3.031489E-1
20,2.809482E-1
21,2.601119E-1
22,2.406323E-1
23,2.224825E-1
24,2.056209E-1
25,1.899951E-1
26,1.755450E-1
27,1.622058E-1
28,1.499100E-1
29,1.385894E-1
30,1.281764E-1
31,1.186051E-1
32,1.098119E-1
33,1.017364E-1
34,9.432116E-2
35,8.751257E-2
36,8.126042E-2
37,7.551810E-2
38,7.024247E-2
39,6.539376E-2
40,6.093538E-2
41,5.683377E-2
42,5.305818E-2
43,4.958051E-2
44,4.637509E-2
45,4.341851E-2
46,4.068943E-2
47,3.816842E-2
48,3.583778E-2
49,3.368140E-2
50,3.168462E-2
51,2.983409E-2
52,2.811767E-2
53,2.652430E-2
54,2.504390E-2
55,2.366731E-2
56,2.238617E-2
57,2.119285E-2
58,2.008041E-2
59,1.904251E-2
60,1.807334E-2
61,1.716762E-2
62,1.632051E-2
63,1.552759E-2
64,1.478479E-2
65,1.408841E-2
66,1.343505E-2
67,1.282157E-2
68,1.224512E-2
69,1.170307E-2
70,1.119298E-2
71,1.071263E-2
72,1.025998E-2
73,9.833121E-3
74,9.430320E-3
75,9.049965E-3
76,8.690572E-3
77,8.350766E-3
78,8.029277E-3
79,7.724932E-3
80,7.436640E-3
81,7.163392E-3
82,6.904252E-3
83,6.658351E-3
84,6.424882E-3
85,6.203093E-3
86,5.992289E-3
87,5.791818E-3
88,5.601077E-3
89,5.419502E-3
90,5.246566E-3
91,5.081780E-3
92,4.924685E-3
93,4.774852E-3
94,4.631882E-3
95,4.495400E-3
96,4.365055E-3
97,4.240519E-3
98,4.121484E-3
99,4.007664E-3
100,3.898785E-3
101,3.794595E-3
102,3.694855E-3
103,3.599340E-3
104,3.507840E-3
105,3.420155E-3
106,3.336099E-3
107,3.255497E-3
108,3.178183E-3
109,3.104001E-3
110,3.032803E-3
111,2.964451E-3
112,2.898814E-3
113,2.835766E-3
114,2.775193E-3
115,2.716982E-3
116,2.661029E-3
117,2.607236E-3
118,2.555509E-3
119,2.505759E-3
120,2.457903E-3
121,2.411862E-3
122,2.367558E-3
123,2.324922E-3
124,2.283886E-3
125,2.244385E-3
126,2.206358E-3
127,2.169748E-3
128,2.134500E-3
129,2.100561E-3
130,2.067882E-3
131,2.036417E-3
132,2.006120E-3
133,1.976948E-3
134,1.948862E-3
135,1.921823E-3
136,1.895794E-3
137,1.870740E-3
138,1.846630E-3
139,1.823430E-3
140,1.801112E-3
141,1.779646E-3
142,1.759007E-3
143,1.739167E-3
144,1.720102E-3
145,1.701790E-3
146,1.684208E-3
147,1.667334E-3
148,1.651149E-3
149,1.635635E-3
150,1.620772E-3
151,1.606543E-3
152,1.592934E-3
153,1.579926E-3
154,1.567507E-3
155,1.555663E-3
156,1.544379E-3
157,1.533644E-3
158,1.523446E-3
159,1.513774E-3
160,1.504617E-3
161,1.495966E-3
162,1.487811E-3
163,1.480144E-3
164,1.472957E-3
165,1.466242E-3
166,1.459991E-3
167,1.454199E-3
168,1.448860E-3
169,1.443967E-3
170,1.439517E-3
171,1.435504E-3
172,1.431925E-3
173,1.428775E-3
174,1.426051E-3
175,1.423751E-3
176,1.421872E-3
177,1.420413E-3
178,1.419372E-3
179,1.418747E-3
180,1.418539E-3
