RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 700 
Total cross section: 2.302487E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,6.855148E-1
1,6.819705E-1
2,6.714957E-1
3,6.545496E-1
4,6.318496E-1
5,6.043075E-1
6,5.729540E-1
7,5.388616E-1
8,5.030752E-1
9,4.665563E-1
10,4.301437E-1
11,3.945325E-1
12,3.602670E-1
13,3.277465E-1
14,2.972387E-1
15,2.688983E-1
16,2.427875E-1
17,2.188962E-1
18,1.971602E-1
19,1.774775E-1
20,1.597218E-1
21,1.437526E-1
22,1.294240E-1
23,1.165901E-1
24,1.051094E-1
25,9.484763E-2
26,8.567957E-2
27,7.748966E-2
28,7.017245E-2
29,6.363246E-2
30,5.778375E-2
31,5.254936E-2
32,4.786060E-2
33,4.365637E-2
34,3.988246E-2
35,3.649083E-2
36,3.343897E-2
37,3.068931E-2
38,2.820863E-2
39,2.596757E-2
40,2.394022E-2
41,2.210363E-2
42,2.043753E-2
43,1.892400E-2
44,1.754713E-2
45,1.629287E-2
46,1.514871E-2
47,1.410358E-2
48,1.314762E-2
49,1.227205E-2
50,1.146908E-2
51,1.073172E-2
52,1.005376E-2
53,9.429638E-3
54,8.854376E-3
55,8.323513E-3
56,7.833043E-3
57,7.379368E-3
58,6.959253E-3
59,6.569785E-3
60,6.208336E-3
61,5.872534E-3
62,5.560235E-3
63,5.269497E-3
64,4.998562E-3
65,4.745834E-3
66,4.509864E-3
67,4.289337E-3
68,4.083053E-3
69,3.889921E-3
70,3.708943E-3
71,3.539211E-3
72,3.379891E-3
73,3.230224E-3
74,3.089510E-3
75,2.957113E-3
76,2.832445E-3
77,2.714967E-3
78,2.604184E-3
79,2.499639E-3
80,2.400913E-3
81,2.307616E-3
82,2.219392E-3
83,2.135911E-3
84,2.056867E-3
85,1.981978E-3
86,1.910982E-3
87,1.843637E-3
88,1.779716E-3
89,1.719012E-3
90,1.661330E-3
91,1.606491E-3
92,1.554327E-3
93,1.504681E-3
94,1.457408E-3
95,1.412372E-3
96,1.369446E-3
97,1.328513E-3
98,1.289462E-3
99,1.252190E-3
100,1.216600E-3
101,1.182603E-3
102,1.150112E-3
103,1.119050E-3
104,1.089342E-3
105,1.060917E-3
106,1.033711E-3
107,1.007661E-3
108,9.827116E-4
109,9.588066E-4
110,9.358952E-4
111,9.139292E-4
112,8.928636E-4
113,8.726553E-4
114,8.532644E-4
115,8.346528E-4
116,8.167849E-4
117,7.996266E-4
118,7.831459E-4
119,7.673127E-4
120,7.520985E-4
121,7.374765E-4
122,7.234211E-4
123,7.099082E-4
124,6.969151E-4
125,6.844199E-4
126,6.724021E-4
127,6.608423E-4
128,6.497222E-4
129,6.390244E-4
130,6.287323E-4
131,6.188304E-4
132,6.093035E-4
133,6.001376E-4
134,5.913191E-4
135,5.828354E-4
136,5.746744E-4
137,5.668247E-4
138,5.592753E-4
139,5.520159E-4
140,5.450366E-4
141,5.383279E-4
142,5.318809E-4
143,5.256873E-4
144,5.197389E-4
145,5.140284E-4
146,5.085483E-4
147,5.032918E-4
148,4.982523E-4
149,4.934234E-4
150,4.887995E-4
151,4.843748E-4
152,4.801441E-4
153,4.761025E-4
154,4.722452E-4
155,4.685674E-4
156,4.650654E-4
157,4.617345E-4
158,4.585712E-4
159,4.555719E-4
160,4.527333E-4
161,4.500522E-4
162,4.475257E-4
163,4.451509E-4
164,4.429250E-4
165,4.408457E-4
166,4.389107E-4
167,4.371180E-4
168,4.354658E-4
169,4.339522E-4
170,4.325756E-4
171,4.313344E-4
172,4.302273E-4
173,4.292530E-4
174,4.284107E-4
175,4.276994E-4
176,4.271187E-4
177,4.266677E-4
178,4.263461E-4
179,4.261534E-4
180,4.260892E-4
