RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 1000 
Total cross section: 1.584645E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,6.687442E-1
1,6.638250E-1
2,6.493781E-1
3,6.262934E-1
4,5.959246E-1
5,5.599241E-1
6,5.200622E-1
7,4.780606E-1
8,4.354641E-1
9,3.935589E-1
10,3.533380E-1
11,3.155035E-1
12,2.804961E-1
13,2.485381E-1
14,2.196813E-1
15,1.938529E-1
16,1.708962E-1
17,1.506027E-1
18,1.327378E-1
19,1.170589E-1
20,1.033278E-1
21,9.131893E-2
22,8.082359E-2
23,7.165259E-2
24,6.363656E-2
25,5.662550E-2
26,5.048760E-2
27,4.510767E-2
28,4.038553E-2
29,3.623431E-2
30,3.257887E-2
31,2.935429E-2
32,2.650458E-2
33,2.398138E-2
34,2.174299E-2
35,1.975341E-2
36,1.798152E-2
37,1.640044E-2
38,1.498689E-2
39,1.372069E-2
40,1.258433E-2
41,1.156259E-2
42,1.064221E-2
43,9.811627E-3
44,9.060756E-3
45,8.380765E-3
46,7.763914E-3
47,7.203406E-3
48,6.693263E-3
49,6.228218E-3
50,5.803624E-3
51,5.415376E-3
52,5.059835E-3
53,4.733778E-3
54,4.434334E-3
55,4.158955E-3
56,3.905364E-3
57,3.671533E-3
58,3.455647E-3
59,3.256083E-3
60,3.071381E-3
61,2.900233E-3
62,2.741460E-3
63,2.594001E-3
64,2.456900E-3
65,2.329295E-3
66,2.210402E-3
67,2.099515E-3
68,1.995991E-3
69,1.899247E-3
70,1.808753E-3
71,1.724029E-3
72,1.644634E-3
73,1.570169E-3
74,1.500266E-3
75,1.434592E-3
76,1.372839E-3
77,1.314727E-3
78,1.260000E-3
79,1.208420E-3
80,1.159771E-3
81,1.113852E-3
82,1.070479E-3
83,1.029484E-3
84,9.907083E-4
85,9.540090E-4
86,9.192523E-4
87,8.863144E-4
88,8.550806E-4
89,8.254450E-4
90,7.973094E-4
91,7.705829E-4
92,7.451806E-4
93,7.210237E-4
94,6.980388E-4
95,6.761576E-4
96,6.553165E-4
97,6.354565E-4
98,6.165224E-4
99,5.984625E-4
100,5.812286E-4
101,5.647754E-4
102,5.490608E-4
103,5.340453E-4
104,5.196922E-4
105,5.059668E-4
106,4.928367E-4
107,4.802711E-4
108,4.682415E-4
109,4.567209E-4
110,4.456842E-4
111,4.351077E-4
112,4.249691E-4
113,4.152472E-4
114,4.059222E-4
115,3.969753E-4
116,3.883889E-4
117,3.801467E-4
118,3.722328E-4
119,3.646326E-4
120,3.573320E-4
121,3.503176E-4
122,3.435770E-4
123,3.370985E-4
124,3.308711E-4
125,3.248841E-4
126,3.191275E-4
127,3.135917E-4
128,3.082677E-4
129,3.031472E-4
130,2.982220E-4
131,2.934847E-4
132,2.889280E-4
133,2.845448E-4
134,2.803286E-4
135,2.762733E-4
136,2.723729E-4
137,2.686221E-4
138,2.650156E-4
139,2.615482E-4
140,2.582150E-4
141,2.550116E-4
142,2.519337E-4
143,2.489772E-4
144,2.461383E-4
145,2.434133E-4
146,2.407987E-4
147,2.382909E-4
148,2.358869E-4
149,2.335837E-4
150,2.313786E-4
151,2.292688E-4
152,2.272519E-4
153,2.253251E-4
154,2.234863E-4
155,2.217333E-4
156,2.200640E-4
157,2.184767E-4
158,2.169695E-4
159,2.155405E-4
160,2.141881E-4
161,2.129107E-4
162,2.117070E-4
163,2.105756E-4
164,2.095155E-4
165,2.085253E-4
166,2.076039E-4
167,2.067501E-4
168,2.059631E-4
169,2.052422E-4
170,2.045866E-4
171,2.039957E-4
172,2.034687E-4
173,2.030049E-4
174,2.026038E-4
175,2.022651E-4
176,2.019884E-4
177,2.017738E-4
178,2.016208E-4
179,2.015292E-4
180,2.014988E-4
