RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 250 
Total cross section: 7.009809E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,7.827307E-1
1,7.812538E-1
2,7.768471E-1
3,7.695831E-1
4,7.595791E-1
5,7.469938E-1
6,7.320218E-1
7,7.148871E-1
8,6.958365E-1
9,6.751318E-1
10,6.530431E-1
11,6.298415E-1
12,6.057935E-1
13,5.811549E-1
14,5.561668E-1
15,5.310519E-1
16,5.060120E-1
17,4.812268E-1
18,4.568525E-1
19,4.330224E-1
20,4.098473E-1
21,3.874166E-1
22,3.657999E-1
23,3.450486E-1
24,3.251978E-1
25,3.062684E-1
26,2.882686E-1
27,2.711962E-1
28,2.550398E-1
29,2.397812E-1
30,2.253961E-1
31,2.118556E-1
32,1.991277E-1
33,1.871777E-1
34,1.759697E-1
35,1.654667E-1
36,1.556315E-1
37,1.464273E-1
38,1.378176E-1
39,1.297672E-1
40,1.222417E-1
41,1.152083E-1
42,1.086354E-1
43,1.024930E-1
44,9.675275E-2
45,9.138771E-2
46,8.637257E-2
47,8.168350E-2
48,7.729817E-2
49,7.319569E-2
50,6.935650E-2
51,6.576239E-2
52,6.239634E-2
53,5.924255E-2
54,5.628630E-2
55,5.351389E-2
56,5.091262E-2
57,4.847070E-2
58,4.617717E-2
59,4.402186E-2
60,4.199536E-2
61,4.008892E-2
62,3.829443E-2
63,3.660437E-2
64,3.501177E-2
65,3.351015E-2
66,3.209351E-2
67,3.075629E-2
68,2.949332E-2
69,2.829980E-2
70,2.717128E-2
71,2.610362E-2
72,2.509297E-2
73,2.413576E-2
74,2.322867E-2
75,2.236862E-2
76,2.155271E-2
77,2.077828E-2
78,2.004283E-2
79,1.934404E-2
80,1.867974E-2
81,1.804791E-2
82,1.744666E-2
83,1.687424E-2
84,1.632899E-2
85,1.580939E-2
86,1.531400E-2
87,1.484147E-2
88,1.439054E-2
89,1.396005E-2
90,1.354887E-2
91,1.315599E-2
92,1.278043E-2
93,1.242128E-2
94,1.207769E-2
95,1.174886E-2
96,1.143402E-2
97,1.113248E-2
98,1.084357E-2
99,1.056666E-2
100,1.030117E-2
101,1.004652E-2
102,9.802213E-3
103,9.567741E-3
104,9.342642E-3
105,9.126476E-3
106,8.918829E-3
107,8.719310E-3
108,8.527547E-3
109,8.343193E-3
110,8.165917E-3
111,7.995405E-3
112,7.831362E-3
113,7.673507E-3
114,7.521576E-3
115,7.375316E-3
116,7.234490E-3
117,7.098872E-3
118,6.968247E-3
119,6.842413E-3
120,6.721176E-3
121,6.604353E-3
122,6.491771E-3
123,6.383264E-3
124,6.278676E-3
125,6.177857E-3
126,6.080665E-3
127,5.986965E-3
128,5.896629E-3
129,5.809535E-3
130,5.725567E-3
131,5.644614E-3
132,5.566571E-3
133,5.491337E-3
134,5.418818E-3
135,5.348921E-3
136,5.281562E-3
137,5.216656E-3
138,5.154127E-3
139,5.093897E-3
140,5.035897E-3
141,4.980058E-3
142,4.926316E-3
143,4.874609E-3
144,4.824877E-3
145,4.777066E-3
146,4.731121E-3
147,4.686993E-3
148,4.644632E-3
149,4.603993E-3
150,4.565032E-3
151,4.527708E-3
152,4.491980E-3
153,4.457812E-3
154,4.425168E-3
155,4.394014E-3
156,4.364318E-3
157,4.336050E-3
158,4.309181E-3
159,4.283685E-3
160,4.259534E-3
161,4.236707E-3
162,4.215179E-3
163,4.194931E-3
164,4.175941E-3
165,4.158191E-3
166,4.141665E-3
167,4.126346E-3
168,4.112220E-3
169,4.099272E-3
170,4.087491E-3
171,4.076866E-3
172,4.067386E-3
173,4.059042E-3
174,4.051826E-3
175,4.045732E-3
176,4.040754E-3
177,4.036887E-3
178,4.034127E-3
179,4.032472E-3
180,4.031921E-3
