RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 300 
Total cross section: 5.732037E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,7.584153E-1
1,7.567077E-1
2,7.516185E-1
3,7.432467E-1
4,7.317530E-1
5,7.173529E-1
6,7.003079E-1
7,6.809164E-1
8,6.595018E-1
9,6.364026E-1
10,6.119612E-1
11,5.865148E-1
12,5.603868E-1
13,5.338802E-1
14,5.072723E-1
15,4.808114E-1
16,4.547144E-1
17,4.291664E-1
18,4.043210E-1
19,3.803017E-1
20,3.572038E-1
21,3.350971E-1
22,3.140285E-1
23,2.940248E-1
24,2.750959E-1
25,2.572372E-1
26,2.404323E-1
27,2.246555E-1
28,2.098736E-1
29,1.960483E-1
30,1.831369E-1
31,1.710946E-1
32,1.598751E-1
33,1.494315E-1
34,1.397173E-1
35,1.306868E-1
36,1.222955E-1
37,1.145008E-1
38,1.072616E-1
39,1.005390E-1
40,9.429621E-2
41,8.849851E-2
42,8.311332E-2
43,7.811021E-2
44,7.346077E-2
45,6.913853E-2
46,6.511894E-2
47,6.137918E-2
48,5.789819E-2
49,5.465643E-2
50,5.163586E-2
51,4.881984E-2
52,4.619300E-2
53,4.374119E-2
54,4.145134E-2
55,3.931142E-2
56,3.731036E-2
57,3.543793E-2
58,3.368473E-2
59,3.204209E-2
60,3.050203E-2
61,2.905719E-2
62,2.770079E-2
63,2.642657E-2
64,2.522876E-2
65,2.410205E-2
66,2.304153E-2
67,2.204265E-2
68,2.110123E-2
69,2.021341E-2
70,1.937560E-2
71,1.858449E-2
72,1.783701E-2
73,1.713033E-2
74,1.646182E-2
75,1.582905E-2
76,1.522974E-2
77,1.466181E-2
78,1.412330E-2
79,1.361241E-2
80,1.312745E-2
81,1.266685E-2
82,1.222917E-2
83,1.181303E-2
84,1.141718E-2
85,1.104045E-2
86,1.068171E-2
87,1.033997E-2
88,1.001424E-2
89,9.703644E-3
90,9.407335E-3
91,9.124532E-3
92,8.854500E-3
93,8.596553E-3
94,8.350046E-3
95,8.114375E-3
96,7.888974E-3
97,7.673310E-3
98,7.466886E-3
99,7.269231E-3
100,7.079904E-3
101,6.898492E-3
102,6.724602E-3
103,6.557868E-3
104,6.397943E-3
105,6.244502E-3
106,6.097235E-3
107,5.955854E-3
108,5.820085E-3
109,5.689668E-3
110,5.564360E-3
111,5.443929E-3
112,5.328159E-3
113,5.216842E-3
114,5.109784E-3
115,5.006799E-3
116,4.907713E-3
117,4.812360E-3
118,4.720582E-3
119,4.632232E-3
120,4.547168E-3
121,4.465256E-3
122,4.386369E-3
123,4.310387E-3
124,4.237194E-3
125,4.166684E-3
126,4.098752E-3
127,4.033299E-3
128,3.970234E-3
129,3.909467E-3
130,3.850913E-3
131,3.794493E-3
132,3.740130E-3
133,3.687752E-3
134,3.637290E-3
135,3.588677E-3
136,3.541852E-3
137,3.496755E-3
138,3.453328E-3
139,3.411519E-3
140,3.371274E-3
141,3.332547E-3
142,3.295289E-3
143,3.259456E-3
144,3.225007E-3
145,3.191901E-3
146,3.160100E-3
147,3.129567E-3
148,3.100267E-3
149,3.072168E-3
150,3.045238E-3
151,3.019448E-3
152,2.994769E-3
153,2.971175E-3
154,2.948639E-3
155,2.927138E-3
156,2.906648E-3
157,2.887149E-3
158,2.868620E-3
159,2.851041E-3
160,2.834395E-3
161,2.818663E-3
162,2.803830E-3
163,2.789881E-3
164,2.776802E-3
165,2.764579E-3
166,2.753200E-3
167,2.742654E-3
168,2.732931E-3
169,2.724020E-3
170,2.715913E-3
171,2.708602E-3
172,2.702079E-3
173,2.696339E-3
174,2.691375E-3
175,2.687183E-3
176,2.683759E-3
177,2.681099E-3
178,2.679201E-3
179,2.678063E-3
180,2.677683E-3
