RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 1500 
Total cross section: 1.042376E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,6.561082E-1
1,6.488991E-1
2,6.279471E-1
3,5.951437E-1
4,5.532410E-1
5,5.053817E-1
6,4.546453E-1
7,4.037045E-1
8,3.546352E-1
9,3.088690E-1
10,2.672486E-1
11,2.301379E-1
12,1.975496E-1
13,1.692636E-1
14,1.449240E-1
15,1.241107E-1
16,1.063890E-1
17,9.134031E-2
18,7.857950E-2
19,6.776288E-2
20,5.859027E-2
21,5.080342E-2
22,4.418253E-2
23,3.854191E-2
24,3.372551E-2
25,2.960266E-2
26,2.606415E-2
27,2.301880E-2
28,2.039048E-2
29,1.811559E-2
30,1.614095E-2
31,1.442200E-2
32,1.292141E-2
33,1.160776E-2
34,1.045460E-2
35,9.439563E-3
36,8.543752E-3
37,7.751120E-3
38,7.048016E-3
39,6.422796E-3
40,5.865503E-3
41,5.367601E-3
42,4.921760E-3
43,4.521661E-3
44,4.161850E-3
45,3.837598E-3
46,3.544806E-3
47,3.279907E-3
48,3.039794E-3
49,2.821749E-3
50,2.623391E-3
51,2.442632E-3
52,2.277635E-3
53,2.126781E-3
54,1.988641E-3
55,1.861951E-3
56,1.745587E-3
57,1.638554E-3
58,1.539965E-3
59,1.449032E-3
60,1.365049E-3
61,1.287384E-3
62,1.215472E-3
63,1.148805E-3
64,1.086929E-3
65,1.029433E-3
66,9.759477E-4
67,9.261375E-4
68,8.797032E-4
69,8.363653E-4
70,7.958827E-4
71,7.580284E-4
72,7.225973E-4
73,6.894034E-4
74,6.582773E-4
75,6.290645E-4
76,6.016242E-4
77,5.758265E-4
78,5.515531E-4
79,5.286957E-4
80,5.071551E-4
81,4.868402E-4
82,4.676668E-4
83,4.495575E-4
84,4.324410E-4
85,4.162520E-4
86,4.009301E-4
87,3.864192E-4
88,3.726675E-4
89,3.596270E-4
90,3.472535E-4
91,3.355060E-4
92,3.243464E-4
93,3.137392E-4
94,3.036514E-4
95,2.940524E-4
96,2.849139E-4
97,2.762094E-4
98,2.679141E-4
99,2.600049E-4
100,2.524602E-4
101,2.452600E-4
102,2.383855E-4
103,2.318193E-4
104,2.255448E-4
105,2.195464E-4
106,2.138098E-4
107,2.083217E-4
108,2.030692E-4
109,1.980404E-4
110,1.932241E-4
111,1.886097E-4
112,1.841874E-4
113,1.799480E-4
114,1.758826E-4
115,1.719830E-4
116,1.682413E-4
117,1.646502E-4
118,1.612029E-4
119,1.578930E-4
120,1.547141E-4
121,1.516603E-4
122,1.487263E-4
123,1.459069E-4
124,1.431972E-4
125,1.405925E-4
126,1.380884E-4
127,1.356807E-4
128,1.333654E-4
129,1.311390E-4
130,1.289979E-4
131,1.269387E-4
132,1.249581E-4
133,1.230531E-4
134,1.212210E-4
135,1.194591E-4
136,1.177648E-4
137,1.161355E-4
138,1.145689E-4
139,1.130629E-4
140,1.116154E-4
141,1.102245E-4
142,1.088882E-4
143,1.076046E-4
144,1.063721E-4
145,1.051892E-4
146,1.040543E-4
147,1.029660E-4
148,1.019227E-4
149,1.009232E-4
150,9.996628E-5
151,9.905087E-5
152,9.817577E-5
153,9.733983E-5
154,9.654205E-5
155,9.578156E-5
156,9.505753E-5
157,9.436908E-5
158,9.371532E-5
159,9.309544E-5
160,9.250881E-5
161,9.195485E-5
162,9.143295E-5
163,9.094241E-5
164,9.048262E-5
165,9.005282E-5
166,8.965347E-5
167,8.928335E-5
168,8.894227E-5
169,8.862974E-5
170,8.834540E-5
171,8.808905E-5
172,8.786052E-5
173,8.765955E-5
174,8.748577E-5
175,8.733890E-5
176,8.721885E-5
177,8.712570E-5
178,8.705943E-5
179,8.701986E-5
180,8.700672E-5
