RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 800 
Total cross section: 2.000671E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,6.785076E-1
1,6.745049E-1
2,6.627002E-1
3,6.436814E-1
4,6.183589E-1
5,5.878742E-1
6,5.534949E-1
7,5.165108E-1
8,4.781443E-1
9,4.394843E-1
10,4.014444E-1
11,3.647456E-1
12,3.299185E-1
13,2.973193E-1
14,2.671538E-1
15,2.395059E-1
16,2.143643E-1
17,1.916492E-1
18,1.712332E-1
19,1.529599E-1
20,1.366575E-1
21,1.221490E-1
22,1.092604E-1
23,9.782440E-2
24,8.768472E-2
25,7.869705E-2
26,7.073008E-2
27,6.366540E-2
28,5.739702E-2
29,5.183069E-2
30,4.688290E-2
31,4.247994E-2
32,3.855693E-2
33,3.505686E-2
34,3.192972E-2
35,2.913167E-2
36,2.662430E-2
37,2.437393E-2
38,2.235106E-2
39,2.052982E-2
40,1.888753E-2
41,1.740426E-2
42,1.606250E-2
43,1.484687E-2
44,1.374381E-2
45,1.274137E-2
46,1.182899E-2
47,1.099736E-2
48,1.023821E-2
49,9.544242E-3
50,8.908962E-3
51,8.326606E-3
52,7.792042E-3
53,7.300697E-3
54,6.848483E-3
55,6.431772E-3
56,6.047281E-3
57,5.692094E-3
58,5.363587E-3
59,5.059404E-3
60,4.777423E-3
61,4.515733E-3
62,4.272608E-3
63,4.046493E-3
64,3.835978E-3
65,3.639790E-3
66,3.456772E-3
67,3.285876E-3
68,3.126148E-3
69,2.976719E-3
70,2.836798E-3
71,2.705665E-3
72,2.582663E-3
73,2.467191E-3
74,2.358698E-3
75,2.256681E-3
76,2.160677E-3
77,2.070261E-3
78,1.985046E-3
79,1.904673E-3
80,1.828812E-3
81,1.757161E-3
82,1.689439E-3
83,1.625387E-3
84,1.564768E-3
85,1.507358E-3
86,1.452959E-3
87,1.401376E-3
88,1.352438E-3
89,1.305980E-3
90,1.261851E-3
91,1.219913E-3
92,1.180034E-3
93,1.142092E-3
94,1.105976E-3
95,1.071581E-3
96,1.038807E-3
97,1.007565E-3
98,9.777670E-4
99,9.493346E-4
100,9.221929E-4
101,8.962721E-4
102,8.715070E-4
103,8.478365E-4
104,8.252032E-4
105,8.035531E-4
106,7.828357E-4
107,7.630036E-4
108,7.440123E-4
109,7.258201E-4
110,7.083878E-4
111,6.916783E-4
112,6.756566E-4
113,6.602899E-4
114,6.455471E-4
115,6.313992E-4
116,6.178188E-4
117,6.047799E-4
118,5.922582E-4
119,5.802303E-4
120,5.686745E-4
121,5.575698E-4
122,5.468968E-4
123,5.366371E-4
124,5.267733E-4
125,5.172888E-4
126,5.081680E-4
127,4.993960E-4
128,4.909584E-4
129,4.828421E-4
130,4.750344E-4
131,4.675233E-4
132,4.602976E-4
133,4.533465E-4
134,4.466596E-4
135,4.402271E-4
136,4.340398E-4
137,4.280888E-4
138,4.223660E-4
139,4.168635E-4
140,4.115738E-4
141,4.064897E-4
142,4.016044E-4
143,3.969112E-4
144,3.924042E-4
145,3.880775E-4
146,3.839257E-4
147,3.799436E-4
148,3.761262E-4
149,3.724687E-4
150,3.689665E-4
151,3.656153E-4
152,3.624112E-4
153,3.593503E-4
154,3.564292E-4
155,3.536445E-4
156,3.509927E-4
157,3.484707E-4
158,3.460756E-4
159,3.438048E-4
160,3.416556E-4
161,3.396258E-4
162,3.377131E-4
163,3.359153E-4
164,3.342305E-4
165,3.326565E-4
166,3.311918E-4
167,3.298347E-4
168,3.285840E-4
169,3.274383E-4
170,3.263964E-4
171,3.254571E-4
172,3.246192E-4
173,3.238818E-4
174,3.232441E-4
175,3.227057E-4
176,3.222661E-4
177,3.219249E-4
178,3.216817E-4
179,3.215360E-4
180,3.214875E-4
