RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 750 
Total cross section: 2.141046E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,6.817769E-1
1,6.780034E-1
2,6.668628E-1
3,6.488769E-1
4,6.248572E-1
5,5.958279E-1
6,5.629366E-1
7,5.273641E-1
8,4.902453E-1
9,4.526074E-1
10,4.153297E-1
11,3.791234E-1
12,3.445290E-1
13,3.119266E-1
14,2.815549E-1
15,2.535341E-1
16,2.278902E-1
17,2.045779E-1
18,1.835009E-1
19,1.645291E-1
20,1.475124E-1
21,1.322910E-1
22,1.187037E-1
23,1.065930E-1
24,9.580915E-2
25,8.621209E-2
26,7.767286E-2
27,7.007395E-2
28,6.330925E-2
29,5.728355E-2
30,5.191189E-2
31,4.711874E-2
32,4.283723E-2
33,3.900822E-2
34,3.557957E-2
35,3.250534E-2
36,2.974508E-2
37,2.726321E-2
38,2.502839E-2
39,2.301308E-2
40,2.119302E-2
41,1.954685E-2
42,1.805573E-2
43,1.670307E-2
44,1.547420E-2
45,1.435617E-2
46,1.333750E-2
47,1.240804E-2
48,1.155879E-2
49,1.078175E-2
50,1.006982E-2
51,9.416666E-3
52,8.816650E-3
53,8.264740E-3
54,7.756431E-3
55,7.287711E-3
56,6.854962E-3
57,6.454953E-3
58,6.084776E-3
59,5.741819E-3
60,5.423725E-3
61,5.128370E-3
62,4.853838E-3
63,4.598393E-3
64,4.360467E-3
65,4.138638E-3
66,3.931616E-3
67,3.738229E-3
68,3.557410E-3
69,3.388189E-3
70,3.229681E-3
71,3.081079E-3
72,2.941645E-3
73,2.810706E-3
74,2.687643E-3
75,2.571892E-3
76,2.462933E-3
77,2.360290E-3
78,2.263525E-3
79,2.172235E-3
80,2.086050E-3
81,2.004628E-3
82,1.927653E-3
83,1.854835E-3
84,1.785903E-3
85,1.720610E-3
86,1.658726E-3
87,1.600036E-3
88,1.544344E-3
89,1.491465E-3
90,1.441229E-3
91,1.393478E-3
92,1.348064E-3
93,1.304851E-3
94,1.263710E-3
95,1.224524E-3
96,1.187180E-3
97,1.151575E-3
98,1.117612E-3
99,1.085202E-3
100,1.054259E-3
101,1.024704E-3
102,9.964636E-4
103,9.694682E-4
104,9.436528E-4
105,9.189562E-4
106,8.953212E-4
107,8.726938E-4
108,8.510237E-4
109,8.302635E-4
110,8.103684E-4
111,7.912966E-4
112,7.730082E-4
113,7.554661E-4
114,7.386349E-4
115,7.224816E-4
116,7.069750E-4
117,6.920856E-4
118,6.777857E-4
119,6.640489E-4
120,6.508501E-4
121,6.381660E-4
122,6.259742E-4
123,6.142538E-4
124,6.029850E-4
125,5.921488E-4
126,5.817276E-4
127,5.717042E-4
128,5.620627E-4
129,5.527877E-4
130,5.438650E-4
131,5.352809E-4
132,5.270225E-4
133,5.190775E-4
134,5.114342E-4
135,5.040814E-4
136,4.970086E-4
137,4.902058E-4
138,4.836635E-4
139,4.773728E-4
140,4.713251E-4
141,4.655122E-4
142,4.599264E-4
143,4.545603E-4
144,4.494068E-4
145,4.444595E-4
146,4.397119E-4
147,4.351582E-4
148,4.307927E-4
149,4.266100E-4
150,4.226047E-4
151,4.187722E-4
152,4.151078E-4
153,4.116072E-4
154,4.082663E-4
155,4.050809E-4
156,4.020480E-4
157,3.991634E-4
158,3.964239E-4
159,3.938265E-4
160,3.913682E-4
161,3.890464E-4
162,3.868585E-4
163,3.848020E-4
164,3.828746E-4
165,3.810741E-4
166,3.793986E-4
167,3.778463E-4
168,3.764156E-4
169,3.751049E-4
170,3.739130E-4
171,3.728383E-4
172,3.718797E-4
173,3.710362E-4
174,3.703068E-4
175,3.696910E-4
176,3.691881E-4
177,3.687977E-4
178,3.685192E-4
179,3.683523E-4
180,3.682967E-4
