RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 500 
Total cross section: 3.292800E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,7.078428E-1
1,7.052159E-1
2,6.974198E-1
3,6.847020E-1
4,6.674563E-1
5,6.461968E-1
6,6.215261E-1
7,5.941000E-1
8,5.645932E-1
9,5.336674E-1
10,5.019455E-1
11,4.699913E-1
12,4.382967E-1
13,4.072745E-1
14,3.772573E-1
15,3.485003E-1
16,3.211877E-1
17,2.954403E-1
18,2.713249E-1
19,2.488636E-1
20,2.280426E-1
21,2.088204E-1
22,1.911351E-1
23,1.749107E-1
24,1.600618E-1
25,1.464982E-1
26,1.341278E-1
27,1.228591E-1
28,1.126032E-1
29,1.032749E-1
30,9.479345E-2
31,8.708338E-2
32,8.007445E-2
33,7.370179E-2
34,6.790584E-2
35,6.263212E-2
36,5.783099E-2
37,5.345736E-2
38,4.947032E-2
39,4.583291E-2
40,4.251169E-2
41,3.947653E-2
42,3.670025E-2
43,3.415836E-2
44,3.182881E-2
45,2.969174E-2
46,2.772928E-2
47,2.592533E-2
48,2.426537E-2
49,2.273635E-2
50,2.132650E-2
51,2.002518E-2
52,1.882281E-2
53,1.771075E-2
54,1.668117E-2
55,1.572701E-2
56,1.484186E-2
57,1.401993E-2
58,1.325597E-2
59,1.254521E-2
60,1.188333E-2
61,1.126639E-2
62,1.069083E-2
63,1.015338E-2
64,9.651088E-3
65,9.181236E-3
66,8.741359E-3
67,8.329201E-3
68,7.942698E-3
69,7.579962E-3
70,7.239263E-3
71,6.919014E-3
72,6.617759E-3
73,6.334162E-3
74,6.066990E-3
75,5.815114E-3
76,5.577490E-3
77,5.353158E-3
78,5.141231E-3
79,4.940892E-3
80,4.751385E-3
81,4.572012E-3
82,4.402124E-3
83,4.241123E-3
84,4.088452E-3
85,3.943597E-3
86,3.806079E-3
87,3.675455E-3
88,3.551310E-3
89,3.433261E-3
90,3.320951E-3
91,3.214045E-3
92,3.112233E-3
93,3.015225E-3
94,2.922751E-3
95,2.834557E-3
96,2.750407E-3
97,2.670081E-3
98,2.593372E-3
99,2.520086E-3
100,2.450042E-3
101,2.383070E-3
102,2.319010E-3
103,2.257712E-3
104,2.199035E-3
105,2.142848E-3
106,2.089027E-3
107,2.037454E-3
108,1.988020E-3
109,1.940621E-3
110,1.895159E-3
111,1.851543E-3
112,1.809686E-3
113,1.769507E-3
114,1.730927E-3
115,1.693874E-3
116,1.658280E-3
117,1.624079E-3
118,1.591210E-3
119,1.559615E-3
120,1.529238E-3
121,1.500028E-3
122,1.471935E-3
123,1.444913E-3
124,1.418917E-3
125,1.393906E-3
126,1.369839E-3
127,1.346680E-3
128,1.324391E-3
129,1.302940E-3
130,1.282293E-3
131,1.262421E-3
132,1.243294E-3
133,1.224885E-3
134,1.207168E-3
135,1.190118E-3
136,1.173709E-3
137,1.157922E-3
138,1.142733E-3
139,1.128123E-3
140,1.114073E-3
141,1.100563E-3
142,1.087577E-3
143,1.075098E-3
144,1.063110E-3
145,1.051598E-3
146,1.040548E-3
147,1.029946E-3
148,1.019779E-3
149,1.010036E-3
150,1.000703E-3
151,9.917715E-4
152,9.832296E-4
153,9.750678E-4
154,9.672766E-4
155,9.598470E-4
156,9.527707E-4
157,9.460396E-4
158,9.396461E-4
159,9.335833E-4
160,9.278443E-4
161,9.224231E-4
162,9.173136E-4
163,9.125104E-4
164,9.080082E-4
165,9.038022E-4
166,8.998877E-4
167,8.962607E-4
168,8.929172E-4
169,8.898540E-4
170,8.870677E-4
171,8.845556E-4
172,8.823149E-4
173,8.803433E-4
174,8.786387E-4
175,8.771991E-4
176,8.760233E-4
177,8.751098E-4
178,8.744578E-4
179,8.740669E-4
180,8.739366E-4
