RELATIVISTIC
ELASTIC SCATTERING CROSS SECTION
d sigma/d omega versus theta

Atomic number: 2
Energy: 600 
Total cross section: 2.710695E-1 a0**2
(a0**2 = 2.8002852E-21 m**2)

Theta (deg), d sigma/d omega (a0**2/sr)
0,6.948481E-1
1,6.917624E-1
2,6.826238E-1
3,6.677778E-1
4,6.477694E-1
5,6.233003E-1
6,5.951784E-1
7,5.642635E-1
8,5.314160E-1
9,4.974539E-1
10,4.631185E-1
11,4.290525E-1
12,3.957884E-1
13,3.637459E-1
14,3.332371E-1
15,3.044763E-1
16,2.775931E-1
17,2.526463E-1
18,2.296380E-1
19,2.085271E-1
20,1.892405E-1
21,1.716833E-1
22,1.557467E-1
23,1.413147E-1
24,1.282692E-1
25,1.164931E-1
26,1.058733E-1
27,9.630252E-2
28,8.768017E-2
29,7.991299E-2
30,7.291531E-2
31,6.660892E-2
32,6.092281E-2
33,5.579282E-2
34,5.116116E-2
35,4.697591E-2
36,4.319059E-2
37,3.976356E-2
38,3.665768E-2
39,3.383977E-2
40,3.128024E-2
41,2.895270E-2
42,2.683363E-2
43,2.490205E-2
44,2.313924E-2
45,2.152851E-2
46,2.005495E-2
47,1.870525E-2
48,1.746751E-2
49,1.633108E-2
50,1.528644E-2
51,1.432504E-2
52,1.343923E-2
53,1.262212E-2
54,1.186753E-2
55,1.116991E-2
56,1.052425E-2
57,9.926027E-3
58,9.371178E-3
59,8.856020E-3
60,8.377225E-3
61,7.931780E-3
62,7.516953E-3
63,7.130266E-3
64,6.769470E-3
65,6.432519E-3
66,6.117551E-3
67,5.822872E-3
68,5.546932E-3
69,5.288319E-3
70,5.045743E-3
71,4.818021E-3
72,4.604073E-3
73,4.402907E-3
74,4.213616E-3
75,4.035364E-3
76,3.867384E-3
77,3.708969E-3
78,3.559469E-3
79,3.418285E-3
80,3.284864E-3
81,3.158696E-3
82,3.039309E-3
83,2.926269E-3
84,2.819170E-3
85,2.717640E-3
86,2.621332E-3
87,2.529923E-3
88,2.443116E-3
89,2.360634E-3
90,2.282218E-3
91,2.207628E-3
92,2.136643E-3
93,2.069052E-3
94,2.004663E-3
95,1.943293E-3
96,1.884774E-3
97,1.828948E-3
98,1.775667E-3
99,1.724793E-3
100,1.676196E-3
101,1.629756E-3
102,1.585359E-3
103,1.542899E-3
104,1.502275E-3
105,1.463393E-3
106,1.426166E-3
107,1.390511E-3
108,1.356351E-3
109,1.323611E-3
110,1.292223E-3
111,1.262122E-3
112,1.233247E-3
113,1.205539E-3
114,1.178946E-3
115,1.153414E-3
116,1.128897E-3
117,1.105348E-3
118,1.082724E-3
119,1.060984E-3
120,1.040089E-3
121,1.020004E-3
122,1.000692E-3
123,9.821225E-4
124,9.642633E-4
125,9.470855E-4
126,9.305612E-4
127,9.146641E-4
128,8.993690E-4
129,8.846521E-4
130,8.704910E-4
131,8.568643E-4
132,8.437518E-4
133,8.311343E-4
134,8.189936E-4
135,8.073124E-4
136,7.960739E-4
137,7.852626E-4
138,7.748634E-4
139,7.648623E-4
140,7.552459E-4
141,7.460015E-4
142,7.371169E-4
143,7.285806E-4
144,7.203817E-4
145,7.125095E-4
146,7.049542E-4
147,6.977063E-4
148,6.907569E-4
149,6.840977E-4
150,6.777206E-4
151,6.716179E-4
152,6.657825E-4
153,6.602073E-4
154,6.548858E-4
155,6.498117E-4
156,6.449794E-4
157,6.403832E-4
158,6.360182E-4
159,6.318793E-4
160,6.279620E-4
161,6.242618E-4
162,6.207747E-4
163,6.174966E-4
164,6.144240E-4
165,6.115537E-4
166,6.088827E-4
167,6.064081E-4
168,6.041272E-4
169,6.020376E-4
170,6.001370E-4
171,5.984233E-4
172,5.968947E-4
173,5.955495E-4
174,5.943865E-4
175,5.934045E-4
176,5.926027E-4
177,5.919801E-4
178,5.915360E-4
179,5.912699E-4
180,5.911812E-4
