C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.7
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
703.81	782.8	9721.73	9721.73
703.91	782.7	9729.01	9729.01
704.01	782.6	9789.06	9789.06
704.11	782.5	9775.87	9775.87
704.21	782.4	9643.89	9643.89
704.31	782.3	9540.59	9540.59
704.41	782.2	9802.76	9802.76
704.51	782.1	9762.13	9762.13
704.61	782	9746.53	9746.53
704.71	781.9	9826.7	9826.7
704.81	781.8	9640.89	9640.89
704.91	781.7	9632.56	9632.56
705.01	781.6	9738.41	9738.41
705.11	781.5	9706.33	9706.33
705.21	781.4	9768.87	9768.87
705.31	781.3	9673.2	9673.2
705.41	781.2	9724	9724
705.51	781.1	9816.77	9816.77
705.61	781	9757.8	9757.8
705.71	780.9	9859.96	9859.96
705.81	780.8	9811.94	9811.94
705.91	780.7	9542.71	9542.71
706.01	780.6	9613.01	9613.01
706.11	780.5	9848.46	9848.46
706.21	780.4	9773.56	9773.56
706.31	780.3	9814.51	9814.51
706.41	780.2	9674.7	9674.7
706.51	780.1	9541.41	9541.41
706.61	780	9521.37	9521.37
706.71	779.9	9663.81	9663.81
706.81	779.8	9834	9834
706.91	779.7	9733.01	9733.01
707.01	779.6	9643.04	9643.04
707.11	779.5	9787.71	9787.71
707.21	779.4	9719.76	9719.76
707.31	779.3	9852.86	9852.86
707.41	779.2	9765.5	9765.5
707.51	779.1	9659.34	9659.34
707.61	779	9676.64	9676.64
707.71	778.9	9775.31	9775.31
707.81	778.8	9830.53	9830.53
707.91	778.7	9678.86	9678.86
708.01	778.6	9683.8	9683.8
708.11	778.5	9808.96	9808.96
708.21	778.4	9829.06	9829.06
708.31	778.3	9996.56	9996.56
708.41	778.2	9893.24	9893.24
708.51	778.1	9785.86	9785.86
708.61	778	9672.27	9672.27
708.71	777.9	9765.71	9765.71
708.81	777.8	9920.27	9920.27
708.91	777.7	9731.41	9731.41
709.01	777.6	9686.57	9686.57
709.11	777.5	9788.33	9788.33
709.21	777.4	9869.39	9869.39
709.31	777.3	9809.64	9809.64
709.41	777.2	9712.09	9712.09
709.51	777.1	9623.07	9623.07
709.61	777	9621.23	9621.23
709.71	776.9	9572.9	9572.9
709.81	776.8	9626.8	9626.8
709.91	776.7	9898.13	9898.13
710.01	776.6	9828.84	9828.84
710.11	776.5	9952.2	9952.2
710.21	776.4	9845.09	9845.09
710.31	776.3	9865.73	9865.73
710.41	776.2	9606.09	9606.09
710.51	776.1	9802.01	9802.01
710.61	776	9896.01	9896.01
710.71	775.9	9818.4	9818.4
710.81	775.8	9753.41	9753.41
710.91	775.7	9651.64	9651.64
711.01	775.6	9608.57	9608.57
711.11	775.5	9629.86	9629.86
711.21	775.4	9778.67	9778.67
711.31	775.3	9689.57	9689.57
711.41	775.2	9774.61	9774.61
711.51	775.1	9865.8	9865.8
711.61	775	9818.67	9818.67
711.71	774.9	9629.47	9629.47
711.81	774.8	9752.63	9752.63
711.91	774.7	9701.99	9701.99
712.01	774.6	9704.19	9704.19
712.11	774.5	9811.13	9811.13
712.21	774.4	9759.3	9759.3
712.31	774.3	9885.19	9885.19
712.41	774.2	9744.84	9744.84
712.51	774.1	9882.77	9882.77
712.61	774	9790.77	9790.77
712.71	773.9	9658.19	9658.19
712.81	773.8	9804.41	9804.41
712.91	773.7	9821.64	9821.64
713.01	773.6	9825.9	9825.9
713.11	773.5	9989.97	9989.97
713.21	773.4	9800.93	9800.93
713.31	773.3	9787.61	9787.61
713.41	773.2	9865.93	9865.93
713.51	773.1	9668.16	9668.16
713.61	773	9791.24	9791.24
713.71	772.9	10031.2	10031.2
713.81	772.8	9956.56	9956.56
713.91	772.7	9706.81	9706.81
714.01	772.6	9678.3	9678.3
714.11	772.5	9868.17	9868.17
714.21	772.4	9883.43	9883.43
714.31	772.3	9774.64	9774.64
714.41	772.2	9875.63	9875.63
714.51	772.1	9802.77	9802.77
714.61	772	9872.51	9872.51
714.71	771.9	10033	10033
714.81	771.8	9863.19	9863.19
714.91	771.7	9819.94	9819.94
715.01	771.6	9786.56	9786.56
715.11	771.5	9780.4	9780.4
715.21	771.4	9883.9	9883.9
715.31	771.3	9973.53	9973.53
715.41	771.2	10028.5	10028.5
715.51	771.1	9869.11	9869.11
715.61	771	9821.69	9821.69
715.71	770.9	9945.89	9945.89
715.81	770.8	9874.6	9874.6
715.91	770.7	9806.81	9806.81
716.01	770.6	9784.59	9784.59
