c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4d	BE_Au4d	CPS_Au4d
1039.11	447.5	7199.27
1039.21	447.4	7079.67
1039.31	447.3	7144.73
1039.41	447.2	7201.9
1039.51	447.1	7207.7
1039.61	447	7207.37
1039.71	446.9	7179.93
1039.81	446.8	7142.17
1039.91	446.7	7255.47
1040.01	446.6	7216.63
1040.11	446.5	7178.1
1040.21	446.4	7236.13
1040.31	446.3	7221.17
1040.41	446.2	7192.77
1040.51	446.1	7180.73
1040.61	446	7153.63
1040.71	445.9	7186.67
1040.81	445.8	7257.6
1040.91	445.7	7235.8
1041.01	445.6	7210.63
1041.11	445.5	7205.4
1041.21	445.4	7248.37
1041.31	445.3	7216.1
1041.41	445.2	7268.2
1041.51	445.1	7252.6
1041.61	445	7315.9
1041.71	444.9	7300.6
1041.81	444.8	7287.57
1041.91	444.7	7308.63
1042.01	444.6	7299.97
1042.11	444.5	7197
1042.21	444.4	7197.37
1042.31	444.3	7227.47
1042.41	444.2	7226.63
1042.51	444.1	7261.43
1042.61	444	7201.43
1042.71	443.9	7239.67
1042.81	443.8	7265.13
1042.91	443.7	7350.2
1043.01	443.6	7287.27
1043.11	443.5	7256.03
1043.21	443.4	7218.27
1043.31	443.3	7298.53
1043.41	443.2	7269.53
1043.51	443.1	7235.13
1043.61	443	7234.27
1043.71	442.9	7318
1043.81	442.8	7298.43
1043.91	442.7	7356.93
1044.01	442.6	7288.47
1044.11	442.5	7277.2
1044.21	442.4	7340.73
1044.31	442.3	7333.07
1044.41	442.2	7382.3
1044.51	442.1	7356.87
1044.61	442	7330.87
1044.71	441.9	7302.27
1044.81	441.8	7368.33
1044.91	441.7	7268.37
1045.01	441.6	7279.6
1045.11	441.5	7256.2
1045.21	441.4	7274.53
1045.31	441.3	7377.17
1045.41	441.2	7401.5
1045.51	441.1	7291
1045.61	441	7300.43
1045.71	440.9	7348
1045.81	440.8	7383.37
1045.91	440.7	7399.83
1046.01	440.6	7335.4
1046.11	440.5	7293.53
1046.21	440.4	7399.87
1046.31	440.3	7340.43
1046.41	440.2	7362.33
1046.51	440.1	7341.97
1046.61	440	7411.87
1046.71	439.9	7390.6
1046.81	439.8	7366.67
1046.91	439.7	7383.17
1047.01	439.6	7398.43
1047.11	439.5	7404.7
1047.21	439.4	7372.63
1047.31	439.3	7390.47
1047.41	439.2	7333.17
1047.51	439.1	7391.63
1047.61	439	7479.3
1047.71	438.9	7399.17
1047.81	438.8	7351.03
1047.91	438.7	7379.8
1048.01	438.6	7354.37
1048.11	438.5	7430.03
1048.21	438.4	7450.93
1048.31	438.3	7430.43
1048.41	438.2	7468.23
1048.51	438.1	7423
1048.61	438	7391.7
1048.71	437.9	7414.4
1048.81	437.8	7435.03
1048.91	437.7	7372.67
1049.01	437.6	7417.03
1049.11	437.5	7454.6
1049.21	437.4	7449.9
1049.31	437.3	7454.8
1049.41	437.2	7511.37
1049.51	437.1	7485.07
1049.61	437	7457.8
1049.71	436.9	7429.47
1049.81	436.8	7409.33
1049.91	436.7	7381.17
1050.01	436.6	7484.93
1050.11	436.5	7460.77
1050.21	436.4	7416.3
1050.31	436.3	7469.9
1050.41	436.2	7496.27
1050.51	436.1	7437.37
1050.61	436	7419.43
1050.71	435.9	7477.27
1050.81	435.8	7529.1
1050.91	435.7	7391.43
1051.01	435.6	7452.93
1051.11	435.5	7469.43
1051.21	435.4	7391.2
1051.31	435.3	7508.43
1051.41	435.2	7500.63
1051.51	435.1	7457.13
1051.61	435	7515.83
1051.71	434.9	7510.43
1051.81	434.8	7506.33
1051.91	434.7	7538.9
1052.01	434.6	7517.4
1052.11	434.5	7513.23
1052.21	434.4	7545.33
1052.31	434.3	7491.07
1052.41	434.2	7530.73
1052.51	434.1	7423
1052.61	434	7484.07
1052.71	433.9	7501.13
1052.81	433.8	7522.8
1052.91	433.7	7471.13
1053.01	433.6	7484.87
1053.11	433.5	7534.03
1053.21	433.4	7533.37
1053.31	433.3	7519.23
1053.41	433.2	7537.93
1053.51	433.1	7554.93
1053.61	433	7481.17
1053.71	432.9	7489.93
1053.81	432.8	7566.53
1053.91	432.7	7551.57
1054.01	432.6	7502.5
1054.11	432.5	7558.83
1054.21	432.4	7467.07
1054.31	432.3	7496.8
1054.41	432.2	7557.1
1054.51	432.1	7593.7
1054.61	432	7481.33
1054.71	431.9	7530
1054.81	431.8	7496.67
1054.91	431.7	7552.6
1055.01	431.6	7542
1055.11	431.5	7553.97
1055.21	431.4	7560.57
1055.31	431.3	7589.67
1055.41	431.2	7599.27
1055.51	431.1	7565.67
1055.61	431	7607.4
1055.71	430.9	7595.13
1055.81	430.8	7599.67
1055.91	430.7	7755.73
1056.01	430.6	7607.43
1056.11	430.5	7642.1
1056.21	430.4	7636.83
1056.31	430.3	7589
1056.41	430.2	7610.23
1056.51	430.1	7592.33
1056.61	430	7637.47
1056.71	429.9	7581.53
1056.81	429.8	7602.3
1056.91	429.7	7597.2
1057.01	429.6	7614.73
1057.11	429.5	7538.63
1057.21	429.4	7550.6
1057.31	429.3	7498.8
1057.41	429.2	7579.67
1057.51	429.1	7608.83
1057.61	429	7643.27
1057.71	428.9	7649.9
1057.81	428.8	7555.83
1057.91	428.7	7615.37
1058.01	428.6	7617.13
1058.11	428.5	7642.67
1058.21	428.4	7568.1
1058.31	428.3	7564.33
1058.41	428.2	7590.1
1058.51	428.1	7571.17
1058.61	428	7527.8
1058.71	427.9	7618
1058.81	427.8	7655.13
1058.91	427.7	7652.73
1059.01	427.6	7607.63
1059.11	427.5	7511.9
1059.21	427.4	7590.8
1059.31	427.3	7640.7
1059.41	427.2	7603
1059.51	427.1	7601.6
1059.61	427	7632.23
1059.71	426.9	7612.87
1059.81	426.8	7578.43
1059.91	426.7	7633.77
1060.01	426.6	7684.2
1060.11	426.5	7648.73
1060.21	426.4	7647.7
1060.31	426.3	7642.9
1060.41	426.2	7659.67
1060.51	426.1	7657.73
1060.61	426	7570.47
1060.71	425.9	7649.07
1060.81	425.8	7624.43
1060.91	425.7	7608.03
1061.01	425.6	7618.93
1061.11	425.5	7646.13
1061.21	425.4	7725.23
1061.31	425.3	7695.8
1061.41	425.2	7651.9
1061.51	425.1	7680.8
1061.61	425	7602.63
1061.71	424.9	7596.87
1061.81	424.8	7725.93
1061.91	424.7	7737.2
1062.01	424.6	7605.03
1062.11	424.5	7706.47
1062.21	424.4	7708.7
1062.31	424.3	7797.97
1062.41	424.2	7746.87
1062.51	424.1	7703.2
1062.61	424	7706.6
1062.71	423.9	7748.53
1062.81	423.8	7740.63
1062.91	423.7	7798.3
1063.01	423.6	7792.17
1063.11	423.5	7790.3
1063.21	423.4	7794.47
1063.31	423.3	7804.63
1063.41	423.2	7753.53
1063.51	423.1	7805.37
1063.61	423	7860.2
1063.71	422.9	7920.83
1063.81	422.8	7869.53
1063.91	422.7	7913.47
1064.01	422.6	7891.9
1064.11	422.5	7836.87
1064.21	422.4	7925.2
1064.31	422.3	7936.4
1064.41	422.2	7884.53
1064.51	422.1	7934.93
1064.61	422	7841.73
1064.71	421.9	7902.53
1064.81	421.8	7905.33
1064.91	421.7	7930.17
1065.01	421.6	7886.87
1065.11	421.5	7859.27
1065.21	421.4	7896.4
1065.31	421.3	7847.43
1065.41	421.2	7807.4
1065.51	421.1	7808.8
1065.61	421	7777.5
1065.71	420.9	7824.73
1065.81	420.8	7818.37
1065.91	420.7	7845.17
1066.01	420.6	7818.9
1066.11	420.5	7874.97
1066.21	420.4	7904.1
1066.31	420.3	7895.97
1066.41	420.2	7872.77
1066.51	420.1	7914.4
1066.61	420	7961.57
1066.71	419.9	7964.03
1066.81	419.8	7915.37
1066.91	419.7	7911.73
1067.01	419.6	7873.97
1067.11	419.5	7948.17
1067.21	419.4	7945.2
1067.31	419.3	7994.13
1067.41	419.2	7981.5
1067.51	419.1	7963.37
1067.61	419	8024.6
1067.71	418.9	7985.9
1067.81	418.8	8016
1067.91	418.7	8005.7
1068.01	418.6	7976.23
1068.11	418.5	7985.97
1068.21	418.4	7946.57
1068.31	418.3	7864.2
1068.41	418.2	7761.37
1068.51	418.1	7769.17
1068.61	418	7771.87
1068.71	417.9	7742.73
1068.81	417.8	7814.6
1068.91	417.7	7753.5
1069.01	417.6	7715.2
1069.11	417.5	7758.83
1069.21	417.4	7676.03
1069.31	417.3	7718.67
1069.41	417.2	7792.63
1069.51	417.1	7764.47
1069.61	417	7753.1
1069.71	416.9	7730.27
1069.81	416.8	7748.93
1069.91	416.7	7728.07
1070.01	416.6	7772.37
1070.11	416.5	7855.1
1070.21	416.4	7891.47
1070.31	416.3	7888.17
1070.41	416.2	7801.37
1070.51	416.1	7846.8
1070.61	416	7854.13
1070.71	415.9	7807.43
1070.81	415.8	7832.1
1070.91	415.7	7854.47
1071.01	415.6	7804.5
