c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu3s
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Cu3s	BE_Cu3s	CPS_Cu3s
1289.01	197.6	1888.43
1289.11	197.5	1961.93
1289.21	197.4	1946.6
1289.31	197.3	1906.6
1289.41	197.2	1877.47
1289.51	197.1	1939.18
1289.61	197	1897.61
1289.71	196.9	1903.24
1289.81	196.8	1897.38
1289.91	196.7	1937.57
1290.01	196.6	2011.33
1290.11	196.5	1933.9
1290.21	196.4	1941.91
1290.31	196.3	1961.9
1290.41	196.2	1917.38
1290.51	196.1	1957.07
1290.61	196	1976.96
1290.71	195.9	1974.03
1290.81	195.8	1923.49
1290.91	195.7	1903.7
1291.01	195.6	1971.48
1291.11	195.5	1942.06
1291.21	195.4	1910.13
1291.31	195.3	1964.77
1291.41	195.2	1960.79
1291.51	195.1	1918.94
1291.61	195	1932.2
1291.71	194.9	1957.74
1291.81	194.8	1953.96
1291.91	194.7	1928.96
1292.01	194.6	1905.65
1292.11	194.5	1916.83
1292.21	194.4	1953.56
1292.31	194.3	1943.94
1292.41	194.2	1942.44
1292.51	194.1	1933.67
1292.61	194	1957.58
1292.71	193.9	1960.19
1292.81	193.8	2001.43
1292.91	193.7	1965.33
1293.01	193.6	1932.27
1293.11	193.5	1959.93
1293.21	193.4	1972.17
1293.31	193.3	1913.83
1293.41	193.2	1971.04
1293.51	193.1	1921.33
1293.61	193	2025.83
1293.71	192.9	2017.69
1293.81	192.8	1962.73
1293.91	192.7	1980.56
1294.01	192.6	1966.75
1294.11	192.5	1990.54
1294.21	192.4	2012.61
1294.31	192.3	1962.33
1294.41	192.2	1944.49
1294.51	192.1	1907.32
1294.61	192	1921.25
1294.71	191.9	1961.43
1294.81	191.8	1970.59
1294.91	191.7	2007.23
1295.01	191.6	2004.26
1295.11	191.5	1956.15
1295.21	191.4	1958.12
1295.31	191.3	1912.75
1295.41	191.2	1965.11
1295.51	191.1	1953.4
1295.61	191	1990.3
1295.71	190.9	1979.31
1295.81	190.8	1952.1
1295.91	190.7	1949.38
1296.01	190.6	1969.66
1296.11	190.5	2005.02
1296.21	190.4	2013.45
1296.31	190.3	2052.53
1296.41	190.2	2010.49
1296.51	190.1	2043.14
1296.61	190	2024.56
1296.71	189.9	1997.61
1296.81	189.8	1981.07
1296.91	189.7	1966.86
1297.01	189.6	2003.51
1297.11	189.5	1974.47
1297.21	189.4	1923.59
1297.31	189.3	1960.12
1297.41	189.2	1966.05
1297.51	189.1	1972.47
1297.61	189	1992.76
1297.71	188.9	1978.62
1297.81	188.8	2010.65
1297.91	188.7	1995.4
1298.01	188.6	1972.85
1298.11	188.5	1974.85
1298.21	188.4	1988.15
1298.31	188.3	1944.23
1298.41	188.2	1984.2
1298.51	188.1	1974.27
1298.61	188	1962.92
1298.71	187.9	1969.57
1298.81	187.8	1971.12
1298.91	187.7	1975.03
1299.01	187.6	1932.02
1299.11	187.5	1993.96
1299.21	187.4	1995.04
1299.31	187.3	1994.21
1299.41	187.2	1954.48
1299.51	187.1	1975.25
1299.61	187	1989.04
1299.71	186.9	1963.31
1299.81	186.8	2017.13
1299.91	186.7	2002.79
1300.01	186.6	1939.43
1300.11	186.5	2004.11
1300.21	186.4	2017.05
1300.31	186.3	2006.95
1300.41	186.2	1999.85
1300.51	186.1	2004.4
1300.61	186	2013.11
1300.71	185.9	2044.77
1300.81	185.8	1998.34
1300.91	185.7	2004.41
1301.01	185.6	1966.52
1301.11	185.5	1999.92
1301.21	185.4	2014.96
1301.31	185.3	1961.93
1301.41	185.2	1961.32
1301.51	185.1	2030.65
1301.61	185	1984.59
1301.71	184.9	1981.56
1301.81	184.8	2000.63
1301.91	184.7	2017.16
1302.01	184.6	1976.3
1302.11	184.5	1993.06
1302.21	184.4	2061.03
1302.31	184.3	2003.35
1302.41	184.2	2008.1
1302.51	184.1	1979.75
1302.61	184	1994.31
1302.71	183.9	1997.7
1302.81	183.8	1992.5
1302.91	183.7	2024.33
1303.01	183.6	2037.79
1303.11	183.5	2006.76
1303.21	183.4	2026.83
1303.31	183.3	2003.99
1303.41	183.2	1974.97
1303.51	183.1	1966.46
1303.61	183	2017.4
1303.71	182.9	2011.23
1303.81	182.8	2017.69
1303.91	182.7	2058.22
1304.01	182.6	2030.92
1304.11	182.5	2016.66
1304.21	182.4	1987.18
1304.31	182.3	1945.58
1304.41	182.2	2008.46
1304.51	182.1	2001.8
1304.61	182	2004.77
1304.71	181.9	2014.49
1304.81	181.8	1965.64
1304.91	181.7	2027.83
1305.01	181.6	2014.28
1305.11	181.5	2009.22
1305.21	181.4	2040.43
1305.31	181.3	2021.59
1305.41	181.2	1964.05
1305.51	181.1	2035.04
1305.61	181	2015.43
1305.71	180.9	2051.99
1305.81	180.8	1994.31
1305.91	180.7	2025.43
1306.01	180.6	2092.32
1306.11	180.5	2058.18
1306.21	180.4	2056.75
1306.31	180.3	2030.31
1306.41	180.2	2022.53
1306.51	180.1	1980.09
1306.61	180	2026.47
1306.71	179.9	2060.21
1306.81	179.8	2072.64
1306.91	179.7	2045.43
1307.01	179.6	2042.03
1307.11	179.5	2049.59
1307.21	179.4	2035.34
1307.31	179.3	2050.26
1307.41	179.2	2049.89
1307.51	179.1	2035.15
1307.61	179	2006.3
1307.71	178.9	2016.93
1307.81	178.8	2050.01
1307.91	178.7	2085.63
1308.01	178.6	2038.93
1308.11	178.5	2075.28
1308.21	178.4	2012.75
1308.31	178.3	2031.96
1308.41	178.2	2041.45
1308.51	178.1	2033.25
1308.61	178	2081.51
1308.71	177.9	2091.49
1308.81	177.8	2083.68
1308.91	177.7	2082.72
1309.01	177.6	2083.59
1309.11	177.5	2050.52
1309.21	177.4	2068.3
1309.31	177.3	2034.06
1309.41	177.2	2026.47
1309.51	177.1	2059.4
1309.61	177	1998.83
1309.71	176.9	2065.67
1309.81	176.8	2067.01
1309.91	176.7	2090.68
1310.01	176.6	2064.36
1310.11	176.5	2058.3
1310.21	176.4	2056.19
1310.31	176.3	2089.58
1310.41	176.2	2059.05
1310.51	176.1	2063.37
1310.61	176	2038.63
1310.71	175.9	2015.78
1310.81	175.8	2071.32
1310.91	175.7	2058.51
1311.01	175.6	2034.08
1311.11	175.5	2058.3
1311.21	175.4	2068.62
1311.31	175.3	2104.12
1311.41	175.2	2070.47
1311.51	175.1	2090.03
1311.61	175	2034.88
1311.71	174.9	2049.16
1311.81	174.8	2146.52
1311.91	174.7	2082.86
1312.01	174.6	2059.63
1312.11	174.5	2074.65
1312.21	174.4	2064.53
1312.31	174.3	2072.7
1312.41	174.2	2120.68
1312.51	174.1	2108.59
1312.61	174	2100.13
1312.71	173.9	2065.7
1312.81	173.8	2027.26
1312.91	173.7	2043.03
1313.01	173.6	2067.36
1313.11	173.5	2093.09
1313.21	173.4	2056.43
1313.31	173.3	2101.74
1313.41	173.2	2117.62
1313.51	173.1	2111.23
1313.61	173	2080.59
1313.71	172.9	2093.41
1313.81	172.8	2146.45
1313.91	172.7	2080.09
1314.01	172.6	2092.57
1314.11	172.5	2080.51
1314.21	172.4	2111.3
1314.31	172.3	2131.55
1314.41	172.2	2087.05
1314.51	172.1	2091.97
1314.61	172	2110.35
1314.71	171.9	2097.3
1314.81	171.8	2147.94
1314.91	171.7	2118.49
1315.01	171.6	2078.89
1315.11	171.5	2107.66
