c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu LMM
	Characteristic Energy eV	1486.61	Acquisition Time s	4.35
KE_Cu LMM	BE_Cu LMM	CPS_Cu LMM
890.285	596.325	3035.84
890.385	596.225	3024.97
890.485	596.125	3007.03
890.585	596.025	2984.41
890.685	595.925	3023.4
890.785	595.825	2983.45
890.885	595.725	2978.46
890.985	595.625	2995.47
891.084	595.526	3019.66
891.184	595.426	3007.98
891.284	595.326	3032.23
891.384	595.226	3015.06
891.484	595.126	3007.56
891.584	595.026	3030.76
891.684	594.926	3030.51
891.784	594.826	2998.83
891.884	594.726	3023.1
891.984	594.626	3041.79
892.083	594.527	3017.98
892.183	594.427	3012.46
892.283	594.327	3032.3
892.383	594.227	3057.66
892.483	594.127	3032.14
892.583	594.027	3025.15
892.683	593.927	3003.15
892.783	593.827	3022.94
892.883	593.727	3038.44
892.983	593.627	3048.78
893.082	593.528	2991.29
893.182	593.428	2994.16
893.282	593.328	2980.87
893.382	593.228	3042.09
893.482	593.128	3005.29
893.582	593.028	2954.16
893.682	592.928	3013.72
893.782	592.828	3019.33
893.882	592.728	2997.52
893.981	592.629	2971.72
894.081	592.529	2989.47
894.181	592.429	2998.25
894.281	592.329	3010.28
894.381	592.229	3035.61
894.481	592.129	3022.09
894.581	592.029	3015.91
894.681	591.929	3015.61
894.781	591.829	3030.78
894.881	591.729	2996.02
894.98	591.63	2973.45
895.08	591.53	2980.69
895.18	591.43	3004.16
895.28	591.33	2984.23
895.38	591.23	2968.34
895.48	591.13	2982.94
895.58	591.03	3012.92
895.68	590.93	3010.62
895.78	590.83	3033.98
895.879	590.731	3011.47
895.979	590.631	2988.48
896.079	590.531	2964.48
896.179	590.431	2954.25
896.279	590.331	3004.57
896.379	590.231	2995.95
896.479	590.131	2999.59
896.579	590.031	3002.16
896.679	589.931	3019.06
896.779	589.831	2984.32
896.878	589.732	2942.76
896.978	589.632	2959.84
897.078	589.532	3031.03
897.178	589.432	2991.68
897.278	589.332	2968.53
897.378	589.232	2983.03
897.478	589.132	2996.92
897.578	589.032	2993.98
897.678	588.932	2967.56
897.778	588.832	2975.89
897.877	588.733	2996.21
897.977	588.633	2985.93
898.077	588.533	2977.29
898.177	588.433	3011.77
898.277	588.333	2977.36
898.377	588.233	3017.13
898.477	588.133	2990.94
898.577	588.033	2995.98
898.677	587.933	3016.92
898.776	587.834	2980.57
898.876	587.734	2998.74
898.976	587.634	2957.66
899.076	587.534	2972.71
899.176	587.434	2989.61
899.276	587.334	3026.39
899.376	587.234	3030.34
899.476	587.134	2997.17
899.576	587.034	2989.45
899.676	586.934	3031.54
899.775	586.835	2973.1
899.875	586.735	3034.99
899.975	586.635	3014.6
900.075	586.535	2987.54
900.175	586.435	2986.69
900.275	586.335	3006.74
900.375	586.235	3000.78
900.475	586.135	3020.07
900.575	586.035	3021.33
900.675	585.935	3006.41
900.774	585.836	2993.31
900.874	585.736	2962.53
900.974	585.636	2973.75
901.074	585.536	2953.22
901.174	585.436	2954.67
901.274	585.336	2969.95
901.374	585.236	2966.9
901.474	585.136	2983.84
901.574	585.036	2973.29
901.673	584.937	2985.4
901.773	584.837	2944.46
901.873	584.737	2961.08
901.973	584.637	3004.62
902.073	584.537	2990.9
902.173	584.437	2963.66
902.273	584.337	2938.18
902.373	584.237	2945.45
902.473	584.137	2907.24
902.573	584.037	2990.62
902.672	583.938	3033.24
902.772	583.838	2968.55
902.872	583.738	2935.84
902.972	583.638	2943.89
903.072	583.538	2895.17
903.172	583.438	2888.44
903.272	583.338	2912.71
903.372	583.238	2940.37
903.472	583.138	2892.83
903.571	583.039	2924.51
903.671	582.939	2924.85
903.771	582.839	2939.54
903.871	582.739	2897.1
903.971	582.639	2931.56
904.071	582.539	2927.4
904.171	582.439	2925.33
904.271	582.339	2968.32
904.371	582.239	2948.99
904.471	582.139	2968.9
904.57	582.04	2980
904.67	581.94	2948.9
904.77	581.84	2992.55
904.87	581.74	2980.25
904.97	581.64	2958.53
905.07	581.54	2987.75
905.17	581.44	3017.1
905.27	581.34	3006.11
905.37	581.24	2994.8
905.47	581.14	2985.91
905.569	581.041	2977.82
905.669	580.941	2950.14
905.769	580.841	2944.16
905.869	580.741	2908.14
905.969	580.641	2877.01
906.069	580.541	2811.86
906.169	580.441	2763.29
906.269	580.341	2774.18
906.369	580.241	2735.03
906.468	580.142	2677.2
906.568	580.042	2688.85
906.668	579.942	2632.57
906.768	579.842	2650.83
906.868	579.742	2675.49
906.968	579.642	2653.2
907.068	579.542	2654.28
907.168	579.442	2674.67
907.268	579.342	2582.97
907.368	579.242	2579.79
907.467	579.143	2586.46
907.567	579.043	2593.26
907.667	578.943	2610.76
907.767	578.843	2607.24
907.867	578.743	2570.97
907.967	578.643	2619.63
908.067	578.543	2620.11
908.167	578.443	2581.56
908.267	578.343	2610.62
908.366	578.244	2568
908.466	578.144	2575.22
908.566	578.044	2617.95
908.666	577.944	2629.15
908.766	577.844	2593.26
908.866	577.744	2551.54
908.966	577.644	2548.53
909.066	577.544	2598.97
909.166	577.444	2543.93
909.266	577.344	2556.62
909.365	577.245	2597.33
909.465	577.145	2571.59
909.565	577.045	2533.06
909.665	576.945	2552.02
909.765	576.845	2521.93
909.865	576.745	2530
909.965	576.645	2515.68
910.065	576.545	2536.39
910.165	576.445	2540.44
910.265	576.345	2544.94
910.364	576.246	2549.77
910.464	576.146	2520.83
910.564	576.046	2552.16
910.664	575.946	2578.53
910.764	575.846	2542.83
910.864	575.746	2556.62
910.964	575.646	2565.61
911.064	575.546	2586.55
911.164	575.446	2534.67
911.263	575.347	2543.33
911.363	575.247	2555.52
911.463	575.147	2561.36
911.563	575.047	2543.43
911.663	574.947	2563.84
911.763	574.847	2577.43
911.863	574.747	2613.15
911.963	574.647	2596.94
912.063	574.547	2586.07
912.163	574.447	2621.1
912.262	574.348	2611.13
912.362	574.248	2668.78
912.462	574.148	2768.9
912.562	574.048	2747.54
912.662	573.948	2740.09
912.762	573.848	2778.99
912.862	573.748	2776.41
912.962	573.648	2806.57
913.062	573.548	2862.94
913.161	573.449	2861.01
913.261	573.349	2875.84
913.361	573.249	2888.94
913.461	573.149	2896.41
913.561	573.049	2928.87
913.661	572.949	2962.39
913.761	572.849	3003.36
913.861	572.749	3007.52
913.961	572.649	3059.52
914.061	572.549	3027.54
914.16	572.45	3028.87
914.26	572.35	2997.4
914.36	572.25	3002.76
914.46	572.15	2985.98
914.56	572.05	2976.94
914.66	571.95	2974.34
914.76	571.85	2941.08
914.86	571.75	2893.43
914.96	571.65	2881.13
915.06	571.55	2933.95
915.159	571.451	2866.14
915.259	571.351	2868.87
915.359	571.251	2917.38
915.459	571.151	2949.17
915.559	571.051	2985.33
915.659	570.951	3007.7
915.759	570.851	3092.25
915.859	570.751	3131.68
915.959	570.651	3168.69
916.058	570.552	3180.62
916.158	570.452	3200.25
916.258	570.352	3201.84
