c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu LMM
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Cu LMM	BE_Cu LMM	CPS_Cu LMM
890.485	596.125	8583.53
890.585	596.025	8582.83
890.685	595.925	8496.17
890.785	595.825	8510.7
890.885	595.725	8591.57
890.985	595.625	8570.23
891.084	595.526	8587.1
891.184	595.426	8543.17
891.284	595.326	8584.07
891.384	595.226	8563.3
891.484	595.126	8598.43
891.584	595.026	8556.27
891.684	594.926	8604.9
891.784	594.826	8596.8
891.884	594.726	8643.6
891.984	594.626	8647.63
892.083	594.527	8703.33
892.183	594.427	8644.27
892.283	594.327	8606
892.383	594.227	8694.67
892.483	594.127	8660.77
892.583	594.027	8623.27
892.683	593.927	8637.83
892.783	593.827	8586.97
892.883	593.727	8689.3
892.983	593.627	8681
893.082	593.528	8700.23
893.182	593.428	8705.23
893.282	593.328	8755.87
893.382	593.228	8749.4
893.482	593.128	8716.3
893.582	593.028	8781.43
893.682	592.928	8695.3
893.782	592.828	8691.3
893.882	592.728	8727.37
893.981	592.629	8744.43
894.081	592.529	8667
894.181	592.429	8795.8
894.281	592.329	8768.1
894.381	592.229	8723.63
894.481	592.129	8839.37
894.581	592.029	8781.23
894.681	591.929	8716.13
894.781	591.829	8822.9
894.881	591.729	8791.7
894.98	591.63	8799.77
895.08	591.53	8795.23
895.18	591.43	8790.57
895.28	591.33	8794.17
895.38	591.23	8789.97
895.48	591.13	8846.47
895.58	591.03	8775.1
895.68	590.93	8806.03
895.78	590.83	8865.6
895.879	590.731	8863.7
895.979	590.631	8765.77
896.079	590.531	8824.97
896.179	590.431	8850.33
896.279	590.331	8884.93
896.379	590.231	8833.27
896.479	590.131	8821.53
896.579	590.031	8930.3
896.679	589.931	8858.63
896.779	589.831	8867.8
896.878	589.732	8937.6
896.978	589.632	8961.97
897.078	589.532	8952.13
897.178	589.432	8947.77
897.278	589.332	8874.73
897.378	589.232	8973.23
897.478	589.132	8903
897.578	589.032	8970.67
897.678	588.932	8875.77
897.778	588.832	8878.37
897.877	588.733	8970.97
897.977	588.633	8849.27
898.077	588.533	8948.57
898.177	588.433	8942.27
898.277	588.333	8997.53
898.377	588.233	8905.03
898.477	588.133	9006.83
898.577	588.033	9032.87
898.677	587.933	9018.5
898.776	587.834	8949.73
898.876	587.734	8995.73
898.976	587.634	8956.33
899.076	587.534	9037
899.176	587.434	9004.27
899.276	587.334	8980.97
899.376	587.234	8986.07
899.476	587.134	8990.3
899.576	587.034	8962.27
899.676	586.934	9072.2
899.775	586.835	9028.6
899.875	586.735	9042.8
899.975	586.635	9018.57
900.075	586.535	8984.3
900.175	586.435	9062.43
900.275	586.335	8997.7
900.375	586.235	9028.7
900.475	586.135	8977.4
900.575	586.035	9038.87
900.675	585.935	9054.37
900.774	585.836	9020.47
900.874	585.736	9032.33
900.974	585.636	8960.63
901.074	585.536	9032.13
901.174	585.436	9017.67
901.274	585.336	8931.13
901.374	585.236	9007.7
901.474	585.136	8993.5
901.574	585.036	8933.87
901.673	584.937	8901.4
901.773	584.837	8976.9
901.873	584.737	8996.9
901.973	584.637	8980.2
902.073	584.537	9022.37
902.173	584.437	8957.43
902.273	584.337	8925.8
902.373	584.237	8978.77
902.473	584.137	8981.8
902.573	584.037	8937.97
902.672	583.938	8956.67
902.772	583.838	9008.07
902.872	583.738	8923.63
902.972	583.638	8953.27
903.072	583.538	8988.8
903.172	583.438	8925.93
903.272	583.338	8929.73
903.372	583.238	9019.73
903.472	583.138	9056.3
903.571	583.039	8992.47
903.671	582.939	9035.17
903.771	582.839	8971.93
903.871	582.739	8896.6
903.971	582.639	8992.6
904.071	582.539	9000.13
904.171	582.439	9058.43
904.271	582.339	8924.73
904.371	582.239	8993.6
904.471	582.139	8995.6
904.57	582.04	9051.3
904.67	581.94	8991.8
904.77	581.84	9045.33
904.87	581.74	9157.73
904.97	581.64	9038.77
905.07	581.54	9030.67
905.17	581.44	9025.73
905.27	581.34	9035.3
905.37	581.24	9121
905.47	581.14	9214.23
905.569	581.041	9071.13
905.669	580.941	9123.87
905.769	580.841	9189.2
905.869	580.741	9244.87
905.969	580.641	9158.73
906.069	580.541	9327.8
906.169	580.441	9403.23
906.269	580.341	9320.67
906.369	580.241	9438.57
906.468	580.142	9430.67
906.568	580.042	9362.5
906.668	579.942	9516.6
906.768	579.842	9542.17
906.868	579.742	9624
906.968	579.642	9633.2
907.068	579.542	9646.3
907.168	579.442	9735.17
907.268	579.342	9635.1
907.368	579.242	9640.13
907.467	579.143	9786.93
907.567	579.043	9688.5
907.667	578.943	9665.17
907.767	578.843	9765.67
907.867	578.743	9772.73
907.967	578.643	9824.17
908.067	578.543	9840.13
908.167	578.443	9883.4
908.267	578.343	9870.5
908.366	578.244	9871.77
908.466	578.144	9932.5
908.566	578.044	9971.83
908.666	577.944	9975.73
908.766	577.844	10075.9
908.866	577.744	10019.8
908.966	577.644	10043.6
909.066	577.544	10082.3
909.166	577.444	10232.4
909.266	577.344	10276.6
909.365	577.245	10171.9
909.465	577.145	10262.7
909.565	577.045	10243.6
909.665	576.945	10247.2
909.765	576.845	10185.1
909.865	576.745	10303.5
909.965	576.645	10376.1
910.065	576.545	10390.5
910.165	576.445	10438.3
910.265	576.345	10528.1
910.364	576.246	10577.5
910.464	576.146	10570
910.564	576.046	10629.7
910.664	575.946	10761.3
910.764	575.846	10816.6
910.864	575.746	10697
910.964	575.646	10760.4
911.064	575.546	10807.1
911.164	575.446	10908.6
911.263	575.347	10797.4
911.363	575.247	10791.3
911.463	575.147	10813.2
911.563	575.047	10793.9
911.663	574.947	10753.4
911.763	574.847	10785.5
911.863	574.747	10907.3
911.963	574.647	10958.3
912.063	574.547	11112
912.163	574.447	11335.9
912.262	574.348	11401.5
912.362	574.248	11529.7
912.462	574.148	11795.5
912.562	574.048	11941
912.662	573.948	12034.1
912.762	573.848	12277.1
912.862	573.748	12393.1
912.962	573.648	12602.4
913.062	573.548	12621.3
913.161	573.449	12772.3
913.261	573.349	13002.4
913.361	573.249	13060.3
913.461	573.149	13221.6
913.561	573.049	13535.6
913.661	572.949	13626.9
913.761	572.849	13691.9
913.861	572.749	13868.4
913.961	572.649	13890.5
914.061	572.549	13813.7
914.16	572.45	13939.5
914.26	572.35	14008.9
914.36	572.25	13927.2
914.46	572.15	13859
914.56	572.05	13802.4
914.66	571.95	13676.1
914.76	571.85	13531
914.86	571.75	13412
914.96	571.65	13230.5
915.06	571.55	13223.9
915.159	571.451	13209.6
915.259	571.351	13331.9
915.359	571.251	13512
915.459	571.151	13693.7
915.559	571.051	13899.7
915.659	570.951	14129.4
915.759	570.851	14417
915.859	570.751	14690.4
915.959	570.651	14832.3
916.058	570.552	14999.3
916.158	570.452	15063.3
916.258	570.352	15040.9
916.358	570.252	15002.2
916.458	570.152	14837.6
916.558	570.052	14720.7
916.658	569.952	14703.2
916.758	569.852	14578.6
916.858	569.752	14693.5
916.958	569.652	14832.9
917.057	569.553	14846.2
917.157	569.453	15200.7
917.257	569.353	15395.8
917.357	569.253	15882.6
917.457	569.153	16430.3
917.557	569.053	17106.4
917.657	568.953	17953.8
917.757	568.853	19083.2
917.857	568.753	20368.3
917.956	568.654	22117.2
918.056	568.554	23790
918.156	568.454	25706.6
918.256	568.354	27467.7
918.356	568.254	29180.3
918.456	568.154	30403.1
918.556	568.054	30908
918.656	567.954	30382.9
918.756	567.854	28709.5
918.856	567.754	26643.6
918.955	567.655	24073.7
919.055	567.555	21602.8
919.155	567.455	19731.1
919.255	567.355	18227.9
919.355	567.255	17058.7
919.455	567.155	16292.1
919.555	567.055	15588.6
919.655	566.955	14824.2
919.755	566.855	14308.1
919.855	566.755	13637.7
919.954	566.656	12899.3
920.054	566.556	12093.7
920.154	566.456	11560.8
920.254	566.356	11130.8
920.354	566.256	10812
920.454	566.156	10599.4
920.554	566.056	10649.2
920.654	565.956	10724.5
920.754	565.856	10893.1
920.853	565.757	11193.6
920.953	565.657	11550.6
921.053	565.557	11867.1
921.153	565.457	12025.6
921.253	565.357	12172.4
921.353	565.257	12048.3
921.453	565.157	11647.4
921.553	565.057	11143.8
