C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_AgMNN	BE_AgMNN	CPS_AgMNN
288.91	1197.7	1219.99
289.01	1197.6	1254.62
289.11	1197.5	1222.71
289.21	1197.4	1251.67
289.31	1197.3	1249.88
289.41	1197.2	1261.75
289.51	1197.1	1267.8
289.61	1197	1235.89
289.71	1196.9	1226.55
289.81	1196.8	1226.05
289.91	1196.7	1195.31
290.01	1196.6	1218.71
290.11	1196.5	1258.66
290.21	1196.4	1244.56
290.31	1196.3	1242.45
290.41	1196.2	1265.08
290.51	1196.1	1245.96
290.61	1196	1218.96
290.71	1195.9	1246.17
290.81	1195.8	1225.59
290.91	1195.7	1217.6
291.01	1195.6	1243.47
291.11	1195.5	1235.09
291.21	1195.4	1240.66
291.31	1195.3	1268.93
291.41	1195.2	1260.43
291.51	1195.1	1230.77
291.61	1195	1218.78
291.71	1194.9	1262.26
291.81	1194.8	1263.22
291.91	1194.7	1265.74
292.01	1194.6	1240.42
292.11	1194.5	1224.14
292.21	1194.4	1245.09
292.31	1194.3	1235.08
292.41	1194.2	1245.44
292.51	1194.1	1280.81
292.61	1194	1245.04
292.71	1193.9	1245.24
292.81	1193.8	1248.38
292.91	1193.7	1242.21
293.01	1193.6	1271.41
293.11	1193.5	1240.01
293.21	1193.4	1237.64
293.31	1193.3	1234.4
293.41	1193.2	1241.08
293.51	1193.1	1268.98
293.61	1193	1272.52
293.71	1192.9	1243.23
293.81	1192.8	1262.67
293.91	1192.7	1270.17
294.01	1192.6	1262.64
294.11	1192.5	1275.42
294.21	1192.4	1258.04
294.31	1192.3	1283.12
294.41	1192.2	1264.08
294.51	1192.1	1252.42
294.61	1192	1232.23
294.71	1191.9	1256.87
294.81	1191.8	1263.76
294.91	1191.7	1255.78
295.01	1191.6	1266.25
295.11	1191.5	1242.3
295.21	1191.4	1246.79
295.31	1191.3	1263.98
295.41	1191.2	1232.03
295.51	1191.1	1224.93
295.61	1191	1220.09
295.71	1190.9	1241.49
295.81	1190.8	1277.22
295.91	1190.7	1240.09
296.01	1190.6	1269.65
296.11	1190.5	1249.72
296.21	1190.4	1265.81
296.31	1190.3	1215.14
296.41	1190.2	1231.69
296.51	1190.1	1237.52
296.61	1190	1230.51
296.71	1189.9	1267.77
296.81	1189.8	1268.33
296.91	1189.7	1269.02
297.01	1189.6	1230.07
297.11	1189.5	1250.73
297.21	1189.4	1258.1
297.31	1189.3	1287.18
297.41	1189.2	1314.44
297.51	1189.1	1267.5
