C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_Ag3p	BE_Ag3p	CPS_Ag3p
710.71	775.9	3444.84
710.81	775.8	3434.09
710.91	775.7	3451.57
711.01	775.6	3482.67
711.11	775.5	3431.87
711.21	775.4	3378.78
711.31	775.3	3408.61
711.41	775.2	3413.46
711.51	775.1	3501.66
711.61	775	3452.14
711.71	774.9	3442.8
711.81	774.8	3458.88
711.91	774.7	3426.4
712.01	774.6	3427.5
712.11	774.5	3470.24
712.21	774.4	3469.92
712.31	774.3	3465
712.41	774.2	3424.33
712.51	774.1	3470.88
712.61	774	3452.12
712.71	773.9	3437.36
712.81	773.8	3432.66
712.91	773.7	3428.83
713.01	773.6	3489.8
713.11	773.5	3470.43
713.21	773.4	3400.49
713.31	773.3	3470.66
713.41	773.2	3446.72
713.51	773.1	3455.8
713.61	773	3492.92
713.71	772.9	3442.14
713.81	772.8	3448.71
713.91	772.7	3424.08
714.01	772.6	3444.26
714.11	772.5	3503.87
714.21	772.4	3475.96
714.31	772.3	3485.72
714.41	772.2	3405.35
714.51	772.1	3446.39
714.61	772	3441.26
714.71	771.9	3459.1
714.81	771.8	3466.65
714.91	771.7	3465.05
715.01	771.6	3479.53
715.11	771.5	3481.49
715.21	771.4	3444.91
715.31	771.3	3472.98
715.41	771.2	3437.82
715.51	771.1	3442.62
715.61	771	3446.61
715.71	770.9	3464.7
715.81	770.8	3499.23
715.91	770.7	3486.65
716.01	770.6	3485.59
716.11	770.5	3502.29
716.21	770.4	3472.87
716.31	770.3	3523.14
716.41	770.2	3493.94
716.51	770.1	3483.99
716.61	770	3571.71
716.71	769.9	3495.46
716.81	769.8	3486.83
716.91	769.7	3538.99
717.01	769.6	3541.98
717.11	769.5	3505.97
717.21	769.4	3537.61
717.31	769.3	3488.54
717.41	769.2	3494.74
717.51	769.1	3504.97
717.61	769	3484.84
717.71	768.9	3517.14
717.81	768.8	3522.69
717.91	768.7	3479.13
718.01	768.6	3495.34
718.11	768.5	3495.46
718.21	768.4	3481.09
718.31	768.3	3413.69
718.41	768.2	3468.31
718.51	768.1	3486.59
718.61	768	3491.4
718.71	767.9	3523.63
718.81	767.8	3576.97
718.91	767.7	3478.36
719.01	767.6	3503.72
719.11	767.5	3528.88
719.21	767.4	3542.8
719.31	767.3	3569.23
719.41	767.2	3531.62
719.51	767.1	3441.61
719.61	767	3544.59
719.71	766.9	3507.79
719.81	766.8	3454.1
719.91	766.7	3491.29
720.01	766.6	3482
720.11	766.5	3504.8
720.21	766.4	3544.63
720.31	766.3	3556.37
720.41	766.2	3557.35
720.51	766.1	3521.18
720.61	766	3518.85
720.71	765.9	3549.39
720.81	765.8	3505.42
720.91	765.7	3515.57
721.01	765.6	3535.23
721.11	765.5	3563.67
721.21	765.4	3551.95
721.31	765.3	3513.88
721.41	765.2	3519.7
721.51	765.1	3499.52
721.61	765	3554.79
721.71	764.9	3552.5
721.81	764.8	3597.46
721.91	764.7	3548.47
722.01	764.6	3552.85
722.11	764.5	3555.37
722.21	764.4	3595.37
722.31	764.3	3537.57
722.41	764.2	3517.9
722.51	764.1	3518.27
722.61	764	3547.22
722.71	763.9	3522.93
722.81	763.8	3507.7
722.91	763.7	3541.79
723.01	763.6	3460.15
723.11	763.5	3483.55
723.21	763.4	3505.8
723.31	763.3	3510.96
723.41	763.2	3528.81
723.51	763.1	3569.12
723.61	763	3558.45
723.71	762.9	3573.49
723.81	762.8	3558.17
723.91	762.7	3545.45
724.01	762.6	3524.75
724.11	762.5	3550.31
724.21	762.4	3542
724.31	762.3	3587.54
724.41	762.2	3567.8
724.51	762.1	3558.71
724.61	762	3596.04
724.71	761.9	3550.92
724.81	761.8	3548.62
724.91	761.7	3590.06
725.01	761.6	3528.07
725.11	761.5	3490.13
725.21	761.4	3596.99
725.31	761.3	3587.61
725.41	761.2	3555.81
725.51	761.1	3537.87
