c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu3s
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Cu3s	BE_Cu3s	CPS_Cu3s
1289.51	197.1	1059.26
1289.61	197	1044.54
1289.71	196.9	1033.55
1289.81	196.8	1041.68
1289.91	196.7	1049.22
1290.01	196.6	1040.16
1290.11	196.5	1058.68
1290.21	196.4	1056.49
1290.31	196.3	1058.51
1290.41	196.2	1051.21
1290.51	196.1	1034.46
1290.61	196	1067.31
1290.71	195.9	1046.72
1290.81	195.8	1038.5
1290.91	195.7	1044.1
1291.01	195.6	1044.57
1291.11	195.5	1030.18
1291.21	195.4	1054.92
1291.31	195.3	1034.97
1291.41	195.2	1040.01
1291.51	195.1	1047.78
1291.61	195	1066.4
1291.71	194.9	1088.47
1291.81	194.8	1065.52
1291.91	194.7	1054.82
1292.01	194.6	1085.43
1292.11	194.5	1076.9
1292.21	194.4	1037.88
1292.31	194.3	1057.36
1292.41	194.2	1080.4
1292.51	194.1	1057.05
1292.61	194	1037.01
1292.71	193.9	1057.03
1292.81	193.8	1055.71
1292.91	193.7	1043.16
1293.01	193.6	1032.21
1293.11	193.5	1074.3
1293.21	193.4	1062.65
1293.31	193.3	1057.65
1293.41	193.2	1050.62
1293.51	193.1	1056.99
1293.61	193	1069.97
1293.71	192.9	1066.62
1293.81	192.8	1053.2
1293.91	192.7	1056.06
1294.01	192.6	1045.35
1294.11	192.5	1068.69
1294.21	192.4	1056.62
1294.31	192.3	1052.58
1294.41	192.2	1073.58
1294.51	192.1	1039.24
1294.61	192	1065.27
1294.71	191.9	1056.28
1294.81	191.8	1062.69
1294.91	191.7	1071.09
1295.01	191.6	1067.78
1295.11	191.5	1080.51
1295.21	191.4	1089.11
1295.31	191.3	1065.41
1295.41	191.2	1023.92
1295.51	191.1	1046.84
1295.61	191	1053.38
1295.71	190.9	1047.98
1295.81	190.8	1061.34
1295.91	190.7	1050.8
1296.01	190.6	1054.42
1296.11	190.5	1071.66
1296.21	190.4	1098.81
1296.31	190.3	1099.04
1296.41	190.2	1088.9
1296.51	190.1	1033.4
1296.61	190	1058.58
1296.71	189.9	1073.65
1296.81	189.8	1066.83
1296.91	189.7	1080.6
1297.01	189.6	1075.93
1297.11	189.5	1063.39
1297.21	189.4	1062.96
1297.31	189.3	1063.79
1297.41	189.2	1062.02
1297.51	189.1	1064.31
1297.61	189	1071.52
1297.71	188.9	1075.96
1297.81	188.8	1076.82
1297.91	188.7	1068.51
1298.01	188.6	1096.14
1298.11	188.5	1068.97
1298.21	188.4	1067.87
1298.31	188.3	1059.52
1298.41	188.2	1046.35
1298.51	188.1	1061.11
1298.61	188	1076.76
1298.71	187.9	1078.43
1298.81	187.8	1084.95
1298.91	187.7	1057.06
1299.01	187.6	1059.06
1299.11	187.5	1063.87
1299.21	187.4	1053.14
1299.31	187.3	1085.95
1299.41	187.2	1067.42
1299.51	187.1	1076.02
1299.61	187	1075.91
1299.71	186.9	1062.93
1299.81	186.8	1075.38
1299.91	186.7	1104.61
1300.01	186.6	1073.27
1300.11	186.5	1075.8
1300.21	186.4	1090.79
1300.31	186.3	1089.78
1300.41	186.2	1071.32
1300.51	186.1	1111.87
1300.61	186	1084.07
1300.71	185.9	1107.03
1300.81	185.8	1088.58
1300.91	185.7	1078.92
1301.01	185.6	1073.66
1301.11	185.5	1076.18
1301.21	185.4	1125.74
1301.31	185.3	1074.87
1301.41	185.2	1056.81
1301.51	185.1	1097.2
1301.61	185	1092.22
1301.71	184.9	1103.9
1301.81	184.8	1109.66
1301.91	184.7	1083.02
1302.01	184.6	1076.32
1302.11	184.5	1085.4
1302.21	184.4	1096.73
1302.31	184.3	1083.94
1302.41	184.2	1100.79
1302.51	184.1	1116.05
1302.61	184	1083.48
1302.71	183.9	1088.59
1302.81	183.8	1094.11
1302.91	183.7	1074.85
1303.01	183.6	1077.52
1303.11	183.5	1108.41
1303.21	183.4	1097.66
1303.31	183.3	1124.79
1303.41	183.2	1078.72
1303.51	183.1	1099.14
1303.61	183	1123.44
1303.71	182.9	1077.81
1303.81	182.8	1110.27
1303.91	182.7	1110.82
1304.01	182.6	1132.37
1304.11	182.5	1103.2
1304.21	182.4	1082.46
1304.31	182.3	1091.51
1304.41	182.2	1084.77
1304.51	182.1	1098.15
1304.61	182	1098.88
1304.71	181.9	1127.78
1304.81	181.8	1106.54
1304.91	181.7	1084.3
1305.01	181.6	1089.93
1305.11	181.5	1082.27
1305.21	181.4	1082.71
1305.31	181.3	1086.91
1305.41	181.2	1088.99
1305.51	181.1	1118.58
1305.61	181	1102.87
1305.71	180.9	1104.01
1305.81	180.8	1104.33
1305.91	180.7	1087.32
1306.01	180.6	1097.41
1306.11	180.5	1110.32
1306.21	180.4	1078.32
1306.31	180.3	1077.89
1306.41	180.2	1096.05
1306.51	180.1	1104.16
1306.61	180	1099.68
1306.71	179.9	1094.28
1306.81	179.8	1101.26
1306.91	179.7	1098.2
1307.01	179.6	1109.31
1307.11	179.5	1098.86
1307.21	179.4	1091.23
1307.31	179.3	1107.02
1307.41	179.2	1100.16
1307.51	179.1	1068.22
1307.61	179	1100.57
1307.71	178.9	1105.39
1307.81	178.8	1106.86
1307.91	178.7	1086.92
1308.01	178.6	1098.89
1308.11	178.5	1096.57
1308.21	178.4	1111.46
1308.31	178.3	1102.76
1308.41	178.2	1090.99
1308.51	178.1	1106.27
1308.61	178	1088.95
1308.71	177.9	1104.98
1308.81	177.8	1112.15
1308.91	177.7	1093.16
1309.01	177.6	1116.03
1309.11	177.5	1120.15
1309.21	177.4	1121.58
1309.31	177.3	1124.55
1309.41	177.2	1108.68
1309.51	177.1	1108.14
1309.61	177	1108.12
1309.71	176.9	1113.38
1309.81	176.8	1092.49
1309.91	176.7	1098.23
1310.01	176.6	1122
1310.11	176.5	1123.98
1310.21	176.4	1115.6
1310.31	176.3	1121.92
1310.41	176.2	1160.66
1310.51	176.1	1160.56
1310.61	176	1117.95
1310.71	175.9	1123.56
1310.81	175.8	1123.84
1310.91	175.7	1151.4
1311.01	175.6	1107.9
1311.11	175.5	1102.82
1311.21	175.4	1117.5
1311.31	175.3	1137.56
1311.41	175.2	1098.49
1311.51	175.1	1105.17
1311.61	175	1110.27
1311.71	174.9	1124.09
1311.81	174.8	1136.9
1311.91	174.7	1122.9
1312.01	174.6	1118.11
1312.11	174.5	1133.13
1312.21	174.4	1137.1
1312.31	174.3	1127.45
1312.41	174.2	1135.52
1312.51	174.1	1135.92
1312.61	174	1134.54
1312.71	173.9	1121.22
1312.81	173.8	1112.69
1312.91	173.7	1109.81
1313.01	173.6	1111
1313.11	173.5	1120.46
1313.21	173.4	1142.44
1313.31	173.3	1098.82
1313.41	173.2	1096.57
1313.51	173.1	1130.93
1313.61	173	1114.72
1313.71	172.9	1112.31
1313.81	172.8	1119.35
1313.91	172.7	1111.85
1314.01	172.6	1143.59
1314.11	172.5	1150.22
1314.21	172.4	1136.75
1314.31	172.3	1126.46
1314.41	172.2	1144.77
1314.51	172.1	1155.34
1314.61	172	1114
1314.71	171.9	1106.25
1314.81	171.8	1125.78
1314.91	171.7	1138.02
1315.01	171.6	1112.09
1315.11	171.5	1145.11
1315.21	171.4	1139.76
1315.31	171.3	1125.12
1315.41	171.2	1124.22
1315.51	171.1	1117.78
1315.61	171	1134.98
1315.71	170.9	1154.06
1315.81	170.8	1148.04
1315.91	170.7	1152.8
1316.01	170.6	1126.3
1316.11	170.5	1122.25
1316.21	170.4	1164.56
1316.31	170.3	1163.72
1316.41	170.2	1154.68
1316.51	170.1	1153.86
1316.61	170	1151.52
1316.71	169.9	1171.28
1316.81	169.8	1165.99
1316.91	169.7	1120.76
1317.01	169.6	1103.25
1317.11	169.5	1146.75
1317.21	169.4	1139.68
1317.31	169.3	1117.7
1317.41	169.2	1115.14
1317.51	169.1	1137.2
1317.61	169	1133.22
1317.71	168.9	1123.36
1317.81	168.8	1144.13
1317.91	168.7	1170.6
1318.01	168.6	1139.23
1318.11	168.5	1157.27
1318.21	168.4	1126.9
1318.31	168.3	1137.01
1318.41	168.2	1130.98
1318.51	168.1	1162.14
1318.61	168	1159.41
1318.71	167.9	1146.41
1318.81	167.8	1145.17
1318.91	167.7	1139.94
1319.01	167.6	1152.75
1319.11	167.5	1129.32
1319.21	167.4	1136.56
1319.31	167.3	1157.58
1319.41	167.2	1141.58
1319.51	167.1	1155.74
1319.61	167	1150.14
1319.71	166.9	1175.95
1319.81	166.8	1128.5
1319.91	166.7	1171.28
1320.01	166.6	1174.45
1320.11	166.5	1142.62
1320.21	166.4	1136.49
1320.31	166.3	1148.65
1320.41	166.2	1127.55
1320.51	166.1	1145.09
1320.61	166	1151.79
1320.71	165.9	1153.1
1320.81	165.8	1149.64
1320.91	165.7	1141.77
1321.01	165.6	1161.48
1321.11	165.5	1173.07
1321.21	165.4	1165.65
1321.31	165.3	1130.77
1321.41	165.2	1121.31
1321.51	165.1	1155.25
1321.61	165	1171.98
1321.71	164.9	1185.82
1321.81	164.8	1155.61
1321.91	164.7	1155.27
1322.01	164.6	1162.06
1322.11	164.5	1142.76
1322.21	164.4	1167.34
1322.31	164.3	1173.44
1322.41	164.2	1172.95
1322.51	164.1	1170.8
1322.61	164	1140.43
1322.71	163.9	1153.61
1322.81	163.8	1196.22
1322.91	163.7	1176.13
1323.01	163.6	1173.23
1323.11	163.5	1176.79
1323.21	163.4	1198.31
1323.31	163.3	1216.21
1323.41	163.2	1214.25
1323.51	163.1	1205.22
1323.61	163	1212.51
1323.71	162.9	1187.15
1323.81	162.8	1169
1323.91	162.7	1148.01
1324.01	162.6	1183.19
1324.11	162.5	1181.16
1324.21	162.4	1169.69
1324.31	162.3	1218.88
1324.41	162.2	1197.2
1324.51	162.1	1187.63
1324.61	162	1194.01
1324.71	161.9	1196.17
1324.81	161.8	1183.1
1324.91	161.7	1171.91
1325.01	161.6	1188.22
1325.11	161.5	1178.97
1325.21	161.4	1218.35
1325.31	161.3	1208.3
1325.41	161.2	1154.11
1325.51	161.1	1198.3
1325.61	161	1197.37
1325.71	160.9	1160.07
1325.81	160.8	1160.55
1325.91	160.7	1165.53
1326.01	160.6	1180.13
1326.11	160.5	1163.44
1326.21	160.4	1153.03
1326.31	160.3	1152.91
1326.41	160.2	1193.25
1326.51	160.1	1164.92
1326.61	160	1159.52
1326.71	159.9	1176.68
1326.81	159.8	1176.4
1326.91	159.7	1153.64
1327.01	159.6	1178.89
1327.11	159.5	1171.31
1327.21	159.4	1183.68
1327.31	159.3	1186.25
1327.41	159.2	1175.43
1327.51	159.1	1182.11
1327.61	159	1183.82
1327.71	158.9	1187.14
1327.81	158.8	1183.68
1327.91	158.7	1174.34
1328.01	158.6	1201.76
1328.11	158.5	1197.57
1328.21	158.4	1184.89
1328.31	158.3	1181.56
1328.41	158.2	1199.26
1328.51	158.1	1197.16
1328.61	158	1189.44
1328.71	157.9	1170.87
1328.81	157.8	1170.37
1328.91	157.7	1167.62
1329.01	157.6	1183.87
1329.11	157.5	1189.01
1329.21	157.4	1162.06
1329.31	157.3	1188.64
1329.41	157.2	1180.44
1329.51	157.1	1177.73
1329.61	157	1201.84
1329.71	156.9	1203.69
1329.81	156.8	1208.02
1329.91	156.7	1224.85
1330.01	156.6	1204.59
1330.11	156.5	1184.19
1330.21	156.4	1166.15
1330.31	156.3	1214.02
1330.41	156.2	1185.39
1330.51	156.1	1210.79
1330.61	156	1222.95
1330.71	155.9	1208.49
1330.81	155.8	1193.31
1330.91	155.7	1173.03
1331.01	155.6	1197.7
1331.11	155.5	1191.19
1331.21	155.4	1201.91
1331.31	155.3	1219
1331.41	155.2	1203.84
1331.51	155.1	1173.79
1331.61	155	1215.36
1331.71	154.9	1194.67
1331.81	154.8	1200.23
1331.91	154.7	1204.53
1332.01	154.6	1215.31
1332.11	154.5	1184.69
1332.21	154.4	1226.66
1332.31	154.3	1228.82
1332.41	154.2	1211.74
1332.51	154.1	1201.15
1332.61	154	1208.07
1332.71	153.9	1183.29
1332.81	153.8	1182.35
1332.91	153.7	1195.21
1333.01	153.6	1193.72
1333.11	153.5	1204.12
1333.21	153.4	1211.45
1333.31	153.3	1200.2
1333.41	153.2	1208.83
1333.51	153.1	1203.88
1333.61	153	1202.22
1333.71	152.9	1212.58
1333.81	152.8	1202.98
1333.91	152.7	1205.88
1334.01	152.6	1233.42
1334.11	152.5	1222.16
1334.21	152.4	1229.1
1334.31	152.3	1212.54
1334.41	152.2	1235.33
1334.51	152.1	1236.97
1334.61	152	1216.72
1334.71	151.9	1183.5
1334.81	151.8	1224.03
1334.91	151.7	1210.97
1335.01	151.6	1230.38
1335.11	151.5	1227.52
1335.21	151.4	1205.47
1335.31	151.3	1222.01
1335.41	151.2	1214.18
1335.51	151.1	1241.81
1335.61	151	1222.64
1335.71	150.9	1194.3
1335.81	150.8	1237.81
1335.91	150.7	1210.39
1336.01	150.6	1199.73
1336.11	150.5	1210.51
1336.21	150.4	1233.75
1336.31	150.3	1231.01
1336.41	150.2	1241.23
1336.51	150.1	1207.02
1336.61	150	1203.2
1336.71	149.9	1214.09
1336.81	149.8	1220.39
1336.91	149.7	1247.24
1337.01	149.6	1248.5
1337.11	149.5	1247.2
1337.21	149.4	1234.73
1337.31	149.3	1234.05
1337.41	149.2	1259.66
1337.51	149.1	1223.23
1337.61	149	1206.5
1337.71	148.9	1189.42
1337.81	148.8	1235.65
1337.91	148.7	1231.64
1338.01	148.6	1224.75
1338.11	148.5	1238.22
1338.21	148.4	1197.59
1338.31	148.3	1226.09
1338.41	148.2	1206.28
1338.51	148.1	1258.21
1338.61	148	1240.44
1338.71	147.9	1254
1338.81	147.8	1219.06
1338.91	147.7	1197.04
1339.01	147.6	1224.17
1339.11	147.5	1240.84
1339.21	147.4	1242.82
1339.31	147.3	1226.03
1339.41	147.2	1241.41
1339.51	147.1	1210.9
1339.61	147	1206.83
1339.71	146.9	1224.58
1339.81	146.8	1203.53
1339.91	146.7	1214.06
1340.01	146.6	1179.31
1340.11	146.5	1202.56
1340.21	146.4	1217.54
1340.31	146.3	1235.69
1340.41	146.2	1231.92
1340.51	146.1	1254.86
1340.61	146	1224.95
1340.71	145.9	1216.57
1340.81	145.8	1256.28
1340.91	145.7	1226.24
1341.01	145.6	1213.87
1341.11	145.5	1216.38
1341.21	145.4	1235.07
1341.31	145.3	1264.92
1341.41	145.2	1217.09
1341.51	145.1	1231.88
1341.61	145	1246.1
1341.71	144.9	1251.54
1341.81	144.8	1261.46
1341.91	144.7	1239.78
1342.01	144.6	1230.17
1342.11	144.5	1244.12
1342.21	144.4	1214.01
1342.31	144.3	1221.89
1342.41	144.2	1220.22
1342.51	144.1	1264.13
1342.61	144	1249.01
1342.71	143.9	1264.34
1342.81	143.8	1225.04
1342.91	143.7	1233.94
1343.01	143.6	1250.65
1343.11	143.5	1246.36
1343.21	143.4	1261.75
1343.31	143.3	1248.02
1343.41	143.2	1246.54
1343.51	143.1	1242.31
1343.61	143	1236.73
1343.71	142.9	1237.86
1343.81	142.8	1211.74
1343.91	142.7	1219.61
1344.01	142.6	1232.18
1344.11	142.5	1236.11
1344.21	142.4	1253.8
1344.31	142.3	1250.69
1344.41	142.2	1263.63
1344.51	142.1	1244.55
1344.61	142	1249.26
1344.71	141.9	1237.79
1344.81	141.8	1235.69
1344.91	141.7	1263.85
1345.01	141.6	1243.4
1345.11	141.5	1253.34
1345.21	141.4	1268.22
1345.31	141.3	1256.05
1345.41	141.2	1242.84
1345.51	141.1	1250.12
1345.61	141	1266
1345.71	140.9	1243.74
1345.81	140.8	1258.3
1345.91	140.7	1241.01
1346.01	140.6	1232.53
1346.11	140.5	1246.94
1346.21	140.4	1247.88
1346.31	140.3	1263.99
1346.41	140.2	1286.92
1346.51	140.1	1247.13
1346.61	140	1280.89
1346.71	139.9	1274.39
1346.81	139.8	1271.78
1346.91	139.7	1249.37
1347.01	139.6	1245.15
1347.11	139.5	1273.06
1347.21	139.4	1248.31
1347.31	139.3	1274.51
1347.41	139.2	1251.73
1347.51	139.1	1260.08
