c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	1.9
KE_Au4d	BE_Au4d	CPS_Au4d
1039.11	447.5	15260.2
1039.21	447.4	15228.4
1039.31	447.3	15305.1
1039.41	447.2	15175.3
1039.51	447.1	15257.7
1039.61	447	15341.3
1039.71	446.9	15455.5
1039.81	446.8	15413.9
1039.91	446.7	15329.8
1040.01	446.6	15295.5
1040.11	446.5	15267.4
1040.21	446.4	15273.1
1040.31	446.3	15183.3
1040.41	446.2	15362.1
1040.51	446.1	15355.4
1040.61	446	15323.3
1040.71	445.9	15530.3
1040.81	445.8	15497.9
1040.91	445.7	15414.6
1041.01	445.6	15299.3
1041.11	445.5	15327.7
1041.21	445.4	15245.7
1041.31	445.3	15352.5
1041.41	445.2	15288.8
1041.51	445.1	15335.7
1041.61	445	15408.7
1041.71	444.9	15384.1
1041.81	444.8	15343.6
1041.91	444.7	15390.6
1042.01	444.6	15409.5
1042.11	444.5	15445.8
1042.21	444.4	15435.2
1042.31	444.3	15369
1042.41	444.2	15327.8
1042.51	444.1	15355.8
1042.61	444	15470.6
1042.71	443.9	15461.2
1042.81	443.8	15440.9
1042.91	443.7	15375.7
1043.01	443.6	15327.8
1043.11	443.5	15329.1
1043.21	443.4	15540
1043.31	443.3	15617.2
1043.41	443.2	15386.5
1043.51	443.1	15380.5
1043.61	443	15363
1043.71	442.9	15496
1043.81	442.8	15544.5
1043.91	442.7	15455.4
1044.01	442.6	15405.2
1044.11	442.5	15375.2
1044.21	442.4	15322.1
1044.31	442.3	15547.8
1044.41	442.2	15477.6
1044.51	442.1	15343
1044.61	442	15450.5
1044.71	441.9	15528.1
1044.81	441.8	15511.3
1044.91	441.7	15522.6
1045.01	441.6	15331.9
1045.11	441.5	15418.7
1045.21	441.4	15449.1
1045.31	441.3	15539.8
1045.41	441.2	15509.2
1045.51	441.1	15609.8
1045.61	441	15600.8
1045.71	440.9	15556.8
1045.81	440.8	15580.3
1045.91	440.7	15635.8
1046.01	440.6	15604.5
1046.11	440.5	15491.6
1046.21	440.4	15433.6
1046.31	440.3	15618.2
1046.41	440.2	15717.3
1046.51	440.1	15506.6
1046.61	440	15449.8
1046.71	439.9	15481
1046.81	439.8	15592.6
1046.91	439.7	15582.2
1047.01	439.6	15537.9
1047.11	439.5	15605.9
1047.21	439.4	15665.2
1047.31	439.3	15534.4
1047.41	439.2	15420.2
1047.51	439.1	15555.1
1047.61	439	15619.8
1047.71	438.9	15728.6
1047.81	438.8	15614.8
1047.91	438.7	15540.2
1048.01	438.6	15531.5
1048.11	438.5	15700.3
1048.21	438.4	15589.8
1048.31	438.3	15568.1
1048.41	438.2	15591.8
1048.51	438.1	15555.5
1048.61	438	15574.1
1048.71	437.9	15632.8
1048.81	437.8	15658.7
