c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
680.71	805.9	4178.14
680.81	805.8	4189.01
680.91	805.7	4116.79
681.01	805.6	3982.36
681.11	805.5	3991.74
681.21	805.4	3981.07
681.31	805.3	3970.89
681.41	805.2	4075.77
681.51	805.1	4024.19
681.61	805	4069.32
681.71	804.9	4096.69
681.81	804.8	4089.67
681.91	804.7	4070.04
682.01	804.6	4000.42
682.11	804.5	4080.79
682.21	804.4	4219.17
682.31	804.3	4114.75
682.41	804.2	4001.82
682.51	804.1	4059.55
682.61	804	4133.62
682.71	803.9	4213.1
682.81	803.8	4207.97
682.91	803.7	4108.3
683.01	803.6	4159.77
683.11	803.5	4078.85
683.21	803.4	4152.73
683.31	803.3	4117.05
683.41	803.2	4081.88
683.51	803.1	4145.05
683.61	803	4202.58
683.71	802.9	4174.1
683.81	802.8	4116.98
683.91	802.7	4069.81
684.01	802.6	4028.78
684.11	802.5	4099.66
684.21	802.4	3983.43
684.31	802.3	4149.76
684.41	802.2	4097.78
684.51	802.1	4019.61
684.61	802	4049.84
684.71	801.9	4106.01
684.81	801.8	4137.99
684.91	801.7	4011.46
685.01	801.6	4108.94
685.11	801.5	4100.57
685.21	801.4	4182.74
685.31	801.3	4213.92
685.41	801.2	4036.54
685.51	801.1	3988.12
685.61	801	4105.9
685.71	800.9	4187.17
685.81	800.8	4130.1
685.91	800.7	4049.97
686.01	800.6	4081.45
686.11	800.5	4113.28
686.21	800.4	4204.05
686.31	800.3	4167.38
686.41	800.2	4221.56
686.51	800.1	4143.33
686.61	800	4107.61
686.71	799.9	4241.83
686.81	799.8	4138.86
686.91	799.7	4082.54
687.01	799.6	4138.61
687.11	799.5	4161.14
687.21	799.4	4171.57
687.31	799.3	4123.44
687.41	799.2	4052.47
