c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Pr:Cu2s
	Characteristic Energy eV	1486.61	Acquisition Time s	7.8
KE_Pr:Cu2s	BE_Pr:Cu2s	CPS_Pr:Cu2s
310.41	1176.2	142.904
310.51	1176.1	116.367
310.61	1176	112.944
310.71	1175.9	115.727
310.81	1175.8	109.791
310.91	1175.7	107.201
311.01	1175.6	103.689
311.11	1175.5	122.304
311.21	1175.4	125.881
311.31	1175.3	124.317
311.41	1175.2	117.919
311.51	1175.1	108.611
311.61	1175	119.854
311.71	1174.9	119.468
311.81	1174.8	130.403
311.91	1174.7	142.928
312.01	1174.6	144.965
312.11	1174.5	117.669
312.21	1174.4	151.758
312.31	1174.3	143.128
312.41	1174.2	142.704
312.51	1174.1	145.099
312.61	1174	130.149
312.71	1173.9	150.929
312.81	1173.8	137.055
312.91	1173.7	141.912
313.01	1173.6	147.589
313.11	1173.5	119.382
313.21	1173.4	121.507
313.31	1173.3	136.082
313.41	1173.2	135.745
313.51	1173.1	139.743
313.61	1173	150.381
313.71	1172.9	158.506
313.81	1172.8	159.503
313.91	1172.7	126.32
314.01	1172.6	148.15
314.11	1172.5	155.787
314.21	1172.4	147.232
314.31	1172.3	130.434
314.41	1172.2	146.366
314.51	1172.1	141.682
314.61	1172	147.05
314.71	1171.9	141.456
314.81	1171.8	120.298
314.91	1171.7	132.704
315.01	1171.6	131.277
315.11	1171.5	130.183
315.21	1171.4	115.999
315.31	1171.3	104.802
315.41	1171.2	131.694
315.51	1171.1	149.959
315.61	1171	146.697
315.71	1170.9	138.103
315.81	1170.8	145.187
315.91	1170.7	131.246
316.01	1170.6	116.472
316.11	1170.5	126.095
316.21	1170.4	131.858
316.31	1170.3	104.173
316.41	1170.2	125.296
316.51	1170.1	131.611
316.61	1170	146.323
316.71	1169.9	128.369
316.81	1169.8	143.76
316.91	1169.7	156.536
317.01	1169.6	140.082
317.11	1169.5	124.524
317.21	1169.4	143.762
317.31	1169.3	124.653
317.41	1169.2	103.98
317.51	1169.1	145.371
317.61	1169	131.839
317.71	1168.9	154.32
317.81	1168.8	139.096
317.91	1168.7	138.512
318.01	1168.6	164.762
318.11	1168.5	120.217
318.21	1168.4	129.005
318.31	1168.3	128.345
318.41	1168.2	147.018
318.51	1168.1	118.447
318.61	1168	128.145
318.71	1167.9	131.395
318.81	1167.8	150.336
318.91	1167.7	140.124
319.01	1167.6	125.835
319.11	1167.5	119.02
319.21	1167.4	138.77
319.31	1167.3	130.545
319.41	1167.2	117.666
319.51	1167.1	115.953
319.61	1167	161.549
319.71	1166.9	127.106
319.81	1166.8	151.945
319.91	1166.7	148.117
320.01	1166.6	142.058
320.11	1166.5	143.615
320.21	1166.4	141.992
320.31	1166.3	147.434
320.41	1166.2	128.888
320.51	1166.1	125.278
320.61	1166	151.142
320.71	1165.9	159.968
320.81	1165.8	152.473
320.91	1165.7	158.338
321.01	1165.6	156.458
321.11	1165.5	128.271
321.21	1165.4	127.841
321.31	1165.3	134.102
321.41	1165.2	120.12
321.51	1165.1	129.703
321.61	1165	139.67
321.71	1164.9	135.072
321.81	1164.8	120.488
321.91	1164.7	143.314
322.01	1164.6	135.909
322.11	1164.5	150.734
322.21	1164.4	150.176
322.31	1164.3	137.899
322.41	1164.2	165.443
322.51	1164.1	169.486
322.61	1164	141.479
322.71	1163.9	130.856
322.81	1163.8	156.682
322.91	1163.7	157.597
323.01	1163.6	138.282
323.11	1163.5	153.942
323.21	1163.4	128.844
323.31	1163.3	113.991
323.41	1163.2	129.214
323.51	1163.1	148.745
323.61	1163	160.456
323.71	1162.9	131.923
323.81	1162.8	136.211
323.91	1162.7	154.729
324.01	1162.6	152.683
324.11	1162.5	142.381
324.21	1162.4	139.015
324.31	1162.3	142.252
324.41	1162.2	147.296
324.51	1162.1	144.584
324.61	1162	147
324.71	1161.9	143.236
324.81	1161.8	140.973
324.91	1161.7	150.017
325.01	1161.6	132.562
325.11	1161.5	134.427
325.21	1161.4	133.817
325.31	1161.3	126.272
325.41	1161.2	155.496
325.51	1161.1	159.579
325.61	1161	136.752
325.71	1160.9	152.541
325.81	1160.8	174.316
325.91	1160.7	165.028
326.01	1160.6	155.637
326.11	1160.5	155.592
326.21	1160.4	137.752
326.31	1160.3	164.823
326.41	1160.2	143.061
326.51	1160.1	140.093
326.61	1160	171.972
326.71	1159.9	154.632
326.81	1159.8	154.973
326.91	1159.7	149.877
327.01	1159.6	156.576
327.11	1159.5	151.481
327.21	1159.4	152.065
327.31	1159.3	174.329
327.41	1159.2	164.695
327.51	1159.1	155.754
327.61	1159	158.954
327.71	1158.9	155.718
327.81	1158.8	169.033
327.91	1158.7	150.067
328.01	1158.6	153.613
328.11	1158.5	151.236
328.21	1158.4	153.693
328.31	1158.3	146.483
328.41	1158.2	150.543
328.51	1158.1	138.218
328.61	1158	147.842
328.71	1157.9	143.812
328.81	1157.8	155.743
328.91	1157.7	168.803
329.01	1157.6	150.043
329.11	1157.5	145.769
329.21	1157.4	158.83
329.31	1157.3	146.608
329.41	1157.2	151.617
329.51	1157.1	133.434
329.61	1157	164.2
329.71	1156.9	176.389
329.81	1156.8	151.873
329.91	1156.7	175.536
330.01	1156.6	154.187
330.11	1156.5	144.479
330.21	1156.4	141.54
330.31	1156.3	137.525
330.41	1156.2	146.548
330.51	1156.1	161.289
330.61	1156	151.928
330.71	1155.9	125.926
330.81	1155.8	127.398
330.91	1155.7	147.922
331.01	1155.6	158.83
331.11	1155.5	149.61
331.21	1155.4	143.263
331.31	1155.3	152.825
331.41	1155.2	173.721
331.51	1155.1	154.412
331.61	1155	139.706
331.71	1154.9	143.551
331.81	1154.8	146.769
331.91	1154.7	156.114
332.01	1154.6	174.319
332.11	1154.5	146.536
332.21	1154.4	171.754
332.31	1154.3	162.882
332.41	1154.2	167.818
332.51	1154.1	156.844
332.61	1154	168.767
332.71	1153.9	155.127
332.81	1153.8	177.986
332.91	1153.7	162.436
333.01	1153.6	162.296
333.11	1153.5	160.168
333.21	1153.4	153.041
333.31	1153.3	191.363
333.41	1153.2	193.993
333.51	1153.1	156.418
333.61	1153	190.548
333.71	1152.9	187.293
333.81	1152.8	171.783
333.91	1152.7	168.503
334.01	1152.6	165.313
334.11	1152.5	166.303
334.21	1152.4	169.973
334.31	1152.3	158.617
334.41	1152.2	168.556
334.51	1152.1	146.354
334.61	1152	158.101
334.71	1151.9	191.182
334.81	1151.8	175.647
334.91	1151.7	176.036
335.01	1151.6	173.86
335.11	1151.5	166.608
335.21	1151.4	150.549
335.31	1151.3	156.553
335.41	1151.2	165.687
335.51	1151.1	151.102
335.61	1151	140.389
335.71	1150.9	170.215
335.81	1150.8	169.426
335.91	1150.7	156.919
336.01	1150.6	161.477
336.11	1150.5	138.316
336.21	1150.4	130.938
336.31	1150.3	156.201
336.41	1150.2	141.874
336.51	1150.1	158.599
336.61	1150	151.171
336.71	1149.9	149.601
336.81	1149.8	158.711
336.91	1149.7	171.463
337.01	1149.6	143.42
337.11	1149.5	155.864
337.21	1149.4	166.924
337.31	1149.3	159.266
337.41	1149.2	170.774
337.51	1149.1	172.514
337.61	1149	168.152
337.71	1148.9	144.52
337.81	1148.8	139.543
337.91	1148.7	156.194
338.01	1148.6	150.512
338.11	1148.5	153.061
338.21	1148.4	167.763
338.31	1148.3	164.697
338.41	1148.2	165.362
338.51	1148.1	172.476
338.61	1148	152.257
338.71	1147.9	157.115
338.81	1147.8	159.562
338.91	1147.7	127.421
339.01	1147.6	154.395
339.11	1147.5	175.882
339.21	1147.4	179.638
339.31	1147.3	188.036
339.41	1147.2	168.998
339.51	1147.1	182.627
339.61	1147	180.435
339.71	1146.9	188.718
339.81	1146.8	181.425
339.91	1146.7	168.772
340.01	1146.6	159.889
340.11	1146.5	189.763
340.21	1146.4	174.073
340.31	1146.3	164.639
340.41	1146.2	183.604
340.51	1146.1	173.952
340.61	1146	165.943
340.71	1145.9	179.907
340.81	1145.8	158.808
340.91	1145.7	174.055
341.01	1145.6	178.021
341.11	1145.5	185.884
341.21	1145.4	200.811
341.31	1145.3	185.841
341.41	1145.2	161.987
341.51	1145.1	190.004
341.61	1145	190.445
341.71	1144.9	140.63
341.81	1144.8	161.995
341.91	1144.7	193.821
342.01	1144.6	194.801
342.11	1144.5	195.435
342.21	1144.4	193.993
342.31	1144.3	172.833
342.41	1144.2	198.839
342.51	1144.1	175.654
342.61	1144	184.622
342.71	1143.9	227.809
342.81	1143.8	205.483
342.91	1143.7	211.055
343.01	1143.6	192.999
343.11	1143.5	190.045
343.21	1143.4	181.399
343.31	1143.3	200.869
343.41	1143.2	192.455
343.51	1143.1	213.771
343.61	1143	220.306
343.71	1142.9	189.264
343.81	1142.8	165.312
343.91	1142.7	177.436
344.01	1142.6	158.074
344.11	1142.5	168.007
344.21	1142.4	214.556
344.31	1142.3	196.079
344.41	1142.2	182.538
344.51	1142.1	198.254
344.61	1142	202.201
344.71	1141.9	184.263
344.81	1141.8	189.685
344.91	1141.7	202.837
345.01	1141.6	212.297
345.11	1141.5	198.386
345.21	1141.4	224.372
345.31	1141.3	212.307
345.41	1141.2	185.704
345.51	1141.1	206.986
345.61	1141	228.281
345.71	1140.9	208.332
345.81	1140.8	201.537
345.91	1140.7	189.243
346.01	1140.6	204.435
346.11	1140.5	206.193
346.21	1140.4	228.565
346.31	1140.3	201.784
346.41	1140.2	221.029
346.51	1140.1	212.03
346.61	1140	214.327
346.71	1139.9	209.79
346.81	1139.8	189.51
346.91	1139.7	191.948
347.01	1139.6	207.283
347.11	1139.5	199.029
347.21	1139.4	198.929
347.31	1139.3	173.74
347.41	1139.2	181.294
347.51	1139.1	190.682
347.61	1139	193.403
347.71	1138.9	189.816
347.81	1138.8	197.923
347.91	1138.7	203.324
348.01	1138.6	186.751
348.11	1138.5	169.396
348.21	1138.4	165.823
348.31	1138.3	182.007
348.41	1138.2	178.934
348.51	1138.1	190.593
348.61	1138	191.175
348.71	1137.9	171.18
348.81	1137.8	166.236
348.91	1137.7	146.357
349.01	1137.6	168.798
349.11	1137.5	167.624
349.21	1137.4	142.63
349.31	1137.3	155.264
349.41	1137.2	183.68
349.51	1137.1	171.994
349.61	1137	169.911
349.71	1136.9	177.751
349.81	1136.8	160.475
349.91	1136.7	161.162
350.01	1136.6	142.297
350.11	1136.5	183.086
350.21	1136.4	174.991
350.31	1136.3	168.152
350.41	1136.2	172.608
350.51	1136.1	155.283
350.61	1136	159.47
350.71	1135.9	170.055
350.81	1135.8	187.255
350.91	1135.7	196.341
351.01	1135.6	184.439
351.11	1135.5	165.999
351.21	1135.4	162.956
351.31	1135.3	172.016
351.41	1135.2	165.089
351.51	1135.1	165.97
351.61	1135	155.8
351.71	1134.9	164.091
351.81	1134.8	172.716
351.91	1134.7	162.277
352.01	1134.6	161.031
352.11	1134.5	171.515
352.21	1134.4	133.282
352.31	1134.3	160.933
352.41	1134.2	149.956
352.51	1134.1	170.172
352.61	1134	186.913
352.71	1133.9	175.629
352.81	1133.8	169.781
352.91	1133.7	187.702
353.01	1133.6	197.982
353.11	1133.5	180.34
353.21	1133.4	166.479
353.31	1133.3	169.824
353.41	1133.2	174.528
353.51	1133.1	174.283
353.61	1133	157.898
353.71	1132.9	177.525
353.81	1132.8	203.089
353.91	1132.7	192.46
354.01	1132.6	179.78
354.11	1132.5	150.1
354.21	1132.4	138.408
354.31	1132.3	155.78
354.41	1132.2	164.203
354.51	1132.1	160.793
354.61	1132	163.485
354.71	1131.9	161.78
354.81	1131.8	181.73
354.91	1131.7	124.077
355.01	1131.6	169.68
355.11	1131.5	164.065
355.21	1131.4	163.323
355.31	1131.3	158.003
355.41	1131.2	167.325
355.51	1131.1	168.288
355.61	1131	144.52
355.71	1130.9	158.753
355.81	1130.8	163.575
355.91	1130.7	169.461
356.01	1130.6	145.027
356.11	1130.5	156.76
356.21	1130.4	157.057
356.31	1130.3	148.508
356.41	1130.2	150.779
