c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
685.21	801.4	1361.35
685.31	801.3	1450.7
685.41	801.2	1409.09
685.51	801.1	1416.61
685.61	801	1400.84
685.71	800.9	1378.19
685.81	800.8	1393.41
685.91	800.7	1421.07
686.01	800.6	1443.79
686.11	800.5	1446.48
686.21	800.4	1417.53
686.31	800.3	1342.19
686.41	800.2	1337.34
686.51	800.1	1385.46
686.61	800	1349.45
686.71	799.9	1372.74
686.81	799.8	1372.36
686.91	799.7	1373.95
687.01	799.6	1391.74
687.11	799.5	1400.99
687.21	799.4	1431.81
687.31	799.3	1386.2
687.41	799.2	1446.12
687.51	799.1	1359.14
687.61	799	1400.56
687.71	798.9	1415.18
687.81	798.8	1370.14
687.91	798.7	1432.26
688.01	798.6	1409.55
688.11	798.5	1415.77
688.21	798.4	1452.96
688.31	798.3	1414.08
688.41	798.2	1426.5
688.51	798.1	1385.88
688.61	798	1404.27
688.71	797.9	1437.76
688.81	797.8	1440.21
688.91	797.7	1358.07
689.01	797.6	1395.86
689.11	797.5	1389.51
689.21	797.4	1385.06
689.31	797.3	1434.22
689.41	797.2	1420.54
689.51	797.1	1360.49
689.61	797	1349.45
689.71	796.9	1445.83
689.81	796.8	1379.89
689.91	796.7	1452.04
690.01	796.6	1383.56
690.11	796.5	1384.55
690.21	796.4	1415.87
690.31	796.3	1409.19
690.41	796.2	1423.74
690.51	796.1	1442.26
690.61	796	1463.32
690.71	795.9	1453.27
690.81	795.8	1454.12
690.91	795.7	1439.48
691.01	795.6	1416.5
691.11	795.5	1410.95
691.21	795.4	1369.57
691.31	795.3	1412.22
691.41	795.2	1434.94
691.51	795.1	1399.53
691.61	795	1401.31
691.71	794.9	1427.07
691.81	794.8	1384.99
691.91	794.7	1377.54
692.01	794.6	1430.89
692.11	794.5	1394.31
692.21	794.4	1385.07
692.31	794.3	1363.02
692.41	794.2	1452.91
692.51	794.1	1383.53
692.61	794	1382.58
692.71	793.9	1413.1
692.81	793.8	1414.08
692.91	793.7	1473.17
693.01	793.6	1437.99
693.11	793.5	1423.14
693.21	793.4	1447.56
693.31	793.3	1413.55
