C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.5
KE_Cu2p	BE_Cu2p	CPS_Cu2p
478.81	1007.8	5465.93
478.91	1007.7	5509.52
479.01	1007.6	5483.88
479.11	1007.5	5479.53
479.21	1007.4	5515.88
479.31	1007.3	5520.26
479.41	1007.2	5522.97
479.51	1007.1	5523.39
479.61	1007	5516.67
479.71	1006.9	5533.92
479.81	1006.8	5516.78
479.91	1006.7	5467.02
480.01	1006.6	5533.39
480.11	1006.5	5537.88
480.21	1006.4	5534.72
480.31	1006.3	5547.28
480.41	1006.2	5527.96
480.51	1006.1	5478.43
480.61	1006	5518.07
480.71	1005.9	5555.05
480.81	1005.8	5584.28
480.91	1005.7	5572.38
481.01	1005.6	5538.82
481.11	1005.5	5604.04
481.21	1005.4	5557.83
481.31	1005.3	5562.14
481.41	1005.2	5567.03
481.51	1005.1	5560.25
481.61	1005	5539.7
481.71	1004.9	5603.75
481.81	1004.8	5610.51
481.91	1004.7	5564.52
482.01	1004.6	5531.92
482.11	1004.5	5544.4
482.21	1004.4	5569.97
482.31	1004.3	5527.68
482.41	1004.2	5547.12
482.51	1004.1	5547.34
482.61	1004	5563.75
482.71	1003.9	5552.24
482.81	1003.8	5520.99
482.91	1003.7	5540.71
483.01	1003.6	5565.8
483.11	1003.5	5538.82
483.21	1003.4	5491.07
483.31	1003.3	5511.76
483.41	1003.2	5596.49
483.51	1003.1	5574.84
483.61	1003	5546.23
483.71	1002.9	5521.73
483.81	1002.8	5528.96
483.91	1002.7	5621.69
484.01	1002.6	5551.23
484.11	1002.5	5541.64
484.21	1002.4	5575
484.31	1002.3	5549.04
484.41	1002.2	5483.61
484.51	1002.1	5508.52
484.61	1002	5542.24
484.71	1001.9	5579.12
484.81	1001.8	5540.33
484.91	1001.7	5555.07
485.01	1001.6	5575.8
485.11	1001.5	5558.42
485.21	1001.4	5544.42
485.31	1001.3	5589.17
485.41	1001.2	5616.59
485.51	1001.1	5624.81
485.61	1001	5577.36
485.71	1000.9	5554.52
485.81	1000.8	5578.01
485.91	1000.7	5558.64
486.01	1000.6	5515.08
486.11	1000.5	5523.5
486.21	1000.4	5574.15
486.31	1000.3	5557.27
486.41	1000.2	5627.75
486.51	1000.1	5575.97
486.61	1000	5567.56
486.71	999.9	5543.6
486.81	999.8	5550.97
486.91	999.7	5549.8
487.01	999.6	5534.05
487.11	999.5	5537.79
487.21	999.4	5580.33
487.31	999.3	5597.3
487.41	999.2	5590.82
487.51	999.1	5580.86
487.61	999	5666.85
487.71	998.9	5607.67
487.81	998.8	5608.75
487.91	998.7	5612.37
488.01	998.6	5567.12
488.11	998.5	5605.81
488.21	998.4	5599.73
488.31	998.3	5645.85
488.41	998.2	5615.31
488.51	998.1	5618.41
488.61	998	5640.91
488.71	997.9	5663.9
488.81	997.8	5667.57
488.91	997.7	5602.53
489.01	997.6	5609.84
489.11	997.5	5628.02
489.21	997.4	5599.1
489.31	997.3	5620.12
489.41	997.2	5613.37
489.51	997.1	5625.21
489.61	997	5605.87
489.71	996.9	5610.93
489.81	996.8	5653.28
489.91	996.7	5639.28
490.01	996.6	5619.38
490.11	996.5	5661.75
490.21	996.4	5665.92
490.31	996.3	5578.83
490.41	996.2	5636.48
490.51	996.1	5659.27
490.61	996	5703.04
490.71	995.9	5689.64
490.81	995.8	5679.03
490.91	995.7	5684.33
491.01	995.6	5647.2
491.11	995.5	5671
491.21	995.4	5636.05
491.31	995.3	5680
491.41	995.2	5641.97
491.51	995.1	5663.4
491.61	995	5709.84
491.71	994.9	5687.13
491.81	994.8	5603.97
491.91	994.7	5621.77
492.01	994.6	5727.21
492.11	994.5	5694.64
492.21	994.4	5700.14
492.31	994.3	5683.76
492.41	994.2	5659.73
492.51	994.1	5710.59
492.61	994	5732.19
492.71	993.9	5717.56
492.81	993.8	5682.27
492.91	993.7	5657.34
493.01	993.6	5699.47
493.11	993.5	5683.09
493.21	993.4	5667.43
493.31	993.3	5693.79
493.41	993.2	5703.61
493.51	993.1	5672.31
493.61	993	5666.59
493.71	992.9	5712.56
493.81	992.8	5707.93
493.91	992.7	5703.98
494.01	992.6	5709.37
494.11	992.5	5716.32
494.21	992.4	5667.53
494.31	992.3	5660.32
494.41	992.2	5704.08
494.51	992.1	5681.11
494.61	992	5681.47
494.71	991.9	5653.27
494.81	991.8	5717.28
494.91	991.7	5716.97
495.01	991.6	5748.57
495.11	991.5	5721.37
495.21	991.4	5709.29
495.31	991.3	5714.05
495.41	991.2	5631.2
495.51	991.1	5669.07
495.61	991	5720.93
495.71	990.9	5715.04
495.81	990.8	5713.24
495.91	990.7	5739.81
496.01	990.6	5772.75
496.11	990.5	5768.72
496.21	990.4	5740.74
496.31	990.3	5761.34
496.41	990.2	5722.06
496.51	990.1	5782.77
496.61	990	5857.76
496.71	989.9	5868.85
496.81	989.8	5816.76
496.91	989.7	5838.74
497.01	989.6	5829.64
497.11	989.5	5771.61
497.21	989.4	5707.87
497.31	989.3	5667.28
497.41	989.2	5666.65
497.51	989.1	5677.5
497.61	989	5715.93
497.71	988.9	5679.77
497.81	988.8	5701.5
497.91	988.7	5694.84
498.01	988.6	5718.27
498.11	988.5	5666.08
498.21	988.4	5739.9
498.31	988.3	5657.07
498.41	988.2	5690.86
498.51	988.1	5699.35
498.61	988	5694.05
498.71	987.9	5660.8
498.81	987.8	5676.75
498.91	987.7	5640.12
499.01	987.6	5724.39
499.11	987.5	5710.72
499.21	987.4	5762.44
499.31	987.3	5733.64
499.41	987.2	5712.01
499.51	987.1	5784.94
499.61	987	5759.34
499.71	986.9	5791.13
499.81	986.8	5729.85
499.91	986.7	5759.83
500.01	986.6	5821.95
500.11	986.5	5746.09
500.21	986.4	5746.68
500.31	986.3	5734.26
500.41	986.2	5750.85
500.51	986.1	5784.63
500.61	986	5734.72
500.71	985.9	5769.28
500.81	985.8	5742.01
500.91	985.7	5751.2
501.01	985.6	5725.38
501.11	985.5	5712.65
501.21	985.4	5715.99
501.31	985.3	5723.94
501.41	985.2	5722.79
501.51	985.1	5740.14
501.61	985	5718.43
501.71	984.9	5635.01
501.81	984.8	5687.2
501.91	984.7	5701.75
502.01	984.6	5671.31
502.11	984.5	5696.73
502.21	984.4	5656.15
502.31	984.3	5702.77
502.41	984.2	5648.37
502.51	984.1	5619.03
502.61	984	5640.22
502.71	983.9	5646.06
502.81	983.8	5667.18
502.91	983.7	5609.92
503.01	983.6	5641.81
503.11	983.5	5644.12
503.21	983.4	5647.66
503.31	983.3	5647.97
503.41	983.2	5695.32
503.51	983.1	5715.16
503.61	983	5712.56
503.71	982.9	5707.93
503.81	982.8	5727.28
503.91	982.7	5776.2
504.01	982.6	5816.48
504.11	982.5	5827.25
504.21	982.4	5818.4
504.31	982.3	5869.59
504.41	982.2	5903.3
504.51	982.1	5900.34
504.61	982	5897.41
504.71	981.9	5887.31
504.81	981.8	5965.03
504.91	981.7	6017.09
505.01	981.6	5973.02
505.11	981.5	6014.11
505.21	981.4	6042.71
505.31	981.3	6087.12
505.41	981.2	6027.6
505.51	981.1	5990.25
505.61	981	5864.87
505.71	980.9	5818.26
505.81	980.8	5787.85
505.91	980.7	5720.63
506.01	980.6	5717.01
506.11	980.5	5758.04
506.21	980.4	5776.04
506.31	980.3	5817.68
506.41	980.2	5797.22
506.51	980.1	5772.44
506.61	980	5797.51
506.71	979.9	5762.17
506.81	979.8	5695.9
506.91	979.7	5686.56
507.01	979.6	5695.43
507.11	979.5	5670.85
507.21	979.4	5658.35
507.31	979.3	5668.38
507.41	979.2	5699
