C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag4d	BE_Ag4d	CPS_Ag4d	Background_Ag4d
1402.61	84	19637.3	19637.3
1403.11	83.5	19577.1	19577.1
1403.61	83	19640.2	19640.2
1404.11	82.5	19697.3	19697.3
1404.61	82	19616.8	19616.8
1405.11	81.5	19684.4	19684.4
1405.61	81	19836.5	19836.5
1406.11	80.5	19708	19708
1406.61	80	19777.5	19777.5
1407.11	79.5	19920.4	19920.4
1407.61	79	19849.8	19849.8
1408.11	78.5	20035.2	20035.2
1408.61	78	19888.7	19888.7
1409.11	77.5	19912.2	19912.2
1409.61	77	20040.6	20040.6
1410.11	76.5	20102.6	20102.6
1410.61	76	20243.4	20243.4
1411.11	75.5	20236.3	20236.3
1411.61	75	20473.2	20473.2
1412.11	74.5	20579.8	20579.8
1412.61	74	20685.3	20685.3
1413.11	73.5	20607.1	20607.1
1413.61	73	20931.8	20931.8
1414.11	72.5	21204	21204
1414.61	72	21161.7	21161.7
1415.11	71.5	21278.1	21278.1
1415.61	71	21753.7	21753.7
1416.11	70.5	22005	22005
1416.61	70	22423.5	22423.5
1417.11	69.5	22848.5	22848.5
1417.61	69	23185.8	23185.8
1418.11	68.5	24169.7	24169.7
1418.61	68	24753.7	24753.7
1419.11	67.5	25459.8	25459.8
1419.61	67	26512.7	26512.7
1420.11	66.5	27421.2	27421.2
1420.61	66	28030.2	28030.2
1421.11	65.5	28989.7	28989.7
1421.61	65	29686.7	29686.7
1422.11	64.5	29975.7	29975.7
1422.61	64	30659.6	30659.6
1423.11	63.5	31359.5	31359.5
1423.61	63	31582	31582
1424.11	62.5	31877.3	31877.3
1424.61	62	32470.3	32470.3
1425.11	61.5	32857.6	32857.6
1425.61	61	33157.1	33157.1
1426.11	60.5	33532.8	33532.8
1426.61	60	33811.8	33811.8
1427.11	59.5	34047.9	34047.9
1427.61	59	34090.4	34090.4
1428.11	58.5	34092.9	34092.9
1428.61	58	33978.1	33978.1
1429.11	57.5	33016.5	33016.5
1429.61	57	31949.2	31949.2
1430.11	56.5	30493.6	30493.6
1430.61	56	28420.1	28420.1
1431.11	55.5	26790	26790
1431.61	55	24886	24886
1432.11	54.5	22876.6	22876.6
1432.61	54	20961	20961
1433.11	53.5	19474.8	19474.8
1433.61	53	18101.9	18101.9
1434.11	52.5	16729.9	16729.9
1434.61	52	15752.5	15752.5
1435.11	51.5	14882.2	14882.2
1435.61	51	13971.7	13971.7
1436.11	50.5	13278.8	13278.8
1436.61	50	12385.8	12385.8
1437.11	49.5	11848.8	11848.8
1437.61	49	11454.3	11454.3
1438.11	48.5	11155.1	11155.1
1438.61	48	10795.4	10795.4
1439.11	47.5	10436.5	10436.5
1439.61	47	10290.7	10290.7
1440.11	46.5	10006.1	10006.1
1440.61	46	9802.6	9802.6
1441.11	45.5	9801.01	9801.01
1441.61	45	9792.65	9792.65
1442.11	44.5	9470.11	9470.11
1442.61	44	9591.22	9591.22
1443.11	43.5	9509.31	9509.31
1443.61	43	9464.05	9464.05
1444.11	42.5	9416.4	9416.4
1444.61	42	9544.12	9544.12
1445.11	41.5	9456.18	9456.18
1445.61	41	9467.82	9467.82
1446.11	40.5	9276.51	9276.51
1446.61	40	9284.22	9284.22
1447.11	39.5	9383.13	9383.13
1447.61	39	9398.11	9398.11
1448.11	38.5	9253.94	9253.94
1448.61	38	9352.4	9352.4
1449.11	37.5	9269.97	9269.97
1449.61	37	9130.02	9130.02
1450.11	36.5	9407.38	9407.38
1450.61	36	9298.02	9298.02
1451.11	35.5	9338.83	9338.83
1451.61	35	9399.81	9399.81
1452.11	34.5	9550.77	9550.77
1452.61	34	9648.27	9648.27
1453.11	33.5	9550.77	9550.77
1453.61	33	9776.88	9776.88
1454.11	32.5	9790.35	9790.35
1454.61	32	9872.15	9872.15
1455.11	31.5	10010.1	10010.1
1455.61	31	10122.4	10122.4
1456.11	30.5	10201	10201
1456.61	30	10072	10072
1457.11	29.5	10142.5	10142.5
1457.61	29	10079.6	10079.6
1458.11	28.5	9954.44	9954.44
1458.61	28	9801.71	9801.71
1459.11	27.5	9682.49	9682.49
1459.61	27	9783.89	9783.89
1460.11	26.5	9830.57	9830.57
1460.61	26	9798.97	9798.97
1461.11	25.5	9929.36	9929.36
1461.61	25	9857.66	9857.66
1462.11	24.5	9806.02	9806.02
1462.61	24	9998.64	9998.64
1463.11	23.5	9946.85	9946.85
1463.61	23	9972.25	9972.25
1464.11	22.5	9944.57	9944.57
1464.61	22	9859.68	9859.68
1465.11	21.5	9660.41	9660.41
1465.61	21	9660.26	9660.26
1466.11	20.5	9608.3	9608.3
1466.61	20	9664.18	9664.18
1467.11	19.5	9438.61	9438.61
1467.61	19	9359.05	9359.05
1468.11	18.5	9417.46	9417.46
1468.61	18	9379.82	9379.82
1469.11	17.5	9539.62	9539.62
1469.61	17	9498.38	9498.38
1470.11	16.5	9614.48	9614.48
1470.61	16	9613.87	9613.87
1471.11	15.5	9686.27	9686.27
1471.61	15	9893.23	9893.23
1472.11	14.5	10052.9	10052.9
1472.61	14	10130.3	10130.3
1473.11	13.5	10123.3	10123.3
1473.61	13	10196	10196
1474.11	12.5	9998.73	9998.73
1474.61	12	10152.3	10152.3
1475.11	11.5	10443.6	10443.6
1475.61	11	10719.1	10719.1
1476.11	10.5	11222	11222
1476.61	10	11859.2	11859.2
1477.11	9.5	13063.4	13063.4
1477.61	9	15013	15013
1478.11	8.5	18937.9	18937.9
1478.61	8	26708	26708
1479.11	7.5	37763.7	37763.7
1479.61	7	50079.1	50079.1
1480.11	6.5	61134.6	61134.6
1480.61	6	68430	68430
1481.11	5.5	71846.9	71846.9
1481.61	5	71373.8	71373.8
1482.11	4.5	63766	63766
1482.61	4	49239.7	49239.7
1483.11	3.5	31371.8	31371.8
1483.61	3	16107.5	16107.5
1484.11	2.5	8107.94	8107.94
1484.61	2	5365.34	5365.34
1485.11	1.5	4347.34	4347.34
1485.61	1	3684.12	3684.12
1486.11	0.5	2915.23	2915.23
1486.61	0	2116.93	2116.93
