C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_AgMNN	BE_AgMNN	CPS_AgMNN	Background_AgMNN
373.61	1113	1099.21	1099.21
374.11	1112.5	847.759	847.759
374.61	1112	1005.71	1005.71
375.11	1111.5	1020.26	1020.26
375.61	1111	1045.57	1045.57
376.11	1110.5	726.954	726.954
376.61	1110	927.822	927.822
377.11	1109.5	770.891	770.891
377.61	1109	652.91	652.91
378.11	1108.5	576.352	576.352
378.61	1108	635.105	635.105
379.11	1107.5	637.505	637.505
379.61	1107	854.444	854.444
380.11	1106.5	882.565	882.565
380.61	1106	681.773	681.773
381.11	1105.5	565.063	565.063
381.61	1105	766.581	766.581
382.11	1104.5	299.168	299.168
382.61	1104	526.687	526.687
383.11	1103.5	525.913	525.913
383.61	1103	315.706	315.706
384.11	1102.5	627.955	627.955
384.61	1102	584.266	584.266
385.11	1101.5	573.246	573.246
385.61	1101	721.066	721.066
386.11	1100.5	781.596	781.596
386.61	1100	525.383	525.383
387.11	1099.5	368.96	368.96
387.61	1099	147.089	147.089
388.11	1098.5	470.534	470.534
388.61	1098	297.418	297.418
389.11	1097.5	567.057	567.057
389.61	1097	688.922	688.922
390.11	1096.5	679.714	679.714
390.61	1096	386.952	386.952
391.11	1095.5	221.771	221.771
391.61	1095	568.691	568.691
392.11	1094.5	449.933	449.933
392.61	1094	545.432	545.432
393.11	1093.5	524.275	524.275
393.61	1093	649.028	649.028
394.11	1092.5	538.048	538.048
394.61	1092	276.98	276.98
395.11	1091.5	494.429	494.429
395.61	1091	724.484	724.484
396.11	1090.5	303.856	303.856
396.61	1090	203.399	203.399
397.11	1089.5	101.497	101.497
397.61	1089	355.426	355.426
398.11	1088.5	459.992	459.992
398.61	1088	506.688	506.688
399.11	1087.5	520.377	520.377
399.61	1087	326.023	326.023
400.11	1086.5	496.638	496.638
400.61	1086	458.894	458.894
401.11	1085.5	209.281	209.281
401.61	1085	299.633	299.633
402.11	1084.5	433.135	433.135
402.61	1084	575.536	575.536
403.11	1083.5	484.435	484.435
403.61	1083	125.108	125.108
404.11	1082.5	225.734	225.734
404.61	1082	64.8557	64.8557
405.11	1081.5	316.821	316.821
405.61	1081	373.79	373.79
406.11	1080.5	379.764	379.764
406.61	1080	441.846	441.846
407.11	1079.5	371.785	371.785
407.61	1079	386.954	386.954
408.11	1078.5	217.022	217.022
408.61	1078	365.351	365.351
409.11	1077.5	667.792	667.792
409.61	1077	374.028	374.028
410.11	1076.5	160.847	160.847
410.61	1076	480.372	480.372
411.11	1075.5	368.139	368.139
411.61	1075	363.864	363.864
412.11	1074.5	422.114	422.114
412.61	1074	398.212	398.212
413.11	1073.5	198.697	198.697
413.61	1073	436.795	436.795
414.11	1072.5	119.699	119.699
414.61	1072	340.515	340.515
415.11	1071.5	402.179	402.179
415.61	1071	258.728	258.728
416.11	1070.5	-8.81086	-8.81086
416.61	1070	62.8861	62.8861
417.11	1069.5	298.809	298.809
417.61	1069	114.715	114.715
418.11	1068.5	122.556	122.556
418.61	1068	173.757	173.757
419.11	1067.5	421.455	421.455
419.61	1067	81.1345	81.1345
420.11	1066.5	374.387	374.387
420.61	1066	101.567	101.567
421.11	1065.5	166.006	166.006
421.61	1065	330.253	330.253
422.11	1064.5	161.54	161.54
422.61	1064	143.198	143.198
423.11	1063.5	450.246	450.246
423.61	1063	306.905	306.905
424.11	1062.5	161.653	161.653
424.61	1062	329.735	329.735
425.11	1061.5	203.457	203.457
425.61	1061	88.4763	88.4763
426.11	1060.5	469.701	469.701
426.61	1060	299.679	299.679
427.11	1059.5	183.667	183.667
427.61	1059	621.733	621.733
428.11	1058.5	402.234	402.234
428.61	1058	303.949	303.949
429.11	1057.5	83.0226	83.0226
429.61	1057	190.172	190.172
430.11	1056.5	386.824	386.824
430.61	1056	202.023	202.023
431.11	1055.5	466.584	466.584
431.61	1055	437.01	437.01
432.11	1054.5	314.844	314.844
432.61	1054	360.552	360.552
433.11	1053.5	546.558	546.558
433.61	1053	248.942	248.942
434.11	1052.5	227.596	227.596
434.61	1052	450.239	450.239
435.11	1051.5	389.004	389.004
435.61	1051	334.751	334.751
436.11	1050.5	319.484	319.484
436.61	1050	630.799	630.799
437.11	1049.5	388.24	388.24
437.61	1049	324.005	324.005
438.11	1048.5	254.238	254.238
438.61	1048	142.231	142.231
439.11	1047.5	295.402	295.402
439.61	1047	39.5418	39.5418
440.11	1046.5	287.326	287.326
440.61	1046	265.519	265.519
441.11	1045.5	323.33	323.33
441.61	1045	432.05	432.05
442.11	1044.5	247.962	247.962
442.61	1044	229.786	229.786
443.11	1043.5	162.7	162.7
443.61	1043	292.616	292.616
444.11	1042.5	200.597	200.597
444.61	1042	325.365	325.365
