C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Au4d	BE_Au4d	CPS_Au4d	Background_Au4d
1049.11	437.5	62614.6	62614.6
1049.61	437	62852.5	62852.5
1050.11	436.5	63574.1	63574.1
1050.61	436	63420.3	63420.3
1051.11	435.5	63100.7	63100.7
1051.61	435	63203.6	63203.6
1052.11	434.5	63880.8	63880.8
1052.61	434	63515.1	63515.1
1053.11	433.5	63798.1	63798.1
1053.61	433	63701.3	63701.3
1054.11	432.5	64344.4	64344.4
1054.61	432	64222.3	64222.3
1055.11	431.5	63667.3	63667.3
1055.61	431	64590.5	64590.5
1056.11	430.5	64722.4	64722.4
1056.61	430	64447	64447
1057.11	429.5	64775.3	64775.3
1057.61	429	64347.2	64347.2
1058.11	428.5	65598.4	65598.4
1058.61	428	65075.6	65075.6
1059.11	427.5	65266.7	65266.7
1059.61	427	65495.8	65495.8
1060.11	426.5	65745.4	65745.4
1060.61	426	65330.5	65330.5
1061.11	425.5	66005	66005
1061.61	425	66225.7	66225.7
1062.11	424.5	65966.6	65966.6
1062.61	424	66204.8	66204.8
1063.11	423.5	66033.4	66033.4
1063.61	423	66226.4	66226.4
1064.11	422.5	66686.7	66686.7
1064.61	422	66820.4	66820.4
1065.11	421.5	66979.6	66979.6
1065.61	421	67603	67603
1066.11	420.5	67206.6	67206.6
1066.61	420	67301.4	67301.4
1067.11	419.5	67810.1	67810.1
1067.61	419	67891.1	67891.1
1068.11	418.5	67659.7	67659.7
1068.61	418	67738.1	67738.1
1069.11	417.5	68283.7	68283.7
1069.61	417	68309.2	68309.2
1070.11	416.5	68487.5	68487.5
1070.61	416	68440.7	68440.7
1071.11	415.5	68481.2	68481.2
1071.61	415	69108.7	69108.7
1072.11	414.5	68842	68842
1072.61	414	68614	68614
1073.11	413.5	69556.1	69556.1
1073.61	413	69709.8	69709.8
1074.11	412.5	69500.3	69500.3
1074.61	412	69311.4	69311.4
1075.11	411.5	69847.6	69847.6
1075.61	411	69986.6	69986.6
1076.11	410.5	70526.1	70526.1
1076.61	410	70045.6	70045.6
1077.11	409.5	70529	70529
1077.61	409	70334.2	70334.2
1078.11	408.5	70084.9	70084.9
1078.61	408	70505	70505
1079.11	407.5	70780.3	70780.3
1079.61	407	70930.9	70930.9
1080.11	406.5	71392	71392
1080.61	406	71615.4	71615.4
1081.11	405.5	72310.6	72310.6
1081.61	405	71967.4	71967.4
1082.11	404.5	72460	72460
1082.61	404	72351.5	72351.5
1083.11	403.5	72402	72402
1083.61	403	72797.7	72797.7
1084.11	402.5	72412.6	72412.6
1084.61	402	73004.7	73004.7
