C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Au4d	BE_Au4d	CPS_Au4d	Background_Au4d
1049.61	437	31553.8	31553.8
1050.11	436.5	31426.5	31426.5
1050.61	436	31711.2	31711.2
1051.11	435.5	31709.6	31709.6
1051.61	435	31964.7	31964.7
1052.11	434.5	32167.6	32167.6
1052.61	434	32284.9	32284.9
1053.11	433.5	32149.8	32149.8
1053.61	433	32019.7	32019.7
1054.11	432.5	31979.9	31979.9
1054.61	432	31974.1	31974.1
1055.11	431.5	32273.1	32273.1
1055.61	431	32230.2	32230.2
1056.11	430.5	32456.8	32456.8
1056.61	430	32551	32551
1057.11	429.5	32567.6	32567.6
1057.61	429	32702.8	32702.8
1058.11	428.5	32784.6	32784.6
1058.61	428	32845.2	32845.2
1059.11	427.5	33254.2	33254.2
1059.61	427	33156.8	33156.8
1060.11	426.5	33000.3	33000.3
1060.61	426	33078.3	33078.3
1061.11	425.5	33102.2	33102.2
1061.61	425	33211.9	33211.9
1062.11	424.5	33484.9	33484.9
1062.61	424	33677.5	33677.5
1063.11	423.5	33510.8	33510.8
1063.61	423	33652.4	33652.4
1064.11	422.5	33773.4	33773.4
1064.61	422	34046.4	34046.4
1065.11	421.5	33594.8	33594.8
1065.61	421	34241.8	34241.8
1066.11	420.5	33937.9	33937.9
1066.61	420	33681.7	33681.7
1067.11	419.5	33731.3	33731.3
1067.61	419	33709.7	33709.7
1068.11	418.5	33676.9	33676.9
1068.61	418	34142.6	34142.6
1069.11	417.5	34370.9	34370.9
1069.61	417	34191.9	34191.9
1070.11	416.5	34154.9	34154.9
1070.61	416	33823.2	33823.2
1071.11	415.5	33951.9	33951.9
1071.61	415	34199.3	34199.3
1072.11	414.5	34149.4	34149.4
1072.61	414	34269.3	34269.3
1073.11	413.5	34701.9	34701.9
1073.61	413	34944.5	34944.5
1074.11	412.5	34820	34820
1074.61	412	34960.6	34960.6
1075.11	411.5	35077.6	35077.6
1075.61	411	35409.7	35409.7
1076.11	410.5	35030	35030
1076.61	410	35027.2	35027.2
1077.11	409.5	34701.2	34701.2
1077.61	409	34888.9	34888.9
1078.11	408.5	35241	35241
1078.61	408	35274.3	35274.3
1079.11	407.5	35167	35167
1079.61	407	35469.6	35469.6
1080.11	406.5	35804.8	35804.8
1080.61	406	35962	35962
1081.11	405.5	35683.3	35683.3
1081.61	405	35093.3	35093.3
1082.11	404.5	35706.5	35706.5
1082.61	404	35679.5	35679.5
1083.11	403.5	36078.8	36078.8
1083.61	403	35987.3	35987.3
1084.11	402.5	35906.9	35906.9
1084.61	402	35983.4	35983.4
1085.11	401.5	36274	36274
1085.61	401	36678.8	36678.8
1086.11	400.5	36285	36285
1086.61	400	36601.9	36601.9
1087.11	399.5	36701	36701
1087.61	399	36508.8	36508.8
1088.11	398.5	36707.6	36707.6
1088.61	398	36898.4	36898.4
1089.11	397.5	37221.3	37221.3
1089.61	397	36908.2	36908.2
1090.11	396.5	37313.3	37313.3
1090.61	396	36970.5	36970.5
1091.11	395.5	36943	36943
1091.61	395	36598.8	36598.8
1092.11	394.5	36904.4	36904.4
1092.61	394	37116.9	37116.9
1093.11	393.5	37199.8	37199.8
1093.61	393	37271.5	37271.5
1094.11	392.5	37401.7	37401.7
1094.61	392	37631.4	37631.4
1095.11	391.5	37418.4	37418.4
1095.61	391	37608.2	37608.2
1096.11	390.5	37744	37744
1096.61	390	37587.3	37587.3
1097.11	389.5	37446.8	37446.8
1097.61	389	37739.7	37739.7
1098.11	388.5	37837.1	37837.1
1098.61	388	37508.2	37508.2
1099.11	387.5	38066.9	38066.9
1099.61	387	38394.8	38394.8
1100.11	386.5	38300.1	38300.1
1100.61	386	38271.3	38271.3
1101.11	385.5	38751.3	38751.3
1101.61	385	38517.2	38517.2
1102.11	384.5	38449.3	38449.3
1102.61	384	38623.2	38623.2
1103.11	383.5	38916.5	38916.5
1103.61	383	38481.6	38481.6
1104.11	382.5	38931.9	38931.9
1104.61	382	38771.7	38771.7
1105.11	381.5	38745.8	38745.8
1105.61	381	38922.8	38922.8
1106.11	380.5	39417.3	39417.3
1106.61	380	39479.3	39479.3
1107.11	379.5	39135.4	39135.4
1107.61	379	39777.6	39777.6
1108.11	378.5	39387.3	39387.3
1108.61	378	39332.1	39332.1
1109.11	377.5	39495.1	39495.1
1109.61	377	39467.3	39467.3
1110.11	376.5	39685.2	39685.2
1110.61	376	39811.1	39811.1
1111.11	375.5	39914.2	39914.2
1111.61	375	39862.5	39862.5
1112.11	374.5	39809.9	39809.9
1112.61	374	39399.8	39399.8
1113.11	373.5	39650.4	39650.4
1113.61	373	39591.5	39591.5
1114.11	372.5	39655.7	39655.7
1114.61	372	39614.5	39614.5
1115.11	371.5	39923.9	39923.9
1115.61	371	39631.6	39631.6
1116.11	370.5	39903.9	39903.9
1116.61	370	39751.9	39751.9
1117.11	369.5	39583	39583
1117.61	369	39650.8	39650.8
1118.11	368.5	39174.2	39174.2
1118.61	368	38842	38842
1119.11	367.5	39144.4	39144.4
1119.61	367	38433.4	38433.4
1120.11	366.5	38331.7	38331.7
1120.61	366	38220.6	38220.6
1121.11	365.5	38192.2	38192.2
1121.61	365	37852.2	37852.2
1122.11	364.5	37900.5	37900.5
