C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_AgMNN	BE_AgMNN	CPS_AgMNN	Background_AgMNN
374.11	1112.5	231.225	231.225
374.61	1112	214.515	214.515
375.11	1111.5	237.694	237.694
375.61	1111	218.747	218.747
376.11	1110.5	50.0502	50.0502
376.61	1110	41.1878	41.1878
377.11	1109.5	72.6128	72.6128
377.61	1109	104.711	104.711
378.11	1108.5	84.1525	84.1525
378.61	1108	243.981	243.981
379.11	1107.5	305.822	305.822
379.61	1107	246.062	246.062
380.11	1106.5	148.201	148.201
380.61	1106	97.4286	97.4286
381.11	1105.5	107.804	107.804
381.61	1105	286.726	286.726
382.11	1104.5	228.516	228.516
382.61	1104	-60.2147	-60.2147
383.11	1103.5	31.9941	31.9941
383.61	1103	75.3738	75.3738
384.11	1102.5	63.0111	63.0111
384.61	1102	71.8913	71.8913
385.11	1101.5	158.161	158.161
385.61	1101	126.452	126.452
386.11	1100.5	36.8707	36.8707
386.61	1100	36.933	36.933
387.11	1099.5	96.0363	96.0363
387.61	1099	179.938	179.938
388.11	1098.5	228.056	228.056
388.61	1098	194.855	194.855
389.11	1097.5	171.255	171.255
389.61	1097	59.1157	59.1157
390.11	1096.5	100.202	100.202
390.61	1096	52.9823	52.9823
391.11	1095.5	224.651	224.651
391.61	1095	84.5726	84.5726
392.11	1094.5	222.428	222.428
392.61	1094	205.2	205.2
393.11	1093.5	207.46	207.46
393.61	1093	79.0397	79.0397
394.11	1092.5	99.7203	99.7203
394.61	1092	133.927	133.927
395.11	1091.5	71.3059	71.3059
395.61	1091	4.53226	4.53226
396.11	1090.5	129.718	129.718
396.61	1090	164.325	164.325
397.11	1089.5	170.898	170.898
397.61	1089	161.741	161.741
398.11	1088.5	97.9697	97.9697
398.61	1088	135.138	135.138
399.11	1087.5	113.212	113.212
399.61	1087	-16.6095	-16.6095
400.11	1086.5	-29.2356	-29.2356
400.61	1086	214.917	214.917
401.11	1085.5	138.534	138.534
401.61	1085	19.6818	19.6818
402.11	1084.5	91.162	91.162
402.61	1084	74.8861	74.8861
403.11	1083.5	96.2659	96.2659
403.61	1083	98.8798	98.8798
404.11	1082.5	157.297	157.297
404.61	1082	44.2483	44.2483
405.11	1081.5	-45.2724	-45.2724
405.61	1081	-23.7124	-23.7124
406.11	1080.5	-29.7816	-29.7816
406.61	1080	115.704	115.704
407.11	1079.5	16.1438	16.1438
407.61	1079	117.667	117.667
408.11	1078.5	6.79316	6.79316
408.61	1078	51.9592	51.9592
409.11	1077.5	62.4874	62.4874
409.61	1077	186.297	186.297
410.11	1076.5	221.465	221.465
410.61	1076	62.6406	62.6406
411.11	1075.5	-27.5393	-27.5393
411.61	1075	92.4728	92.4728
412.11	1074.5	262.944	262.944
412.61	1074	202.916	202.916
413.11	1073.5	127.611	127.611
413.61	1073	130.944	130.944
414.11	1072.5	63.9556	63.9556
414.61	1072	24.1293	24.1293
415.11	1071.5	62.9531	62.9531
415.61	1071	229.347	229.347
416.11	1070.5	212.159	212.159
