C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
734.11	752.5	36650.5	36650.5
734.61	752	36683.5	36683.5
735.11	751.5	36514	36514
735.61	751	36917.7	36917.7
736.11	750.5	36662.4	36662.4
736.61	750	36918.5	36918.5
737.11	749.5	36924	36924
737.61	749	36821.6	36821.6
738.11	748.5	36835.7	36835.7
738.61	748	36991.3	36991.3
739.11	747.5	37072.3	37072.3
739.61	747	36876.4	36876.4
740.11	746.5	36478.7	36478.7
740.61	746	36968.3	36968.3
741.11	745.5	36915.4	36915.4
741.61	745	37465	37465
742.11	744.5	37392.4	37392.4
742.61	744	37482.5	37482.5
743.11	743.5	37710.9	37710.9
743.61	743	37500	37500
744.11	742.5	37469.1	37469.1
744.61	742	37495.1	37495.1
745.11	741.5	37767.6	37767.6
745.61	741	37452.1	37452.1
746.11	740.5	37142.1	37142.1
746.61	740	37497.1	37497.1
747.11	739.5	37977.2	37977.2
747.61	739	37837.9	37837.9
748.11	738.5	37990.9	37990.9
748.61	738	37903.6	37903.6
749.11	737.5	38099.5	38099.5
749.61	737	37921.7	37921.7
750.11	736.5	37958	37958
750.61	736	37775.6	37775.6
751.11	735.5	38220.6	38220.6
751.61	735	38041.5	38041.5
752.11	734.5	38200.6	38200.6
752.61	734	37818.5	37818.5
753.11	733.5	38284	38284
753.61	733	38642.2	38642.2
754.11	732.5	38383.3	38383.3
754.61	732	38584.4	38584.4
755.11	731.5	38754.8	38754.8
755.61	731	38732.8	38732.8
756.11	730.5	39217.2	39217.2
756.61	730	39099.9	39099.9
757.11	729.5	39113.8	39113.8
757.61	729	38799.3	38799.3
758.11	728.5	39543.9	39543.9
758.61	728	39519.8	39519.8
759.11	727.5	39562.1	39562.1
759.61	727	40096	40096
760.11	726.5	40180.3	40180.3
760.61	726	40388.6	40388.6
761.11	725.5	40971.8	40971.8
761.61	725	42050.3	42050.3
762.11	724.5	42006.1	42006.1
762.61	724	42454.1	42454.1
763.11	723.5	43210.2	43210.2
763.61	723	43956.8	43956.8
764.11	722.5	44519.8	44519.8
764.61	722	45443.4	45443.4
765.11	721.5	45918.8	45918.8
765.61	721	46411.4	46411.4
766.11	720.5	46881.1	46881.1
766.61	720	47446.6	47446.6
767.11	719.5	48127.1	48127.1
767.61	719	48288.4	48288.4
768.11	718.5	47747.7	47747.7
768.61	718	47276.7	47276.7
769.11	717.5	47540.5	47540.5
769.61	717	46227.6	46227.6
770.11	716.5	44931.9	44931.9
770.61	716	44567.4	44567.4
771.11	715.5	43306.6	43306.6
771.61	715	42939.6	42939.6
772.11	714.5	42100.7	42100.7
772.61	714	41395.7	41395.7
773.11	713.5	40318.2	40318.2
773.61	713	39683.9	39683.9
774.11	712.5	39208.4	39208.4
774.61	712	38576	38576
775.11	711.5	38321.4	38321.4
775.61	711	38214.3	38214.3
776.11	710.5	37564.8	37564.8
776.61	710	36960.9	36960.9
777.11	709.5	36818.6	36818.6
777.61	709	36185.5	36185.5
778.11	708.5	36525.7	36525.7
778.61	708	35910.2	35910.2
779.11	707.5	35379.6	35379.6
779.61	707	35206.9	35206.9
780.11	706.5	35427.2	35427.2
780.61	706	34785.6	34785.6
781.11	705.5	35173.1	35173.1
781.61	705	35055.3	35055.3
782.11	704.5	34774.3	34774.3
782.61	704	34793.4	34793.4
783.11	703.5	34836.5	34836.5
783.61	703	34462.4	34462.4
784.11	702.5	34461.6	34461.6
784.61	702	34549.1	34549.1
785.11	701.5	34427.6	34427.6
785.61	701	34238.6	34238.6
786.11	700.5	34096.4	34096.4
786.61	700	34443.6	34443.6
787.11	699.5	34488.8	34488.8
787.61	699	34930	34930
788.11	698.5	34254.4	34254.4
788.61	698	33590.9	33590.9
789.11	697.5	34077.6	34077.6
789.61	697	34446.3	34446.3
790.11	696.5	34332.4	34332.4
790.61	696	33752.5	33752.5
791.11	695.5	33996.6	33996.6
791.61	695	34327.1	34327.1
792.11	694.5	34536.2	34536.2
792.61	694	34079.7	34079.7
793.11	693.5	33926.8	33926.8
793.61	693	34529.6	34529.6
