C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag4d	BE_Ag4d	CPS_Ag4d	Background_Ag4d
1404.11	82.5	10246.5	10246.5
1404.61	82	10184.3	10184.3
1405.11	81.5	10037.2	10037.2
1405.61	81	10161.2	10161.2
1406.11	80.5	10142.3	10142.3
1406.61	80	10120.9	10120.9
1407.11	79.5	10267.2	10267.2
1407.61	79	10151.4	10151.4
1408.11	78.5	9978.55	9978.55
1408.61	78	9931.92	9931.92
1409.11	77.5	9931.87	9931.87
1409.61	77	9938.29	9938.29
1410.11	76.5	9846.72	9846.72
1410.61	76	9985.93	9985.93
1411.11	75.5	9827.19	9827.19
1411.61	75	9964.17	9964.17
1412.11	74.5	9990.31	9990.31
1412.61	74	9902.89	9902.89
1413.11	73.5	9942.18	9942.18
1413.61	73	10006.5	10006.5
1414.11	72.5	9861.22	9861.22
1414.61	72	9786.98	9786.98
1415.11	71.5	9693.38	9693.38
1415.61	71	9699.89	9699.89
1416.11	70.5	9841.07	9841.07
1416.61	70	10049	10049
1417.11	69.5	10062.3	10062.3
1417.61	69	10092	10092
1418.11	68.5	10283.3	10283.3
1418.61	68	10423	10423
1419.11	67.5	10771.2	10771.2
1419.61	67	11002.6	11002.6
1420.11	66.5	11163.9	11163.9
1420.61	66	11368.6	11368.6
1421.11	65.5	11524.6	11524.6
1421.61	65	11653.3	11653.3
1422.11	64.5	11845.3	11845.3
1422.61	64	11961.3	11961.3
1423.11	63.5	12161.2	12161.2
1423.61	63	12278.7	12278.7
1424.11	62.5	12302.1	12302.1
1424.61	62	12375.4	12375.4
1425.11	61.5	12490.8	12490.8
1425.61	61	12421.8	12421.8
1426.11	60.5	12680.4	12680.4
1426.61	60	12784	12784
1427.11	59.5	12678.8	12678.8
1427.61	59	12841.2	12841.2
1428.11	58.5	12845	12845
1428.61	58	12655.2	12655.2
1429.11	57.5	12485.2	12485.2
1429.61	57	12107.1	12107.1
1430.11	56.5	11672.1	11672.1
1430.61	56	11168.7	11168.7
1431.11	55.5	10606.8	10606.8
1431.61	55	9972.65	9972.65
1432.11	54.5	9328.26	9328.26
1432.61	54	8702.31	8702.31
1433.11	53.5	8260.94	8260.94
1433.61	53	7682.39	7682.39
1434.11	52.5	7396.31	7396.31
1434.61	52	7123.03	7123.03
1435.11	51.5	6835.96	6835.96
1435.61	51	6444.4	6444.4
1436.11	50.5	6224.21	6224.21
1436.61	50	6040.73	6040.73
1437.11	49.5	5824.62	5824.62
1437.61	49	5823.88	5823.88
1438.11	48.5	5651.49	5651.49
1438.61	48	5542.62	5542.62
1439.11	47.5	5299.48	5299.48
1439.61	47	5373.43	5373.43
1440.11	46.5	5245.33	5245.33
1440.61	46	5240.45	5240.45
1441.11	45.5	5211.02	5211.02
1441.61	45	5169.55	5169.55
1442.11	44.5	5150.78	5150.78
1442.61	44	5146.04	5146.04
1443.11	43.5	5123.31	5123.31
1443.61	43	5174.33	5174.33
1444.11	42.5	5151.49	5151.49
1444.61	42	5114.32	5114.32
1445.11	41.5	5168.52	5168.52
1445.61	41	5087.5	5087.5
1446.11	40.5	5126.6	5126.6
1446.61	40	5140.33	5140.33
1447.11	39.5	5077.6	5077.6
1447.61	39	5037.78	5037.78
1448.11	38.5	4959.07	4959.07
1448.61	38	5031.61	5031.61
1449.11	37.5	4967.63	4967.63
1449.61	37	5087.52	5087.52
1450.11	36.5	5259.77	5259.77
1450.61	36	5237.04	5237.04
1451.11	35.5	5164.13	5164.13
1451.61	35	5244.15	5244.15
1452.11	34.5	5432.16	5432.16
1452.61	34	5325.07	5325.07
1453.11	33.5	5370.83	5370.83
1453.61	33	5219.31	5219.31
1454.11	32.5	5340.86	5340.86
1454.61	32	5306.36	5306.36
1455.11	31.5	5189.86	5189.86
1455.61	31	5397.84	5397.84
1456.11	30.5	5397.51	5397.51
1456.61	30	5352.76	5352.76
1457.11	29.5	5462.98	5462.98
1457.61	29	5387.87	5387.87
1458.11	28.5	5495.67	5495.67
1458.61	28	5460.9	5460.9
1459.11	27.5	5321.37	5321.37
1459.61	27	5403.74	5403.74
1460.11	26.5	5251.02	5251.02
1460.61	26	5238.96	5238.96
1461.11	25.5	5231.25	5231.25
1461.61	25	5401.8	5401.8
1462.11	24.5	5261.52	5261.52
1462.61	24	5468.87	5468.87
1463.11	23.5	5462.43	5462.43
1463.61	23	5458.73	5458.73
1464.11	22.5	5469.47	5469.47
1464.61	22	5389.81	5389.81
1465.11	21.5	5318.54	5318.54
1465.61	21	5305.06	5305.06
1466.11	20.5	5229.17	5229.17
1466.61	20	5130.6	5130.6
1467.11	19.5	4914.84	4914.84
1467.61	19	4626.66	4626.66
1468.11	18.5	4186.26	4186.26
1468.61	18	4030.03	4030.03
1469.11	17.5	3978.86	3978.86
1469.61	17	3878.38	3878.38
1470.11	16.5	3904.46	3904.46
1470.61	16	3983.24	3983.24
1471.11	15.5	4111.25	4111.25
1471.61	15	4304.96	4304.96
1472.11	14.5	4379.66	4379.66
1472.61	14	4507.41	4507.41
1473.11	13.5	4554.47	4554.47
1473.61	13	4390.33	4390.33
1474.11	12.5	4143.94	4143.94
1474.61	12	3869.6	3869.6
1475.11	11.5	3744.97	3744.97
1475.61	11	3682.9	3682.9
1476.11	10.5	3670.94	3670.94
1476.61	10	3953.92	3953.92
1477.11	9.5	4245.3	4245.3
1477.61	9	4896.41	4896.41
1478.11	8.5	6236.08	6236.08
1478.61	8	8599.36	8599.36
1479.11	7.5	12206.8	12206.8
1479.61	7	16176.6	16176.6
1480.11	6.5	19846	19846
1480.61	6	22033	22033
1481.11	5.5	22892.4	22892.4
1481.61	5	22732.9	22732.9
1482.11	4.5	20685.5	20685.5
1482.61	4	15725.9	15725.9
1483.11	3.5	10037.7	10037.7
1483.61	3	5268.22	5268.22
1484.11	2.5	2711.68	2711.68
1484.61	2	1820	1820
1485.11	1.5	1417.68	1417.68
1485.61	1	1169.36	1169.36
1486.11	0.5	960.148	960.148
1486.61	0	656.921	656.921
