C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Au4d	BE_Au4d	CPS_Au4d	Background_Au4d
960.61	526	11928.7	11928.7
961.11	525.5	11579.5	11579.5
961.61	525	11693.1	11693.1
962.11	524.5	11838.6	11838.6
962.61	524	11834.9	11834.9
963.11	523.5	11763.6	11763.6
963.61	523	11841.9	11841.9
964.11	522.5	11834.2	11834.2
964.61	522	11857.3	11857.3
965.11	521.5	11804.9	11804.9
965.61	521	11956.1	11956.1
966.11	520.5	11944.2	11944.2
966.61	520	11919.2	11919.2
967.11	519.5	11955.9	11955.9
967.61	519	12175.4	12175.4
968.11	518.5	12084.1	12084.1
968.61	518	12119.2	12119.2
969.11	517.5	11937.5	11937.5
969.61	517	11943.2	11943.2
970.11	516.5	12140.3	12140.3
970.61	516	12150.8	12150.8
971.11	515.5	12145.8	12145.8
971.61	515	12288.3	12288.3
972.11	514.5	11934.7	11934.7
972.61	514	12179.7	12179.7
973.11	513.5	12238	12238
973.61	513	12251.4	12251.4
974.11	512.5	12133.2	12133.2
974.61	512	12296.2	12296.2
975.11	511.5	12396.8	12396.8
975.61	511	12304.8	12304.8
976.11	510.5	12370	12370
976.61	510	12509.7	12509.7
977.11	509.5	12445.4	12445.4
977.61	509	12529	12529
978.11	508.5	12429.2	12429.2
978.61	508	12585.7	12585.7
979.11	507.5	12571.6	12571.6
979.61	507	12436	12436
980.11	506.5	12386.5	12386.5
980.61	506	12322.6	12322.6
981.11	505.5	12538.4	12538.4
981.61	505	12575.6	12575.6
982.11	504.5	12780.3	12780.3
982.61	504	12712	12712
983.11	503.5	12521.6	12521.6
983.61	503	12643.3	12643.3
984.11	502.5	12635.8	12635.8
984.61	502	12753.4	12753.4
985.11	501.5	12699.7	12699.7
985.61	501	12850.9	12850.9
986.11	500.5	12825.7	12825.7
986.61	500	12605.8	12605.8
987.11	499.5	12657.2	12657.2
987.61	499	13006.4	13006.4
988.11	498.5	12995.4	12995.4
988.61	498	12985.1	12985.1
989.11	497.5	12674.2	12674.2
989.61	497	12877.9	12877.9
990.11	496.5	12810.5	12810.5
990.61	496	12760.3	12760.3
991.11	495.5	12790.5	12790.5
991.61	495	13126.8	13126.8
992.11	494.5	12793.5	12793.5
992.61	494	13065	13065
993.11	493.5	12972	12972
993.61	493	13164.1	13164.1
994.11	492.5	13215.5	13215.5
994.61	492	13203.4	13203.4
995.11	491.5	13243.8	13243.8
995.61	491	13366	13366
996.11	490.5	13298.9	13298.9
996.61	490	13465.8	13465.8
997.11	489.5	13177	13177
997.61	489	13187.6	13187.6
998.11	488.5	13148.6	13148.6
998.61	488	13281.7	13281.7
999.11	487.5	13337.8	13337.8
999.61	487	13239.5	13239.5
1000.11	486.5	13472	13472
1000.61	486	13345.3	13345.3
1001.11	485.5	13250.4	13250.4
1001.61	485	13332.1	13332.1
1002.11	484.5	13549.7	13549.7
1002.61	484	13412.8	13412.8
1003.11	483.5	13326.2	13326.2
1003.61	483	13349.5	13349.5
1004.11	482.5	13442.8	13442.8
1004.61	482	13450.8	13450.8
1005.11	481.5	13725.3	13725.3
1005.61	481	13563.7	13563.7
1006.11	480.5	13765	13765
1006.61	480	13650.7	13650.7
1007.11	479.5	13618.1	13618.1
1007.61	479	13604.9	13604.9
1008.11	478.5	13509.1	13509.1
1008.61	478	13599.7	13599.7
1009.11	477.5	13753.4	13753.4
1009.61	477	13577.2	13577.2
1010.11	476.5	14047.8	14047.8
1010.61	476	13919	13919
1011.11	475.5	13762.2	13762.2
1011.61	475	13767.4	13767.4
1012.11	474.5	14001.9	14001.9
