C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX318_CEC356_Au Ag Cu in N2_clean.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1058.91	427.7	4973.57
1059.01	427.6	5022.02
1059.11	427.5	4938.58
1059.21	427.4	4920.69
1059.31	427.3	4970.33
1059.41	427.2	4928.31
1059.51	427.1	4958.87
1059.61	427	4990.03
1059.71	426.9	4965.51
1059.81	426.8	4953.1
1059.91	426.7	4911.29
1060.01	426.6	4911.51
1060.11	426.5	4953.27
1060.21	426.4	4935.51
1060.31	426.3	4929.52
1060.41	426.2	4888.94
1060.51	426.1	4959.12
1060.61	426	4948.1
1060.71	425.9	4952.97
1060.81	425.8	4985.78
1060.91	425.7	4960.46
1061.01	425.6	4988.43
1061.11	425.5	5031.89
1061.21	425.4	4994.69
1061.31	425.3	5010.4
1061.41	425.2	5007.24
1061.51	425.1	5020.61
1061.61	425	5014.94
1061.71	424.9	4980.9
1061.81	424.8	4995.36
1061.91	424.7	4954.1
1062.01	424.6	5023.01
1062.11	424.5	4988.23
1062.21	424.4	4985.3
1062.31	424.3	4977.29
1062.41	424.2	5060.05
1062.51	424.1	5007.88
1062.61	424	5012.13
1062.71	423.9	5041.4
1062.81	423.8	5011.24
1062.91	423.7	5043.9
1063.01	423.6	5060.96
1063.11	423.5	5065.79
1063.21	423.4	5056.06
1063.31	423.3	5104.2
1063.41	423.2	5129
1063.51	423.1	5088.53
1063.61	423	5110.68
1063.71	422.9	5116.53
1063.81	422.8	5099.25
1063.91	422.7	5182.28
1064.01	422.6	5121.24
1064.11	422.5	5137.69
1064.21	422.4	5174.8
1064.31	422.3	5187.29
1064.41	422.2	5193.32
1064.51	422.1	5163.69
1064.61	422	5229
1064.71	421.9	5239.76
1064.81	421.8	5230.1
1064.91	421.7	5192.61
1065.01	421.6	5207.05
1065.11	421.5	5194.85
1065.21	421.4	5181.86
1065.31	421.3	5182.34
1065.41	421.2	5164.21
1065.51	421.1	5232.94
1065.61	421	5195.16
1065.71	420.9	5146.36
1065.81	420.8	5149.24
1065.91	420.7	5161.33
1066.01	420.6	5074.03
1066.11	420.5	5141.63
1066.21	420.4	5097.18
1066.31	420.3	5116.09
1066.41	420.2	5107.96
1066.51	420.1	5169.09
1066.61	420	5141.58
1066.71	419.9	5184.13
1066.81	419.8	5139.98
1066.91	419.7	5183.58
1067.01	419.6	5233.6
1067.11	419.5	5180.74
1067.21	419.4	5171.63
1067.31	419.3	5202.94
1067.41	419.2	5204.55
1067.51	419.1	5189.44
1067.61	419	5209.32
1067.71	418.9	5203.18
1067.81	418.8	5254.11
1067.91	418.7	5286.66
1068.01	418.6	5262.5
1068.11	418.5	5294.95
1068.21	418.4	5236.88
1068.31	418.3	5226.58
1068.41	418.2	5147.43
