c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in n2 300um nozzle\20180228 au gas phase background in n2 - au4f.vms			
Counts per Second			
	Characteristic Energy eV	1486.61	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	
1327.41	159.2	1089.78	
1327.51	159.1	1086.14	
1327.61	159	1065.32	
1327.71	158.9	1089.93	
1327.81	158.8	1075.09	
1327.91	158.7	1062.59	
1328.01	158.6	1079.21	
1328.11	158.5	1071.84	
1328.21	158.4	1073.37	
1328.31	158.3	1103.76	
1328.41	158.2	1102.56	
1328.51	158.1	1117.36	
1328.61	158	1087.11	
1328.71	157.9	1066.98	
1328.81	157.8	1079.65	
1328.91	157.7	1086.79	
1329.01	157.6	1076.56	
1329.11	157.5	1087.99	
1329.21	157.4	1086.4	
1329.31	157.3	1086.68	
1329.41	157.2	1101.12	
1329.51	157.1	1084.25	
1329.61	157	1116.1	
1329.71	156.9	1102.33	
1329.81	156.8	1081.22	
1329.91	156.7	1107.64	
1330.01	156.6	1062.19	
1330.11	156.5	1067.74	
1330.21	156.4	1108.55	
1330.31	156.3	1113.43	
1330.41	156.2	1130.11	
1330.51	156.1	1112.17	
1330.61	156	1071.41	
1330.71	155.9	1094.67	
1330.81	155.8	1090.79	
1330.91	155.7	1098.14	
1331.01	155.6	1093.4	
1331.11	155.5	1089.25	
1331.21	155.4	1090.36	
1331.31	155.3	1070.97	
1331.41	155.2	1101.16	
1331.51	155.1	1116.2	
1331.61	155	1128.15	
1331.71	154.9	1115.93	
1331.81	154.8	1063.29	
1331.91	154.7	1078.79	
1332.01	154.6	1105.17	
1332.11	154.5	1108.6	
1332.21	154.4	1089.47	
1332.31	154.3	1080.42	
1332.41	154.2	1103.27	
1332.51	154.1	1103.8	
1332.61	154	1092.74	
1332.71	153.9	1080.82	
1332.81	153.8	1097.1	
1332.91	153.7	1104.59	
1333.01	153.6	1090.18	
1333.11	153.5	1091.84	
1333.21	153.4	1082.18	
1333.31	153.3	1075.75	
1333.41	153.2	1094.73	
1333.51	153.1	1093.65	
1333.61	153	1098.87	
1333.71	152.9	1115.23	
1333.81	152.8	1140.68	
1333.91	152.7	1086.69	
1334.01	152.6	1107.98	
1334.11	152.5	1125.31	
1334.21	152.4	1086.38	
1334.31	152.3	1109.2	
1334.41	152.2	1103.27	
1334.51	152.1	1105.27	
1334.61	152	1147.93	
1334.71	151.9	1082.3	
1334.81	151.8	1106.03	
1334.91	151.7	1093.84	
1335.01	151.6	1084.53	
1335.11	151.5	1128.68	
1335.21	151.4	1093.77	
1335.31	151.3	1071.97	
1335.41	151.2	1090.32	
1335.51	151.1	1098.07	
1335.61	151	1131.03	
1335.71	150.9	1134.68	
1335.81	150.8	1112.1	
1335.91	150.7	1123.53	
1336.01	150.6	1081.71	
1336.11	150.5	1079.51	
1336.21	150.4	1078.43	
1336.31	150.3	1120.81	
1336.41	150.2	1147.38	
1336.51	150.1	1118.97	
1336.61	150	1117.72	
1336.71	149.9	1100.64	
1336.81	149.8	1124.71	
1336.91	149.7	1130.99	
1337.01	149.6	1116.01	
1337.11	149.5	1096.24	
1337.21	149.4	1101.9	
1337.31	149.3	1115.67	
1337.41	149.2	1099.69	
1337.51	149.1	1121.62	
1337.61	149	1122.2	
1337.71	148.9	1117.02	
1337.81	148.8	1129.81	
1337.91	148.7	1130.88	
1338.01	148.6	1122	
1338.11	148.5	1114.01	
1338.21	148.4	1127.06	
1338.31	148.3	1111.36	
1338.41	148.2	1097.43	
1338.51	148.1	1104.47	
1338.61	148	1130.8	
1338.71	147.9	1100.4	
1338.81	147.8	1101.92	
1338.91	147.7	1121.64	
1339.01	147.6	1097.74	
1339.11	147.5	1128.88	
1339.21	147.4	1104.69	
1339.31	147.3	1123.09	
1339.41	147.2	1102.08	
1339.51	147.1	1112.62	
1339.61	147	1122.77	
1339.71	146.9	1106.78	
1339.81	146.8	1097.47	
1339.91	146.7	1129.41	
1340.01	146.6	1112.89	
1340.11	146.5	1105.22	
1340.21	146.4	1113.38	
1340.31	146.3	1107.7	
1340.41	146.2	1103.35	
1340.51	146.1	1086.9	
1340.61	146	1109.62	
1340.71	145.9	1117.08	
1340.81	145.8	1102.49	
1340.91	145.7	1102.07	
1341.01	145.6	1109.5	
1341.11	145.5	1123.98	
1341.21	145.4	1107.22	
1341.31	145.3	1114.64	
1341.41	145.2	1098.62	
1341.51	145.1	1101.92	
1341.61	145	1108.19	
1341.71	144.9	1119.88	
1341.81	144.8	1107.35	
1341.91	144.7	1104.81	
1342.01	144.6	1139.56	
1342.11	144.5	1121.23	
1342.21	144.4	1102.23	
1342.31	144.3	1122.75	
1342.41	144.2	1114.19	
1342.51	144.1	1120.8	
1342.61	144	1125.74	
1342.71	143.9	1149.93	
1342.81	143.8	1124.87	
1342.91	143.7	1119.19	
1343.01	143.6	1107.54	
1343.11	143.5	1132.39	
1343.21	143.4	1130.25	
1343.31	143.3	1111.54	
1343.41	143.2	1120.4	
1343.51	143.1	1098.27	
1343.61	143	1108.02	
1343.71	142.9	1112.48	
1343.81	142.8	1143.37	
1343.91	142.7	1115.31	
1344.01	142.6	1116.36	
1344.11	142.5	1118.81	
1344.21	142.4	1102.58	
1344.31	142.3	1115.61	
1344.41	142.2	1097.33	
1344.51	142.1	1097.38	
1344.61	142	1109.05	
1344.71	141.9	1111.69	
1344.81	141.8	1119.58	
1344.91	141.7	1145.68	
1345.01	141.6	1141.31	
1345.11	141.5	1142.54	
1345.21	141.4	1144.21	
1345.31	141.3	1131.33	
1345.41	141.2	1148.73	
1345.51	141.1	1132.61	
1345.61	141	1134.8	
1345.71	140.9	1120.83	
1345.81	140.8	1115.83	
1345.91	140.7	1115.18	
1346.01	140.6	1110.01	
1346.11	140.5	1130.76	
1346.21	140.4	1120.23	
1346.31	140.3	1127.1	
1346.41	140.2	1144.67	
1346.51	140.1	1140.25	
1346.61	140	1148.39	
1346.71	139.9	1130.43	
1346.81	139.8	1115.58	
1346.91	139.7	1109.15	
1347.01	139.6	1105.82	
1347.11	139.5	1122.51	
1347.21	139.4	1114.94	
1347.31	139.3	1107.6	
1347.41	139.2	1102.13	
1347.51	139.1	1107.88	
1347.61	139	1130.16	
1347.71	138.9	1135.58	
1347.81	138.8	1118.15	
1347.91	138.7	1107.95	
1348.01	138.6	1115.5	
