c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in n2 300um nozzle\20180228 au gas phase background in n2 - au4f.vms			
Counts per Second			
	Characteristic Energy eV	1486.61	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	
1375.26	111.35	1107.47	
1375.31	111.3	1098.27	
1375.36	111.25	1112.18	
1375.41	111.2	1096.41	
1375.46	111.15	1085.72	
1375.51	111.1	1119.89	
1375.56	111.05	1097.41	
1375.61	111	1105.63	
1375.66	110.95	1115.95	
1375.71	110.9	1084.94	
1375.76	110.85	1107.82	
1375.81	110.8	1093.91	
1375.86	110.75	1086.33	
1375.91	110.7	1106.63	
1375.96	110.65	1111.64	
1376.01	110.6	1082.01	
1376.06	110.55	1097.6	
1376.11	110.5	1098.33	
1376.16	110.45	1100.88	
1376.21	110.4	1071.8	
1376.26	110.35	1093.25	
1376.31	110.3	1079.36	
1376.36	110.25	1070.19	
1376.41	110.2	1080.03	
1376.46	110.15	1100.84	
1376.51	110.1	1077.16	
1376.56	110.05	1069.39	
1376.61	110	1096.48	
1376.66	109.95	1060.47	
1376.71	109.9	1072.96	
1376.76	109.85	1077.12	
1376.81	109.8	1074.64	
1376.86	109.75	1071.85	
1376.91	109.7	1048.81	
1376.96	109.65	1074.85	
1377.01	109.6	1071.38	
1377.06	109.55	1072.66	
1377.11	109.5	1070.03	
1377.16	109.45	1044.91	
1377.21	109.4	1043.61	
1377.26	109.35	1056.03	
1377.31	109.3	1034.89	
1377.36	109.25	1035.52	
1377.41	109.2	1039.63	
1377.46	109.15	1031.99	
1377.51	109.1	1025.9	
1377.56	109.05	1021.96	
1377.61	109	1028.63	
1377.66	108.95	1024.68	
1377.71	108.9	1004.67	
1377.76	108.85	1012.6	
1377.81	108.8	1034.16	
1377.86	108.75	1009.17	
1377.91	108.7	1008.35	
1377.96	108.65	1012	
1378.01	108.6	1024.03	
1378.06	108.55	1021.53	
1378.11	108.5	1018.04	
1378.16	108.45	1011.7	
1378.21	108.4	1002.98	
1378.26	108.35	1016.58	
1378.31	108.3	1021.98	
1378.36	108.25	1021	
1378.41	108.2	1020.07	
1378.46	108.15	1015.02	
1378.51	108.1	996.292	
1378.56	108.05	1015.25	
1378.61	108	1023.34	
1378.66	107.95	1029.77	
1378.71	107.9	1030.79	
1378.76	107.85	1020.72	
1378.81	107.8	1019.06	
1378.86	107.75	1016.45	
1378.91	107.7	1033.52	
1378.96	107.65	1009.12	
1379.01	107.6	1001.36	
1379.06	107.55	1022.29	
1379.11	107.5	1012.06	
1379.16	107.45	1021.28	
1379.21	107.4	1010.88	
1379.26	107.35	1023.47	
1379.31	107.3	1021.17	
1379.36	107.25	1020.53	
1379.41	107.2	1023.13	
1379.46	107.15	1002.31	
1379.51	107.1	1020.35	
1379.56	107.05	1009.48	
1379.61	107	997.331	
1379.66	106.95	1018.83	
1379.71	106.9	1018.43	
1379.76	106.85	1025.18	
1379.81	106.8	1043.04	
1379.86	106.75	1020.53	
1379.91	106.7	1028.16	
1379.96	106.65	1051.23	
1380.01	106.6	1020.4	
1380.06	106.55	1034.79	
1380.11	106.5	1035.61	
1380.16	106.45	1040.25	
1380.21	106.4	1033.43	
1380.26	106.35	1021.27	
1380.31	106.3	1016.97	
1380.36	106.25	1033.1	
1380.41	106.2	1014.88	
1380.46	106.15	1000.87	
1380.51	106.1	1013.99	
1380.56	106.05	1044.13	
1380.61	106	1000.1	
1380.66	105.95	1003.74	
1380.71	105.9	1034.05	
1380.76	105.85	1029.44	
1380.81	105.8	1025.31	
1380.86	105.75	1002.59	
1380.91	105.7	999.663	
1380.96	105.65	993.648	
1381.01	105.6	1010.28	
1381.06	105.55	1022.54	
1381.11	105.5	1003.04	
1381.16	105.45	1013.98	
1381.21	105.4	1011.77	
1381.26	105.35	1016.02	
1381.31	105.3	1026.24	
1381.36	105.25	1009.05	
1381.41	105.2	998.856	
1381.46	105.15	1007.77	
1381.51	105.1	1003.66	
1381.56	105.05	993.392	
1381.61	105	1008.83	
1381.66	104.95	1026.2	
1381.71	104.9	1023.01	
1381.76	104.85	999.407	
1381.81	104.8	1033.47	
1381.86	104.75	1010.48	
1381.91	104.7	1012.2	
1381.96	104.65	1033.5	
1382.01	104.6	1013.15	
1382.06	104.55	1016.25	
1382.11	104.5	1035.93	
1382.16	104.45	1040.27	
1382.21	104.4	1008.15	
1382.26	104.35	1017.14	
1382.31	104.3	1005.92	
1382.36	104.25	1027.35	
1382.41	104.2	1049.13	
1382.46	104.15	1022.47	
1382.51	104.1	1041.16	
1382.56	104.05	1038.5	
1382.61	104	1072.42	
1382.66	103.95	1038.58	
1382.71	103.9	1034.9	
1382.76	103.85	1046.97	
1382.81	103.8	1072.99	
1382.86	103.75	1054.66	
1382.91	103.7	1070	
1382.96	103.65	1091.62	
1383.01	103.6	1085.38	
1383.06	103.55	1040	
1383.11	103.5	1056.01	
1383.16	103.45	1058.76	
1383.21	103.4	1056.19	
1383.26	103.35	1063.92	
1383.31	103.3	1062.38	
1383.36	103.25	1057.05	
1383.41	103.2	1053.62	
1383.46	103.15	1035.99	
1383.51	103.1	1047.47	
1383.56	103.05	1016.73	
1383.61	103	1037.16	
1383.66	102.95	1023.09	
1383.71	102.9	1036.4	
1383.76	102.85	1021.51	
1383.81	102.8	1014.69	
1383.86	102.75	1006.23	
1383.91	102.7	1011.86	
1383.96	102.65	1013.14	
1384.01	102.6	1041.28	
1384.06	102.55	1045.7	
1384.11	102.5	1059.05	
1384.16	102.45	1064.81	
1384.21	102.4	1056.23	
1384.26	102.35	1099.34	
1384.31	102.3	1125.1	
1384.36	102.25	1131.68	
1384.41	102.2	1131.23	
1384.46	102.15	1148.79	
1384.51	102.1	1167.38	
1384.56	102.05	1202.27	
1384.61	102	1213.79	
1384.66	101.95	1208.85	
1384.71	101.9	1225.67	
1384.76	101.85	1230	
1384.81	101.8	1244.1	
1384.86	101.75	1261.3	
1384.91	101.7	1255.3	
1384.96	101.65	1244.51	
1385.01	101.6	1237.64	
1385.06	101.55	1255.82	
1385.11	101.5	1231.44	
1385.16	101.45	1228.25	
1385.21	101.4	1221.12	
1385.26	101.35	1213.75	
1385.31	101.3	1222.45	
1385.36	101.25	1230.11	
1385.41	101.2	1241.44	
1385.46	101.15	1264.47	
1385.51	101.1	1265.36	
1385.56	101.05	1273.61	
1385.61	101	1304.83	
1385.66	100.95	1327.27	
1385.71	100.9	1323.14	
1385.76	100.85	1358.74	
1385.81	100.8	1372	
1385.86	100.75	1371.81	
1385.91	100.7	1412.95	
1385.96	100.65	1415.53	
1386.01	100.6	1415.52	
1386.06	100.55	1385.7	
1386.11	100.5	1364.38	
1386.16	100.45	1358.22	
1386.21	100.4	1311.07	
1386.26	100.35	1302.92	
1386.31	100.3	1258.62	
1386.36	100.25	1232.84	
1386.41	100.2	1185.66	
1386.46	100.15	1171.86	
1386.51	100.1	1104.96	
1386.56	100.05	1069.38	
1386.61	100	1073.61	
1386.66	99.95	1051.03	
1386.71	99.9	1013.92	
1386.76	99.85	1024.31	
1386.81	99.8	990.325	
1386.86	99.75	959.361	
1386.91	99.7	925.213	
1386.96	99.65	931.225	
1387.01	99.6	905.213	
1387.06	99.55	931.606	
1387.11	99.5	885.662	
1387.16	99.45	883.854	
1387.21	99.4	882.907	
1387.26	99.35	847.078	
1387.31	99.3	846.237	
1387.36	99.25	839.42	
1387.41	99.2	844.812	
1387.46	99.15	815.903	
1387.51	99.1	838.774	
1387.56	99.05	837.752	
1387.61	99	824.08	
1387.66	98.95	843.529	
1387.71	98.9	836.757	
1387.76	98.85	831.304	
1387.81	98.8	858.569	
1387.86	98.75	891.334	
1387.91	98.7	887.673	
1387.96	98.65	911.93	
1388.01	98.6	930.523	
1388.06	98.55	953.293	
1388.11	98.5	943.793	
1388.16	98.45	998.574	
1388.21	98.4	1030.39	
1388.26	98.35	1044.95	
1388.31	98.3	1057.1	
1388.36	98.25	1080.63	
1388.41	98.2	1075.59	
1388.46	98.15	1080.41	
1388.51	98.1	1094.18	
1388.56	98.05	1096.45	
1388.61	98	1093.56	
1388.66	97.95	1081.64	
1388.71	97.9	1104.33	
1388.76	97.85	1068.48	
1388.81	97.8	1054.81	
1388.86	97.75	1060.99	
1388.91	97.7	1067.68	
1388.96	97.65	1068.12	
1389.01	97.6	1064.92	
1389.06	97.55	1103.45	
1389.11	97.5	1078.78	
1389.16	97.45	1067.58	
1389.21	97.4	1080.76	
1389.26	97.35	1123.08	
1389.31	97.3	1146.64	
1389.36	97.25	1171.58	
1389.41	97.2	1195.05	
1389.46	97.15	1216.11	
1389.51	97.1	1259.02	
1389.56	97.05	1266.85	
1389.61	97	1271.18	
1389.66	96.95	1286.33	
1389.71	96.9	1281.3	
1389.76	96.85	1251.84	
1389.81	96.8	1209.95	
1389.86	96.75	1201.13	
1389.91	96.7	1130.23	
1389.96	96.65	1078.78	
1390.01	96.6	1013	
1390.06	96.55	949.294	
1390.11	96.5	906.941	
1390.16	96.45	832.73	
1390.21	96.4	815.239	
1390.26	96.35	745.368	
1390.31	96.3	726.207	
1390.36	96.25	706.406	
1390.41	96.2	665.917	
1390.46	96.15	653.104	
1390.51	96.1	644.524	
1390.56	96.05	637.199	
1390.61	96	615.498	
1390.66	95.95	600.867	
1390.71	95.9	577.107	
1390.76	95.85	567.392	
1390.81	95.8	567.397	
1390.86	95.75	573.616	
1390.91	95.7	550.86	
1390.96	95.65	541.154	
1391.01	95.6	547.72	
1391.06	95.55	541.751	
1391.11	95.5	535.816	
1391.16	95.45	539.819	
1391.21	95.4	536.295	
1391.26	95.35	544.862	
1391.31	95.3	536.576	
1391.36	95.25	532.382	
1391.41	95.2	535.145	
1391.46	95.15	542.878	
1391.51	95.1	539.403	
1391.56	95.05	532.916	
1391.61	95	547.598	
1391.66	94.95	545.273	
1391.71	94.9	568.867	
1391.76	94.85	546.778	
1391.81	94.8	543.157	
1391.86	94.75	526.202	
1391.91	94.7	541.289	
1391.96	94.65	530.532	
1392.01	94.6	541.392	
1392.06	94.55	515.607	
1392.11	94.5	532.476	
1392.16	94.45	540.697	
1392.21	94.4	541.606	
1392.26	94.35	524.082	
1392.31	94.3	534.97	
1392.36	94.25	551.429	
1392.41	94.2	527.439	
1392.46	94.15	539.196	
1392.51	94.1	559.228	
1392.56	94.05	556.227	
1392.61	94	545.777	
1392.66	93.95	555.674	
1392.71	93.9	550.806	
1392.76	93.85	551.463	
1392.81	93.8	544.928	
1392.86	93.75	561.182	
1392.91	93.7	554.659	
1392.96	93.65	552.574	
1393.01	93.6	558.544	
1393.06	93.55	557.935	
1393.11	93.5	561.738	
1393.16	93.45	575.762	
1393.21	93.4	565.593	
1393.26	93.35	558.729	
1393.31	93.3	563.661	
1393.36	93.25	550.215	
1393.41	93.2	542.668	
1393.46	93.15	542.105	
1393.51	93.1	547.717	
1393.56	93.05	536.587	
1393.61	93	532.581	
1393.66	92.95	544.015	
1393.71	92.9	548.145	
1393.76	92.85	542.297	
1393.81	92.8	535.377	
1393.86	92.75	541.668	
1393.91	92.7	538.725	
1393.96	92.65	549.487	
1394.01	92.6	527.092	
1394.06	92.55	518.907	
1394.11	92.5	512.772	
1394.16	92.45	524.326	
1394.21	92.4	518.98	
1394.26	92.35	513.679	
1394.31	92.3	512.095	
1394.36	92.25	498.535	
1394.41	92.2	489.725	
1394.46	92.15	522.451	
1394.51	92.1	512.591	
1394.56	92.05	526.867	
1394.61	92	510.205	
1394.66	91.95	514.557	
1394.71	91.9	516.135	
1394.76	91.85	505.018	
1394.81	91.8	505.931	
1394.86	91.75	528.541	
1394.91	91.7	513.9	
1394.96	91.65	529.432	
1395.01	91.6	515.15	
1395.06	91.55	521.229	
1395.11	91.5	519.955	
1395.16	91.45	527.541	
1395.21	91.4	530.145	
1395.26	91.35	535.123	
1395.31	91.3	527.103	
1395.36	91.25	524.949	
1395.41	91.2	534.481	
1395.46	91.15	532.103	
1395.51	91.1	523.805	
1395.56	91.05	524.333	
1395.61	91	536.215	
1395.66	90.95	559.864	
1395.71	90.9	541.932	
1395.76	90.85	551.359	
1395.81	90.8	562.557	
1395.86	90.75	549.879	
1395.91	90.7	540.869	
1395.96	90.65	564.906	
1396.01	90.6	566.595	
1396.06	90.55	555.633	
1396.11	90.5	538.903	
1396.16	90.45	560.956	
1396.21	90.4	551.717	
1396.26	90.35	566.581	
1396.31	90.3	583.742	
1396.36	90.25	571.784	
1396.41	90.2	556.624	
1396.46	90.15	556.5	
1396.51	90.1	558.461	
1396.56	90.05	554.75	
1396.61	90	553.644	
1396.66	89.95	557.078	
1396.71	89.9	574.052	
1396.76	89.85	572.033	
1396.81	89.8	570.128	
1396.86	89.75	573.883	
1396.91	89.7	573.186	
1396.96	89.65	562.22	
1397.01	89.6	575.358	
1397.06	89.55	592.121	
1397.11	89.5	603.191	
1397.16	89.45	590.776	
1397.21	89.4	594.355	
1397.26	89.35	606.339	
1397.31	89.3	614.544	
1397.36	89.25	618.991	
1397.41	89.2	625.598	
1397.46	89.15	626.613	
1397.51	89.1	650.171	
1397.56	89.05	655.902	
1397.61	89	668.841	
1397.66	88.95	685.666	
1397.71	88.9	722.116	
1397.76	88.85	765.813	
1397.81	88.8	788.006	
1397.86	88.75	800.444	
1397.91	88.7	827.611	
1397.96	88.65	880.065	
1398.01	88.6	942.713	
1398.06	88.55	992.996	
1398.11	88.5	1040.08	
1398.16	88.45	1124.31	
1398.21	88.4	1226.18	
1398.26	88.35	1368.78	
1398.31	88.3	1497.28	
1398.36	88.25	1685.37	
1398.41	88.2	1866.23	
1398.46	88.15	2091.54	
1398.51	88.1	2365.98	
1398.56	88.05	2670.58	
1398.61	88	2996.17	
1398.66	87.95	3401.38	
1398.71	87.9	3726	
1398.76	87.85	4109.42	
1398.81	87.8	4378.37	
1398.86	87.75	4579.62	
1398.91	87.7	4787.47	
1398.96	87.65	4723.29	
1399.01	87.6	4547.24	
1399.06	87.55	4328.43	
1399.11	87.5	3980.73	
1399.16	87.45	3615.17	
1399.21	87.4	3203.55	
1399.26	87.35	2820.29	
1399.31	87.3	2442.24	
1399.36	87.25	2157.69	
1399.41	87.2	1882.24	
1399.46	87.15	1670.42	
1399.51	87.1	1448.67	
1399.56	87.05	1290.61	
1399.61	87	1137.31	
1399.66	86.95	1020.63	
1399.71	86.9	946.997	
1399.76	86.85	890.02	
1399.81	86.8	811.05	
1399.86	86.75	768.306	
1399.91	86.7	733.286	
1399.96	86.65	707.875	
1400.01	86.6	665.799	
1400.06	86.55	653.666	
1400.11	86.5	622.81	
1400.16	86.45	619.082	
1400.21	86.4	610.192	
1400.26	86.35	605.062	
1400.31	86.3	572.031	
1400.36	86.25	553.892	
1400.41	86.2	557.804	
1400.46	86.15	544.764	
1400.51	86.1	528.565	
1400.56	86.05	557.473	
1400.61	86	538.599	
1400.66	85.95	530.287	
1400.71	85.9	524.186	
1400.76	85.85	527.784	
1400.81	85.8	543.392	
1400.86	85.75	532.298	
1400.91	85.7	522.488	
1400.96	85.65	535.717	
1401.01	85.6	564.538	
1401.06	85.55	564.369	
1401.11	85.5	587.476	
1401.16	85.45	594.621	
1401.21	85.4	612.178	
1401.26	85.35	614.637	
1401.31	85.3	637.632	
1401.36	85.25	650.292	
1401.41	85.2	669.481	
1401.46	85.15	720.179	
1401.51	85.1	730.787	
1401.56	85.05	789.001	
1401.61	85	819.677	
1401.66	84.95	883.008	
1401.71	84.9	947.554	
1401.76	84.85	1011.29	
1401.81	84.8	1127.06	
1401.86	84.75	1240.34	
1401.91	84.7	1348.36	
1401.96	84.65	1510.59	
1402.01	84.6	1700.16	
1402.06	84.55	1955.1	
1402.11	84.5	2240.19	
1402.16	84.45	2569.08	
1402.21	84.4	2973.06	
1402.26	84.35	3440.46	
1402.31	84.3	3871.88	
1402.36	84.25	4339.26	
1402.41	84.2	4862.93	
1402.46	84.15	5343.96	
1402.51	84.1	5678.2	
1402.56	84.05	5858.86	
1402.61	84	5962.89	
1402.66	83.95	5820.15	
1402.71	83.9	5571.72	
1402.76	83.85	5173.74	
1402.81	83.8	4718.26	
1402.86	83.75	4125.81	
1402.91	83.7	3618.8	
1402.96	83.65	3117.45	
1403.01	83.6	2640.49	
1403.06	83.55	2267.08	
1403.11	83.5	1947.88	
1403.16	83.45	1634.39	
1403.21	83.4	1448.36	
1403.26	83.35	1213.89	
1403.31	83.3	1043.34	
1403.36	83.25	922.058	
1403.41	83.2	835.294	
1403.46	83.15	724.668	
1403.51	83.1	656.316	
1403.56	83.05	594.155	
1403.61	83	550.863	
1403.66	82.95	502.802	
1403.71	82.9	496.017	
1403.76	82.85	454.84	
1403.81	82.8	439.681	
1403.86	82.75	408.9	
1403.91	82.7	393.883	
1403.96	82.65	385.923	
1404.01	82.6	367.166	
1404.06	82.55	363.906	
1404.11	82.5	358.33	
1404.16	82.45	344.018	
1404.21	82.4	316.853	
1404.26	82.35	330.121	
1404.31	82.3	315.669	
1404.36	82.25	317.197	
1404.41	82.2	310.178	
1404.46	82.15	307.567	
1404.51	82.1	299.868	
1404.56	82.05	283.77	
1404.61	82	293.165	
1404.66	81.95	277.556	
1404.71	81.9	281.008	
1404.76	81.85	279	
1404.81	81.8	283.794	
1404.86	81.75	277.48	
1404.91	81.7	259.038	
1404.96	81.65	257.197	
1405.01	81.6	250.83	
1405.06	81.55	250.311	
1405.11	81.5	266.094	
1405.16	81.45	268.044	
1405.21	81.4	247.082	
1405.26	81.35	232.529	
1405.31	81.3	243.062	
1405.36	81.25	246.459	
1405.41	81.2	258.436	
1405.46	81.15	241.559	
1405.51	81.1	238.068	
1405.56	81.05	252.249	
1405.61	81	243.835	
1405.66	80.95	240.593	
1405.71	80.9	238.501	
1405.76	80.85	234.999	
1405.81	80.8	233.863	
1405.86	80.75	251.879	
1405.91	80.7	251.074	
1405.96	80.65	235.392	
1406.01	80.6	239.214	
1406.06	80.55	241.275	
1406.11	80.5	221.48	
1406.16	80.45	230.38	
1406.21	80.4	232.068	
1406.26	80.35	235.277	
1406.31	80.3	231.967	
1406.36	80.25	237.033	
1406.41	80.2	235.096	
1406.46	80.15	231.116	
1406.51	80.1	230.475	
1406.56	80.05	233.079	
1406.61	80	232.663	
1406.66	79.95	225.553	
1406.71	79.9	229.518	
1406.76	79.85	229.122	
1406.81	79.8	222.814	
1406.86	79.75	229.805	
1406.91	79.7	225.529	
1406.96	79.65	217.689	
1407.01	79.6	220.922	
1407.06	79.55	217.511	
1407.11	79.5	223.581	
1407.16	79.45	216.463	
1407.21	79.4	218.553	
1407.26	79.35	222.394	
1407.31	79.3	217.439	
1407.36	79.25	217.28	
1407.41	79.2	213.003	
1407.46	79.15	215.528	
1407.51	79.1	226.451	
1407.56	79.05	211.029	
1407.61	79	226.987	
1407.66	78.95	217.291	
1407.71	78.9	223.691	
1407.76	78.85	219.408	
1407.81	78.8	223.99	
1407.86	78.75	215.608	
1407.91	78.7	225.701	
1407.96	78.65	213.318	
1408.01	78.6	223.949	
1408.06	78.55	216.575	
1408.11	78.5	214.182	
1408.16	78.45	226.148	
1408.21	78.4	220.376	
1408.26	78.35	213.991	
1408.31	78.3	211.311	
1408.36	78.25	219.506	
1408.41	78.2	226.653	
1408.46	78.15	214.88	
1408.51	78.1	211.547	
1408.56	78.05	228.089	
1408.61	78	223.011	
1408.66	77.95	230.601	
1408.71	77.9	219.492	
1408.76	77.85	218.433	
1408.81	77.8	215.977	
1408.86	77.75	214.751	
1408.91	77.7	210.707	
1408.96	77.65	218.734	
1409.01	77.6	221.95	
1409.06	77.55	217.786	
1409.11	77.5	217.407	
1409.16	77.45	215.78	
1409.21	77.4	217.22	
1409.26	77.35	212.938	
1409.31	77.3	219.216	
1409.36	77.25	216.289	
1409.41	77.2	222.221	
1409.46	77.15	214.281	
1409.51	77.1	210.042	
1409.56	77.05	214.124	
1409.61	77	206.341	
1409.66	76.95	213.958	
1409.71	76.9	218.268	
1409.76	76.85	215.946	
1409.81	76.8	214.696	
1409.86	76.75	214.007	
1409.91	76.7	210.663	
1409.96	76.65	218.52	
1410.01	76.6	226.32	
1410.06	76.55	215.858	
1410.11	76.5	217.392	
1410.16	76.45	225.52	
1410.21	76.4	224.481	
1410.26	76.35	228.435	
1410.31	76.3	230.29	
1410.36	76.25	218.253	
1410.41	76.2	223.129	
1410.46	76.15	237.487	
1410.51	76.1	228.209	
1410.56	76.05	229.089	
1410.61	76	239.587	
1410.66	75.95	234.86	
1410.71	75.9	224.998	
1410.76	75.85	218.513	
1410.81	75.8	234.726	
1410.86	75.75	244.262	
1410.91	75.7	230.123	
1410.96	75.65	228.005	
1411.01	75.6	225.256	
1411.06	75.55	232.209	
1411.11	75.5	235.056	
1411.16	75.45	224.697	
1411.21	75.4	227.311	
1411.26	75.35	231.416	
1411.31	75.3	236.342	
1411.36	75.25	239.387	
1411.41	75.2	230.645	
1411.46	75.15	241.834	
1411.51	75.1	244.457	
1411.56	75.05	227.074	
1411.61	75	234.502	
