C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected	Background_Survey TF corrected
968.61	518	16529.1	16529.1
969.11	517.5	16342	16342
969.61	517	16704.5	16704.5
970.11	516.5	16626.3	16626.3
970.61	516	16384.6	16384.6
971.11	515.5	16625.2	16625.2
971.61	515	16521	16521
972.11	514.5	16415.5	16415.5
972.61	514	16249.2	16249.2
973.11	513.5	16400.1	16400.1
973.61	513	16590.1	16590.1
974.11	512.5	16346.6	16346.6
974.61	512	16437.6	16437.6
975.11	511.5	16687.8	16687.8
975.61	511	16318.6	16318.6
976.11	510.5	16479	16479
976.61	510	16601.4	16601.4
977.11	509.5	16468.7	16468.7
977.61	509	16373	16373
978.11	508.5	16641.2	16641.2
978.61	508	16512.4	16512.4
979.11	507.5	16747.8	16747.8
979.61	507	16581.5	16581.5
980.11	506.5	16866.9	16866.9
980.61	506	16809.8	16809.8
981.11	505.5	16403.6	16403.6
981.61	505	16530.8	16530.8
982.11	504.5	16709.5	16709.5
982.61	504	16571.8	16571.8
983.11	503.5	16322	16322
983.61	503	16569.7	16569.7
984.11	502.5	16408.8	16408.8
984.61	502	16571	16571
985.11	501.5	16694.3	16694.3
985.61	501	16362.7	16362.7
986.11	500.5	16393.1	16393.1
986.61	500	16357.3	16357.3
987.11	499.5	16299	16299
987.61	499	16568.1	16568.1
988.11	498.5	16306.7	16306.7
988.61	498	16658.8	16658.8
989.11	497.5	16729.3	16729.3
989.61	497	16646.6	16646.6
990.11	496.5	16749.6	16749.6
990.61	496	16596.4	16596.4
991.11	495.5	16941.7	16941.7
991.61	495	16693	16693
992.11	494.5	16790.7	16790.7
992.61	494	16873	16873
993.11	493.5	16884.8	16884.8
993.61	493	16701.7	16701.7
994.11	492.5	16644.4	16644.4
994.61	492	16638.5	16638.5
995.11	491.5	16621.3	16621.3
995.61	491	16857.5	16857.5
