c:\users\mark\owncloud\muelheim group\projects\gas phase background\co in o2 300um nozzle\co3o4_ino2_ivac.vms				
Co2p				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Co2p	BE_Co2p	CPS_Co2p		
681.71	804.9	1582.38		
681.81	804.8	1626.67		
681.91	804.7	1607.62		
682.01	804.6	1597.1		
682.11	804.5	1589.35		
682.21	804.4	1575.62		
682.31	804.3	1584.87		
682.41	804.2	1550.76		
682.51	804.1	1562.65		
682.61	804	1589.63		
682.71	803.9	1586.64		
682.81	803.8	1586.15		
682.91	803.7	1578.51		
683.01	803.6	1536.92		
683.11	803.5	1574.58		
683.21	803.4	1599		
683.31	803.3	1598.73		
683.41	803.2	1587.9		
683.51	803.1	1569.1		
683.61	803	1557.33		
683.71	802.9	1544.19		
683.81	802.8	1564.03		
683.91	802.7	1539.58		
684.01	802.6	1566.07		
684.11	802.5	1539.18		
684.21	802.4	1527.86		
684.31	802.3	1534.09		
684.41	802.2	1565.56		
684.51	802.1	1551.9		
684.61	802	1554.38		
684.71	801.9	1560.59		
684.81	801.8	1522.15		
684.91	801.7	1503.86		
685.01	801.6	1555.18		
685.11	801.5	1503.94		
685.21	801.4	1489.51		
685.31	801.3	1522.67		
685.41	801.2	1510.49		
685.51	801.1	1484.6		
685.61	801	1507.44		
685.71	800.9	1512.18		
685.81	800.8	1524.96		
685.91	800.7	1486.9		
686.01	800.6	1520.74		
686.11	800.5	1534.04		
686.21	800.4	1504.44		
686.31	800.3	1521.54		
686.41	800.2	1517.95		
686.51	800.1	1484.03		
686.61	800	1454.36		
686.71	799.9	1486.1		
686.81	799.8	1502.52		
686.91	799.7	1514.86		
687.01	799.6	1528.81		
687.11	799.5	1500.14		
687.21	799.4	1502.05		
687.31	799.3	1526.27		
687.41	799.2	1515.62		
687.51	799.1	1559.49		
687.61	799	1528.84		
687.71	798.9	1545.88		
687.81	798.8	1600.9		
687.91	798.7	1577.47		
688.01	798.6	1531.15		
688.11	798.5	1567.38		
688.21	798.4	1598.64		
688.31	798.3	1636.81		
688.41	798.2	1637.61		
688.51	798.1	1674.29		
688.61	798	1713.6		
688.71	797.9	1705.14		
688.81	797.8	1707.53		
688.91	797.7	1729.95		
689.01	797.6	1753.16		
689.11	797.5	1755.59		
689.21	797.4	1810.27		
689.31	797.3	1830.67		
689.41	797.2	1829.28		
689.51	797.1	1857.76		
689.61	797	1889.62		
689.71	796.9	1920.66		
689.81	796.8	1967.56		
689.91	796.7	1981.31		
690.01	796.6	2009.43		
690.11	796.5	2025.9		
690.21	796.4	2072.21		
690.31	796.3	2057.21		
690.41	796.2	2098.92		
690.51	796.1	2082.23		
690.61	796	2127.16		
690.71	795.9	2164.76		
690.81	795.8	2148.94		
690.91	795.7	2184.39		
691.01	795.6	2217.45		
691.11	795.5	2235.21		
691.21	795.4	2247.25		
691.31	795.3	2252.27		
691.41	795.2	2248.75		
691.51	795.1	2328.68		
691.61	795	2336.63		
691.71	794.9	2317.84		
691.81	794.8	2338.85		
691.91	794.7	2408.76		
692.01	794.6	2431.47		
692.11	794.5	2468.75		
692.21	794.4	2485.89		
692.31	794.3	2412.07		
692.41	794.2	2289.13		
692.51	794.1	2156.54		
692.61	794	2062.28		
692.71	793.9	1933.36		
692.81	793.8	1795.88		
692.91	793.7	1752.98		
693.01	793.6	1661.12		
693.11	793.5	1564.18		
693.21	793.4	1535.75		
693.31	793.3	1513.86		
693.41	793.2	1481.02		
693.51	793.1	1449.51		
693.61	793	1419.22		
693.71	792.9	1398.13		
693.81	792.8	1399.54		
693.91	792.7	1389.97		
694.01	792.6	1375.39		
694.11	792.5	1370.74		
694.21	792.4	1381.71		
694.31	792.3	1371.63		
694.41	792.2	1403.97		
694.51	792.1	1425.96		
694.61	792	1429.15		
694.71	791.9	1421.98		
694.81	791.8	1422.86		
694.91	791.7	1458.38		
695.01	791.6	1418.93		
695.11	791.5	1455.28		
695.21	791.4	1495.47		
695.31	791.3	1516.24		
695.41	791.2	1512.34		
695.51	791.1	1527.83		
695.61	791	1540.64		
695.71	790.9	1510.83		
695.81	790.8	1495.92		
695.91	790.7	1506.64		
696.01	790.6	1549.81		
696.11	790.5	1538.21		
696.21	790.4	1558.79		
696.31	790.3	1544.94		
696.41	790.2	1532.12		
696.51	790.1	1558.26		
696.61	790	1581.01		
