c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in n2 300um nozzle\20180228 au gas phase background in n2 - au4f.vms				
Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second		
1327.31	159.3	1833.01		
1327.41	159.2	1866.61		
1327.51	159.1	1834.28		
1327.61	159	1878.75		
1327.71	158.9	1880.59		
1327.81	158.8	1820.19		
1327.91	158.7	1859.96		
1328.01	158.6	1862.4		
1328.11	158.5	1866.84		
1328.21	158.4	1860.5		
1328.31	158.3	1868.33		
1328.41	158.2	1850.74		
1328.51	158.1	1850.86		
1328.61	158	1957.01		
1328.71	157.9	1870.95		
1328.81	157.8	1868.31		
1328.91	157.7	1867.25		
1329.01	157.6	1881.56		
1329.11	157.5	1863.43		
1329.21	157.4	1853.81		
1329.31	157.3	1861.35		
1329.41	157.2	1861.85		
1329.51	157.1	1850.46		
1329.61	157	1836.96		
1329.71	156.9	1832.82		
1329.81	156.8	1864.21		
1329.91	156.7	1845.05		
1330.01	156.6	1862.1		
1330.11	156.5	1887.07		
1330.21	156.4	1888.18		
1330.31	156.3	1908.47		
1330.41	156.2	1881.81		
1330.51	156.1	1846.14		
1330.61	156	1835.36		
1330.71	155.9	1868.11		
1330.81	155.8	1857.6		
1330.91	155.7	1887.52		
1331.01	155.6	1895.05		
1331.11	155.5	1854.96		
1331.21	155.4	1907.75		
1331.31	155.3	1885.5		
1331.41	155.2	1917.82		
1331.51	155.1	1903.85		
1331.61	155	1878.48		
1331.71	154.9	1908.13		
1331.81	154.8	1883.64		
1331.91	154.7	1920.71		
1332.01	154.6	1898.86		
1332.11	154.5	1918.94		
1332.21	154.4	1895.29		
1332.31	154.3	1899.17		
1332.41	154.2	1913.8		
1332.51	154.1	1888.99		
1332.61	154	1938.93		
1332.71	153.9	1926.83		
1332.81	153.8	1883.51		
1332.91	153.7	1886.42		
1333.01	153.6	1908.55		
1333.11	153.5	1911.72		
1333.21	153.4	1882.22		
1333.31	153.3	1885.86		
1333.41	153.2	1869.7		
1333.51	153.1	1904.64		
1333.61	153	1955.16		
1333.71	152.9	1964.68		
1333.81	152.8	1917.06		
1333.91	152.7	1905.25		
1334.01	152.6	1926.53		
1334.11	152.5	1909.24		
1334.21	152.4	1903.66		
1334.31	152.3	1913.53		
1334.41	152.2	1931.14		
1334.51	152.1	1887.93		
1334.61	152	1860.12		
1334.71	151.9	1880.76		
1334.81	151.8	1885.08		
1334.91	151.7	1933.02		
1335.01	151.6	1975.95		
1335.11	151.5	1930.85		
1335.21	151.4	1914.88		
1335.31	151.3	1922		
1335.41	151.2	1893.17		
1335.51	151.1	1924.87		
1335.61	151	1890.04		
1335.71	150.9	1905.89		
1335.81	150.8	1946.59		
1335.91	150.7	1955.5		
1336.01	150.6	1926.84		
1336.11	150.5	1928.34		
1336.21	150.4	1966.46		
1336.31	150.3	1936.85		
1336.41	150.2	1869.15		
1336.51	150.1	1959.38		
1336.61	150	1902.1		
1336.71	149.9	1946.24		
1336.81	149.8	1913.94		
1336.91	149.7	1972.5		
1337.01	149.6	1904.22		
1337.11	149.5	1892.58		
1337.21	149.4	1898.86		
1337.31	149.3	1895.37		
1337.41	149.2	1897.34		
1337.51	149.1	1974.43		
1337.61	149	1961.32		
1337.71	148.9	1944.86		
1337.81	148.8	1934.08		
1337.91	148.7	1942.95		
1338.01	148.6	1979.17		
1338.11	148.5	1992.56		
1338.21	148.4	1934.61		
1338.31	148.3	1948.26		
1338.41	148.2	1953.69		
1338.51	148.1	1919.19		
1338.61	148	1908.63		
1338.71	147.9	1943.73		
1338.81	147.8	1980.22		
1338.91	147.7	1925.85		
1339.01	147.6	1960.63		
1339.11	147.5	1966		
1339.21	147.4	1941.54		
1339.31	147.3	1886.02		
1339.41	147.2	1953		
1339.51	147.1	1932.66		
1339.61	147	1974.64		
1339.71	146.9	1961.63		
1339.81	146.8	1941.14		
1339.91	146.7	2000.07		
1340.01	146.6	1950.8		
1340.11	146.5	1954.81		
1340.21	146.4	1954.25		
1340.31	146.3	1992.88		
1340.41	146.2	1992.12		
1340.51	146.1	1996.89		
1340.61	146	1979.27		
1340.71	145.9	1928.19		
1340.81	145.8	1920.37		
1340.91	145.7	1946.74		
1341.01	145.6	1966.5		
1341.11	145.5	1890.11		
1341.21	145.4	1941.32		
1341.31	145.3	1947.54		
1341.41	145.2	1929.06		
1341.51	145.1	1915.08		
1341.61	145	1981.57		
1341.71	144.9	1929.95		
1341.81	144.8	1927.39		
1341.91	144.7	1911.63		
1342.01	144.6	1940.4		
1342.11	144.5	1928.99		
1342.21	144.4	1943.29		
1342.31	144.3	1954.91		
1342.41	144.2	1974.65		
1342.51	144.1	1916.29		
1342.61	144	1928.46		
1342.71	143.9	1944.18		
1342.81	143.8	1920.75		
1342.91	143.7	1947.35		
1343.01	143.6	1961.13		
1343.11	143.5	1939.84		
1343.21	143.4	1928.15		
1343.31	143.3	1930.72		
1343.41	143.2	1973.48		
1343.51	143.1	2015.37		
1343.61	143	1946.23		
1343.71	142.9	1940.84		
1343.81	142.8	1963.84		
1343.91	142.7	1967.84		
1344.01	142.6	1981.53		
1344.11	142.5	1935.16		
1344.21	142.4	1966.09		
1344.31	142.3	2002.94		
1344.41	142.2	1955.87		
1344.51	142.1	1918.47		
1344.61	142	1917.32		
1344.71	141.9	1916.04		
1344.81	141.8	1961.91		
1344.91	141.7	1934.84		
1345.01	141.6	1979.51		
1345.11	141.5	1980.97		
1345.21	141.4	1976.04		
1345.31	141.3	1929.19		
1345.41	141.2	1949.37		
1345.51	141.1	1934.08		
1345.61	141	1933.2		
1345.71	140.9	1968.82		
1345.81	140.8	1961.55		
1345.91	140.7	1987.24		
1346.01	140.6	1970.16		
1346.11	140.5	1954.74		
1346.21	140.4	1941.39		
1346.31	140.3	1971.98		
1346.41	140.2	1922.65		
1346.51	140.1	1940.23		
1346.61	140	1988.47		
1346.71	139.9	1999.98		
1346.81	139.8	1963.09		
1346.91	139.7	1997.64		
1347.01	139.6	1976.78		
1347.11	139.5	1984.19		
1347.21	139.4	1993.58		
1347.31	139.3	2002.91		
1347.41	139.2	2009.3		
1347.51	139.1	1981.26		
1347.61	139	1958.05		
1347.71	138.9	1968.68		
1347.81	138.8	2034.98		
1347.91	138.7	1957.53		
1348.01	138.6	1965.65		
1348.11	138.5	2016.42		
1348.21	138.4	2012.91		
1348.31	138.3	1975.81		
1348.41	138.2	2016.24		
1348.51	138.1	1960.29		
1348.61	138	1986.31		
1348.71	137.9	1934.84		
1348.81	137.8	1959.1		
1348.91	137.7	2034.51		
1349.01	137.6	1999.43		
1349.11	137.5	2038.67		
1349.21	137.4	2044.48		
1349.31	137.3	1992.34		
1349.41	137.2	1945.09		
1349.51	137.1	2009.83		
1349.61	137	2016.73		
1349.71	136.9	2015.47		
1349.81	136.8	2026.14		
1349.91	136.7	2020.33		
1350.01	136.6	1964.74		
1350.11	136.5	1976.53		
1350.21	136.4	2008.47		
1350.31	136.3	2001.93		
1350.41	136.2	2016.76		
1350.51	136.1	2027.1		
1350.61	136	2009.33		
1350.71	135.9	2002.7		
1350.81	135.8	2011.85		
1350.91	135.7	2023.66		
1351.01	135.6	2079.16		
1351.11	135.5	2081.2		
1351.21	135.4	1995.23		
1351.31	135.3	2046.15		
1351.41	135.2	2000.34		
1351.51	135.1	2027.77		
1351.61	135	2037.43		
1351.71	134.9	2016.95		
1351.81	134.8	2022.67		
1351.91	134.7	2029.91		
1352.01	134.6	2012.98		
1352.11	134.5	1997.3		
1352.21	134.4	2007.69		
1352.31	134.3	2031.55		
1352.41	134.2	2066.82		
1352.51	134.1	2013.49		
1352.61	134	2025.95		
1352.71	133.9	2026.53		
1352.81	133.8	2059.5		
1352.91	133.7	2074.92		
1353.01	133.6	2065.79		
1353.11	133.5	1995.96		
1353.21	133.4	2035.39		
1353.31	133.3	2053.24		
1353.41	133.2	2040.24		
1353.51	133.1	2006.44		
1353.61	133	2085.49		
1353.71	132.9	2050.13		
1353.81	132.8	2045.57		
1353.91	132.7	2040.02		
1354.01	132.6	1990.29		
1354.11	132.5	2017.2		
1354.21	132.4	2044.39		
1354.31	132.3	2096.79		
1354.41	132.2	2134.64		
1354.51	132.1	2049.49		
1354.61	132	2070.41		
1354.71	131.9	2051.13		
1354.81	131.8	2061.79		
1354.91	131.7	2048.06		
1355.01	131.6	2025.38		
1355.11	131.5	2015.09		
1355.21	131.4	2059.86		
1355.31	131.3	2081.19		
1355.41	131.2	2105.06		
1355.51	131.1	2041.09		
1355.61	131	2035.84		
1355.71	130.9	2073.97		
1355.81	130.8	2097.64		
1355.91	130.7	2088.21		
1356.01	130.6	2079.27		
1356.11	130.5	2065.8		
1356.21	130.4	2098.63		
1356.31	130.3	2107.26		
1356.41	130.2	2031.47		
1356.51	130.1	2062.36		
1356.61	130	2061.88		
1356.66	129.95	2080.93		
1356.71	129.9	2111.91		
1356.76	129.85	2059.9		
1356.81	129.8	2088.15		
1356.86	129.75	2068.29		
1356.91	129.7	2057.53		
1356.96	129.65	2080.5		
1357.01	129.6	2142.9		
1357.06	129.55	2023.6		
1357.11	129.5	2053.07		
1357.16	129.45	2049.22		
1357.21	129.4	2063.69		
1357.26	129.35	2111.15		
1357.31	129.3	2138.99		
1357.36	129.25	2112.32		
1357.41	129.2	2032.73		
1357.46	129.15	2064.44		
1357.51	129.1	2073.12		
1357.56	129.05	2102.98		
1357.61	129	2097.06		
1357.66	128.95	2111.95		
1357.71	128.9	2121.49		
1357.76	128.85	2090.15		
1357.81	128.8	2085		
1357.86	128.75	2084.34		
1357.91	128.7	2114.88		
1357.96	128.65	2078.66		
1358.01	128.6	2095.5		
1358.06	128.55	2074.83		
1358.11	128.5	2069.18		
1358.16	128.45	2072.1		
1358.21	128.4	2086.5		
1358.26	128.35	2090.8		
1358.31	128.3	2124.25		
1358.36	128.25	2090.48		
1358.41	128.2	2087.21		
1358.46	128.15	2098.55		
1358.51	128.1	2090.16		
1358.56	128.05	2139.42		
1358.61	128	2147.78		
1358.66	127.95	2060.36		
1358.71	127.9	2106.2		
1358.76	127.85	2100.91		
1358.81	127.8	2112.19		
1358.86	127.75	2060.64		
1358.91	127.7	2099.36		
1358.96	127.65	2098.43		
1359.01	127.6	2075.41		
1359.06	127.55	2099.32		
1359.11	127.5	2149.44		
1359.16	127.45	2136.76		
1359.21	127.4	2108.81		
1359.26	127.35	2099.61		
1359.31	127.3	2067.19		
1359.36	127.25	2094.75		
1359.41	127.2	2092.13		
1359.46	127.15	2069.75		
1359.51	127.1	2125.11		
1359.56	127.05	2101.1		
1359.61	127	2140.21		
1359.66	126.95	2150.87		
1359.71	126.9	2120.67		
1359.76	126.85	2098.89		
1359.81	126.8	2157.57		
1359.86	126.75	2112.87		
1359.91	126.7	2067.3		
1359.96	126.65	2081.79		
1360.01	126.6	2104.68		
1360.06	126.55	2088.95		
1360.11	126.5	2081.96		
1360.16	126.45	2146.44		
1360.21	126.4	2145.45		
1360.26	126.35	2159.48		
1360.31	126.3	2132.16		
1360.36	126.25	2087.42		
1360.41	126.2	2109.47		
1360.46	126.15	2140.55		
1360.51	126.1	2192.1		
1360.56	126.05	2128.58		
1360.61	126	2143.48		
1360.66	125.95	2063.45		
1360.71	125.9	2107.35		
1360.76	125.85	2083.22		
1360.81	125.8	2092.91		
1360.86	125.75	2141.58		
1360.91	125.7	2113.46		
1360.96	125.65	2163.88		
1361.01	125.6	2160.75		
1361.06	125.55	2116.24		
1361.11	125.5	2106.28		
1361.16	125.45	2132.97		
1361.21	125.4	2111.19		
1361.26	125.35	2168.96		
1361.31	125.3	2166.13		
1361.36	125.25	2133.39		
1361.41	125.2	2144.56		
1361.46	125.15	2154.66		
1361.51	125.1	2121.2		
1361.56	125.05	2193.1		
1361.61	125	2164.23		
1361.66	124.95	2170.21		
1361.71	124.9	2158.18		
1361.76	124.85	2189.27		
1361.81	124.8	2203.26		
1361.86	124.75	2146.97		
1361.91	124.7	2146.5		
1361.96	124.65	2172.51		
1362.01	124.6	2150.73		
1362.06	124.55	2206.11		
1362.11	124.5	2179.65		
1362.16	124.45	2172.9		
1362.21	124.4	2144.32		
1362.26	124.35	2124.35		
1362.31	124.3	2129.54		
1362.36	124.25	2110.11		
1362.41	124.2	2185.39		
1362.46	124.15	2259.75		
1362.51	124.1	2177.6		
1362.56	124.05	2179.91		
1362.61	124	2201.43		
1362.66	123.95	2188.97		
1362.71	123.9	2180.67		
1362.76	123.85	2113.34		
1362.81	123.8	2192.07		
1362.86	123.75	2204.39		
1362.91	123.7	2181.46		
1362.96	123.65	2150.99		
1363.01	123.6	2151.5		
1363.06	123.55	2202.55		
1363.11	123.5	2224.12		
1363.16	123.45	2229.1		
1363.21	123.4	2230.59		
1363.26	123.35	2181.63		
1363.31	123.3	2156.81		
1363.36	123.25	2187.77		
1363.41	123.2	2175.8		
1363.46	123.15	2223.29		
1363.51	123.1	2166.82		
1363.56	123.05	2203.27		
1363.61	123	2211.53		
1363.66	122.95	2190.41		
1363.71	122.9	2222.65		
1363.76	122.85	2159.5		
1363.81	122.8	2192.28		
1363.86	122.75	2140.29		
1363.91	122.7	2225.58		
1363.96	122.65	2203.89		
1364.01	122.6	2187.36		
1364.06	122.55	2139.23		
1364.11	122.5	2204.79		
1364.16	122.45	2229.47		
1364.21	122.4	2218		
1364.26	122.35	2230.02		
