C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3d	BE_Pr:Ag3d	CPS_Pr:Ag3d
1059.01	427.6	1014.32
1059.11	427.5	1012.9
1059.21	427.4	1010.58
1059.31	427.3	1004.47
1059.41	427.2	1010.27
1059.51	427.1	1011.67
1059.61	427	1013.1
1059.71	426.9	1019.55
1059.81	426.8	1005.51
1059.91	426.7	1015.62
1060.01	426.6	1010.87
1060.11	426.5	1009.94
1060.21	426.4	1026.61
1060.31	426.3	1002.49
1060.41	426.2	997.64
1060.51	426.1	1000.28
1060.61	426	1013.81
1060.71	425.9	996.466
1060.81	425.8	1002.44
1060.91	425.7	1007.21
1061.01	425.6	1002.14
1061.11	425.5	1002.08
1061.21	425.4	1010.05
1061.31	425.3	1006.84
1061.41	425.2	1009.68
1061.51	425.1	1018.88
1061.61	425	1025.29
1061.71	424.9	1021.15
1061.81	424.8	1016.93
1061.91	424.7	997.618
1062.01	424.6	1005.77
1062.11	424.5	996.662
1062.21	424.4	995.77
1062.31	424.3	1003.29
1062.41	424.2	1006.25
1062.51	424.1	1020.27
1062.61	424	1009.76
1062.71	423.9	1013.12
1062.81	423.8	1005.28
1062.91	423.7	1006.42
1063.01	423.6	1002.9
1063.11	423.5	994.327
1063.21	423.4	1010.11
1063.31	423.3	1017.94
1063.41	423.2	1006.66
1063.51	423.1	1008.31
1063.61	423	1019.12
1063.71	422.9	1016.48
1063.81	422.8	1030.16
1063.91	422.7	1014.22
1064.01	422.6	1022.36
1064.11	422.5	1014.35
1064.21	422.4	1025.25
1064.31	422.3	1018.51
1064.41	422.2	1022.47
1064.51	422.1	1014.56
1064.61	422	1004.02
1064.71	421.9	1005.56
1064.81	421.8	998.769
1064.91	421.7	995.159
1065.01	421.6	1009.89
1065.11	421.5	1009.1
1065.21	421.4	1001.35
1065.31	421.3	989.676
1065.41	421.2	998.353
1065.51	421.1	996.181
1065.61	421	999.801
1065.71	420.9	1007.82
1065.81	420.8	999.758
1065.91	420.7	997.955
1066.01	420.6	1005.64
1066.11	420.5	1004.32
1066.21	420.4	1009.55
1066.31	420.3	1000.63
1066.41	420.2	1010.41
1066.51	420.1	1007.57
1066.61	420	1006.65
1066.71	419.9	1009.5
1066.81	419.8	1002.99
1066.91	419.7	1000.15
1067.01	419.6	1004.24
1067.11	419.5	1011.28
1067.21	419.4	1020
1067.31	419.3	1015.26
1067.41	419.2	1003.04
1067.51	419.1	1007.82
1067.61	419	1000.92
1067.71	418.9	1012.62
1067.81	418.8	994.921
1067.91	418.7	981.842
1068.01	418.6	987.111
1068.11	418.5	1004.8
1068.21	418.4	1010.12
1068.31	418.3	1001.52
1068.41	418.2	995.431
1068.51	418.1	1000.76
1068.61	418	988.298
1068.71	417.9	993.784
1068.81	417.8	1001.96
1068.91	417.7	1009
1069.01	417.6	1013.33
1069.11	417.5	1002.39
1069.21	417.4	1003.69
1069.31	417.3	1000.28
1069.41	417.2	992.869
1069.51	417.1	991.94
1069.61	417	1000.45
1069.71	416.9	992.631
1069.81	416.8	1004.56
1069.91	416.7	1011.77
1070.01	416.6	1002.51
1070.11	416.5	997.663
1070.21	416.4	1000.58
1070.31	416.3	989.013
1070.41	416.2	986.715
1070.51	416.1	982.01
1070.61	416	996.563
1070.71	415.9	986.942
1070.81	415.8	987.04
1070.91	415.7	990.268
1071.01	415.6	991.605
1071.11	415.5	997.635
1071.21	415.4	991.273
1071.31	415.3	995.443
1071.41	415.2	992.889
1071.51	415.1	1000.73
1071.61	415	987.396
1071.71	414.9	984.868
1071.81	414.8	999.523
1071.91	414.7	994.824
1072.01	414.6	1006.29
1072.11	414.5	999.773
1072.21	414.4	986.107
1072.31	414.3	976.951
1072.41	414.2	1004.96
1072.51	414.1	1010.99
1072.61	414	1012.36
1072.71	413.9	997.537
1072.81	413.8	987.615
1072.91	413.7	994.588
1073.01	413.6	1003.52
1073.11	413.5	996.402
1073.21	413.4	1017.3
1073.31	413.3	1004.34
1073.41	413.2	983.422
1073.51	413.1	990.286
1073.61	413	989.481
1073.71	412.9	990.614
1073.81	412.8	993.461
1073.91	412.7	1000.47
1074.01	412.6	986.983
1074.11	412.5	994.34
1074.21	412.4	991.197
1074.31	412.3	994.86
1074.41	412.2	987.328
1074.51	412.1	984.263
1074.61	412	986.156
1074.71	411.9	1002.81
1074.81	411.8	992.526
1074.91	411.7	990.185
1075.01	411.6	1000.27
1075.11	411.5	1000.78
1075.21	411.4	1001.33
1075.31	411.3	980.232
1075.41	411.2	995.379
1075.51	411.1	991.438
1075.61	411	996.829
1075.71	410.9	991.052
1075.81	410.8	991.746
1075.91	410.7	988.369
1076.01	410.6	979.586
1076.11	410.5	975.445
1076.21	410.4	996.375
1076.31	410.3	995.265
1076.41	410.2	995.887
1076.51	410.1	980.862
1076.61	410	986.341
1076.71	409.9	984.328
1076.81	409.8	973.518
1076.91	409.7	986.468
1077.01	409.6	992.769
1077.11	409.5	986.716
1077.21	409.4	994.732
1077.31	409.3	987.154
1077.41	409.2	971.307
1077.51	409.1	980.724
1077.61	409	990.142
1077.71	408.9	993.827
1077.81	408.8	981.3
1077.91	408.7	970.379
1078.01	408.6	981.476
1078.11	408.5	971.258
1078.21	408.4	974.041
1078.31	408.3	980.81
1078.41	408.2	977.718
1078.51	408.1	975.654
1078.61	408	976.869
1078.71	407.9	983.556
1078.81	407.8	987.593
1078.91	407.7	980.132
1079.01	407.6	971.571
1079.11	407.5	963.713
1079.21	407.4	984.16
1079.31	407.3	980.234
1079.41	407.2	962.596
1079.51	407.1	973.853
1079.61	407	977.828
1079.71	406.9	980.858
1079.81	406.8	984.821
1079.91	406.7	977.847
1080.01	406.6	962.289
1080.11	406.5	974.981
