CasaXP50
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.2
KE_Cu2p	BE_Cu2p	CPS_Cu2p
518.71	967.9	4916.78
518.76	967.85	4951.18
518.81	967.8	4984.69
518.86	967.75	4977.76
518.91	967.7	4906.07
518.96	967.65	4963.34
519.01	967.6	4910.45
519.06	967.55	4964.7
519.11	967.5	4924.42
519.16	967.45	4910.72
519.21	967.4	4900.79
519.26	967.35	4906.12
519.31	967.3	4906.68
519.36	967.25	4946.13
519.41	967.2	4945.53
519.46	967.15	4983.4
519.51	967.1	5050.44
519.56	967.05	4969.21
519.61	967	4974.54
519.66	966.95	4907.26
519.71	966.9	4891.81
519.76	966.85	4979.53
519.81	966.8	4977.17
519.86	966.75	4917.07
519.91	966.7	4946.15
519.96	966.65	5025.02
520.01	966.6	4949.35
520.06	966.55	4962.48
520.11	966.5	4954.55
520.16	966.45	4949.82
520.21	966.4	4931.34
520.26	966.35	4919.1
520.31	966.3	5023.6
520.36	966.25	5023.33
520.41	966.2	5048.05
520.46	966.15	4986.15
520.51	966.1	4959.76
520.56	966.05	5003.51
520.61	966	4976.3
520.66	965.95	4950.01
520.71	965.9	4963.64
520.76	965.85	5049.16
520.81	965.8	4940.81
520.86	965.75	4909.07
520.91	965.7	5001.46
520.96	965.65	4997.5
521.01	965.6	5047.22
521.06	965.55	4997.61
521.11	965.5	4991.97
521.16	965.45	5002.89
521.21	965.4	4953.22
521.26	965.35	4912.79
521.31	965.3	5077.38
521.36	965.25	5001.11
521.41	965.2	5042.86
521.46	965.15	5006.38
521.51	965.1	4986.56
521.56	965.05	4896.7
521.61	965	4927.43
521.66	964.95	5048.08
521.71	964.9	5062.17
521.76	964.85	4993.56
521.81	964.8	5012.27
521.86	964.75	5030.74
521.91	964.7	5017.93
521.96	964.65	4994.39
522.01	964.6	4979.1
522.06	964.55	5033.48
522.11	964.5	5013.51
522.16	964.45	4970.66
522.21	964.4	4954.07
522.26	964.35	5003.67
522.31	964.3	4971.09
522.36	964.25	5048.05
522.41	964.2	5040.04
522.46	964.15	4986.1
522.51	964.1	4975.69
522.56	964.05	4935.02
522.61	964	4909.72
522.66	963.95	4930.13
522.71	963.9	4972.72
522.76	963.85	4919.05
522.81	963.8	4977.85
522.86	963.75	4972.27
522.91	963.7	4967.86
522.96	963.65	4926.87
523.01	963.6	4924.36
523.06	963.55	4886.99
523.11	963.5	4910.51
523.16	963.45	4885.6
523.21	963.4	4959.04
523.26	963.35	4931.58
523.31	963.3	4910.16
523.36	963.25	4897.33
523.41	963.2	4875.55
523.46	963.15	4942.7
523.51	963.1	4854.92
523.56	963.05	4825.2
523.61	963	4849.27
523.66	962.95	4853.61
523.71	962.9	4859.66
523.76	962.85	4863.07
523.81	962.8	4823.15
523.86	962.75	4808.27
523.91	962.7	4895.15
523.96	962.65	4888.41
524.01	962.6	4866.12
524.06	962.55	4954.64
524.11	962.5	4910.22
524.16	962.45	4826.87
524.21	962.4	4781.13
524.26	962.35	4858.57
524.31	962.3	4902.91
524.36	962.25	4873.6
524.41	962.2	4877.1
524.46	962.15	4937.83
524.51	962.1	4828.6
524.56	962.05	4854.45
524.61	962	4771.68
524.66	961.95	4723.72
524.71	961.9	4922.7
524.76	961.85	4897.35
524.81	961.8	4857.16
524.86	961.75	4836.12
524.91	961.7	4866.12
524.96	961.65	4891.01
525.01	961.6	4780.73
525.06	961.55	4834.32
525.11	961.5	4846.52
525.16	961.45	4943.27
525.21	961.4	4875.11
525.26	961.35	4819.99
525.31	961.3	4861.76
525.36	961.25	4861.84
525.41	961.2	4884.72
525.46	961.15	4845.83
525.51	961.1	4822.56
525.56	961.05	4784.19
525.61	961	4817.37
525.66	960.95	4837.04
525.71	960.9	4790.15
525.76	960.85	4912.09
525.81	960.8	4885.74
525.86	960.75	4881.32
525.91	960.7	4772.77
525.96	960.65	4807.81
526.01	960.6	4941.46
526.06	960.55	4861.46
526.11	960.5	4837.98
526.16	960.45	4878.3
526.21	960.4	4925.18
526.26	960.35	4885.2
526.31	960.3	4873.18
526.36	960.25	4853.39
526.41	960.2	4848.29
526.46	960.15	4922.65
526.51	960.1	4881.72
526.56	960.05	4931.94
526.61	960	4823.54
526.66	959.95	4860.15
526.71	959.9	4877.07
526.76	959.85	4934.5
526.81	959.8	4898.77
526.86	959.75	4848.43
526.91	959.7	4909.09
526.96	959.65	4885.5
527.01	959.6	4877.72
527.06	959.55	4958.33
527.11	959.5	4900.86
527.16	959.45	4975.18
527.21	959.4	4897.2
527.26	959.35	4848.85
527.31	959.3	4925
527.36	959.25	4907.45
527.41	959.2	5020.71
527.46	959.15	4967.49
527.51	959.1	4976.31
527.56	959.05	4850.84
527.61	959	4901.94
527.66	958.95	4976.58
527.71	958.9	5031.12
527.76	958.85	4915.93
527.81	958.8	4927.16
527.86	958.75	4931.71
527.91	958.7	4964.56
527.96	958.65	4978.06
528.01	958.6	4930.03
528.06	958.55	4924.13
528.11	958.5	4998.66
528.16	958.45	4919.99
528.21	958.4	4946.14
528.26	958.35	4908.71
528.31	958.3	4973.59
528.36	958.25	4968.75
528.41	958.2	5043.41
528.46	958.15	5004.26
528.51	958.1	5022.4
528.56	958.05	5062.1
528.61	958	5014.15
528.66	957.95	4976.6
528.71	957.9	4979.74
528.76	957.85	4977.62
528.81	957.8	4975.3
528.86	957.75	4952.55
528.91	957.7	5033.26
528.96	957.65	5072.88
529.01	957.6	5077.24
529.06	957.55	5025.75
529.11	957.5	5121.32
529.16	957.45	5102.19
529.21	957.4	5090.84
529.26	957.35	5019.63
529.31	957.3	5070.1
529.36	957.25	5094.92
529.41	957.2	4987.33
529.46	957.15	5084.53
529.51	957.1	5055.75
529.56	957.05	5074.13
529.61	957	5144.36
529.66	956.95	5103.79
529.71	956.9	5098.45
529.76	956.85	5108.76
529.81	956.8	5094.37
529.86	956.75	5127.77
529.91	956.7	5108.01
529.96	956.65	5123.63
530.01	956.6	5183.39
530.06	956.55	5115.69
530.11	956.5	5161.83
530.16	956.45	5095.98
530.21	956.4	5158.1
530.26	956.35	5143.67
530.31	956.3	5129.69
530.36	956.25	5098.93
530.41	956.2	5258.27
530.46	956.15	5181.5
530.51	956.1	5202.14
530.56	956.05	5223.5
530.61	956	5259.61
530.66	955.95	5306.28
530.71	955.9	5324.65
530.76	955.85	5319.83
530.81	955.8	5277.57
530.86	955.75	5298.14
530.91	955.7	5328.94
530.96	955.65	5311.93
531.01	955.6	5244.87
531.06	955.55	5300.79
531.11	955.5	5231.22
531.16	955.45	5194.76
531.21	955.4	5221.36
531.26	955.35	5207.52
531.31	955.3	5211.88
531.36	955.25	5161.72
531.41	955.2	5207.34
531.46	955.15	5097.39
531.51	955.1	5196.36
531.56	955.05	5155.62
531.61	955	5142.07
531.66	954.95	5175.18
531.71	954.9	5286.11
531.76	954.85	5258.64
531.81	954.8	5329.3
531.86	954.75	5330.67
531.91	954.7	5396.05
531.96	954.65	5463.2
532.01	954.6	5530.58
532.06	954.55	5640.44
532.11	954.5	5646.18
532.16	954.45	5805.68
532.21	954.4	5960.93
532.26	954.35	6060.17
532.31	954.3	6129.59
532.36	954.25	6296.54
532.41	954.2	6596.94
532.46	954.15	6658.4
532.51	954.1	6821.47
532.56	954.05	6981.29
532.61	954	7096.33
532.66	953.95	7252.51
532.71	953.9	7388.47
532.76	953.85	7385.52
532.81	953.8	7504.69
532.86	953.75	7533.41
532.91	953.7	7535.4
532.96	953.65	7631.25
533.01	953.6	7577.71
533.06	953.55	7634.26
533.11	953.5	7568.89
533.16	953.45	7572.62
533.21	953.4	7614.2
533.26	953.35	7572.14
533.31	953.3	7623.37
533.36	953.25	7758.88
533.41	953.2	7879.53
533.46	953.15	7922.14
533.51	953.1	8022.01
533.56	953.05	8196.62
533.61	953	8358.61
533.66	952.95	8485.42
533.71	952.9	8683.01
533.76	952.85	8852.72
533.81	952.8	8978.55
533.86	952.75	9167.69
533.91	952.7	9313.02
533.96	952.65	9393.74
534.01	952.6	9559.19
534.06	952.55	9710.99
534.11	952.5	9727.47
534.16	952.45	9763.14
534.21	952.4	9688.58
534.26	952.35	9498.09
534.31	952.3	9419.78
534.36	952.25	9361.19
534.41	952.2	9135.94
534.46	952.15	9100.91
534.51	952.1	8790.27
534.56	952.05	8462.42
534.61	952	8375.54
534.66	951.95	8084.38
534.71	951.9	7661.33
534.76	951.85	7524.42
534.81	951.8	7348.76
534.86	951.75	7094.41
534.91	951.7	6899.99
534.96	951.65	6703.22
535.01	951.6	6460.67
535.06	951.55	6233.96
535.11	951.5	6158.18
535.16	951.45	6020.16
535.21	951.4	5885.43
535.26	951.35	5721.33
535.31	951.3	5626.67
535.36	951.25	5515.03
535.41	951.2	5511.66
535.46	951.15	5390.75
535.51	951.1	5314.91
535.56	951.05	5221.82
535.61	951	5172.96
535.66	950.95	5126.79
535.71	950.9	4992.11
535.76	950.85	4930.02
535.81	950.8	4903.41
535.86	950.75	4929.02
535.91	950.7	4858.64
535.96	950.65	4762.89
536.01	950.6	4742.11
536.06	950.55	4681.54
536.11	950.5	4661.97
536.16	950.45	4619.47
536.21	950.4	4599.69
536.26	950.35	4537.22
536.31	950.3	4517.95
536.36	950.25	4572.72
536.41	950.2	4523.52
536.46	950.15	4458.06
536.51	950.1	4485.67
536.56	950.05	4437.82
536.61	950	4399.91
536.66	949.95	4376.01
536.71	949.9	4394.87
536.76	949.85	4367
536.81	949.8	4362.19
536.86	949.75	4407.83
536.91	949.7	4340.93
536.96	949.65	4378.44
537.01	949.6	4304.36
537.06	949.55	4295.37
537.11	949.5	4334.39
537.16	949.45	4245.72
537.21	949.4	4264.93
537.26	949.35	4214.11
537.31	949.3	4224.21
537.36	949.25	4241.32
537.41	949.2	4274.57
537.46	949.15	4213.45
537.51	949.1	4160.96
537.56	949.05	4185.04
537.61	949	4148.98
537.66	948.95	4213.2
537.71	948.9	4125.34
537.76	948.85	4169.24
537.81	948.8	4171.69
537.86	948.75	4141.59
537.91	948.7	4152.75
537.96	948.65	4144.04
538.01	948.6	4228.55
538.06	948.55	4149.21
538.11	948.5	4074.76
538.16	948.45	4189.8
538.21	948.4	4042.43
538.26	948.35	4093.7
538.31	948.3	4137.23
538.36	948.25	4103.47
538.41	948.2	4139.93
538.46	948.15	4142.61
538.51	948.1	4100.45
538.56	948.05	4092.67
538.61	948	4182.5
538.66	947.95	4090.43
538.71	947.9	4182.24
538.76	947.85	4167.05
538.81	947.8	4111.49
538.86	947.75	4138.12
538.91	947.7	4150.12
538.96	947.65	4029.28
539.01	947.6	4062.7
