C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1333.81	152.8	1799.49
1333.91	152.7	1812.78
1334.01	152.6	1795.78
1334.11	152.5	1804.03
1334.21	152.4	1815.31
1334.31	152.3	1839.12
1334.41	152.2	1796.82
1334.51	152.1	1813.77
1334.61	152	1774.76
1334.71	151.9	1793.94
1334.81	151.8	1801.82
1334.91	151.7	1807.32
1335.01	151.6	1799.79
1335.11	151.5	1802.1
1335.21	151.4	1792.56
1335.31	151.3	1794.85
1335.41	151.2	1823.05
1335.51	151.1	1811.29
1335.61	151	1792.15
1335.71	150.9	1812.2
1335.81	150.8	1827.53
1335.91	150.7	1818.55
1336.01	150.6	1812.38
1336.11	150.5	1805.21
1336.21	150.4	1807.92
1336.31	150.3	1815.41
1336.41	150.2	1810.69
1336.51	150.1	1808.47
1336.61	150	1817.16
1336.71	149.9	1811.72
1336.81	149.8	1811.17
1336.91	149.7	1844.33
1337.01	149.6	1807.38
1337.11	149.5	1792.26
1337.21	149.4	1818.36
1337.31	149.3	1803.01
1337.41	149.2	1826.57
1337.51	149.1	1839.43
1337.61	149	1824.7
1337.71	148.9	1821.07
1337.81	148.8	1844.77
1337.91	148.7	1840.43
1338.01	148.6	1818.82
1338.11	148.5	1814.27
1338.21	148.4	1833.15
1338.31	148.3	1855.66
1338.41	148.2	1844.7
1338.51	148.1	1823.01
1338.61	148	1812.91
1338.71	147.9	1838.5
1338.81	147.8	1832.64
1338.91	147.7	1828.82
1339.01	147.6	1816
1339.11	147.5	1827.78
1339.21	147.4	1832.91
1339.31	147.3	1833.94
1339.41	147.2	1809.38
1339.51	147.1	1812.03
1339.61	147	1843.5
1339.71	146.9	1854.43
1339.81	146.8	1829.75
1339.91	146.7	1836.82
1340.01	146.6	1821.57
1340.11	146.5	1848.6
1340.21	146.4	1816.51
1340.31	146.3	1820.5
1340.41	146.2	1821.77
1340.51	146.1	1876.08
1340.61	146	1816.18
1340.71	145.9	1838.83
1340.81	145.8	1843.01
1340.91	145.7	1824.85
1341.01	145.6	1846.14
1341.11	145.5	1821.9
1341.21	145.4	1789.62
1341.31	145.3	1819.16
1341.41	145.2	1847.92
1341.51	145.1	1852.5
1341.61	145	1827.99
1341.71	144.9	1841.61
1341.81	144.8	1841.57
1341.91	144.7	1837.97
1342.01	144.6	1855.17
1342.11	144.5	1875.12
1342.21	144.4	1825.57
1342.31	144.3	1830.29
1342.41	144.2	1837.28
1342.51	144.1	1846.56
1342.61	144	1846.08
1342.71	143.9	1825
1342.81	143.8	1837.52
1342.91	143.7	1829.63
1343.01	143.6	1822.84
1343.11	143.5	1849.76
1343.21	143.4	1842.73
1343.31	143.3	1828.75
1343.41	143.2	1849.19
1343.51	143.1	1831.08
1343.61	143	1854.24
1343.71	142.9	1851.26
1343.81	142.8	1865.01
1343.91	142.7	1841.21
1344.01	142.6	1831.34
1344.11	142.5	1857.21
1344.21	142.4	1844.51
1344.31	142.3	1835.41
1344.41	142.2	1842.93
1344.51	142.1	1858.73
1344.61	142	1843.27
1344.71	141.9	1839.52
1344.81	141.8	1840.78
1344.91	141.7	1880.09
1345.01	141.6	1893.85
1345.11	141.5	1861.55
1345.21	141.4	1819.54
1345.31	141.3	1819.3
1345.41	141.2	1846.08
1345.51	141.1	1828.03
1345.61	141	1851.33
1345.71	140.9	1832.01
1345.81	140.8	1836.96
1345.91	140.7	1833.21
1346.01	140.6	1851.5
1346.11	140.5	1850.39
1346.21	140.4	1860.64
1346.31	140.3	1855.35
1346.41	140.2	1826.07
1346.51	140.1	1831.65
1346.61	140	1857.82
1346.71	139.9	1857.67
1346.81	139.8	1866.47
1346.91	139.7	1860.48
1347.01	139.6	1844.46
1347.11	139.5	1843.15
1347.21	139.4	1837.3
1347.31	139.3	1833.26
1347.41	139.2	1866.71
1347.51	139.1	1856.08
1347.61	139	1850.23
1347.71	138.9	1847.8
1347.81	138.8	1867.85
1347.91	138.7	1873.96
1348.01	138.6	1891.29
1348.11	138.5	1863.03
1348.21	138.4	1873.73
1348.31	138.3	1864.77
1348.41	138.2	1876.64
1348.51	138.1	1900.66
1348.61	138	1870.57
1348.71	137.9	1865.35
1348.81	137.8	1870.21
1348.91	137.7	1878.34
1349.01	137.6	1862.73
1349.11	137.5	1844.3
1349.21	137.4	1874.67
1349.31	137.3	1873.13
1349.41	137.2	1905.6
1349.51	137.1	1899.53
1349.61	137	1882.8
1349.71	136.9	1853.34
1349.81	136.8	1867.64
1349.91	136.7	1873.43
1350.01	136.6	1864.8
1350.11	136.5	1860.73
1350.21	136.4	1900.34
1350.31	136.3	1910.84
1350.41	136.2	1884.92
1350.51	136.1	1851.9
1350.61	136	1885.11
1350.71	135.9	1882.66
1350.81	135.8	1875
1350.91	135.7	1893.94
1351.01	135.6	1874.47
1351.11	135.5	1901.46
1351.21	135.4	1893.09
1351.31	135.3	1903.83
1351.41	135.2	1920.17
1351.51	135.1	1883.19
1351.61	135	1899.19
1351.71	134.9	1893.53
1351.81	134.8	1870.83
1351.91	134.7	1872.16
1352.01	134.6	1880.66
1352.11	134.5	1905.19
1352.21	134.4	1914.62
1352.31	134.3	1894.17
1352.41	134.2	1894.65
1352.51	134.1	1936.71
1352.61	134	1909.13
1352.71	133.9	1891.52
1352.81	133.8	1914.09
1352.91	133.7	1908.4
1353.01	133.6	1895.97
1353.11	133.5	1886.81
1353.21	133.4	1905.28
1353.31	133.3	1892.13
1353.41	133.2	1906.74
1353.51	133.1	1891.56
1353.61	133	1901.92
1353.71	132.9	1904.15
1353.81	132.8	1903.46
1353.91	132.7	1893.31
1354.01	132.6	1888.34
1354.11	132.5	1906.68
1354.21	132.4	1909.73
1354.31	132.3	1908.87
1354.41	132.2	1916.38
1354.51	132.1	1914.91
1354.61	132	1922.53
1354.71	131.9	1904.19
1354.81	131.8	1893.07
1354.91	131.7	1919.74
1355.01	131.6	1931.66
