C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1054.11	432.5	5958.84	5958.84
1054.61	432	5957.53	5957.53
1055.11	431.5	5912.64	5912.64
1055.61	431	5930.46	5930.46
1056.11	430.5	5980.31	5980.31
1056.61	430	5966.8	5966.8
1057.11	429.5	6016.53	6016.53
1057.61	429	5987.76	5987.76
1058.11	428.5	6066.54	6066.54
1058.61	428	6050.71	6050.71
1059.11	427.5	6060	6060
1059.61	427	6011.21	6011.21
1060.11	426.5	6031.9	6031.9
1060.61	426	6091.61	6091.61
1061.11	425.5	6086.55	6086.55
1061.61	425	6012.76	6012.76
1062.11	424.5	6037.46	6037.46
1062.61	424	6030.38	6030.38
1063.11	423.5	6092.92	6092.92
1063.61	423	6173.88	6173.88
1064.11	422.5	6140.14	6140.14
1064.61	422	6156.3	6156.3
1065.11	421.5	6132.05	6132.05
1065.61	421	6147.37	6147.37
1066.11	420.5	6202.65	6202.65
1066.61	420	6230.1	6230.1
1067.11	419.5	6248.59	6248.59
1067.61	419	6218.99	6218.99
1068.11	418.5	6174.9	6174.9
1068.61	418	6218.22	6218.22
1069.11	417.5	6234.94	6234.94
1069.61	417	6236.92	6236.92
1070.11	416.5	6265.05	6265.05
1070.61	416	6291.52	6291.52
1071.11	415.5	6267.09	6267.09
1071.61	415	6291.34	6291.34
1072.11	414.5	6300.4	6300.4
1072.61	414	6271.87	6271.87
1073.11	413.5	6311.44	6311.44
1073.61	413	6292.18	6292.18
1074.11	412.5	6362.32	6362.32
1074.61	412	6402.09	6402.09
1075.11	411.5	6358.22	6358.22
1075.61	411	6374.26	6374.26
1076.11	410.5	6366.51	6366.51
1076.61	410	6373.09	6373.09
1077.11	409.5	6402.77	6402.77
1077.61	409	6432.45	6432.45
1078.11	408.5	6419.37	6419.37
1078.61	408	6449.68	6449.68
1079.11	407.5	6427.8	6427.8
1079.61	407	6392.15	6392.15
1080.11	406.5	6422.06	6422.06
1080.61	406	6412.77	6412.77
1081.11	405.5	6432.78	6432.78
1081.61	405	6515.41	6515.41
1082.11	404.5	6502.79	6502.79
1082.61	404	6516.66	6516.66
1083.11	403.5	6545.28	6545.28
1083.61	403	6544.35	6544.35
1084.11	402.5	6520.76	6520.76
1084.61	402	6562.44	6562.44
1085.11	401.5	6579.93	6579.93
1085.61	401	6587.58	6587.58
1086.11	400.5	6625.62	6625.62
1086.61	400	6592.08	6592.08
1087.11	399.5	6614.04	6614.04
1087.61	399	6575.62	6575.62
1088.11	398.5	6609.87	6609.87
1088.61	398	6613.23	6613.23
1089.11	397.5	6660.42	6660.42
1089.61	397	6701.7	6701.7
1090.11	396.5	6663.28	6663.28
1090.61	396	6716.23	6716.23
1091.11	395.5	6681.09	6681.09
1091.61	395	6683.48	6683.48
1092.11	394.5	6711.9	6711.9
1092.61	394	6716.88	6716.88
1093.11	393.5	6761.18	6761.18
1093.61	393	6764.54	6764.54
1094.11	392.5	6758.01	6758.01
1094.61	392	6762.63	6762.63
1095.11	391.5	6748.32	6748.32
1095.61	391	6737.58	6737.58
1096.11	390.5	6791.87	6791.87
1096.61	390	6786.79	6786.79
1097.11	389.5	6870.63	6870.63
1097.61	389	6868.79	6868.79
1098.11	388.5	6850.51	6850.51
1098.61	388	6803.32	6803.32
1099.11	387.5	6786.64	6786.64
1099.61	387	6846.11	6846.11
1100.11	386.5	6868.89	6868.89
1100.61	386	6890.36	6890.36
1101.11	385.5	6913.24	6913.24
1101.61	385	6877.8	6877.8
1102.11	384.5	6910.03	6910.03
1102.61	384	6917.5	6917.5
1103.11	383.5	6943.16	6943.16
1103.61	383	6921.91	6921.91
1104.11	382.5	6953.82	6953.82
1104.61	382	6934.9	6934.9
1105.11	381.5	6946.68	6946.68
1105.61	381	6971.98	6971.98
1106.11	380.5	6966.14	6966.14
1106.61	380	6977.49	6977.49
1107.11	379.5	6937.36	6937.36
1107.61	379	6969.17	6969.17
1108.11	378.5	7047.32	7047.32
1108.61	378	7010.94	7010.94
1109.11	377.5	7086.01	7086.01
1109.61	377	7090.87	7090.87
1110.11	376.5	7043.21	7043.21
1110.61	376	7013.92	7013.92
1111.11	375.5	7058.07	7058.07
1111.61	375	7078.63	7078.63
1112.11	374.5	7102.9	7102.9
1112.61	374	7124.19	7124.19
1113.11	373.5	7105.11	7105.11
1113.61	373	7035.09	7035.09
1114.11	372.5	7078.83	7078.83
1114.61	372	7101.05	7101.05
1115.11	371.5	7099.52	7099.52
1115.61	371	7070.93	7070.93
1116.11	370.5	7053.17	7053.17
1116.61	370	7100.07	7100.07
1117.11	369.5	7036.08	7036.08
1117.61	369	7076.64	7076.64
1118.11	368.5	7031.88	7031.88
1118.61	368	6978.02	6978.02
1119.11	367.5	6985.94	6985.94
1119.61	367	7008.22	7008.22
1120.11	366.5	6967.31	6967.31
1120.61	366	6974.8	6974.8
1121.11	365.5	6992.23	6992.23
1121.61	365	6980.76	6980.76
1122.11	364.5	6970.32	6970.32
1122.61	364	6907.23	6907.23
1123.11	363.5	6949.2	6949.2
1123.61	363	7005.95	7005.95
1124.11	362.5	7044.85	7044.85
1124.61	362	7004.52	7004.52
1125.11	361.5	7073.74	7073.74
1125.61	361	7035.18	7035.18
1126.11	360.5	7089.26	7089.26
1126.61	360	7137.24	7137.24
1127.11	359.5	7146.36	7146.36
1127.61	359	7218.66	7218.66
1128.11	358.5	7283.11	7283.11
1128.61	358	7345.44	7345.44
1129.11	357.5	7484.82	7484.82
1129.61	357	7662.2	7662.2
1130.11	356.5	7891.62	7891.62
1130.61	356	8174.15	8174.15
1131.11	355.5	8544.66	8544.66
1131.61	355	8957.71	8957.71
1132.11	354.5	9407.81	9407.81
1132.61	354	9723.3	9723.3
1133.11	353.5	9959.42	9959.42
1133.61	353	9964.63	9964.63
1134.11	352.5	9731.18	9731.18
1134.61	352	9253.23	9253.23
1135.11	351.5	8785.55	8785.55
1135.61	351	8265.88	8265.88
1136.11	350.5	7657.58	7657.58
1136.61	350	7271.76	7271.76
1137.11	349.5	6947.12	6947.12
1137.61	349	6621.43	6621.43
1138.11	348.5	6420.57	6420.57
1138.61	348	6162.92	6162.92
1139.11	347.5	6038.36	6038.36
1139.61	347	5894.92	5894.92
1140.11	346.5	5811.99	5811.99
1140.61	346	5723.54	5723.54
1141.11	345.5	5708.82	5708.82
1141.61	345	5686.29	5686.29
1142.11	344.5	5618.67	5618.67
1142.61	344	5615.26	5615.26
1143.11	343.5	5635.87	5635.87
1143.61	343	5604.83	5604.83
1144.11	342.5	5580.55	5580.55
1144.61	342	5592.56	5592.56
1145.11	341.5	5601.29	5601.29
1145.61	341	5654.41	5654.41
1146.11	340.5	5733.68	5733.68
1146.61	340	5857.61	5857.61
1147.11	339.5	6108.94	6108.94
1147.61	339	6374.02	6374.02
1148.11	338.5	6628.51	6628.51
1148.61	338	7083.01	7083.01
1149.11	337.5	7664.3	7664.3
1149.61	337	8307.43	8307.43
1150.11	336.5	9078.23	9078.23
1150.61	336	9771.7	9771.7
1151.11	335.5	10184.4	10184.4
1151.61	335	10301.3	10301.3
1152.11	334.5	9907.04	9907.04
1152.61	334	9185.22	9185.22
1153.11	333.5	8304.74	8304.74
1153.61	333	7456.97	7456.97
1154.11	332.5	6654	6654
1154.61	332	5975.4	5975.4
1155.11	331.5	5432.45	5432.45
1155.61	331	5068.93	5068.93
1156.11	330.5	4761.13	4761.13
1156.61	330	4516.47	4516.47
1157.11	329.5	4375.67	4375.67
1157.61	329	4222.57	4222.57
1158.11	328.5	4086.88	4086.88
1158.61	328	3972.78	3972.78
1159.11	327.5	3839.58	3839.58
1159.61	327	3799.18	3799.18
1160.11	326.5	3765.23	3765.23
1160.61	326	3693.64	3693.64
1161.11	325.5	3648.71	3648.71
1161.61	325	3624.54	3624.54
1162.11	324.5	3619.99	3619.99
1162.61	324	3582.28	3582.28
1163.11	323.5	3566.86	3566.86
1163.61	323	3529.08	3529.08
1164.11	322.5	3496.92	3496.92
1164.61	322	3481.94	3481.94
1165.11	321.5	3506.91	3506.91
1165.61	321	3485.04	3485.04
1166.11	320.5	3495.21	3495.21
1166.61	320	3470.91	3470.91
1167.11	319.5	3495.7	3495.7
1167.61	319	3466.21	3466.21
1168.11	318.5	3447.3	3447.3
1168.61	318	3486.57	3486.57
1169.11	317.5	3451.18	3451.18
1169.61	317	3423.2	3423.2
1170.11	316.5	3411.14	3411.14
1170.61	316	3452.71	3452.71
1171.11	315.5	3416.86	3416.86
1171.61	315	3421.17	3421.17
1172.11	314.5	3409.91	3409.91
1172.61	314	3396.6	3396.6
1173.11	313.5	3418.77	3418.77
