C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3d	BE_Pr:Ag3d	CPS_Pr:Ag3d
1036.61	450	1574.7
1036.71	449.9	1547.44
1036.81	449.8	1562.53
1036.91	449.7	1564.85
1037.01	449.6	1567.78
1037.11	449.5	1568.29
1037.21	449.4	1563.13
1037.31	449.3	1566.86
1037.41	449.2	1559.66
1037.51	449.1	1566.35
1037.61	449	1542.66
1037.71	448.9	1552.34
1037.81	448.8	1571.59
1037.91	448.7	1556.84
1038.01	448.6	1536.03
1038.11	448.5	1543.88
1038.21	448.4	1561.85
1038.31	448.3	1568.42
1038.41	448.2	1563.65
1038.51	448.1	1557.6
1038.61	448	1554.68
1038.71	447.9	1542.86
1038.81	447.8	1554.11
1038.91	447.7	1569.73
1039.01	447.6	1564.6
1039.11	447.5	1551.35
1039.21	447.4	1555.64
1039.31	447.3	1554.87
1039.41	447.2	1534.9
1039.51	447.1	1553.76
1039.61	447	1558.93
1039.71	446.9	1553.04
1039.81	446.8	1568.86
1039.91	446.7	1562.87
1040.01	446.6	1564.08
1040.11	446.5	1573.07
1040.21	446.4	1561.81
1040.31	446.3	1563.93
1040.41	446.2	1573.12
1040.51	446.1	1566.66
1040.61	446	1563.62
1040.71	445.9	1585.5
1040.81	445.8	1580.94
1040.91	445.7	1560.03
1041.01	445.6	1571.59
1041.11	445.5	1567.04
1041.21	445.4	1554.89
1041.31	445.3	1555.71
1041.41	445.2	1570.88
1041.51	445.1	1586.74
1041.61	445	1573.92
1041.71	444.9	1564.66
1041.81	444.8	1569.48
1041.91	444.7	1568.36
1042.01	444.6	1572.03
1042.11	444.5	1583.51
1042.21	444.4	1580.66
1042.31	444.3	1556.36
1042.41	444.2	1565.29
1042.51	444.1	1553.04
1042.61	444	1550.78
1042.71	443.9	1565.75
1042.81	443.8	1567.17
1042.91	443.7	1591.76
1043.01	443.6	1576.64
1043.11	443.5	1549.73
1043.21	443.4	1580.62
1043.31	443.3	1563.42
1043.41	443.2	1555.2
1043.51	443.1	1576.85
1043.61	443	1574.43
1043.71	442.9	1569.6
1043.81	442.8	1563.28
1043.91	442.7	1548.97
1044.01	442.6	1574.53
1044.11	442.5	1565.38
1044.21	442.4	1576.83
1044.31	442.3	1563.26
1044.41	442.2	1547.97
1044.51	442.1	1565.58
1044.61	442	1576.86
1044.71	441.9	1563.9
1044.81	441.8	1566.17
1044.91	441.7	1573.14
1045.01	441.6	1571.48
1045.11	441.5	1572.99
1045.21	441.4	1586.45
1045.31	441.3	1589.05
1045.41	441.2	1567.13
1045.51	441.1	1563.99
1045.61	441	1576.16
1045.71	440.9	1584.35
1045.81	440.8	1575.36
1045.91	440.7	1558.89
1046.01	440.6	1563.82
1046.11	440.5	1564.31
1046.21	440.4	1579.04
1046.31	440.3	1589.55
1046.41	440.2	1584.68
1046.51	440.1	1571.53
1046.61	440	1574.49
1046.71	439.9	1554.14
1046.81	439.8	1568.84
1046.91	439.7	1572.5
1047.01	439.6	1572.09
1047.11	439.5	1563.07
1047.21	439.4	1575.07
1047.31	439.3	1555
1047.41	439.2	1578.31
1047.51	439.1	1580.83
1047.61	439	1566.73
1047.71	438.9	1564.39
1047.81	438.8	1589.58
1047.91	438.7	1575.86
1048.01	438.6	1584.92
1048.11	438.5	1571.04
1048.21	438.4	1565.21
1048.31	438.3	1583.45
1048.41	438.2	1562.02
1048.51	438.1	1577.07
1048.61	438	1559.36
1048.71	437.9	1570.71
1048.81	437.8	1584.17
1048.91	437.7	1556.86
1049.01	437.6	1561.23
1049.11	437.5	1577.28
1049.21	437.4	1565.97
1049.31	437.3	1563.42
1049.41	437.2	1583.72
1049.51	437.1	1582.87
1049.61	437	1575.81
1049.71	436.9	1571.97
1049.81	436.8	1582.33
1049.91	436.7	1573.86
1050.01	436.6	1580.31
1050.11	436.5	1578.08
1050.21	436.4	1569.28
1050.31	436.3	1577.85
1050.41	436.2	1572.86
1050.51	436.1	1573.78
1050.61	436	1581.94
1050.71	435.9	1580.82
1050.81	435.8	1578.64
1050.91	435.7	1586.62
1051.01	435.6	1576.28
1051.11	435.5	1576.07
1051.21	435.4	1569.49
1051.31	435.3	1575.52
1051.41	435.2	1575.41
1051.51	435.1	1574.66
1051.61	435	1559.41
1051.71	434.9	1572.01
1051.81	434.8	1572.03
1051.91	434.7	1580.14
1052.01	434.6	1583.93
1052.11	434.5	1594.25
1052.21	434.4	1579.37
1052.31	434.3	1560.5
1052.41	434.2	1582.74
1052.51	434.1	1575.81
1052.61	434	1576.05
1052.71	433.9	1556.88
1052.81	433.8	1570.87
1052.91	433.7	1574.05
1053.01	433.6	1596.21
1053.11	433.5	1596.29
1053.21	433.4	1579.15
1053.31	433.3	1585.97
1053.41	433.2	1591.06
1053.51	433.1	1575.21
1053.61	433	1565.46
1053.71	432.9	1594.71
1053.81	432.8	1582.96
1053.91	432.7	1584.81
1054.01	432.6	1595.48
1054.11	432.5	1600.15
1054.21	432.4	1592.42
1054.31	432.3	1576.7
1054.41	432.2	1585.95
1054.51	432.1	1586.58
1054.61	432	1582.02
1054.71	431.9	1593.4
1054.81	431.8	1590.47
1054.91	431.7	1591.68
1055.01	431.6	1586.29
1055.11	431.5	1591.96
1055.21	431.4	1594.37
1055.31	431.3	1596.71
1055.41	431.2	1590.68
1055.51	431.1	1573.62
1055.61	431	1570.9
1055.71	430.9	1575.29
1055.81	430.8	1589.88
1055.91	430.7	1586.34
1056.01	430.6	1605.93
1056.11	430.5	1592.28
1056.21	430.4	1589.85
1056.31	430.3	1587.63
1056.41	430.2	1600.04
1056.51	430.1	1597.64
1056.61	430	1591.99
1056.71	429.9	1592.92
1056.81	429.8	1585.46
1056.91	429.7	1611.6
1057.01	429.6	1579.64
1057.11	429.5	1586.29
1057.21	429.4	1586.97
1057.31	429.3	1598.45
1057.41	429.2	1599.57
1057.51	429.1	1601.26
1057.61	429	1611.3
1057.71	428.9	1599.89
1057.81	428.8	1599.9
1057.91	428.7	1591.2
1058.01	428.6	1595.52
1058.11	428.5	1601.11
1058.21	428.4	1595.63
1058.31	428.3	1596.04
1058.41	428.2	1596.1
1058.51	428.1	1593.92
1058.61	428	1574.19
1058.71	427.9	1601.55
1058.81	427.8	1604.28
1058.91	427.7	1612.89
1059.01	427.6	1607.89
1059.11	427.5	1612.3
1059.21	427.4	1590.83
1059.31	427.3	1598.33
1059.41	427.2	1592.16
1059.51	427.1	1588.38
1059.61	427	1601.75
1059.71	426.9	1600.83
1059.81	426.8	1592.62
1059.91	426.7	1591.41
1060.01	426.6	1597.86
1060.11	426.5	1605.26
1060.21	426.4	1608.27
1060.31	426.3	1614.69
1060.41	426.2	1614.2
1060.51	426.1	1569.24
