c:\users\mark\owncloud\muelheim group\projects\gas phase background\co in o2 300um nozzle\co3o4_ino2_ivac.vms				
Co2p				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Co2p	BE_Co2p	CPS_Co2p		
682.21	804.4	1044.59		
682.31	804.3	1052.33		
682.41	804.2	1056.51		
682.51	804.1	1040.61		
682.61	804	1045.85		
682.71	803.9	1038.3		
682.81	803.8	1048.78		
682.91	803.7	1047.3		
683.01	803.6	1035.51		
683.11	803.5	1027.69		
683.21	803.4	1045.19		
683.31	803.3	1059.15		
683.41	803.2	1052.59		
683.51	803.1	1044.71		
683.61	803	1043.75		
683.71	802.9	1045.36		
683.81	802.8	1020.71		
683.91	802.7	1017.54		
684.01	802.6	1025.21		
684.11	802.5	1018.99		
684.21	802.4	1000.83		
684.31	802.3	1019.68		
684.41	802.2	1016.09		
684.51	802.1	1002.74		
684.61	802	1006.94		
684.71	801.9	1020.98		
684.81	801.8	991.506		
684.91	801.7	996.919		
685.01	801.6	1002.44		
685.11	801.5	987.878		
685.21	801.4	980.861		
685.31	801.3	975.811		
685.41	801.2	975.092		
685.51	801.1	977.199		
685.61	801	963.64		
685.71	800.9	975.125		
685.81	800.8	964.818		
685.91	800.7	972.462		
686.01	800.6	960.103		
686.11	800.5	969.005		
686.21	800.4	976.971		
686.31	800.3	972.524		
686.41	800.2	978.355		
686.51	800.1	962.766		
686.61	800	963.793		
686.71	799.9	962.809		
686.81	799.8	960.431		
686.91	799.7	963.437		
687.01	799.6	966.913		
687.11	799.5	975.502		
687.21	799.4	962.43		
687.31	799.3	975.579		
687.41	799.2	985.787		
687.51	799.1	977.493		
687.61	799	977.179		
687.71	798.9	982.478		
687.81	798.8	996.405		
687.91	798.7	1001.34		
688.01	798.6	994.155		
688.11	798.5	993.794		
688.21	798.4	997.734		
688.31	798.3	1018.5		
688.41	798.2	1027.73		
688.51	798.1	1048.36		
688.61	798	1060.11		
688.71	797.9	1047.88		
688.81	797.8	1056.15		
688.91	797.7	1061.99		
689.01	797.6	1078.3		
689.11	797.5	1077.89		
689.21	797.4	1088.61		
689.31	797.3	1102.19		
689.41	797.2	1111.22		
689.51	797.1	1121.64		
689.61	797	1118.91		
689.71	796.9	1148.24		
689.81	796.8	1149.77		
689.91	796.7	1158.26		
690.01	796.6	1171.9		
690.11	796.5	1178.02		
690.21	796.4	1194.06		
690.31	796.3	1198.71		
690.41	796.2	1229.2		
690.51	796.1	1220.16		
690.61	796	1222.14		
690.71	795.9	1237.42		
690.81	795.8	1253.98		
690.91	795.7	1282.29		
691.01	795.6	1274.19		
691.11	795.5	1265.65		
691.21	795.4	1259.56		
691.31	795.3	1258.89		
691.41	795.2	1259.5		
691.51	795.1	1245.9		
691.61	795	1256.62		
691.71	794.9	1271.74		
691.81	794.8	1290.82		
691.91	794.7	1303.61		
692.01	794.6	1325.75		
692.11	794.5	1321.62		
692.21	794.4	1324.9		
692.31	794.3	1304.74		
692.41	794.2	1274.58		
692.51	794.1	1217.73		
692.61	794	1177.24		
692.71	793.9	1108.61		
692.81	793.8	1049.05		
692.91	793.7	1017.42		
693.01	793.6	973.268		
693.11	793.5	945.581		
693.21	793.4	923.579		
693.31	793.3	901.056		
693.41	793.2	887.035		
693.51	793.1	882.089		
693.61	793	861.006		
693.71	792.9	855.15		
693.81	792.8	861.72		
693.91	792.7	832.863		
694.01	792.6	822.901		
694.11	792.5	833.128		
694.21	792.4	823.023		
694.31	792.3	846.948		
694.41	792.2	850.649		
694.51	792.1	843.954		
694.61	792	834.842		
694.71	791.9	838.022		
694.81	791.8	846.445		
694.91	791.7	846.55		
695.01	791.6	856.454		
695.11	791.5	864.234		
695.21	791.4	857.301		
695.31	791.3	870.468		
695.41	791.2	871.12		
695.51	791.1	887.278		
695.61	791	883.025		
695.71	790.9	881.204		
695.81	790.8	893.962		
695.91	790.7	894.045		
696.01	790.6	904.411		
696.11	790.5	894.026		
696.21	790.4	891.458		
696.31	790.3	902.167		
696.41	790.2	890.053		
696.51	790.1	911.071		
696.61	790	933.556		
696.71	789.9	938.488		
696.81	789.8	925.184		
696.91	789.7	930.979		
697.01	789.6	938.496		
697.11	789.5	934.107		
697.21	789.4	933.147		
697.31	789.3	938.033		
697.41	789.2	941.484		
697.51	789.1	929.219		
697.61	789	952.408		
697.71	788.9	945.803		
697.81	788.8	927.816		
697.91	788.7	940.077		
698.01	788.6	946.091		
698.11	788.5	944.757		
698.21	788.4	923.69		
698.31	788.3	925.724		
698.41	788.2	930.441		
698.51	788.1	942.475		
698.61	788	916.234		
698.71	787.9	936.617		
698.81	787.8	926.636		
698.91	787.7	922.56		
699.01	787.6	909.182		
699.11	787.5	915.016		
699.21	787.4	907.061		
699.31	787.3	901.072		
699.41	787.2	899.65		
699.51	787.1	897.373		
699.61	787	902.824		
699.71	786.9	899.862		
699.81	786.8	896.757		
699.91	786.7	887.445		
700.01	786.6	889.759		
700.11	786.5	898.438		
700.21	786.4	890.018		
700.31	786.3	895.915		
700.41	786.2	892.439		
700.51	786.1	879.52		
700.61	786	893.605		
700.71	785.9	884.32		
700.81	785.8	882.588		
700.91	785.7	878.136		
701.01	785.6	880.597		
701.11	785.5	896.101		
701.21	785.4	874.29		
701.31	785.3	883.299		
701.41	785.2	881.381		
701.51	785.1	868.68		
701.61	785	858.568		
701.71	784.9	865.822		
701.81	784.8	896.53		
701.91	784.7	876.543		
702.01	784.6	887.044		
702.11	784.5	872.319		
702.21	784.4	876.981		
702.31	784.3	873.221		
702.41	784.2	871.051		
702.51	784.1	882.351		
702.61	784	892.276		
702.71	783.9	903.175		
702.81	783.8	896.66		
702.91	783.7	903.575		
703.01	783.6	908.535		
703.11	783.5	916.069		
703.21	783.4	912.282		
703.31	783.3	942.451		
703.41	783.2	932.72		
703.51	783.1	949.709		
703.61	783	957.879		
703.71	782.9	974.325		
703.81	782.8	978.165		
703.91	782.7	1010.58		
704.01	782.6	1018.38		
704.11	782.5	1043.14		
704.21	782.4	1059.55		
704.31	782.3	1064.65		
704.41	782.2	1114.64		
704.51	782.1	1135.77		
704.61	782	1145.76		
704.71	781.9	1180.5		
704.81	781.8	1201.57		
704.91	781.7	1239.06		
705.01	781.6	1259.24		
705.11	781.5	1285.87		
705.21	781.4	1318.83		
705.31	781.3	1343.08		
705.41	781.2	1366.18		
705.51	781.1	1403.13		
705.61	781	1453.31		
705.71	780.9	1480.03		
705.81	780.8	1498.52		
705.91	780.7	1516.5		
706.01	780.6	1535.38		
706.11	780.5	1563.97		
706.21	780.4	1591.43		
706.31	780.3	1599.98		
706.41	780.2	1617.51		
706.51	780.1	1640.65		
706.61	780	1662.06		
706.71	779.9	1688.49		
706.81	779.8	1702.29		
706.91	779.7	1738.07		
707.01	779.6	1790.13		
707.11	779.5	1837.03		
707.21	779.4	1848.26		
707.31	779.3	1830.97		
707.41	779.2	1749.09		
707.51	779.1	1633.56		
707.61	779	1479.79		
707.71	778.9	1328.58		
707.81	778.8	1201.82		
707.91	778.7	1110.96		
708.01	778.6	1009.43		
708.11	778.5	961.082		
708.21	778.4	901.838		
708.31	778.3	837.531		
708.41	778.2	801.904		
708.51	778.1	754.492		
708.61	778	724.529		
708.71	777.9	701.888		
708.81	777.8	675.292		
708.91	777.7	662.71		
709.01	777.6	656.639		
709.11	777.5	653.804		
709.21	777.4	649.792		
709.31	777.3	641.175		
709.41	777.2	633.123		
709.51	777.1	630.357		
709.61	777	617.604		
709.71	776.9	622.814		
709.81	776.8	615.55		
709.91	776.7	615.016		
710.01	776.6	604.832		
710.11	776.5	610.105		
710.21	776.4	605.585		
710.31	776.3	592.329		
710.41	776.2	596.967		
710.51	776.1	581.278		
710.61	776	587.318		
710.71	775.9	588.775		
710.81	775.8	586.464		
710.91	775.7	587.135		
711.01	775.6	580.435		
711.11	775.5	589.527		
711.21	775.4	572.7		
711.31	775.3	566.591		
711.41	775.2	574.998		
711.41	775.2	574.998		
711.51	775.1	568.463		
711.61	775	570.403		
711.71	774.9	588.389		
711.71	774.9	588.389		
711.81	774.8	590.391		
711.91	774.7	570.658		
712.01	774.6	580.049		
712.01	774.6	580.049		
712.11	774.5	576.802		
712.21	774.4	568.063		
712.31	774.3	569.065		
712.31	774.3	569.065		
712.41	774.2	588.109		
712.51	774.1	572.235		
712.61	774	553.345		
712.61	774	553.345		
712.91	773.7	556.305		
713.21	773.4	572.271		
713.51	773.1	564.386		
713.81	772.8	530.101		
714.11	772.5	538.961		
714.41	772.2	528.679		
714.71	771.9	557.15		
715.01	771.6	517.963		
715.31	771.3	548.41		
715.61	771	532.624		
715.91	770.7	515.552		
716.21	770.4	554.147		
716.51	770.1	506.472		
716.81	769.8	525.963		
717.11	769.5	513.772		
717.41	769.2	510.091		
717.71	768.9	519.087		
718.01	768.6	492.49		
718.31	768.3	471.631		
718.61	768	436.427		
718.91	767.7	437.094		
719.21	767.4	425.448		
719.51	767.1	426.421		
719.81	766.8	404.15		
720.11	766.5	429.473		
720.41	766.2	430.354		
720.71	765.9	391.389		
721.01	765.6	399.861		
721.31	765.3	402.88		
721.61	765	363.291		
721.91	764.7	370.647		
722.21	764.4	392.169		
722.51	764.1	388.35		
722.81	763.8	364.27		
723.11	763.5	369.049		
723.41	763.2	393.985		
723.71	762.9	369.663		
724.01	762.6	370.762		
724.31	762.3	377.813		
724.61	762	367.487		
724.91	761.7	361.541		
725.21	761.4	359.303		
725.51	761.1	371.838		
725.81	760.8	373.305		
726.11	760.5	372.592		
726.41	760.2	363.602		
726.71	759.9	365.379		
727.01	759.6	372.364		
727.31	759.3	367.325		
727.61	759	353.894		
727.91	758.7	352.808		
728.21	758.4	361.895		
728.51	758.1	356.211		
728.81	757.8	354.596		
729.11	757.5	368.033		
729.41	757.2	348.877		
729.71	756.9	360.476		
730.01	756.6	343.788		
730.31	756.3	356.773		
730.61	756	369.135		
730.91	755.7	339.204		
731.21	755.4	362.934		
731.51	755.1	346.18		
731.81	754.8	350.303		
732.11	754.5	323.875		
732.41	754.2	340.269		
732.71	753.9	324.408		
733.01	753.6	343.147		
733.31	753.3	335.272		
733.61	753	335.36		
733.91	752.7	338.523		
734.21	752.4	337.686		
734.51	752.1	334.747		
734.81	751.8	329.666		
735.11	751.5	349.111		
735.41	751.2	317.949		
735.71	750.9	328.005		
736.01	750.6	319.975		
736.31	750.3	329.864		
736.61	750	336.643		
