C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
472.81	1013.8	2141.87	2141.87
472.91	1013.7	2132.45	2132.45
473.01	1013.6	2180.44	2180.44
473.11	1013.5	2200.87	2200.87
473.21	1013.4	2180.55	2180.55
473.31	1013.3	2154.92	2154.92
473.41	1013.2	2163.3	2163.3
473.51	1013.1	2144.55	2144.55
473.61	1013	2161.07	2161.07
473.71	1012.9	2207.41	2207.41
473.81	1012.8	2166.43	2166.43
473.91	1012.7	2118.83	2118.83
474.01	1012.6	2159.31	2159.31
474.11	1012.5	2164.16	2164.16
474.21	1012.4	2185.6	2185.6
474.31	1012.3	2128.23	2128.23
474.41	1012.2	2155.77	2155.77
474.51	1012.1	2175.39	2175.39
474.61	1012	2177.2	2177.2
474.71	1011.9	2168.69	2168.69
474.81	1011.8	2161.76	2161.76
474.91	1011.7	2191.08	2191.08
475.01	1011.6	2183.28	2183.28
475.11	1011.5	2133.39	2133.39
475.21	1011.4	2121.32	2121.32
475.31	1011.3	2180.76	2180.76
475.41	1011.2	2158.6	2158.6
475.51	1011.1	2177.87	2177.87
475.61	1011	2169.04	2169.04
475.71	1010.9	2194.43	2194.43
475.81	1010.8	2227.91	2227.91
475.91	1010.7	2150.25	2150.25
476.01	1010.6	2162.95	2162.95
476.11	1010.5	2209.3	2209.3
476.21	1010.4	2191.26	2191.26
476.31	1010.3	2141.93	2141.93
476.41	1010.2	2197.06	2197.06
476.51	1010.1	2223.4	2223.4
476.61	1010	2187.52	2187.52
476.71	1009.9	2196.93	2196.93
476.81	1009.8	2174.38	2174.38
476.91	1009.7	2145.78	2145.78
477.01	1009.6	2204.76	2204.76
477.11	1009.5	2179.7	2179.7
477.21	1009.4	2192.3	2192.3
477.31	1009.3	2191.75	2191.75
477.41	1009.2	2138.61	2138.61
477.51	1009.1	2202.32	2202.32
477.61	1009	2192.14	2192.14
477.71	1008.9	2224.92	2224.92
477.81	1008.8	2201.95	2201.95
477.91	1008.7	2194.8	2194.8
478.01	1008.6	2209.56	2209.56
478.11	1008.5	2206.94	2206.94
478.21	1008.4	2178.36	2178.36
478.31	1008.3	2148.24	2148.24
