C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
477.21	1009.4	173597	173597
477.31	1009.3	174302	174302
477.41	1009.2	174373	174373
477.51	1009.1	173898	173898
477.61	1009	172969	172969
477.71	1008.9	174166	174166
477.81	1008.8	174655	174655
477.91	1008.7	174915	174915
478.01	1008.6	174663	174663
478.11	1008.5	173507	173507
478.21	1008.4	174195	174195
478.31	1008.3	174073	174073
478.41	1008.2	174344	174344
478.51	1008.1	174591	174591
478.61	1008	174220	174220
478.71	1007.9	174556	174556
478.81	1007.8	174390	174390
478.91	1007.7	175168	175168
479.01	1007.6	173683	173683
479.11	1007.5	173632	173632
479.21	1007.4	174451	174451
479.31	1007.3	175212	175212
479.41	1007.2	174211	174211
479.51	1007.1	173725	173725
479.61	1007	174143	174143
479.71	1006.9	175405	175405
479.81	1006.8	175481	175481
479.91	1006.7	176253	176253
480.01	1006.6	175520	175520
480.11	1006.5	175560	175560
480.21	1006.4	176328	176328
480.31	1006.3	175134	175134
480.41	1006.2	174724	174724
480.51	1006.1	174796	174796
480.61	1006	174711	174711
480.71	1005.9	175066	175066
480.81	1005.8	175246	175246
480.91	1005.7	175773	175773
481.01	1005.6	177241	177241
481.11	1005.5	176085	176085
481.21	1005.4	175915	175915
481.31	1005.3	175001	175001
481.41	1005.2	175195	175195
481.51	1005.1	176296	176296
481.61	1005	176351	176351
481.71	1004.9	176820	176820
481.81	1004.8	176881	176881
481.91	1004.7	176913	176913
482.01	1004.6	177616	177616
482.11	1004.5	177525	177525
482.21	1004.4	177349	177349
482.31	1004.3	178212	178212
482.41	1004.2	178045	178045
482.51	1004.1	177487	177487
482.61	1004	177646	177646
482.71	1003.9	177458	177458
482.81	1003.8	177122	177122
482.91	1003.7	176677	176677
483.01	1003.6	177694	177694
483.11	1003.5	177904	177904
483.21	1003.4	178369	178369
483.31	1003.3	177607	177607
483.41	1003.2	178011	178011
483.51	1003.1	177356	177356
483.61	1003	178087	178087
483.71	1002.9	178026	178026
483.81	1002.8	177516	177516
483.91	1002.7	178116	178116
484.01	1002.6	177005	177005
484.11	1002.5	177953	177953
484.21	1002.4	178704	178704
484.31	1002.3	178613	178613
484.41	1002.2	179050	179050
484.51	1002.1	179469	179469
484.61	1002	178560	178560
484.71	1001.9	178698	178698
484.81	1001.8	179280	179280
484.91	1001.7	179795	179795
485.01	1001.6	179661	179661
485.11	1001.5	179742	179742
485.21	1001.4	180287	180287
485.31	1001.3	179799	179799
485.41	1001.2	178813	178813
485.51	1001.1	178836	178836
485.61	1001	179906	179906
485.71	1000.9	180537	180537
485.81	1000.8	179709	179709
485.91	1000.7	179458	179458
486.01	1000.6	180042	180042
