experiment 2019-01-28_au in o2 800um nozzle_irregular-January212020161648				
Pr:Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Counts per Second	BE_Pr:Counts per Second	CPS_Pr:Counts per Second		
1327.41	159.2	1744.74		
1327.51	159.1	1720.7		
1327.61	159	1758.28		
1327.71	158.9	1739.37		
1327.81	158.8	1766.04		
1327.91	158.7	1747.94		
1328.01	158.6	1773.4		
1328.11	158.5	1760.03		
1328.21	158.4	1768.1		
1328.31	158.3	1745.24		
1328.41	158.2	1757.84		
1328.51	158.1	1727.83		
1328.61	158	1763.15		
1328.71	157.9	1704.07		
1328.81	157.8	1707.09		
1328.91	157.7	1727.46		
1329.01	157.6	1716.63		
1329.11	157.5	1758.82		
1329.21	157.4	1747.63		
1329.31	157.3	1741.01		
1329.41	157.2	1808.48		
1329.51	157.1	1739.06		
1329.61	157	1764.73		
1329.71	156.9	1758.93		
1329.81	156.8	1773.23		
1329.91	156.7	1763.22		
1330.01	156.6	1784.53		
1330.11	156.5	1734.84		
1330.21	156.4	1760.13		
1330.31	156.3	1767.74		
1330.41	156.2	1743.45		
1330.51	156.1	1766.78		
1330.61	156	1766.59		
1330.71	155.9	1797.51		
1330.81	155.8	1737.81		
1330.91	155.7	1775.88		
1331.01	155.6	1763.62		
1331.11	155.5	1780.37		
1331.21	155.4	1774.99		
1331.31	155.3	1770.27		
1331.41	155.2	1744.79		
1331.51	155.1	1761.34		
1331.61	155	1760.62		
1331.71	154.9	1754.1		
1331.81	154.8	1765.2		
1331.91	154.7	1713.02		
1332.01	154.6	1767.52		
1332.11	154.5	1781.21		
1332.21	154.4	1775.3		
1332.31	154.3	1766.87		
1332.41	154.2	1809.54		
1332.51	154.1	1808.67		
1332.61	154	1804.4		
1332.71	153.9	1803.12		
1332.81	153.8	1793.31		
1332.91	153.7	1803.25		
1333.01	153.6	1791.09		
1333.11	153.5	1756.87		
1333.21	153.4	1805.97		
1333.31	153.3	1810.79		
1333.41	153.2	1804.54		
1333.51	153.1	1778.53		
