C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1335.51	151.1	994.678
1335.61	151	1007.51
1335.71	150.9	994.081
1335.81	150.8	1008.3
1335.91	150.7	991.865
1336.01	150.6	990.197
1336.11	150.5	984.526
1336.21	150.4	994.355
1336.31	150.3	992.627
1336.41	150.2	1005.07
1336.51	150.1	998.725
1336.61	150	992.6
1336.71	149.9	998.175
1336.81	149.8	1000.59
1336.91	149.7	996.186
1337.01	149.6	994.612
1337.11	149.5	1001.87
1337.21	149.4	997.442
1337.31	149.3	1002.14
1337.41	149.2	1000.38
1337.51	149.1	984.223
1337.61	149	978.244
1337.71	148.9	986.887
1337.81	148.8	991.163
1337.91	148.7	1003.81
1338.01	148.6	982.443
1338.11	148.5	993.528
1338.21	148.4	994.791
1338.31	148.3	990.223
1338.41	148.2	994.954
1338.51	148.1	999.784
1338.61	148	1001.12
1338.71	147.9	1001.29
1338.81	147.8	988.079
1338.91	147.7	998.853
1339.01	147.6	1003.53
1339.11	147.5	1001.84
1339.21	147.4	989.285
1339.31	147.3	983.192
1339.41	147.2	1007.5
1339.51	147.1	990.648
1339.61	147	995.424
1339.71	146.9	988.853
1339.81	146.8	1002.22
1339.91	146.7	1000.35
1340.01	146.6	999.255
1340.11	146.5	998.301
1340.21	146.4	995.081
1340.31	146.3	993.224
1340.41	146.2	1002.24
1340.51	146.1	1004.79
1340.61	146	986.561
1340.71	145.9	990.296
1340.81	145.8	995.842
1340.91	145.7	1004.34
1341.01	145.6	979.616
1341.11	145.5	986.337
1341.21	145.4	993.257
1341.31	145.3	991.314
1341.41	145.2	1002.3
1341.51	145.1	1004.27
1341.61	145	1003.24
1341.71	144.9	1006.28
1341.81	144.8	1001.17
1341.91	144.7	991.779
1342.01	144.6	1006.43
1342.11	144.5	1005.5
1342.21	144.4	995.028
1342.31	144.3	1000.81
1342.41	144.2	1015.43
1342.51	144.1	986.572
1342.61	144	995.125
1342.71	143.9	1000.25
1342.81	143.8	988.764
1342.91	143.7	1000.35
1343.01	143.6	994.139
1343.11	143.5	986.774
1343.21	143.4	999.87
1343.31	143.3	1011.26
1343.41	143.2	995.229
1343.51	143.1	995.973
1343.61	143	983.65
1343.71	142.9	993.478
1343.81	142.8	1002.04
1343.91	142.7	1003.17
1344.01	142.6	1006.07
1344.11	142.5	1010.17
1344.21	142.4	1000.31
1344.31	142.3	1002.47
1344.41	142.2	1005.11
1344.51	142.1	992.517
1344.61	142	1000.89
1344.71	141.9	998.915
1344.81	141.8	992.476
1344.91	141.7	994.578
1345.01	141.6	1008.22
1345.11	141.5	985.113
1345.21	141.4	997.795
1345.31	141.3	995.921
1345.41	141.2	997.3
1345.51	141.1	998.37
1345.61	141	997.486
1345.71	140.9	1002.01
1345.81	140.8	1004.3
1345.91	140.7	1007.54
1346.01	140.6	999.069
1346.11	140.5	1013.2
1346.21	140.4	1006.5
1346.31	140.3	1004.97
1346.41	140.2	1008.86
1346.51	140.1	998.627
1346.61	140	1001.84
1346.71	139.9	999.873
1346.81	139.8	1003.11
1346.91	139.7	1013.36
1347.01	139.6	1013.98
1347.11	139.5	1016.71
1347.21	139.4	1018.79
1347.31	139.3	1000.98
1347.41	139.2	1005.25
1347.51	139.1	1003.84
1347.61	139	998.761
1347.71	138.9	1011.7
1347.81	138.8	1010.25
1347.91	138.7	1012.9
1348.01	138.6	1022
1348.11	138.5	1022.25
1348.21	138.4	1003.4
1348.31	138.3	1002.02
1348.41	138.2	1008.51
1348.51	138.1	1014.22
1348.61	138	993.234
1348.71	137.9	996.346
1348.81	137.8	1003.89
1348.91	137.7	1000.17
1349.01	137.6	1010.67
1349.11	137.5	1014.71
1349.21	137.4	1001.99
1349.31	137.3	1009.28
1349.41	137.2	1000.77
1349.51	137.1	1015.88
1349.61	137	1004.26
1349.71	136.9	1016.43
1349.81	136.8	1007.28
1349.91	136.7	1003.64
1350.01	136.6	1012.21
1350.11	136.5	1017.01
1350.21	136.4	993.416
1350.31	136.3	1013.39
1350.41	136.2	1011.13
1350.51	136.1	1019.53
1350.61	136	1015.63
1350.71	135.9	1011.02
1350.81	135.8	1006.18
1350.91	135.7	1002.56
1351.01	135.6	1012.07
1351.11	135.5	1008.31
1351.21	135.4	1000.49
1351.31	135.3	1001.49
1351.41	135.2	1024.92
1351.51	135.1	1006.71
1351.61	135	1017.64
1351.71	134.9	1000.17
1351.81	134.8	1023.1
1351.91	134.7	1018.18
1352.01	134.6	1005.17
1352.11	134.5	1010.29
1352.21	134.4	1010.58
1352.31	134.3	1005.61
1352.41	134.2	1003.33
1352.51	134.1	1000.31
1352.61	134	1004.71
1352.71	133.9	1006.96
1352.81	133.8	1010.59
1352.91	133.7	1021.5
1353.01	133.6	1019.48
1353.11	133.5	1017.31
1353.21	133.4	1001.61
1353.31	133.3	1009.74
1353.41	133.2	1002.05
1353.51	133.1	1002.91
1353.61	133	1011.12
1353.71	132.9	1025.24
1353.81	132.8	1017.63
1353.91	132.7	1005.45
1354.01	132.6	1013.5
1354.11	132.5	1006.52
1354.21	132.4	997.347
1354.31	132.3	1014.31
1354.41	132.2	1017.49
1354.51	132.1	1009.01
1354.61	132	1017.33
1354.71	131.9	1000.41
1354.81	131.8	1012.68
1354.91	131.7	1019.56
1355.01	131.6	1001.1
1355.11	131.5	1014.8
1355.21	131.4	1002.93
1355.31	131.3	1017.89
1355.41	131.2	1024.41
1355.51	131.1	1006.18
1355.61	131	1017.99
1355.71	130.9	1021.64
1355.81	130.8	1013.63
1355.91	130.7	1016.92
1356.01	130.6	1019.32
1356.11	130.5	1017.96
1356.21	130.4	1017.54
1356.31	130.3	1021.21
1356.41	130.2	1027.4
1356.51	130.1	1017.81
1356.61	130	1020.83
1356.71	129.9	1010.3
1356.81	129.8	1023.55
1356.91	129.7	1034.67
1357.01	129.6	1032.88
1357.11	129.5	1025.39
1357.21	129.4	1018.53
1357.31	129.3	1019.01
1357.41	129.2	1029.32
1357.51	129.1	1018.25
1357.61	129	1008.46
1357.71	128.9	1025.13
1357.81	128.8	1020.76
1357.91	128.7	1012.1
1358.01	128.6	1021.01
1358.11	128.5	1030.3
1358.21	128.4	1009.53
1358.31	128.3	1026.98
1358.41	128.2	1015.46
1358.51	128.1	1015.12
1358.61	128	1033.51
1358.71	127.9	1014.54
1358.81	127.8	997.021
1358.91	127.7	1011.98
1359.01	127.6	1012.57
1359.11	127.5	1014.78
1359.21	127.4	1011.69
1359.31	127.3	1013.78
1359.41	127.2	1018.93
1359.51	127.1	1010.01
1359.61	127	1020.78
1359.71	126.9	1023.29
1359.81	126.8	1005.84
1359.91	126.7	1007.19
1360.01	126.6	1013.86
1360.11	126.5	990.946
1360.21	126.4	996.87
1360.31	126.3	1005.67
1360.41	126.2	997.286
1360.51	126.1	1011.34
1360.61	126	999.85
1360.71	125.9	1016.02
1360.81	125.8	1005.58
1360.91	125.7	1020.85
1361.01	125.6	1013.48
1361.11	125.5	994.045
1361.21	125.4	1009.34
1361.31	125.3	1018.25
1361.41	125.2	1008.68
1361.51	125.1	1007.01
1361.61	125	999.383
1361.71	124.9	1012.05
1361.81	124.8	1012.4
1361.91	124.7	1021.18
1362.01	124.6	1029.44
1362.11	124.5	1008.22
1362.21	124.4	1012.17
1362.31	124.3	1008.01
1362.41	124.2	1008.6
1362.51	124.1	1013.7
1362.61	124	1015.09
1362.71	123.9	1006.68
1362.81	123.8	1015.05
1362.91	123.7	1008.8
1363.01	123.6	1011.42
1363.11	123.5	1013.48
1363.21	123.4	1019.93
1363.31	123.3	1011
1363.41	123.2	1005.51
1363.51	123.1	1003.1
1363.61	123	1000.98
1363.71	122.9	987.961
1363.81	122.8	1008.93
1363.91	122.7	1005.76
1364.01	122.6	1015.25
1364.11	122.5	1017.69
1364.21	122.4	1009.5
1364.31	122.3	1012.27
1364.41	122.2	1017.27
1364.51	122.1	1010.13
1364.61	122	1026.41
1364.71	121.9	1017.78
1364.81	121.8	994.414
1364.91	121.7	1006.74
1365.01	121.6	1016.97
1365.11	121.5	1008.84
1365.21	121.4	1001.39
1365.31	121.3	1007.23
1365.41	121.2	1018.64
1365.51	121.1	1011.89
1365.61	121	998.994
1365.71	120.9	1001.9
1365.81	120.8	1002.08
1365.91	120.7	1011.71
1366.01	120.6	1004.1
1366.11	120.5	1012.65
1366.21	120.4	1014.14
1366.31	120.3	1008.39
1366.41	120.2	1003.39
1366.51	120.1	1009.32
1366.61	120	1002.87
1366.71	119.9	1002.35
1366.81	119.8	1000.81
1366.91	119.7	1006.47
1367.01	119.6	993.228
1367.11	119.5	1006.64
1367.21	119.4	1003.33
1367.31	119.3	1000.47
1367.41	119.2	999.49
1367.51	119.1	1000.45
1367.61	119	1013.89
1367.71	118.9	1012.15
1367.81	118.8	1023.5
1367.91	118.7	1006.35
1368.01	118.6	1007.12
1368.11	118.5	1007.23
1368.21	118.4	1012.48
1368.31	118.3	1017.99
1368.41	118.2	1022.9
1368.51	118.1	1001.73
1368.61	118	1010.38
1368.71	117.9	1013.55
1368.81	117.8	1000.79
1368.91	117.7	997.253
1369.01	117.6	1004.99
1369.11	117.5	1006.83
1369.21	117.4	1005.71
1369.31	117.3	987.184
1369.41	117.2	998.19
1369.51	117.1	1012.13
1369.61	117	1000.6
1369.71	116.9	999.525
1369.81	116.8	991.946
1369.91	116.7	989.821
1370.01	116.6	1008.85
1370.11	116.5	1006.05
1370.21	116.4	1006.36
1370.31	116.3	991.079
1370.41	116.2	1012.47
1370.51	116.1	997.407
1370.61	116	988.555
1370.71	115.9	1010.98
1370.81	115.8	1020.52
1370.91	115.7	1006.51
1371.01	115.6	1011.63
1371.11	115.5	1015.75
1371.21	115.4	995.651
1371.31	115.3	993.103
1371.41	115.2	1010.46
1371.51	115.1	999.47
1371.61	115	1001.56
1371.71	114.9	998.979
1371.81	114.8	999.945
1371.91	114.7	1004.03
1372.01	114.6	1005.45
1372.11	114.5	998.07
1372.21	114.4	1015.06
1372.31	114.3	1005.9
1372.41	114.2	1011.71
1372.51	114.1	1002
1372.61	114	994.862
1372.71	113.9	997.152
1372.81	113.8	1012.48
1372.91	113.7	1002.19
1373.01	113.6	1005.93
1373.11	113.5	1002.66
1373.21	113.4	1000.62
1373.31	113.3	1008.67
1373.41	113.2	1014.6
1373.51	113.1	1010.27
1373.61	113	1014.73
